,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
63,63,0.8565737051792829,0.8301886792452831,0.8776319387476074,0.9329368334700575,0.0019920318725099584,0.00039840637450194727,0.0031872509960160222,-0.0035856573705179695
64,64,0.896414342629482,0.8761904761904762,0.9182389937106918,0.9682800109379273,0.007171314741035939,0.13067729083665336,0.11832669322709155,0.09999999999999998
65,65,0.9243027888446215,0.9045226130653267,0.9356713152857534,0.9847552638774952,0.014342629482071767,0.2474103585657369,0.17211155378486043,0.04741035856573694
66,66,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9715613891167624,0.007569721115537775,0.1665338645418326,0.12430278884462143,0.09003984063745019
67,67,0.900398406374502,0.8803827751196173,0.9213836477987422,0.9749794913863823,0.031872509960159445,0.1549800796812748,0.11195219123505973,0.10756972111553786
68,68,0.9043824701195219,0.88,0.9153677878042111,0.9746376811594203,0.00836653386454178,0.07211155378486067,0.12031872509960151,0.05179282868525903
69,69,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9378589007383101,0.0007968127490040056,0.009960159362549792,0.0007968127490040056,1.1102230246251565e-16
70,70,0.852589641434263,0.8262910798122066,0.874487284659557,0.9152994257588187,0.0023904382470120167,-0.002788844621513964,1.1102230246251565e-16,-0.003984063745019806
71,71,0.900398406374502,0.8780487804878049,0.9168033907574515,0.9777823352474706,0.00517928286852587,0.11673306772908365,0.09521912350597617,0.08406374501992042
72,72,0.9123505976095617,0.8842105263157894,0.9124965818977304,0.977850697292863,0.008764940239043839,0.16972111553784852,0.14462151394422307,0.1410358565737051
73,73,0.896414342629482,0.8725490196078431,0.9113686081487558,0.9558381186765108,0.02031872509960153,0.15617529880478076,0.15139442231075695,0.12031872509960151
74,74,0.8884462151394422,0.8640776699029126,0.9050792999726551,0.9753896636587367,-0.002788844621513964,0.16733067729083662,0.13147410358565736,0.04501992031872504
75,75,0.9163346613545816,0.8955223880597015,0.9293820071096528,0.9824309543341537,0.006772908366533992,0.11992031872509956,0.1533864541832669,0.1155378486055777
76,76,0.896414342629482,0.8737864077669902,0.9136587366694011,0.9822258681979765,-0.0035856573705179695,0.1533864541832669,0.05896414342629486,0.09840637450199197
77,77,0.9083665338645418,0.883248730964467,0.9162223133716161,0.9781241454744326,0.006772908366533992,0.2027888446215138,0.16852589641434257,0.10278884462151394
78,78,0.9043824701195219,0.8811881188118812,0.9176579163248564,0.9789444900191414,0.005577689243027928,0.10756972111553786,0.07888446215139444,0.06733067729083653
79,79,0.8924302788844621,0.8682926829268293,0.9082239540607056,0.9757998359310911,-0.0031872509960159112,0.15378486055776885,0.15776892430278877,0.12470119521912348
80,80,0.8844621513944223,0.8625592417061612,0.9065149029258955,0.973885698660104,0.007968127490039945,0.1617529880478087,0.1071713147410358,0.12749003984063745
81,81,0.900398406374502,0.8768472906403941,0.9145132622368062,0.9697156138911677,0.007171314741035939,0.24302788844621503,0.14462151394422307,0.05657370517928284
82,82,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.9745693191140279,0.005179282868526092,0.13386454183266927,0.10119521912350593,0.05019920318725102
83,83,0.8804780876494024,0.8571428571428571,0.9010801203171999,0.9751162154771671,0.012350597609561698,0.15378486055776885,0.18525896414342624,0.13346613545816732
84,84,0.900398406374502,0.8780487804878049,0.9168033907574515,0.9580940661744599,0.00517928286852587,0.14820717131474093,0.09920318725099608,0.05896414342629486
85,85,0.900398406374502,0.8780487804878049,0.9168033907574515,0.9781241454744326,-0.0015936254980079,0.17211155378486043,0.10199203187250994,0.12430278884462143
86,86,0.8924302788844621,0.8720379146919431,0.9150943396226415,0.9732704402515724,0.010756972111553798,0.1155378486055777,0.04940239043824701,0.07490039840637452
87,87,0.9043824701195219,0.8846153846153846,0.9245283018867925,0.972518457752256,0.0015936254980080111,0.20756972111553773,0.16852589641434257,0.149402390438247
88,88,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9246650259775773,0.03784860557768932,0.013944223107569709,0.006772908366533881,0.0019920318725099584
89,89,0.9203187250996016,0.9019607843137255,0.9371069182389937,0.9829094886519005,0.00836653386454178,0.13067729083665336,0.10119521912350593,0.11354581673306774
90,90,0.896414342629482,0.8737864077669902,0.9136587366694011,0.9761416461580531,-0.005577689243027817,0.13625498007968118,0.15219123505976084,0.14701195219123497
91,91,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9152310637134263,0.00039840637450194727,-0.0019920318725099584,0.004382470119521864,-0.0003984063745020583
92,92,0.900398406374502,0.8730964467005076,0.9076428766748701,0.9748427672955975,0.013545816733067761,0.1525896414342629,0.144223107569721,0.025498007968127512
93,93,0.896414342629482,0.8725490196078431,0.9113686081487558,0.9689636313918513,0.002788844621514075,0.13426294820717122,0.0916334661354582,0.08127490039840635
94,94,0.9083665338645418,0.8878048780487805,0.9253828274541974,0.9770987147935467,0.012749003984063756,0.16135458167330674,0.11474103585657369,0.05936254980079669
95,95,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9407301066447908,0.0007968127490040056,1.1102230246251565e-16,0.007569721115537775,0.0019920318725099584
96,96,0.852589641434263,0.8262910798122066,0.874487284659557,0.8967049494120864,0.008764940239043839,0.002788844621513964,-0.005976095617529875,-0.0063745019920318224
97,97,0.900398406374502,0.8792270531400966,0.9190935192780968,0.9681432868471425,0.0007968127490040056,0.15976095617529873,0.12151394422310757,0.08844621513944217
