,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled
94,94,0.7579908675799086,0.7282051282051282,0.7598853132488874,0.8714481342006163,0.3237442922374429
95,95,0.8082191780821918,0.7666666666666667,0.8001968503937008,0.8853988360150633,0.35251141552511417
96,96,0.8082191780821918,0.7613636363636364,0.797201300924341,0.8920746319753508,0.3470319634703196
97,97,0.7579908675799086,0.7557603686635944,0.7763608353303664,0.8678534748373844,0.33333333333333326
98,98,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9133002396439575,0.4009132420091325
99,99,0.8264840182648402,0.7888888888888889,0.8189404313591235,0.8987504279356384,0.3936073059360731
100,100,0.776255707762557,0.7562189054726368,0.78312221841835,0.8774392331393359,0.33652968036529674
101,101,0.7579908675799086,0.7282051282051282,0.7598853132488874,0.8694796302636084,0.29269406392694064
102,102,0.8310502283105022,0.783625730994152,0.8168863402944198,0.9121020198562136,0.38356164383561636
103,103,0.7579908675799086,0.7195767195767195,0.7553919890448476,0.8737589866484081,0.29178082191780824
104,104,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9084217733652857,0.4114155251141553
105,105,0.7214611872146118,0.6934673366834171,0.7253937007874016,0.8340465593974666,0.2657534246575342
106,106,0.7853881278538812,0.7614213197969543,0.7894984594317014,0.8823176994180076,0.3452054794520548
107,107,0.8356164383561644,0.7857142857142857,0.8193255734337556,0.8976377952755905,0.3488584474885845
108,108,0.6757990867579908,0.6787330316742082,0.6950102704553235,0.8256590208832592,0.18447488584474886
109,109,0.8036529680365296,0.7650273224043715,0.797757617254365,0.8852276617596713,0.31872146118721456
110,110,0.8264840182648402,0.7710843373493976,0.8084560082163643,0.9167237247517973,0.3552511415525114
111,111,0.8401826484018264,0.7976878612716763,0.827755905511811,0.8956692913385828,0.38812785388127846
112,112,0.7442922374429224,0.7052631578947368,0.7420831906881205,0.8672543649435125,0.28812785388127865
113,113,0.8447488584474886,0.8,0.8301951386511468,0.8953269428277987,0.3602739726027397
114,114,0.7579908675799086,0.7309644670050761,0.7613830879835672,0.874272509414584,0.31689497716894977
115,115,0.7625570776255708,0.7523809523809524,0.7758045190003424,0.859637110578569,0.32237442922374426
116,116,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9153543307086615,0.3730593607305936
117,117,0.8082191780821918,0.7692307692307693,0.8016946251283807,0.9070523793221499,0.36757990867579915
118,118,0.7168949771689498,0.69,0.7214566929133859,0.8162444368366998,0.26894977168949774
119,119,0.8356164383561644,0.7906976744186046,0.8223211229031153,0.890619650804519,0.3831050228310503
120,120,0.7853881278538812,0.745945945945946,0.780511811023622,0.8609209174940089,0.31324200913242
121,121,0.8264840182648402,0.7790697674418605,0.812949332420404,0.904655939746662,0.34155251141552506
122,122,0.7488584474885844,0.7120418848167539,0.7475179732968161,0.8669976035604244,0.3009132420091324
123,123,0.7945205479452054,0.7593582887700535,0.7913813762410133,0.8779527559055117,0.3365296803652967
124,124,0.7808219178082192,0.7419354838709677,0.7765748031496063,0.8806059568640876,0.3242009132420092
125,125,0.7214611872146118,0.7024390243902439,0.7298870249914413,0.8506504621704896,0.24703196347031964
126,126,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9086785347483739,0.38767123287671235
127,127,0.8356164383561644,0.7931034482758621,0.8238188976377953,0.9049127011297501,0.3575342465753425
128,128,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9039712427250941,0.39223744292237445
129,129,0.7945205479452054,0.7567567567567568,0.7898836015063335,0.872389592605272,0.3452054794520547
130,130,0.7534246575342466,0.7216494845360825,0.7544505306401917,0.8549298185552893,0.2940639269406393
131,131,0.7442922374429224,0.6989247311827957,0.7390876412187607,0.8668264293050326,0.28630136986301374
132,132,0.7488584474885844,0.7150259067357513,0.7490157480314961,0.8661417322834646,0.29041095890410956
133,133,0.7351598173515982,0.7156862745098039,0.7431958233481684,0.8640876412187607,0.273972602739726
134,134,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9070523793221501,0.39360730593607296
135,135,0.821917808219178,0.7636363636363637,0.8030212256076686,0.9000342348510785,0.30045662100456616
136,136,0.7899543378995434,0.7444444444444445,0.781453269428278,0.8768401232454639,0.332420091324201
137,137,0.7853881278538812,0.7513227513227513,0.7835073604929819,0.8774392331393358,0.34292237442922374
138,138,0.8356164383561644,0.7954545454545454,0.8253166723724752,0.9057685724067099,0.36392694063926945
139,139,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9014036288942143,0.3995433789954338
140,140,0.7579908675799086,0.7282051282051282,0.7598853132488874,0.8721328312221841,0.3
141,141,0.771689497716895,0.7422680412371134,0.7731941116056145,0.8715337213283122,0.33789954337899547
142,142,0.771689497716895,0.7311827956989247,0.767203012666895,0.8723895926052722,0.3187214611872147
143,143,0.8904109589041096,0.8695652173913043,0.8875385142074632,0.906367682300582,0.43424657534246575
144,144,0.817351598173516,0.7674418604651163,0.8035775419376925,0.8883943854844232,0.3589041095890411
