,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled
65,65,0.6838235294117647,0.12244897959183673,0.532608695652174,0.8622584541062803,0.022058823529411686
66,66,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8638888888888888,0.014705882352941124
67,67,0.6948529411764706,0.1782178217821782,0.5489130434782609,0.8609903381642511,0.03308823529411753
68,68,0.6617647058823529,0.0,0.5,0.8661231884057972,-1.1102230246251565e-16
69,69,0.6617647058823529,0.0,0.5,0.8612318840579711,-1.1102230246251565e-16
70,70,0.6617647058823529,0.0,0.5,0.8645531400966182,-1.1102230246251565e-16
71,71,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.8623188405797101,0.018382352941176405
72,72,0.6875,0.1414141414141414,0.5380434782608696,0.8663647342995169,0.025735294117646967
73,73,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8580917874396136,0.040073529411764675
74,74,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8618357487922705,0.04080882352941162
75,75,0.6617647058823529,0.0,0.5,0.8619565217391305,-1.1102230246251565e-16
76,76,0.6617647058823529,0.0,0.5,0.864975845410628,-1.1102230246251565e-16
77,77,0.6617647058823529,0.0,0.5,0.8608091787439613,-1.1102230246251565e-16
78,78,0.6617647058823529,0.0,0.5,0.8639492753623188,-1.1102230246251565e-16
79,79,0.6617647058823529,0.0,0.5,0.8617149758454106,-1.1102230246251565e-16
80,80,0.6727941176470589,0.06315789473684211,0.5163043478260869,0.8618357487922705,0.011029411764705843
81,81,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8624999999999999,0.014705882352941124
82,82,0.6691176470588235,0.0425531914893617,0.5108695652173914,0.8676932367149758,0.007352941176470451
83,83,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.858756038647343,0.040073529411764675
84,84,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8666062801932368,0.014705882352941124
85,85,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8624396135265702,0.014705882352941124
86,86,0.7022058823529411,0.22857142857142856,0.56243961352657,0.8605676328502417,0.04080882352941162
87,87,0.6617647058823529,0.0,0.5,0.8601449275362321,-1.1102230246251565e-16
88,88,0.6911764705882353,0.16,0.5434782608695652,0.8638888888888889,0.02941176470588225
89,89,0.6617647058823529,0.0,0.5,0.8614734299516909,-1.1102230246251565e-16
90,90,0.6617647058823529,0.0,0.5,0.8634661835748793,-1.1102230246251565e-16
91,91,0.6617647058823529,0.0,0.5,0.8621980676328502,-1.1102230246251565e-16
92,92,0.6617647058823529,0.0,0.5,0.8628623188405797,-1.1102230246251565e-16
93,93,0.6617647058823529,0.0,0.5,0.8616545893719807,-1.1102230246251565e-16
94,94,0.6617647058823529,0.0,0.5,0.8638285024154588,-1.1102230246251565e-16
95,95,0.6617647058823529,0.0,0.5,0.8629227053140096,-1.1102230246251565e-16
96,96,0.6617647058823529,0.0,0.5,0.8626207729468598,-1.1102230246251565e-16
97,97,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8580917874396137,0.04044117647058809
98,98,0.6617647058823529,0.0,0.5,0.860144927536232,-1.1102230246251565e-16
99,99,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8596014492753623,0.014705882352941124
100,100,0.6617647058823529,0.0,0.5,0.8632246376811594,-1.1102230246251565e-16
101,101,0.6617647058823529,0.0,0.5,0.8638888888888889,-1.1102230246251565e-16
102,102,0.6617647058823529,0.0,0.5,0.8641304347826088,-1.1102230246251565e-16
103,103,0.6617647058823529,0.0,0.5,0.8640096618357487,-1.1102230246251565e-16
104,104,0.6617647058823529,0.0,0.5,0.8649154589371981,-1.1102230246251565e-16
105,105,0.7352941176470589,0.3684210526315789,0.6113526570048309,0.8617753623188406,0.07610294117647065
106,106,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.8692028985507246,0.018382352941176405
107,107,0.6617647058823529,0.0,0.5,0.8635265700483092,-1.1102230246251565e-16
108,108,0.6617647058823529,0.0,0.5,0.8635265700483092,-1.1102230246251565e-16
109,109,0.6727941176470589,0.06315789473684211,0.5163043478260869,0.8602657004830918,0.011029411764705843
110,110,0.7132352941176471,0.2777777777777778,0.578743961352657,0.8588768115942029,0.051470588235294046
111,111,0.6617647058823529,0.0,0.5,0.8645531400966183,-1.1102230246251565e-16
112,112,0.6617647058823529,0.0,0.5,0.8646739130434783,-1.1102230246251565e-16
113,113,0.6617647058823529,0.0,0.5,0.8639492753623189,-1.1102230246251565e-16
114,114,0.6617647058823529,0.0,0.5,0.8649154589371981,-1.1102230246251565e-16
115,115,0.6985294117647058,0.19607843137254902,0.5543478260869565,0.8620772946859905,0.03676470588235281
116,116,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8653381642512078,0.036397058823529393
117,117,0.6617647058823529,0.0,0.5,0.8655193236714975,-1.1102230246251565e-16
118,118,0.6691176470588235,0.0425531914893617,0.5108695652173914,0.8622584541062802,0.007352941176470451
