,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
10,10,0.7907949790794979,0.7222222222222222,0.7750295770482106,0.9184412895593019,-0.0071129707112971285,-0.025104602510460206,-0.03347280334728042,-0.027196652719665204,-0.02677824267782425,0.01087866108786617,-0.012133891213389036,-0.0071129707112971285
11,11,0.8242677824267782,0.7613636363636364,0.806307305530908,0.8962585034013605,0.039748953974895196,0.006276150627615107,0.01087866108786606,0.02845188284518818,0.005020920502092019,0.03179916317991627,0.03054393305439318,0.028870292887029247
12,12,0.8242677824267782,0.7789473684210526,0.8205412599822538,0.9254658385093167,0.022175732217573185,-0.00041841004184106634,-0.003765690376569153,0.00878661087866106,-0.012970711297071058,0.0071129707112970175,0.02384937238493723,0.015481171548117012
13,13,0.8410041841004184,0.7840909090909091,0.8239795918367347,0.9348565513161786,0.03221757322175722,0.04142259414225946,-0.003765690376569042,0.017991631799163077,-0.008368200836820106,-0.012970711297071058,0.05439330543933052,0.03389121338912149
14,14,0.7907949790794979,0.7395833333333334,0.7872301094350784,0.90150842945874,-0.013807531380753302,-0.0058577405857740406,-0.005439330543932974,-0.0020920502092048876,-0.01966527196652723,0.009623430962343082,0.015481171548117234,0.012552301255230214
15,15,0.8451882845188284,0.7955801104972375,0.8334812185743863,0.9265749778172138,0.04016736401673626,0.03640167364016722,0.02384937238493723,0.02175732217573212,-0.002510460251046065,0.01589958158995808,0.029288702928870314,0.01087866108786606
16,16,0.8619246861924686,0.8216216216216217,0.8552203490091689,0.9338952972493345,0.060669456066945626,0.03640167364016733,0.03472803347280329,0.033891213389121266,-0.0016736401673638213,0.00794979079497915,0.03723849372384935,0.0702928870292886
17,17,0.7866108786610879,0.7357512953367875,0.7838287488908606,0.9100857734398107,-0.011715481171548081,-0.0313807531380752,-0.038912133891213396,-0.033891213389121266,-0.025104602510460206,0.0008368200836819106,-0.050627615062761366,-0.0004184100418409553
18,18,0.803347280334728,0.7251461988304093,0.7791333924874297,0.9188110026619343,0.020502092050209253,0.005439330543932974,0.041841004184100306,0.023012552301255318,-0.012133891213389147,0.025104602510460317,0.005020920502092019,0.009205020920502016
19,19,0.8493723849372385,0.8085106382978723,0.8450162673765158,0.9334516415261757,0.04853556485355659,0.01966527196652723,0.01380753138075319,0.04811715481171541,0.01380753138075319,0.046025104602510414,0.024267782426778184,0.06401673640167371
20,20,0.8242677824267782,0.7835051546391752,0.8246081041112097,0.9248003549245785,0.008368200836820106,-0.00878661087866106,-0.010041841004184149,0.007531380753138084,-0.025104602510460317,-0.02384937238493723,-0.017154811715481055,-0.007531380753138084
21,21,0.7698744769874477,0.6994535519125683,0.7559893522626442,0.9117125110913931,-0.03933054393305446,-0.04476987447698744,-0.03138075313807542,-0.02175732217573223,-0.025941422594142338,-0.011297071129707126,-0.02092050209205032,-0.04225941422594148
22,22,0.8117154811715481,0.7513812154696132,0.7981366459627328,0.9278320023661638,0.007949790794978928,0.007531380753137973,-0.018410041841004254,-0.018410041841004254,-0.029707112970711158,-0.006694560669456062,-0.011297071129707237,0.0016736401673639323
23,23,0.8075313807531381,0.7325581395348837,0.7845681750961254,0.9395888790298729,0.028451882845188514,0.025941422594142338,0.0004184100418409553,-0.001255230125523088,-0.0033472803347280866,0.005439330543933085,0.005439330543933085,0.010460251046025104
24,24,0.8075313807531381,0.7294117647058823,0.7825347530316474,0.9401804199940845,0.009205020920502127,0.03263598326359851,-0.01882845188284521,0.02175732217573234,-0.020083682008368187,0.0016736401673639323,0.003765690376568931,0.023430962343096273
25,25,0.8158995815899581,0.7471264367816092,0.7954377403135167,0.9310115350488021,0.001255230125522977,0.003765690376568931,0.04644351464435148,0.02845188284518807,-0.00794979079497904,0.006276150627614996,0.00878661087866095,0.010878661087865948
26,26,0.8117154811715481,0.7398843930635838,0.7900029577048211,0.9367790594498668,0.025941422594142338,-0.001255230125523088,0.022175732217573074,0.030125523012552335,0.0,0.0016736401673639323,0.03682008368200851,0.011297071129707126
27,27,0.8158995815899581,0.7471264367816092,0.7954377403135167,0.9017302573203194,0.012133891213388925,0.0058577405857739295,0.006694560669455951,0.004184100418409997,0.0033472803347279756,0.007949790794978928,0.012970711297071169,0.010878661087865948
28,28,0.7740585774058577,0.71875,0.7695578231292517,0.8896036675539781,-0.025523012552301272,-0.0179916317991633,-0.008368200836820106,0.0,-0.008786610878661172,-0.0004184100418409553,-0.005020920502091908,-0.0058577405857740406
29,29,0.8326359832635983,0.7938144329896907,0.833444247264123,0.914226560189293,0.020083682008368187,-0.0071129707112970175,0.006276150627614996,-0.012133891213389147,-0.023430962343096162,0.01589958158995819,0.04644351464435148,-0.022175732217573185
30,30,0.803347280334728,0.745945945945946,0.7933673469387755,0.9179236912156166,-0.0020920502092049986,-0.010041841004184149,-0.012133891213389147,-0.005439330543933196,-0.01966527196652712,-0.012552301255230103,-0.005439330543933196,-0.010041841004184149
31,31,0.803347280334728,0.7374301675977654,0.7872670807453416,0.9361135758651287,0.001255230125522866,-0.016317991631799145,-0.02970711297071127,-0.028451882845188292,-0.018410041841004143,-0.00794979079497915,-0.01589958158995819,-0.008786610878661172
32,32,0.8326359832635983,0.7752808988764045,0.8171768707482994,0.9349304939367051,0.028033472803347115,0.0071129707112970175,0.008368200836819994,0.025941422594142116,0.0008368200836820217,0.019246861924686165,0.01589958158995819,0.01380753138075319
33,33,0.8200836820083682,0.7542857142857143,0.8008725229222123,0.9290150842945873,0.018410041841004254,-0.0029288702928871313,1.1102230246251565e-16,0.001255230125523088,0.002510460251046065,-0.001255230125522977,0.015481171548117234,0.00878661087866106
34,34,0.8284518828451883,0.768361581920904,0.8117420881396036,0.9202898550724637,-0.0029288702928870203,-0.001255230125522977,0.012970711297071169,0.04267782426778244,-0.005439330543932974,0.014644351464435212,0.03472803347280329,0.013389121338912124
