,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
21,21,0.639269406392694,0.6146341463414634,0.6455409106470387,0.7215850736049297,0.23242009132420088,0.05525114155251132,0.008219178082191747,-0.025570776255707806,-0.21689497716894968,0.11552511415525113,0.03013698630136985,0.0474885844748858
22,22,0.821917808219178,0.7607361963190185,0.8015234508729887,0.7412701129750086,0.10456621004566213,0.04292237442922375,0.022831050228310446,0.057077625570776225,0.024200913242009126,0.08675799086757996,0.08675799086757996,0.045205479452054775
23,23,0.7351598173515982,0.6081081081081081,0.7012581307771312,0.9129578911331736,0.009132420091324311,-0.0018264840182647957,-0.017808219178082174,-0.02876712328767117,-0.017808219178082174,0.0182648401826484,0.0018264840182649067,0.008675799086757974
24,24,0.7671232876712328,0.6622516556291391,0.7363060595686408,0.9130434782608696,0.0420091324200913,-0.028310502283105055,-0.03561643835616435,-0.0365296803652968,0.038356164383561486,0.0383561643835616,0.01187214611872145,0.0
25,25,0.7579908675799086,0.6535947712418301,0.7284320438206093,0.7353646011639849,0.1771689497716894,0.03242009132420087,0.021461187214611877,-0.0009132420091325644,-0.021917808219178103,-0.0018264840182649067,0.022831050228310446,0.012785388127853903
26,26,0.7442922374429224,0.631578947368421,0.7136254707292022,0.8506504621704896,-0.0022831050228309113,-0.010958904109588996,-0.021461187214611877,-0.04429223744292232,-0.026940639269406375,0.021917808219178103,0.018721461187214627,0.0
27,27,0.771689497716895,0.6794871794871795,0.7447363916466964,0.7253509072235536,0.09223744292237446,-0.00045662100456611565,-0.011415525114155112,-0.01324200913242013,-0.03698630136986292,0.0018264840182649067,-0.0009132420091323423,1.1102230246251565e-16
28,28,0.7442922374429224,0.6164383561643836,0.7091321465251627,0.8805203697363916,0.03561643835616446,-0.017808219178082174,-0.004109589041095818,-0.039726027397260166,0.031050228310502304,0.002739726027397249,0.026027397260274032,0.02648401826484026
29,29,0.7671232876712328,0.6666666666666666,0.7378038343033209,0.8466278671687777,0.012328767123287565,-0.04474885844748866,-0.057077625570776225,-0.07534246575342474,-0.024200913242009126,0.04337899543378987,0.04337899543378998,0.036073059360730575
30,30,0.7853881278538812,0.6967741935483871,0.7580451900034235,0.8842006162273194,0.011415525114155223,-0.029223744292237508,-0.03150684931506853,-0.04977168949771693,0.018721461187214627,0.06301369863013695,0.07534246575342474,0.030593607305935966
31,31,0.7899543378995434,0.7012987012987013,0.7619821978774393,0.8860835330366313,0.021461187214611877,-0.04611872146118723,-0.04611872146118723,-0.030593607305935966,-0.017351598173515836,0.05479452054794531,0.03150684931506853,0.01963470319634708
32,32,0.867579908675799,0.8432432432432433,0.8648579253680246,0.8958404655939747,0.1931506849315069,0.025570776255707806,0.10091324200913254,0.031963470319634646,-0.01324200913242013,0.10502283105022825,0.1662100456621004,0.09771689497716884
33,33,0.771689497716895,0.6794871794871795,0.7447363916466964,0.9263094830537487,0.05890410958904113,-0.0018264840182647957,-0.005022831050228382,-0.02100456621004565,0.045662100456621,0.03013698630136985,0.022831050228310557,0.0091324200913242
34,34,0.7214611872146118,0.5673758865248227,0.6819582334816844,0.8657993837726807,0.0004566210045662267,-0.022831050228310446,-0.03561643835616435,-0.1059360730593607,-0.028310502283105055,0.014155251141552472,0.014155251141552472,0.018721461187214627
35,35,0.7534246575342466,0.6351351351351351,0.7200017117425539,0.8010099281068128,0.006392694063926951,-0.05022831050228305,-0.03515981735159812,-0.062100456621004385,-0.03424657534246578,0.028310502283105055,0.015525114155251152,0.024200913242009237
36,36,0.6894977168949772,0.5952380952380952,0.6693769257103732,0.7408421773365286,0.3479452054794521,1.1102230246251565e-16,0.025570776255707806,-0.02602739726027392,-0.15936073059360734,0.1497716894977168,0.08447488584474883,0.09863013698630141
37,37,0.7488584474885844,0.6258503401360545,0.7145669291338583,0.78183841150291,0.061187214611872154,0.012785388127853903,0.010045662100456543,0.015068493150684925,-0.0018264840182649067,0.0018264840182647957,0.004566210045662045,0.005022831050228271
38,38,0.7077625570776256,0.5362318840579711,0.6656538856555974,0.9255391989044847,0.0004566210045662267,-0.026940639269406264,-0.03789954337899548,-0.03698630136986292,0.013698630136986245,0.005022831050228382,-0.005936073059360725,0.004109589041095929
39,39,0.7990867579908676,0.725,0.7758473125641904,0.8869394043135912,0.05799086757990868,0.004566210045662267,-0.0009132420091324533,0.01050228310502277,0.0036529680365297024,0.03378995433789944,0.0182648401826484,-0.006392694063926951
40,40,0.7853881278538812,0.6967741935483871,0.7580451900034235,0.7882574460801096,0.08310502283105015,-0.0031963470319635867,-0.007762557077625631,0.0,-0.023287671232876783,0.01324200913242013,0.002739726027397249,0.005936073059360725
41,41,0.8036529680365296,0.7329192546583851,0.781282095172886,0.7829510441629579,0.12146118721461185,0.015068493150684814,-0.0237442922374429,0.0036529680365297024,-0.06803652968036533,0.04155251141552507,0.025570776255707584,0.0657534246575342
42,42,0.7579908675799086,0.6442953020134228,0.7254364943512496,0.827884286203355,0.05342465753424652,0.016438356164383494,0.012785388127853903,0.01050228310502288,-0.0004566210045662267,0.002739726027397249,-0.004109589041095929,0.0036529680365295913
43,43,0.7579908675799086,0.6442953020134228,0.7254364943512496,0.766090380006847,0.06529680365296808,-0.006392694063927062,-0.015068493150685036,0.002739726027397249,0.03196347031963476,-0.0004566210045662267,0.026940639269406375,0.05205479452054784
44,44,0.7579908675799086,0.6442953020134228,0.7254364943512496,0.9062820951728859,0.06073059360730593,0.0036529680365297024,0.005936073059360725,0.016438356164383494,0.034703196347032006,0.002739726027397249,-0.0009132420091323423,0.002739726027397249
45,45,0.776255707762557,0.6838709677419355,0.7486733995207121,0.6831564532694283,0.25433789954337893,0.05479452054794509,0.02602739726027392,0.017351598173515947,-0.045662100456621,0.027853881278538828,0.0675799086757991,0.046575342465753455
46,46,0.8127853881278538,0.7453416149068323,0.7906538856555974,0.7908250599109895,0.06255707762557083,-0.0004566210045663377,-0.005936073059360836,-1.1102230246251565e-16,0.013698630136986245,0.05388127853881286,0.02465753424657524,0.018721461187214627
47,47,0.771689497716895,0.6710526315789473,0.7417408421773366,0.8032351934269086,0.023287671232876783,-0.03561643835616424,-0.043835616438356206,-0.04474885844748866,-0.0420091324200913,0.05753424657534245,0.061187214611872265,0.02237442922374433
48,48,0.730593607305936,0.5874125874125874,0.6928277986990756,0.8934440260184868,-0.006392694063926951,-0.02511415525114158,-0.04109589041095896,-0.036073059360730686,-0.015068493150685036,0.013242009132420018,0.01963470319634697,0.015068493150684814
49,49,0.7123287671232876,0.5467625899280576,0.671088668264293,0.7395583704210886,0.016438356164383494,0.0022831050228310223,-0.020091324200913308,-0.01598173515981738,-0.0091324200913242,-0.004566210045662267,0.005022831050228271,-0.03515981735159812
50,50,0.7534246575342466,0.6301369863013698,0.7185039370078741,0.7117425539198904,0.09771689497716884,0.005479452054794609,-0.023287671232876672,-0.021917808219178103,-0.07442922374429228,0.04931506849315059,0.01735159817351606,-0.0022831050228310223
51,51,0.8036529680365296,0.7393939393939394,0.7842776446422457,0.7828654570352619,0.054337899543378976,-0.001369863013698569,-0.001369863013698569,-0.0091324200913242,-0.06164383561643838,0.021917808219178103,0.052968036529680296,0.016438356164383494
