,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled
97,97,0.72,0.6956521739130435,0.7296502124877411,0.817097090552468,0.2991111111111111
98,98,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8147270349787513,0.2973333333333333
99,99,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8140732265446224,0.2964444444444445
100,100,0.72,0.6956521739130435,0.7296502124877411,0.8103138280483819,0.3004444444444444
101,101,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8103138280483817,0.27733333333333343
102,102,0.72,0.6956521739130435,0.7296502124877411,0.8144818568159531,0.30533333333333335
103,103,0.72,0.6956521739130435,0.7296502124877411,0.819385420071919,0.3031111111111111
104,104,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8085158548545277,0.29777777777777775
105,105,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8123569794050343,0.2986666666666667
106,106,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.808842759071592,0.29555555555555557
107,107,0.72,0.6956521739130435,0.7296502124877411,0.8179960771493952,0.3071111111111111
108,108,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8134194181104936,0.28755555555555556
109,109,0.72,0.6956521739130435,0.7296502124877411,0.8136645962732921,0.29733333333333334
110,110,0.7244444444444444,0.7019230769230769,0.7350849950964367,0.8239620791108204,0.31022222222222223
111,111,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8144001307616869,0.2928888888888889
112,112,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8117031709709055,0.28577777777777774
113,113,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8117848970251716,0.2804444444444445
114,114,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8093331153971886,0.2911111111111112
115,115,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8107224583197123,0.29600000000000004
116,116,0.72,0.6956521739130435,0.7296502124877411,0.8170153644982021,0.29777777777777775
117,117,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8141549525988885,0.29244444444444434
118,118,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8162798300098071,0.28800000000000003
119,119,0.72,0.6956521739130435,0.7296502124877411,0.8179143510951291,0.30799999999999994
120,120,0.7288888888888889,0.7053140096618358,0.7388443935926774,0.8257600523046748,0.3031111111111111
121,121,0.72,0.6956521739130435,0.7296502124877411,0.823471722785224,0.2968888888888888
122,122,0.72,0.6956521739130435,0.7296502124877411,0.8197123242889834,0.29244444444444445
123,123,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8092922523700555,0.296
124,124,0.72,0.6956521739130435,0.7296502124877411,0.8228179143510951,0.30133333333333334
125,125,0.72,0.6956521739130435,0.7296502124877411,0.8155442955214123,0.3071111111111111
126,126,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8097417456685192,0.2871111111111111
127,127,0.72,0.6956521739130435,0.7296502124877411,0.8184047074207258,0.3026666666666666
128,128,0.7244444444444444,0.7019230769230769,0.7350849950964367,0.8261686825760052,0.30133333333333334
129,129,0.7288888888888889,0.6934673366834171,0.7321428571428572,0.8087610330173258,0.3013333333333334
130,130,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8099869238313174,0.28933333333333333
131,131,0.72,0.6956521739130435,0.7296502124877411,0.8162798300098072,0.3066666666666667
132,132,0.72,0.6956521739130435,0.7296502124877411,0.8155442955214123,0.3084444444444444
133,133,0.72,0.6956521739130435,0.7296502124877411,0.8237986270022883,0.30222222222222217
134,134,0.72,0.6956521739130435,0.7296502124877411,0.8184047074207258,0.30133333333333334
135,135,0.72,0.6956521739130435,0.7296502124877411,0.8188950637463223,0.29999999999999993
136,136,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8112128146453089,0.2884444444444445
137,137,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8133376920562274,0.29422222222222216
138,138,0.72,0.6956521739130435,0.7296502124877411,0.8183229813664596,0.29599999999999993
139,139,0.72,0.6956521739130435,0.7296502124877411,0.8228179143510951,0.29599999999999993
140,140,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.806309251389343,0.2946666666666667
141,141,0.72,0.6956521739130435,0.7296502124877411,0.8205295848316443,0.3008888888888889
142,142,0.72,0.6956521739130435,0.7296502124877411,0.8193036940176529,0.29244444444444445
143,143,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8077803203661327,0.2853333333333333
144,144,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8126838836220986,0.29733333333333334
145,145,0.72,0.6926829268292682,0.727974828375286,0.81203007518797,0.30177777777777764
146,146,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8161163779012749,0.30311111111111116
147,147,0.72,0.6956521739130435,0.7296502124877411,0.8171788166067342,0.2995555555555555
148,148,0.72,0.6956521739130435,0.7296502124877411,0.8163615560640732,0.2946666666666666
149,149,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8144001307616868,0.2924444444444444
150,150,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8141549525988886,0.2804444444444445
151,151,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8112945406995751,0.29377777777777775
152,152,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8112128146453089,0.2924444444444444
153,153,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8132559660019614,0.2911111111111111
154,154,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8175057208237987,0.29511111111111105
155,155,0.72,0.6956521739130435,0.7296502124877411,0.8233082706766918,0.30399999999999994
156,156,0.72,0.6956521739130435,0.7296502124877411,0.8175057208237986,0.30133333333333334
