,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled
72,72,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8361392611964693,0.416
73,73,0.7333333333333333,0.7115384615384616,0.744279176201373,0.7978097417456685,0.28622222222222216
74,74,0.7866666666666666,0.7551020408163265,0.7893919581562603,0.8280483818241255,0.3631111111111111
75,75,0.8444444444444444,0.7928994082840237,0.8265364498202027,0.8700555737169009,0.39955555555555555
76,76,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8314808761033019,0.42800000000000005
77,77,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8355671788166067,0.42088888888888887
78,78,0.68,0.6635514018691588,0.6941402419091206,0.7837528604118993,0.23377777777777786
79,79,0.7688888888888888,0.7425742574257426,0.7760297482837528,0.8363844393592679,0.3368888888888888
80,80,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8359758090879372,0.43288888888888893
81,81,0.7955555555555556,0.77,0.8019369074861066,0.8493788819875776,0.37244444444444447
82,82,0.7822222222222223,0.7586206896551724,0.7906587119973848,0.839816933638444,0.35244444444444445
83,83,0.8577777777777778,0.8181818181818182,0.8461915658711998,0.9086302713305001,0.41066666666666657
84,84,0.7733333333333333,0.746268656716418,0.7797891467799934,0.8247793396534815,0.3631111111111111
85,85,0.7066666666666667,0.7,0.7267489375612946,0.793314808761033,0.28444444444444444
86,86,0.7288888888888889,0.7162790697674418,0.7455459300424976,0.8059823471722785,0.31155555555555564
87,87,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8348316443282118,0.4111111111111111
88,88,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8376103301732593,0.4311111111111111
89,89,0.7155555555555555,0.7090909090909091,0.7359431186662309,0.8021412226217718,0.299111111111111
90,90,0.8533333333333334,0.8156424581005587,0.8441075514874141,0.8295194508009153,0.4257777777777778
91,91,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8372834259561949,0.41644444444444445
92,92,0.88,0.8540540540540541,0.8767162471395882,0.8890977443609024,0.4524444444444444
93,93,0.7688888888888888,0.74,0.7743543641712978,0.8173422687152664,0.3542222222222222
94,94,0.8311111111111111,0.7978723404255319,0.8286613272311212,0.8318077803203661,0.40800000000000003
95,95,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8340143837855507,0.41733333333333333
96,96,0.6977777777777778,0.6936936936936937,0.7192301405688133,0.7708401438378556,0.28622222222222227
97,97,0.7022222222222222,0.6995515695067265,0.724664923177509,0.7780320366132724,0.27022222222222225
98,98,0.8266666666666667,0.7958115183246073,0.8265773128473357,0.8543641712978097,0.3906666666666667
99,99,0.7866666666666666,0.7551020408163265,0.7893919581562603,0.8414514547237659,0.3533333333333332
100,100,0.8488888888888889,0.8282828282828283,0.855426610003269,0.870954560313828,0.43733333333333335
101,101,0.8177777777777778,0.7918781725888325,0.8224092840797645,0.8664596273291925,0.38622222222222224
102,102,0.7866666666666666,0.76,0.7927427263811704,0.8449656750572082,0.3644444444444444
103,103,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8313174239947695,0.42799999999999994
104,104,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.8899967309578294,0.4435555555555555
105,105,0.8444444444444444,0.7928994082840237,0.8265364498202027,0.8857469761359921,0.32800000000000007
106,106,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8342595619483493,0.4288888888888889
107,107,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8345047401111474,0.4208888888888889
108,108,0.8444444444444444,0.8087431693989071,0.838264138607388,0.8327884929715592,0.41733333333333333
109,109,0.7022222222222222,0.6968325791855203,0.722989539065054,0.7713305001634522,0.27422222222222215
110,110,0.7955555555555556,0.7325581395348837,0.7784815299117358,0.8694017652827721,0.3551111111111112
111,111,0.8622222222222222,0.8248587570621468,0.8516263484798954,0.8322981366459627,0.436
112,112,0.8533333333333334,0.8156424581005587,0.8441075514874141,0.8899150049035632,0.4097777777777778
113,113,0.7155555555555555,0.7142857142857143,0.739293886891141,0.7839163125204316,0.295111111111111
114,114,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8324615887544949,0.42488888888888887
115,115,0.84,0.8043478260869565,0.8345047401111474,0.8309905197777052,0.4151111111111111
