,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled
53,53,0.7442922374429224,0.7307692307692307,0.7555631633002396,0.8633173570694969,0.29634703196347034
54,54,0.8721461187214612,0.8478260869565217,0.8687949332420404,0.9072235535775419,0.4465753424657535
55,55,0.6986301369863014,0.7053571428571429,0.7206864087641218,0.8260869565217391,0.25981735159817365
56,56,0.7488584474885844,0.7342995169082126,0.7595001711742554,0.8679390619650804,0.32831050228310504
57,57,0.6484018264840182,0.6577777777777778,0.6698904484765491,0.781752824375214,0.2095890410958905
58,58,0.730593607305936,0.7230046948356808,0.7452499144128724,0.8343889079082506,0.30593607305936066
59,59,0.7397260273972602,0.7373271889400922,0.7576172543649435,0.8839438548442314,0.30456621004566203
60,60,0.8493150684931506,0.819672131147541,0.844616569667922,0.9416295789113317,0.4027397260273972
61,61,0.7123287671232876,0.7149321266968326,0.7324974323861692,0.8696508045190003,0.29406392694063926
62,62,0.8036529680365296,0.7772020725388601,0.8052464909277645,0.8841150290996234,0.3780821917808219
63,63,0.6940639269406392,0.6912442396313364,0.7107583019513866,0.7986134885313249,0.2442922374429224
64,64,0.776255707762557,0.7537688442211056,0.7816244436836699,0.876326600479288,0.34657534246575344
65,65,0.639269406392694,0.6694560669456067,0.671003081136597,0.7446935980828483,0.2118721461187214
66,66,0.7899543378995434,0.7653061224489796,0.7934354673057171,0.8626326600479288,0.3452054794520549
67,67,0.7534246575342466,0.7272727272727273,0.7574460801095515,0.8533892502567613,0.30365296803652964
68,68,0.821917808219178,0.7745664739884393,0.8090123245463883,0.9106470386853817,0.3726027397260273
69,69,0.6529680365296804,0.6576576576576577,0.672329681615885,0.8377268058883943,0.21780821917808224
70,70,0.7899543378995434,0.7722772277227723,0.7979287915097569,0.9010612803834303,0.349771689497717
71,71,0.7579908675799086,0.7225130890052356,0.7568897637795275,0.8564703868538172,0.32511415525114157
72,72,0.8721461187214612,0.8461538461538461,0.8672971585073606,0.8877952755905512,0.4255707762557078
73,73,0.7671232876712328,0.751219512195122,0.7767459774049983,0.87264635398836,0.3210045662100457
74,74,0.7990867579908676,0.7843137254901961,0.8087983567271482,0.9030297843204381,0.3680365296803653
75,75,0.7534246575342466,0.73,0.7589438548442314,0.8682814104758644,0.31324200913242006
76,76,0.7671232876712328,0.7559808612440191,0.7797415268743582,0.8844573776104074,0.3429223744292238
77,77,0.7488584474885844,0.7342995169082126,0.7595001711742554,0.8153885655597399,0.3136986301369863
78,78,0.730593607305936,0.7255813953488373,0.7467476891475522,0.8550154056829853,0.2876712328767123
79,79,0.7534246575342466,0.7428571428571429,0.7664327285176309,0.9023450872988702,0.31050228310502287
80,80,0.7625570776255708,0.7475728155339806,0.7728089695309825,0.8794077370763438,0.33287671232876714
81,81,0.5844748858447488,0.5727699530516432,0.5953012666894899,0.7497432386169119,0.13835616438356163
82,82,0.7945205479452054,0.7761194029850746,0.8018657993837727,0.891903457719959,0.34566210045662094
83,83,0.776255707762557,0.7699530516431925,0.7921088668264293,0.8977233824032865,0.32420091324200917
84,84,0.8858447488584474,0.8677248677248677,0.8865970558028072,0.9213454296473811,0.4410958904109588
85,85,0.7351598173515982,0.7156862745098039,0.7431958233481684,0.8879664498459432,0.3068493150684932
86,86,0.7899543378995434,0.7745098039215687,0.7994265662444369,0.9071379664498459,0.3538812785388128
87,87,0.7671232876712328,0.7559808612440191,0.7797415268743582,0.876241013351592,0.3242009132420091
88,88,0.6757990867579908,0.6872246696035242,0.6995035946593633,0.7699418007531668,0.22511415525114153
89,89,0.7534246575342466,0.7476635514018691,0.7694282779869908,0.812221841834988,0.3223744292237443
90,90,0.6894977168949772,0.6761904761904762,0.7008301951386511,0.812906538856556,0.2424657534246576
91,91,0.7397260273972602,0.7272727272727273,0.7516261554262239,0.8465422800410818,0.3095890410958904
92,92,0.5844748858447488,0.631578947368421,0.6207634371790482,0.8279698733310511,0.14931506849315068
93,93,0.726027397260274,0.7247706422018348,0.7443084560082164,0.8924169804861348,0.29041095890410956
94,94,0.684931506849315,0.6790697674418604,0.6998887367339952,0.8144471071550837,0.2589041095890411
95,95,0.7168949771689498,0.7155963302752294,0.734936665525505,0.8514207463197535,0.2776255707762557
96,96,0.7488584474885844,0.729064039408867,0.7565046217048956,0.8524477918521054,0.29817351598173514
97,97,0.6940639269406392,0.7022222222222222,0.7167494008901061,0.873844573776104,0.2621004566210046
98,98,0.8082191780821918,0.7878787878787878,0.8136768230058199,0.8920746319753509,0.3716894977168951
99,99,0.7442922374429224,0.7307692307692307,0.7555631633002396,0.8950701814447106,0.31643835616438354
100,100,0.730593607305936,0.7177033492822966,0.7422543649435125,0.8661417322834646,0.2917808219178083
101,101,0.726027397260274,0.7142857142857143,0.7383173570694967,0.857925368024649,0.30045662100456627
102,102,0.7625570776255708,0.7523809523809524,0.7758045190003424,0.8950701814447107,0.33013698630136995
103,103,0.6529680365296804,0.6607142857142857,0.6738274563505648,0.8055460458747004,0.21643835616438356
104,104,0.8812785388127854,0.8555555555555555,0.875171174255392,0.9136425881547415,0.44931506849315067
105,105,0.7534246575342466,0.7403846153846154,0.7649349537829511,0.8674255391989045,0.3009132420091325
106,106,0.6757990867579908,0.6728110599078341,0.6920147209859637,0.8301951386511468,0.23333333333333334
107,107,0.726027397260274,0.7297297297297297,0.7473040054775761,0.9034577199589183,0.2817351598173517
108,108,0.7534246575342466,0.7378640776699029,0.7634371790482711,0.8713625470729203,0.31917808219178084
109,109,0.8949771689497716,0.8783068783068783,0.8959688462855186,0.9092776446422458,0.4621004566210046
110,110,0.7945205479452054,0.7692307692307693,0.7973724751797329,0.8859979459089352,0.3410958904109589
111,111,0.7990867579908676,0.7777777777777778,0.8043050325231085,0.8823176994180075,0.36392694063926945
112,112,0.684931506849315,0.6790697674418604,0.6998887367339952,0.8064019171516603,0.24383561643835616
113,113,0.7168949771689498,0.7129629629629629,0.7334388907908251,0.8788086271824718,0.2812785388127854
114,114,0.726027397260274,0.7247706422018348,0.7443084560082164,0.8830879835672715,0.2894977168949773
115,115,0.6940639269406392,0.6214689265536724,0.6808028072577884,0.8263437179048271,0.23333333333333328
116,116,0.726027397260274,0.7087378640776699,0.7353218076001369,0.8251454981170832,0.2748858447488586
117,117,0.8036529680365296,0.7817258883248731,0.8082420403971242,0.9048271140020541,0.36438356164383556
118,118,0.8447488584474886,0.8068181818181818,0.8346884628551865,0.9031153714481343,0.40821917808219177
119,119,0.821917808219178,0.8,0.8254878466278672,0.906282095172886,0.3835616438356164
120,120,0.8584474885844748,0.8228571428571428,0.8479972612119138,0.9136425881547415,0.40639269406392686
121,121,0.8584474885844748,0.8248587570621468,0.8494950359465936,0.9146696336870934,0.4337899543378996
122,122,0.6940639269406392,0.7074235807860262,0.719744950359466,0.8987504279356384,0.26575342465753427
123,123,0.730593607305936,0.714975845410628,0.7407565902088327,0.8628894214310168,0.2904109589041096
124,124,0.7625570776255708,0.75,0.7743067442656624,0.8565559739815132,0.3305936073059362
125,125,0.8356164383561644,0.8021978021978022,0.8298099965765149,0.8926737418692229,0.4
126,126,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9142416980486135,0.4287671232876713
127,127,0.7077625570776256,0.7117117117117117,0.7285604245121534,0.8540739472783293,0.2662100456621005
128,128,0.726027397260274,0.7142857142857143,0.7383173570694967,0.8560424512153373,0.28721461187214625
