,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
23,23,0.8565737051792829,0.8125,0.854730653541154,0.9522149302707137,0.0019920318725099584,0.015537848605577609,-0.006772908366533881,-0.0063745019920318224,-0.006772908366533881,-0.008764940239043728,0.0007968127490040056,-0.02908366533864537,-0.008764940239043728,-0.013944223107569709,0.015537848605577609,-0.007569721115537886
24,24,0.8725099601593626,0.8476190476190476,0.8925006836204539,0.9521465682253214,0.014342629482071767,0.01035856573705185,0.00836653386454178,0.00836653386454178,0.02390438247011961,-0.007968127490039723,-0.016334661354581725,-0.005577689243027817,-0.005976095617529875,0.025498007968127512,-0.0007968127490038945,0.011155378486055856
25,25,0.8565737051792829,0.8105263157894737,0.8524405250205087,0.9339622641509434,0.004382470119521864,0.03984063745019928,0.04143426294820718,0.042231075697211184,-0.013944223107569709,-0.0063745019920318224,-0.002788844621513964,-0.003984063745019806,-0.02908366533864537,1.1102230246251565e-16,0.01872509960159363,-0.009561752988047734
26,26,0.8406374501992032,0.782608695652174,0.8284112660650806,0.9459256220946132,0.023505976095617664,0.037051792828685426,0.014741035856573714,0.0019920318725099584,0.016334661354581614,-0.00517928286852587,0.0015936254980080111,-0.0011952191235059528,-0.021912350597609542,-0.007171314741035828,0.02111553784860576,-0.009163346613545786
27,27,0.900398406374502,0.8691099476439791,0.9007724911129341,0.9745009570686356,0.00039840637450194727,0.02788844621513953,0.005976095617529875,0.02071713147410359,0.005179282868526092,0.00039840637450194727,0.02788844621513953,-0.016334661354581503,-0.007968127490039723,-0.005976095617529764,0.009561752988047845,-0.005976095617529875
28,28,0.8207171314741036,0.7715736040609137,0.8218485097074104,0.9365600218758545,-0.007569721115537886,0.014741035856573825,0.0063745019920319335,0.006772908366533881,-0.0003984063745020583,-0.014741035856573714,0.0063745019920319335,-0.012350597609561809,-0.02231075697211149,-0.008764940239043728,-0.007569721115537886,0.005179282868526092
29,29,0.8645418326693227,0.8152173913043478,0.8541495761553186,0.9444900191413728,0.015936254980079778,0.03984063745019928,0.03067729083665338,0.028286852589641365,0.008764940239043839,0.015537848605577609,-0.0015936254980079,0.012749003984063756,-0.01673306772908356,-0.002788844621513964,0.0063745019920319335,0.023107569721115606
30,30,0.8565737051792829,0.8064516129032258,0.847860267979218,0.9600765654908395,-0.0011952191235059528,0.011553784860557692,0.005976095617529875,0.00517928286852587,0.015139442231075773,-0.006772908366533881,0.0035856573705178585,0.0007968127490040056,-0.009561752988047734,-0.039442231075697,-0.009960159362549792,-0.0035856573705179695
31,31,0.8446215139442231,0.7845303867403315,0.8292657916324857,0.9406617445993984,0.017529880478087678,-0.01195219123505964,0.028685258964143423,0.04063745019920317,-0.0011952191235059528,-0.014342629482071656,-0.009561752988047734,-0.01713147410358562,-0.02908366533864537,-0.023107569721115495,0.027091633466135523,0.013944223107569709
32,32,0.8685258964143426,0.8390243902439024,0.8824856439704676,0.9515996718621822,0.0031872509960160222,0.015537848605577609,-0.003984063745019806,0.003984063745020028,0.01713147410358562,-0.01035856573705174,0.00039840637450194727,-0.009561752988047734,0.013147410358565703,0.005577689243027928,0.019920318725099695,0.03266932270916334
33,33,0.8884462151394422,0.8526315789473684,0.8867582718074924,0.959119496855346,-0.003984063745019806,0.00836653386454178,-0.02071713147410348,0.007968127490039945,-0.009561752988047734,0.025498007968127512,-0.002788844621513964,-0.005976095617529875,-0.0063745019920318224,-0.009163346613545675,-0.004780876494023811,0.00517928286852587
34,34,0.8446215139442231,0.7845303867403315,0.8292657916324857,0.9470877768662839,0.003984063745020028,0.026693227091633465,0.013147410358565703,-0.007968127490039723,-0.01195219123505964,-0.0031872509960159112,-0.007171314741035828,0.004780876494023922,-0.029880478087649376,-0.0011952191235059528,0.002788844621513964,0.025099601593625676
35,35,0.8087649402390438,0.7303370786516854,0.7872231337161608,0.9190593382554006,0.03545816733067719,0.007569721115537886,-0.007968127490039834,-0.0223107569721116,-0.030677290836653492,-0.015537848605577831,0.006772908366533881,0.014342629482071656,-0.007171314741035939,-0.009960159362549792,-0.008366533864542003,-0.015139442231075773
36,36,0.8406374501992032,0.7727272727272727,0.8192507519824993,0.9416871752802844,0.014342629482071767,0.02071713147410359,0.012749003984063756,0.02788844621513953,0.00039840637450194727,0.011553784860557692,0.02390438247011961,0.0023904382470120167,-0.017928286852589626,0.004382470119521864,0.02071713147410359,0.014342629482071767
37,37,0.8446215139442231,0.8059701492537313,0.8521670768389391,0.9581624282198524,0.009163346613545786,-0.0023904382470119057,-0.028286852589641476,0.0011952191235059528,-0.0011952191235059528,-0.03187250996015922,-0.00517928286852587,-0.0003984063745020583,-0.028286852589641476,-0.004382470119521975,-0.0031872509960159112,-0.055378486055776666
38,38,0.8764940239043825,0.8324324324324325,0.8681637954607602,0.9576155318567132,0.00517928286852587,0.04860557768924301,0.019920318725099695,0.01035856573705185,0.014342629482071767,-0.003984063745019806,0.004382470119521864,0.0007968127490040056,-0.02031872509960142,0.0023904382470120167,-0.0019920318725099584,0.012749003984063756
39,39,0.8326693227091634,0.7558139534883721,0.8060910582444627,0.9321164889253487,0.03107569721115544,0.015537848605577831,0.005179282868526092,0.015537848605577609,0.01394422310756982,-0.0007968127490038945,-0.018326693227091573,-0.0011952191235059528,-0.03824701195219116,0.00039840637450194727,-0.01553784860557772,-0.0063745019920318224
40,40,0.8326693227091634,0.7307692307692307,0.7877700300793,0.9425075198249931,0.038645418326693215,0.015537848605577609,0.02111553784860576,0.009163346613545786,-0.023107569721115495,0.025099601593625454,0.02589641434262957,0.018725099601593742,0.004780876494023922,0.0011952191235059528,0.009960159362549792,0.005577689243027928
41,41,0.8087649402390438,0.7419354838709677,0.7963836477987422,0.9455154498222588,-0.0239043824701195,-0.0035856573705178585,-0.01713147410358573,0.01195219123505975,-0.047410358565737165,-0.04342629482071725,-0.02430278884462167,-0.0330677290836654,-0.044223107569721254,-0.012749003984063756,-0.054183266932270935,-0.015537848605577831
42,42,0.852589641434263,0.8082901554404145,0.8515859994531036,0.9489335520918787,0.0011952191235059528,0.005577689243027928,0.02908366533864537,0.022709163346613548,-0.021115537848605537,-0.015936254980079556,-0.009163346613545786,1.1102230246251565e-16,-0.02231075697211149,0.015537848605577609,0.023505976095617442,-0.02430278884462156
43,43,0.8326693227091634,0.7640449438202247,0.8129614438063987,0.9369701941482089,0.013147410358565703,0.01912350597609569,0.018326693227091684,0.03665338645418326,-0.023107569721115495,0.00039840637450194727,-0.006772908366533881,-0.016334661354581725,-0.023107569721115495,-0.03824701195219116,-0.03227091633466139,0.019521912350597748
