,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
67,67,0.6334661354581673,0.061224489795918366,0.506870385561936,0.8757178014766202,-0.0015936254980080111,-0.002788844621513964,-1.1102230246251565e-16,-0.002788844621513964
68,68,0.6334661354581673,0.0,0.5,0.9103089964451736,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
69,69,0.6733067729083665,0.19607843137254902,0.5543478260869565,0.9493437243642331,0.007569721115537775,0.013944223107569598,0.017529880478087567,0.033466135458167234
70,70,0.6334661354581673,0.0,0.5,0.9165299425758818,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
71,71,0.6334661354581673,0.0,0.5,0.9423707957342085,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
72,72,0.8326693227091634,0.7857142857142857,0.8335726004922068,0.8597894449001914,0.04820717131474106,0.02788844621513953,0.021513944223107595,0.028685258964143423
73,73,0.852589641434263,0.8262910798122066,0.874487284659557,0.9161197703035275,0.0916334661354582,0.0019920318725099584,0.015936254980079778,0.0031872509960160222
74,74,0.6334661354581673,0.0,0.5,0.9291769209734756,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
75,75,0.8884462151394422,0.8666666666666667,0.9096595570139459,0.9695788898003829,0.022709163346613548,0.28007968127490035,0.1681274900398405,0.29243027888446205
76,76,0.6334661354581673,0.0,0.5,0.8921930544161881,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
77,77,0.852589641434263,0.8195121951219512,0.8653267705769756,0.8901421930544162,0.08565737051792832,0.005976095617529875,0.012350597609561698,0.0035856573705178585
78,78,0.8286852589641435,0.7485380116959064,0.800656275635767,0.9438063986874488,0.07290836653386457,0.020318725099601753,0.006772908366533881,-0.0007968127490038945
79,79,0.848605577689243,0.8137254901960784,0.85989198796828,0.870385561936013,0.11593625498007964,0.026693227091633576,0.01912350597609569,0.03426294820717135
80,80,0.8605577689243028,0.8341232227488151,0.8807765928356577,0.9503007929997266,0.09521912350597606,0.011155378486055856,-0.003984063745019806,0.03904382470119527
81,81,0.8565737051792829,0.8269230769230769,0.8730516817063168,0.8539103089964453,0.144223107569721,0.0007968127490040056,0.013545816733067761,0.011553784860557692
82,82,0.852589641434263,0.8262910798122066,0.874487284659557,0.8419469510527756,0.16454183266932265,0.08525896414342626,0.006772908366533881,0.03306772908366529
83,83,0.8326693227091634,0.7692307692307693,0.8175417008476894,0.9303390757451464,0.11912350597609556,0.013147410358565703,0.019920318725099695,0.00836653386454178
84,84,0.8446215139442231,0.8097560975609757,0.8567473338802297,0.8472791905933825,0.1270916334661354,0.0015936254980080111,0.00039840637450194727,0.008764940239043839
85,85,0.6334661354581673,0.0,0.5,0.8514492753623188,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
86,86,0.6334661354581673,0.0,0.5,0.9300656275635767,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
