,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled
117,117,0.6334661354581673,0.0,0.5,0.9194353295050588,-1.1102230246251565e-16
118,118,0.6334661354581673,0.0,0.5,0.9228534317746787,-1.1102230246251565e-16
119,119,0.6334661354581673,0.0,0.5,0.9114711512168444,-1.1102230246251565e-16
120,120,0.6334661354581673,0.0,0.5,0.914820891441072,-1.1102230246251565e-16
121,121,0.6334661354581673,0.0,0.5,0.917076838939021,-1.1102230246251565e-16
122,122,0.6334661354581673,0.0,0.5,0.9134878315559202,-1.1102230246251565e-16
123,123,0.6334661354581673,0.0,0.5,0.9127016680339076,-1.1102230246251565e-16
124,124,0.6334661354581673,0.0,0.5,0.9052502050861362,-1.1102230246251565e-16
125,125,0.6334661354581673,0.0,0.5,0.9093861088323764,-1.1102230246251565e-16
126,126,0.6334661354581673,0.0,0.5,0.9111977030352748,-1.1102230246251565e-16
127,127,0.6334661354581673,0.0,0.5,0.9124624008750343,-1.1102230246251565e-16
128,128,0.6334661354581673,0.0,0.5,0.9210760185944764,-1.1102230246251565e-16
129,129,0.6334661354581673,0.0,0.5,0.918956795187312,-1.1102230246251565e-16
130,130,0.6334661354581673,0.0,0.5,0.9079505058791358,-1.1102230246251565e-16
131,131,0.6334661354581673,0.0,0.5,0.918273174733388,-1.1102230246251565e-16
132,132,0.6334661354581673,0.0,0.5,0.9164615805304894,-1.1102230246251565e-16
133,133,0.6334661354581673,0.0,0.5,0.9197771397320209,-1.1102230246251565e-16
134,134,0.6334661354581673,0.0,0.5,0.9277413180202352,-1.1102230246251565e-16
135,135,0.6334661354581673,0.0,0.5,0.9159830462127428,-1.1102230246251565e-16
136,136,0.6334661354581673,0.0,0.5,0.9200505879135905,-1.1102230246251565e-16
137,137,0.6334661354581673,0.0,0.5,0.9161881323489199,-1.1102230246251565e-16
138,138,0.6334661354581673,0.0,0.5,0.9222381733661471,-1.1102230246251565e-16
139,139,0.6334661354581673,0.0,0.5,0.815422477440525,-1.1102230246251565e-16
140,140,0.6334661354581673,0.0,0.5,0.9148208914410719,-1.1102230246251565e-16
141,141,0.6334661354581673,0.0,0.5,0.9254853705222861,-1.1102230246251565e-16
142,142,0.6334661354581673,0.0,0.5,0.9032677057697567,-1.1102230246251565e-16
143,143,0.6334661354581673,0.0,0.5,0.8953377085042384,-1.1102230246251565e-16
144,144,0.6334661354581673,0.0,0.5,0.9085315832649713,-1.1102230246251565e-16
145,145,0.6334661354581673,0.0,0.5,0.90179792179382,-1.1102230246251565e-16
146,146,0.6334661354581673,0.0,0.5,0.9053185671315286,-1.1102230246251565e-16
147,147,0.6334661354581673,0.0,0.5,0.8748974569319115,-1.1102230246251565e-16
148,148,0.6334661354581673,0.0,0.5,0.9197429587093245,-1.1102230246251565e-16
149,149,0.6334661354581673,0.0,0.5,0.9109926168990976,-1.1102230246251565e-16
150,150,0.6334661354581673,0.0,0.5,0.9136929176920974,-1.1102230246251565e-16
151,151,0.6334661354581673,0.0,0.5,0.9201873120043751,-1.1102230246251565e-16
152,152,0.6334661354581673,0.0,0.5,0.9098988241728192,-1.1102230246251565e-16
153,153,0.6334661354581673,0.0,0.5,0.8862797374897456,-1.1102230246251565e-16
154,154,0.6334661354581673,0.0,0.5,0.913111840306262,-1.1102230246251565e-16
155,155,0.6334661354581673,0.0,0.5,0.8568156959256221,-1.1102230246251565e-16
156,156,0.6334661354581673,0.0,0.5,0.9242548537052229,-1.1102230246251565e-16
157,157,0.6334661354581673,0.0,0.5,0.8951326223680613,-1.1102230246251565e-16
158,158,0.6334661354581673,0.0,0.5,0.913795460760186,-1.1102230246251565e-16
159,159,0.6334661354581673,0.0,0.5,0.9107191687175281,-1.1102230246251565e-16
160,160,0.6334661354581673,0.0,0.5,0.9089417555373256,-1.1102230246251565e-16
161,161,0.6334661354581673,0.0,0.5,0.9112660650806671,-1.1102230246251565e-16
162,162,0.6334661354581673,0.0,0.5,0.9263740771123872,-1.1102230246251565e-16
163,163,0.6334661354581673,0.0,0.5,0.907813781788351,-1.1102230246251565e-16
164,164,0.6334661354581673,0.0,0.5,0.9163932184850971,-1.1102230246251565e-16
165,165,0.6334661354581673,0.0,0.5,0.8678903472791907,-1.1102230246251565e-16
166,166,0.6334661354581673,0.0,0.5,0.9194353295050588,-1.1102230246251565e-16
167,167,0.6334661354581673,0.0,0.5,0.9175211922340716,-1.1102230246251565e-16
168,168,0.6334661354581673,0.0,0.5,0.9208709324582992,-1.1102230246251565e-16
169,169,0.6334661354581673,0.0,0.5,0.9113002461033634,-1.1102230246251565e-16
170,170,0.6334661354581673,0.0,0.5,0.9168375717801477,-1.1102230246251565e-16
171,171,0.6334661354581673,0.0,0.5,0.9217938200710966,-1.1102230246251565e-16
172,172,0.6334661354581673,0.0,0.5,0.9143765381460213,-1.1102230246251565e-16
173,173,0.6334661354581673,0.0,0.5,0.9158463221219579,-1.1102230246251565e-16
174,174,0.6334661354581673,0.0,0.5,0.9212811047306535,-1.1102230246251565e-16
175,175,0.6334661354581673,0.0,0.5,0.9093861088323762,-1.1102230246251565e-16
176,176,0.6334661354581673,0.0,0.5,0.9200847689362867,-1.1102230246251565e-16
177,177,0.6334661354581673,0.0,0.5,0.9161197703035275,-1.1102230246251565e-16
178,178,0.6334661354581673,0.0,0.5,0.917931364506426,-1.1102230246251565e-16
179,179,0.6334661354581673,0.0,0.5,0.9247333880229696,-1.1102230246251565e-16
180,180,0.6334661354581673,0.0,0.5,0.923776319387476,-1.1102230246251565e-16
181,181,0.6334661354581673,0.0,0.5,0.901285206453377,-1.1102230246251565e-16
182,182,0.6334661354581673,0.0,0.5,0.9251093792726279,-1.1102230246251565e-16
183,183,0.6334661354581673,0.0,0.5,0.9153677878042111,-1.1102230246251565e-16
184,184,0.6334661354581673,0.0,0.5,0.9107533497402241,-1.1102230246251565e-16
185,185,0.6334661354581673,0.0,0.5,0.921691277003008,-1.1102230246251565e-16
186,186,0.6334661354581673,0.0,0.5,0.91447908121411,-1.1102230246251565e-16
187,187,0.6334661354581673,0.0,0.5,0.9137612797374898,-1.1102230246251565e-16
188,188,0.6334661354581673,0.0,0.5,0.9184098988241728,-1.1102230246251565e-16
189,189,0.6334661354581673,0.0,0.5,0.9212811047306535,-1.1102230246251565e-16
190,190,0.6334661354581673,0.0,0.5,0.9056945583811866,-1.1102230246251565e-16
191,191,0.6334661354581673,0.0,0.5,0.912462400875034,-1.1102230246251565e-16
192,192,0.6334661354581673,0.0,0.5,0.9097621000820344,-1.1102230246251565e-16
193,193,0.6334661354581673,0.0,0.5,0.9342698933552092,-1.1102230246251565e-16
194,194,0.6334661354581673,0.0,0.5,0.9159488651900466,-1.1102230246251565e-16
195,195,0.6334661354581673,0.0,0.5,0.9098646431501232,-1.1102230246251565e-16
196,196,0.6334661354581673,0.0,0.5,0.8823489198796828,-1.1102230246251565e-16
197,197,0.6334661354581673,0.0,0.5,0.912086409625376,-1.1102230246251565e-16
198,198,0.6334661354581673,0.0,0.5,0.913624555646705,-1.1102230246251565e-16
199,199,0.6334661354581673,0.0,0.5,0.9097279190593383,-1.1102230246251565e-16
200,200,0.6334661354581673,0.0,0.5,0.9183073557560844,-1.1102230246251565e-16
201,201,0.6334661354581673,0.0,0.5,0.8636177194421657,-1.1102230246251565e-16
202,202,0.6334661354581673,0.0,0.5,0.9080188679245282,-1.1102230246251565e-16
203,203,0.6334661354581673,0.0,0.5,0.890620727372163,-1.1102230246251565e-16
204,204,0.6334661354581673,0.0,0.5,0.9142056330325403,-1.1102230246251565e-16
205,205,0.6334661354581673,0.0,0.5,0.9148550724637682,-1.1102230246251565e-16
206,206,0.6334661354581673,0.0,0.5,0.9042247744052502,-1.1102230246251565e-16
207,207,0.6334661354581673,0.0,0.5,0.857841126606508,-1.1102230246251565e-16
208,208,0.6334661354581673,0.0,0.5,0.9187858900738309,-1.1102230246251565e-16
209,209,0.6334661354581673,0.0,0.5,0.9178971834837298,-1.1102230246251565e-16
210,210,0.6334661354581673,0.0,0.5,0.9142739950779327,-1.1102230246251565e-16
211,211,0.6334661354581673,0.0,0.5,0.8996103363412634,-1.1102230246251565e-16
212,212,0.6334661354581673,0.0,0.5,0.9143765381460213,-1.1102230246251565e-16
213,213,0.6334661354581673,0.0,0.5,0.9195036915504512,-1.1102230246251565e-16
214,214,0.6334661354581673,0.0,0.5,0.927536231884058,-1.1102230246251565e-16
215,215,0.6334661354581673,0.0,0.5,0.9084290401968828,-1.1102230246251565e-16
216,216,0.6334661354581673,0.0,0.5,0.9113002461033634,-1.1102230246251565e-16
217,217,0.6334661354581673,0.0,0.5,0.9128725731473886,-1.1102230246251565e-16
218,218,0.6334661354581673,0.0,0.5,0.9025840853158327,-1.1102230246251565e-16
219,219,0.6334661354581673,0.0,0.5,0.9141372709871478,-1.1102230246251565e-16
220,220,0.6334661354581673,0.0,0.5,0.9189226141646157,-1.1102230246251565e-16
221,221,0.6334661354581673,0.0,0.5,0.9149234345091605,-1.1102230246251565e-16
222,222,0.6334661354581673,0.0,0.5,0.9057971014492753,-1.1102230246251565e-16
223,223,0.6334661354581673,0.0,0.5,0.8916461580530489,-1.1102230246251565e-16
224,224,0.6334661354581673,0.0,0.5,0.9209734755263878,-1.1102230246251565e-16
225,225,0.6334661354581673,0.0,0.5,0.914820891441072,-1.1102230246251565e-16
226,226,0.6334661354581673,0.0,0.5,0.9200164068908941,-1.1102230246251565e-16
227,227,0.6334661354581673,0.0,0.5,0.9202556740497675,-1.1102230246251565e-16
228,228,0.6334661354581673,0.0,0.5,0.9167692097347552,-1.1102230246251565e-16
229,229,0.6334661354581673,0.0,0.5,0.9011143013398961,-1.1102230246251565e-16
230,230,0.6334661354581673,0.0,0.5,0.9154019688269073,-1.1102230246251565e-16
231,231,0.6334661354581673,0.0,0.5,0.9321506699480449,-1.1102230246251565e-16
