,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled
164,164,0.7410358565737052,0.5859872611464968,0.690251572327044,0.8960896910035548,0.18645418326693242
165,165,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9196062346185399,0.46254980079681274
166,166,0.852589641434263,0.8262910798122066,0.874487284659557,0.9289718348372984,0.4717131474103586
167,167,0.6334661354581673,0.0,0.5,0.8940046486190867,-1.1102230246251565e-16
168,168,0.6334661354581673,0.0,0.5,0.9439773038009297,-1.1102230246251565e-16
169,169,0.852589641434263,0.8262910798122066,0.874487284659557,0.9027549904293137,0.4788844621513944
170,170,0.900398406374502,0.8717948717948718,0.9053527481542247,0.9812004375170905,0.38486055776892425
171,171,0.7410358565737052,0.5751633986928104,0.6856713152857534,0.898003828274542,0.12390438247011948
172,172,0.6334661354581673,0.0,0.5,0.9115053322395406,-1.1102230246251565e-16
173,173,0.8565737051792829,0.8064516129032258,0.847860267979218,0.9366967459666393,0.43984063745019925
174,174,0.9123505976095617,0.8829787234042553,0.9102064533770851,0.9720399234345092,0.40557768924302773
175,175,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9129067541700848,0.4932270916334661
176,176,0.8406374501992032,0.8095238095238095,0.8581829368334701,0.9098304621274269,0.4645418326693227
177,177,0.8605577689243028,0.8325358851674641,0.8784864643150123,0.9408668307355756,0.47370517928286854
178,178,0.7888446215139442,0.7103825136612022,0.7714998632759092,0.8773584905660379,0.29960159362549804
179,179,0.8207171314741036,0.7593582887700535,0.8103978671041838,0.9182389937106918,0.24661354581673323
180,180,0.7768924302788844,0.654320987654321,0.7345843587640142,0.8873393491933279,0.17171314741035848
181,181,0.8764940239043825,0.8530805687203792,0.8979354662291497,0.9687585452556741,0.3298804780876493
182,182,0.852589641434263,0.8262910798122066,0.874487284659557,0.9448318293683348,0.4792828685258964
183,183,0.6772908366533864,0.352,0.5849740224227509,0.9003281378178836,0.043824701195218974
184,184,0.6334661354581673,0.0,0.5,0.8976961990702762,-1.1102230246251565e-16
185,185,0.6334661354581673,0.0,0.5,0.9280147662018048,-1.1102230246251565e-16
186,186,0.6334661354581673,0.0,0.5,0.9346458846048674,-1.1102230246251565e-16
187,187,0.8366533864541833,0.8038277511961722,0.8527481542247743,0.891133442712606,0.38207171314741034
188,188,0.8406374501992032,0.8095238095238095,0.8581829368334701,0.8818020235165437,0.3868525896414343
189,189,0.6334661354581673,0.0,0.5,0.9511894995898277,-1.1102230246251565e-16
190,190,0.6334661354581673,0.0,0.5,0.8830325403336068,-1.1102230246251565e-16
191,191,0.6334661354581673,0.0,0.5,0.8814260322668854,-1.1102230246251565e-16
192,192,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9257929997265519,0.45019920318725104
193,193,0.8406374501992032,0.8095238095238095,0.8581829368334701,0.94298605414274,0.47250996015936253
194,194,0.6334661354581673,0.0,0.5,0.9422340716434237,-1.1102230246251565e-16
195,195,0.848605577689243,0.8207547169811321,0.8690525020508614,0.8676852611430135,0.4549800796812749
196,196,0.848605577689243,0.8207547169811321,0.8690525020508614,0.8939021055509981,0.4689243027888446
197,197,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9362182116488926,0.450597609561753
198,198,0.6334661354581673,0.0,0.5,0.938884331419196,-1.1102230246251565e-16
199,199,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9245624829094886,0.4824701195219123
200,200,0.796812749003984,0.7052023121387283,0.7686286573694285,0.926339896089691,0.2119521912350597
201,201,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9286983866557288,0.47649402390438245
202,202,0.6334661354581673,0.0,0.5,0.902652447361225,-1.1102230246251565e-16
203,203,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9330735575608422,0.4589641434262948
204,204,0.852589641434263,0.8262910798122066,0.874487284659557,0.9406617445993984,0.43984063745019925
205,205,0.900398406374502,0.8730964467005076,0.9076428766748701,0.9724500957068636,0.4239043824701196
206,206,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9260322668854253,0.40557768924302795
207,207,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9025157232704404,0.49681274900398403
208,208,0.6334661354581673,0.0,0.5,0.9327659283565765,-1.1102230246251565e-16
209,209,0.852589641434263,0.8262910798122066,0.874487284659557,0.9115395132622368,0.4617529880478088
210,210,0.6334661354581673,0.0,0.5,0.9308859721082855,-1.1102230246251565e-16
211,211,0.6334661354581673,0.0,0.5,0.101825266611977,-1.1102230246251565e-16
212,212,0.6334661354581673,0.061224489795918366,0.506870385561936,0.8967049494120864,-1.1102230246251565e-16
213,213,0.6334661354581673,0.0,0.5,0.9101039103089965,-1.1102230246251565e-16
214,214,0.6334661354581673,0.0,0.5,0.9230926989335521,-1.1102230246251565e-16
215,215,0.6334661354581673,0.0,0.5,0.1805783429040197,-1.1102230246251565e-16
216,216,0.6334661354581673,0.0,0.5,0.9262373530216024,-1.1102230246251565e-16
