,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_scaled
78,78,0.862453531598513,0.7643312101910829,0.8119626627364285,0.82596413657578,0.3178438661710037,0.00892193308550182,0.023048327137546454
79,79,0.8698884758364313,0.782608695652174,0.8254421518054532,0.8071726848440187,0.358736059479554,0.009293680297397855,0.07546468401486983
80,80,0.8698884758364313,0.7852760736196319,0.8280520756570867,0.8352370424957013,0.3624535315985131,0.013382899628252898,0.1327137546468401
81,81,0.8698884758364313,0.7878787878787878,0.8306619995087202,0.8305084745762713,0.32713754646840154,-0.005576208178438624,-0.0014869888475836923
82,82,0.8773234200743495,0.8092485549132948,0.8493613362810121,0.8530459346597888,0.3111524163568774,0.015241635687732402,-0.004460966542750855
83,83,0.8847583643122676,0.8165680473372781,0.8524011299435028,0.8448784082535004,0.33234200743494413,0.009665427509293667,0.028996282527881112
84,84,0.8847583643122676,0.8098159509202454,0.8445713583886023,0.8412552198477031,0.341635687732342,0.010408921933085513,0.06691449814126382
85,85,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8246745271432081,0.3728624535315985,0.008178438661710197,0.12639405204460985
86,86,0.8847583643122676,0.8121212121212121,0.8471812822402358,0.8384303610906411,0.3278810408921934,0.0033457249070631967,0.02267657992565053
87,87,0.8661710037174721,0.7721518987341772,0.817397445345124,0.821358388602309,0.3743494423791821,0.0074349442379182396,0.12713754646840147
88,88,0.8550185873605948,0.7483870967741936,0.8010930975190371,0.8095676737902237,0.38438661710037175,0.02118959107806695,0.10520446096654268
89,89,0.8550185873605948,0.7636363636363637,0.8141427167772046,0.8189019896831246,0.15724907063197024,0.00892193308550182,0.00037174721189570104
90,90,0.8810408921933085,0.8024691358024691,0.8391365757799067,0.827192336035372,0.38066914498141247,0.01263940520446083,0.08921933085501854
91,91,0.8773234200743495,0.7975460122699386,0.8363117170228445,0.8098747236551215,0.39442379182156145,0.017843866171003753,0.11486988847583646
92,92,0.8364312267657993,0.7066666666666667,0.7739191844755589,0.7915745517071973,0.4118959107806692,0.031970260223048275,0.1037174721189591
93,93,0.8364312267657993,0.7380952380952381,0.7974084991402604,0.8156472611152052,0.13754646840148688,-0.011895910780669094,-0.015613382899628214
94,94,0.8847583643122676,0.8098159509202454,0.8445713583886023,0.8343158929010073,0.37992565055762084,0.008550185873605787,0.034572490706319625
95,95,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8258413166298207,0.35613382899628265,0.01115241635687736,0.07918215613382895
96,96,0.8438661710037175,0.7341772151898734,0.7926185212478507,0.8373249815770081,0.2739776951672862,0.008178438661709975,0.10483271375464687
97,97,0.8847583643122676,0.8121212121212121,0.8471812822402358,0.8153402112503069,0.4159851301115241,0.019702602230483146,0.08810408921933077
98,98,0.8475836431226765,0.7284768211920529,0.7876136084500123,0.8057602554654876,0.35947955390334574,0.017100371747211907,-0.0018587360594797264
99,99,0.8847583643122676,0.8121212121212121,0.8471812822402358,0.8384917710636208,0.3159851301115242,0.008921933085501932,0.006691449814126504
100,100,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8071112748710391,0.446096654275093,0.02750929368029753,0.07509293680297402
101,101,0.8475836431226765,0.7602339181286549,0.8137128469663473,0.8380004912797839,0.13457249070631983,-0.003717472118959231,0.0003717472118959231
102,102,0.8698884758364313,0.782608695652174,0.8254421518054532,0.8055146155735692,0.28141263940520456,0.006319702602230581,-0.0011152416356877692
103,103,0.8698884758364313,0.782608695652174,0.8254421518054532,0.8310611643330876,0.3330855018587361,0.0014869888475836923,0.11747211895910781
104,104,0.8587360594795539,0.7764705882352941,0.8247973470891672,0.8319209039548023,0.2788104089219331,-0.0033457249070631967,0.12527881040892197
105,105,0.8438661710037175,0.7529411764705882,0.8082780643576517,0.8301400147383937,0.15910780669144986,0.0003717472118960341,-0.011895910780668983
106,106,0.8475836431226765,0.757396449704142,0.8111029231147138,0.8150945713583886,0.16468401486988848,0.004832713754646889,-0.004089219330855154
107,107,0.8810408921933085,0.8117647058823529,0.8495762711864407,0.8321051338737412,0.2565055762081784,0.01263940520446094,0.008550185873605898
108,108,0.8661710037174721,0.7692307692307693,0.8147875214934905,0.813129452223041,0.3717472118959108,0.027881040892193232,0.11189591078066918
109,109,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8138663718987964,0.18996282527881048,0.013754646840148599,0.005947955390334547
110,110,0.8810408921933085,0.813953488372093,0.8521861950380742,0.8320437239007615,0.29033457249070616,0.015613382899628214,0.0
111,111,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8334561532792925,0.2598513011152417,0.005204460966542701,0.047211895910780566
112,112,0.862453531598513,0.7730061349693251,0.819792434291329,0.8203144190616556,0.3895910780669145,0.019330855018587223,0.1665427509293681
113,113,0.8438661710037175,0.75,0.8056681405060182,0.8144190616556131,0.16059479553903355,-0.004460966542750855,-0.0018587360594795044
114,114,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8238761974944729,0.387360594795539,0.0033457249070631967,0.112267657992565
115,115,0.8773234200743495,0.8023952095808383,0.8415315647261115,0.8245517071972488,0.37360594795539037,0.005204460966542812,0.043122676579925745
116,116,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8265168263325965,0.36505576208178436,0.013382899628252787,0.045724907063196985
117,117,0.8661710037174721,0.7831325301204819,0.827837140751658,0.831183984279047,0.2639405204460966,0.005204460966542812,-0.0074349442379182396
118,118,0.8810408921933085,0.8072289156626506,0.8443564234831737,0.8316752640628837,0.2721189591078067,0.0074349442379181285,0.08141263940520438
119,119,0.8438661710037175,0.7558139534883721,0.8108879882092852,0.8161385408990419,0.09776951672862466,0.0037174721189591198,-0.0026022304832713505
120,120,0.8698884758364313,0.7878787878787878,0.8306619995087202,0.8348685826578236,0.3245353159851301,-0.005204460966542701,0.028996282527881112
121,121,0.8513011152416357,0.7701149425287356,0.8217575534266766,0.8217268484401867,0.1241635687732342,0.008178438661709864,-0.006319702602230581
122,122,0.8736059479553904,0.7951807228915663,0.8360967821174159,0.8277450257921887,0.3029739776951673,0.0014869888475836923,-0.0018587360594795044
123,123,0.8661710037174721,0.7804878048780488,0.8252272169000245,0.8322279538197004,0.3200743494423792,-0.005576208178438735,0.08550185873605942
124,124,0.8736059479553904,0.7875,0.8282670105625154,0.8325350036845983,0.41821561338289964,0.018959107806691522,0.09070631970260223
125,125,0.8736059479553904,0.7875,0.8282670105625154,0.8238147875214934,0.39182156133828994,0.0033457249070631967,0.08513011152416361
126,126,0.8698884758364313,0.7770700636942676,0.8202223041021861,0.8204986489805944,0.38215613382899627,0.03159851301115235,0.11078066914498141
127,127,0.8847583643122676,0.8143712574850299,0.8497912060918693,0.8408867600098258,0.3449814126394052,0.0026022304832713505,0.036059479553903206
128,128,0.8698884758364313,0.782608695652174,0.8254421518054532,0.8306927044952102,0.3754646840148699,0.03531598513011158,0.1327137546468401
129,129,0.8550185873605948,0.7636363636363637,0.8141427167772046,0.8384303610906411,0.34089219330855014,0.005576208178438513,0.1022304832713754
130,130,0.8438661710037175,0.7236842105263158,0.7847887496929502,0.8098133136821419,0.3702602230483273,0.013011152416356864,0.10297397769516736
131,131,0.862453531598513,0.7643312101910829,0.8119626627364285,0.8195160894129206,0.3319702602230483,0.005576208178438735,0.05724907063197027
132,132,0.8736059479553904,0.7951807228915663,0.8360967821174159,0.8352370424957012,0.2702602230483272,-0.0037174721189590088,0.07137546468401501
133,133,0.8698884758364313,0.782608695652174,0.8254421518054532,0.8316138540899042,0.37583643122676585,0.019330855018587334,0.10111524163568786
134,134,0.8513011152416357,0.7727272727272727,0.82436747727831,0.8632399901744044,0.15873605947955383,0.004832713754646778,-0.0014869888475836923
135,135,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8393515106853353,0.33754646840148694,0.006691449814126282,0.07397769516728625
136,136,0.8736059479553904,0.7951807228915663,0.8360967821174159,0.8360353721444362,0.28364312267658,0.0007434944237918462,-0.0011152416356876582
137,137,0.8736059479553904,0.7848101265822784,0.8256570867108819,0.8099975436010809,0.4040892193308551,0.05092936802973991,0.15018587360594793
138,138,0.8587360594795539,0.7564102564102564,0.8065278801277327,0.8053917956276099,0.3654275092936803,0.00892193308550171,0.05650557620817853
139,139,0.8736059479553904,0.7926829268292683,0.8334868582657824,0.7926799312208304,0.38661710037174724,0.015613382899628214,0.10929368029739783
140,140,0.8773234200743495,0.8047337278106509,0.844141488577745,0.8368951117661506,0.32379182156133834,0.020446096654275214,0.03494423791821577
141,141,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8278678457381479,0.37509293680297406,0.017843866171003753,0.11338289962825299
142,142,0.8736059479553904,0.7951807228915663,0.8360967821174159,0.8305698845492508,0.32676579925650573,0.004832713754646889,0.011152416356877248
143,143,0.8475836431226765,0.757396449704142,0.8111029231147138,0.8220338983050847,0.17286245353159846,0.0011152416356876582,-0.004460966542750855
144,144,0.8587360594795539,0.7710843373493976,0.8195774993859002,0.8279906656841071,0.17397769516728623,0.005947955390334547,0.004460966542750966
145,145,0.8438661710037175,0.7529411764705882,0.8082780643576517,0.8292802751166789,0.15687732342007432,-0.004089219330854932,0.0018587360594796154
146,146,0.8550185873605948,0.7483870967741936,0.8010930975190371,0.8198845492507982,0.3048327137546468,0.019330855018587445,0.08921933085501854
147,147,0.862453531598513,0.7757575757575758,0.8224023581429625,0.8204372390076149,0.22676579925650553,0.011895910780669094,0.0237918215613383
148,148,0.8736059479553904,0.7901234567901234,0.8308769344141489,0.8284205354949644,0.3654275092936803,0.005576208178438735,0.0951672862453532
149,149,0.8438661710037175,0.75,0.8056681405060182,0.8265168263325964,0.1293680297397769,0.0022304832713755385,-0.008550185873605898
150,150,0.8810408921933085,0.8117647058823529,0.8495762711864407,0.8310611643330877,0.29033457249070627,0.02267657992565042,0.015613382899628214
151,151,0.8884758364312267,0.8170731707317073,0.850006140997298,0.8284205354949645,0.4052044609665427,0.02267657992565053,0.11338289962825276
152,152,0.8587360594795539,0.7564102564102564,0.8065278801277327,0.8203758290346352,0.40594795539033457,0.013382899628252787,0.10520446096654279
153,153,0.8587360594795539,0.759493670886076,0.8091378039793662,0.82277081798084,0.3587360594795539,-0.0022304832713756495,0.05762081784386619
154,154,0.8884758364312267,0.8192771084337349,0.8526160648489314,0.830078604765414,0.34126394052044595,0.01635687732342006,0.12453531598513012
155,155,0.862453531598513,0.7643312101910829,0.8119626627364285,0.8306312945222305,0.324907063197026,0.025650557620817804,0.10966542750929364
156,156,0.862453531598513,0.7784431137724551,0.825012281994596,0.8240604274134119,0.19293680297397764,0.012267657992565129,0.02118959107806695
