,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
36,36,0.8875,0.847457627118644,0.8738249118683901,0.9350029377203289,0.15625,0.06708333333333338,-0.002083333333333437
37,37,0.8583333333333333,0.7976190476190477,0.8337250293772033,0.9508666274970623,0.16166666666666663,0.0495833333333332,0.05874999999999997
38,38,0.875,0.8314606741573034,0.8616333725029377,0.9361045828437132,0.11458333333333326,0.0591666666666667,0.011250000000000093
39,39,0.8958333333333334,0.8603351955307262,0.8846944770857814,0.9447708578143361,0.1958333333333333,0.06166666666666665,0.060833333333333406
40,40,0.8625,0.8047337278106509,0.839159811985899,0.9416128084606346,0.12083333333333346,0.06083333333333352,0.01750000000000007
41,41,0.825,0.7162162162162162,0.7779083431257344,0.9579905992949471,0.15416666666666667,0.04499999999999993,0.05999999999999994
42,42,0.85,0.775,0.8166862514688602,0.943448883666275,0.12458333333333338,0.05541666666666667,0.01458333333333317
43,43,0.8583333333333333,0.7926829268292683,0.8296122209165688,0.9491039952996475,0.11708333333333332,0.06333333333333335,0.02458333333333329
44,44,0.9,0.8695652173913043,0.8942420681551116,0.9488836662749707,0.1645833333333333,0.05958333333333332,0.0033333333333332993
45,45,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9419800235017626,0.1695833333333333,0.07041666666666668,-0.0024999999999999467
46,46,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9394829612220916,0.16833333333333333,0.06583333333333341,-0.004166666666666763
47,47,0.8375,0.7417218543046358,0.7942126909518215,0.945725616921269,0.15625,0.05291666666666672,0.0475000000000001
48,48,0.8583333333333333,0.7951807228915663,0.831668625146886,0.9460193889541716,0.11749999999999994,0.0495833333333332,0.0029166666666665675
49,49,0.9,0.8695652173913043,0.8942420681551116,0.9451380728554641,0.16083333333333327,0.07041666666666657,0.025000000000000022
50,50,0.8541666666666666,0.782608695652174,0.8221210340775558,0.9446974148061105,0.12749999999999995,0.08083333333333331,0.057916666666666616
51,51,0.9,0.8695652173913043,0.8942420681551116,0.9460928319623971,0.1908333333333333,0.0625,0.007916666666666572
52,52,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.9402908343125734,0.1545833333333333,0.060416666666666674,-0.0033333333333331883
53,53,0.8916666666666667,0.8555555555555555,0.8813160987074031,0.9517479435957696,0.14166666666666672,0.07458333333333333,-1.1102230246251565e-16
54,54,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9396298472385429,0.1958333333333333,0.06374999999999997,0.007499999999999951
55,55,0.8875,0.8457142857142858,0.8717685076380728,0.9438895417156288,0.1449999999999999,0.07333333333333325,0.006666666666666599
56,56,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9504259694477085,0.21624999999999994,0.06875000000000009,0.046250000000000124
57,57,0.9166666666666666,0.8924731182795699,0.913924794359577,0.9131169212690952,0.28541666666666665,0.19041666666666657,0.017083333333333228
58,58,0.8958333333333334,0.8663101604278075,0.8929200940070505,0.9492508813160987,0.13083333333333325,0.05750000000000011,0.01333333333333342
59,59,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.9455052878965923,0.11791666666666667,0.04458333333333331,-0.00374999999999992
60,60,0.825,0.7162162162162162,0.7779083431257344,0.9400705052878965,0.08958333333333335,0.0674999999999999,-0.015416666666666745
61,61,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.9388219741480611,0.1416666666666666,0.06666666666666665,-0.010833333333333584
62,62,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9366186839012927,0.20750000000000002,0.06666666666666665,0.004166666666666652
63,63,0.8541666666666666,0.7928994082840237,0.8303466509988249,0.9470475910693302,0.12208333333333321,0.04375000000000007,0.04125000000000001
64,64,0.6166666666666667,0.0,0.5,0.959165687426557,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
65,65,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.9439629847238543,0.12624999999999986,0.04208333333333325,0.050000000000000044
66,66,0.9,0.8681318681318682,0.8921856639247944,0.9483695652173914,0.1908333333333333,0.06958333333333333,0.05875000000000008
67,67,0.9,0.8695652173913043,0.8942420681551116,0.9389688601645124,0.15833333333333333,0.06291666666666662,0.01666666666666683
68,68,0.9,0.8709677419354839,0.8962984723854289,0.9529964747356052,0.17166666666666663,0.060000000000000164,-0.0004166666666666208
69,69,0.8916666666666667,0.87,0.9018801410105758,0.9473413631022326,0.21916666666666673,0.08083333333333331,-0.007499999999999951
70,70,0.8333333333333334,0.7530864197530864,0.8011163337250293,0.9521886016451233,0.19500000000000006,0.005416666666666736,0.005416666666666736
71,71,0.6166666666666667,0.0,0.5,0.9463866039952997,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
72,72,0.9,0.8681318681318682,0.8921856639247944,0.9379406580493537,0.19500000000000006,0.06791666666666674,0.047083333333333366
73,73,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9344888366627497,0.21124999999999994,0.06291666666666673,0.0008333333333333526
74,74,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9422737955346651,0.17500000000000004,0.06499999999999995,0.0012499999999999734
75,75,0.85,0.7804878048780488,0.8207990599294948,0.9466069330199764,0.10625000000000007,0.06999999999999995,-0.0024999999999998357
76,76,0.8125,0.7096774193548387,0.7718860164512338,0.9543918918918919,0.1645833333333333,-0.012499999999999845,0.017916666666666692
77,77,0.8958333333333334,0.8603351955307262,0.8846944770857814,0.9511603995299648,0.2070833333333334,0.07291666666666663,0.060000000000000164
