,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled
65,65,0.8833333333333333,0.8372093023255814,0.86427732079906,0.8993096357226792,0.1679166666666665,0.06499999999999995,0.0008333333333333526
66,66,0.875,0.8235294117647058,0.8534077555816686,0.8999706227967099,0.1579166666666667,0.0658333333333333,0.004166666666666652
67,67,0.8208333333333333,0.7152317880794702,0.7765863689776733,0.8991627497062279,0.0858333333333332,0.021666666666666612,0.022083333333333455
68,68,0.9041666666666667,0.8715083798882681,0.8935076380728555,0.899750293772033,0.24291666666666656,0.07874999999999999,0.007499999999999951
69,69,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.8996768507638072,0.1629166666666667,0.07166666666666677,0.010000000000000009
70,70,0.875,0.8214285714285714,0.8513513513513513,0.9056257344300823,0.15749999999999997,0.040416666666666545,0.011250000000000093
71,71,0.8375,0.7547169811320755,0.8024383078730906,0.9022473560517038,0.11375000000000013,0.029583333333333295,0.00708333333333333
72,72,0.8416666666666667,0.7625,0.8078730904817861,0.8983548766157461,0.1233333333333333,0.039583333333333415,0.0008333333333333526
73,73,0.875,0.8235294117647058,0.8534077555816686,0.8962250293772033,0.17374999999999996,0.06375000000000008,-0.0025000000000000577
74,74,0.8208333333333333,0.7225806451612903,0.7806991774383079,0.8973266745005877,0.10249999999999992,0.025416666666666643,-0.004166666666666652
75,75,0.8875,0.8421052631578947,0.8676556991774383,0.8979142185663924,0.1908333333333333,0.05458333333333343,0.012083333333333335
76,76,0.8916666666666667,0.8488372093023255,0.873090481786134,0.9054054054054054,0.1645833333333333,0.05916666666666681,0.042500000000000204
77,77,0.8875,0.8439306358381503,0.8697121034077555,0.9017332549941246,0.20166666666666666,0.08291666666666653,-0.005833333333333357
78,78,0.85,0.7777777777777778,0.8187426556991775,0.9004847238542891,0.12124999999999997,0.05125000000000002,0.009166666666666656
79,79,0.8375,0.7547169811320755,0.8024383078730906,0.8983548766157462,0.13208333333333344,0.039583333333333304,-0.014166666666666772
80,80,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.8956374853113984,0.16583333333333328,0.0641666666666666,-0.0004166666666666208
81,81,0.8208333333333333,0.7114093959731543,0.774529964747356,0.8985752056404231,0.10124999999999995,0.04083333333333328,-0.00041666666666650976
82,82,0.8875,0.8421052631578947,0.8676556991774383,0.9008519388954171,0.18166666666666664,0.07333333333333336,0.0004166666666667318
83,83,0.85,0.7777777777777778,0.8187426556991775,0.8968860164512339,0.11958333333333337,0.043333333333333335,0.01791666666666647
84,84,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.8992361927144537,0.15375000000000005,0.04874999999999996,0.01708333333333334
85,85,0.9125,0.8852459016393442,0.9064336075205641,0.9009253819036428,0.2437499999999999,0.08333333333333337,0.015416666666666523
86,86,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.8998237367802584,0.12458333333333327,0.037083333333333246,0.00749999999999984
87,87,0.8875,0.8439306358381503,0.8697121034077555,0.8993096357226792,0.1649999999999998,0.061249999999999805,0.012083333333333335
88,88,0.8333333333333334,0.7468354430379747,0.7970035252643948,0.8956374853113984,0.09666666666666679,0.04500000000000004,0.006666666666666821
89,89,0.85,0.7777777777777778,0.8187426556991775,0.8963719153936546,0.13208333333333333,0.057083333333333264,-0.00708333333333333
90,90,0.9041666666666667,0.8700564971751412,0.8914512338425382,0.8962984723854289,0.2187500000000001,0.10041666666666671,0.00749999999999984
91,91,0.9083333333333333,0.8777777777777778,0.8989424206815511,0.9017332549941246,0.21333333333333326,0.07708333333333328,0.02749999999999997
92,92,0.8833333333333333,0.8372093023255814,0.86427732079906,0.8987955346650999,0.19958333333333322,0.08541666666666659,-0.007500000000000173
93,93,0.9125,0.88268156424581,0.9023207990599296,0.8954905992949471,0.26083333333333325,0.10999999999999999,0.01083333333333325
94,94,0.8166666666666667,0.7142857142857143,0.7752643948296123,0.8899089306698003,0.10124999999999995,0.03374999999999995,-0.01666666666666672
95,95,0.8833333333333333,0.8372093023255814,0.86427732079906,0.90180669800235,0.16499999999999992,0.05999999999999983,0.0050000000000000044
96,96,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.8979142185663925,0.22249999999999992,0.07708333333333328,0.009583333333333277
97,97,0.9125,0.8864864864864865,0.9084900117508813,0.8987955346650999,0.2733333333333333,0.1200000000000001,0.002083333333333326
98,98,0.9125,0.8864864864864865,0.9084900117508813,0.9005581668625148,0.2725000000000001,0.08499999999999996,0.01083333333333325
99,99,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9065070505287897,0.22125000000000006,0.07833333333333325,0.005833333333333246
100,100,0.8833333333333333,0.8372093023255814,0.86427732079906,0.8992361927144535,0.19583333333333341,0.0741666666666666,-0.003750000000000031
101,101,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.9029083431257344,0.1645833333333333,0.05750000000000011,0.0024999999999999467
102,102,0.8875,0.8439306358381503,0.8697121034077555,0.8983548766157462,0.21625000000000005,0.07791666666666663,-0.006250000000000089
103,103,0.875,0.8214285714285714,0.8513513513513513,0.9001909518213866,0.1729166666666666,0.06500000000000006,0.00708333333333333
104,104,0.8541666666666666,0.7852760736196319,0.824177438307873,0.896665687426557,0.1383333333333332,0.054166666666666585,-0.01041666666666674
105,105,0.9083333333333333,0.875,0.8948296122209166,0.9009988249118684,0.22958333333333325,0.07916666666666672,0.014999999999999791
106,106,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.899750293772033,0.22875,0.08791666666666653,0.007083333333333219
107,107,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.8954905992949471,0.11416666666666664,0.053749999999999964,0.012916666666666576
108,108,0.8958333333333334,0.8554913294797688,0.8785252643948296,0.9004847238542891,0.1908333333333333,0.0675,0.02041666666666675
109,109,0.8875,0.8439306358381503,0.8697121034077555,0.900705052878966,0.20833333333333326,0.07791666666666663,-0.004166666666666874
110,110,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.898575205640423,0.17041666666666677,0.04041666666666677,0.003750000000000031
111,111,0.8625,0.8,0.8350470035252644,0.9052585193889541,0.13875000000000004,0.04791666666666683,0.02416666666666656
112,112,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.8993096357226793,0.16500000000000004,0.053750000000000075,0.008333333333333304
113,113,0.8958333333333334,0.8554913294797688,0.8785252643948296,0.8995299647473559,0.17000000000000004,0.06791666666666674,0.019583333333333397
114,114,0.8958333333333334,0.8554913294797688,0.8785252643948296,0.8974001175088131,0.20458333333333323,0.0724999999999999,0.003750000000000142
115,115,0.8875,0.8421052631578947,0.8676556991774383,0.9048178613396004,0.1662499999999999,0.06125000000000003,0.018749999999999933
116,116,0.9083333333333333,0.875,0.8948296122209166,0.898575205640423,0.21833333333333327,0.07583333333333342,0.016249999999999876
117,117,0.85,0.7777777777777778,0.8187426556991775,0.8957843713278495,0.1433333333333333,0.04916666666666669,-0.014583333333333393
118,118,0.8875,0.8421052631578947,0.8676556991774383,0.9003378378378377,0.19333333333333313,0.06374999999999986,0.007083333333333441
119,119,0.9083333333333333,0.8777777777777778,0.8989424206815511,0.9004112808460634,0.2645833333333333,0.09875,0.002083333333333326
120,120,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.8998237367802585,0.2595833333333334,0.09624999999999995,0.0016666666666667052
