,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
42,42,0.8368200836820083,0.7936507936507936,0.8327787636793847,0.9407719609582963,0.020502092050209142,-0.0008368200836820217,-0.0029288702928870203,-0.0004184100418409553,-0.0033472803347279756,0.0046025104602509526,0.0020920502092049986,-0.0029288702928870203
43,43,0.8451882845188284,0.8121827411167513,0.84974859509021,0.924874297545105,0.012552301255230103,-0.0016736401673640433,-0.0016736401673640433,0.00878661087866106,0.006694560669456062,0.0071129707112971285,0.017154811715481055,0.006694560669456062
44,44,0.8577405857740585,0.8111111111111111,0.8457187222715172,0.9269446909198462,0.013389121338912013,0.043096234309623394,0.043096234309623394,0.01589958158995819,0.009205020920502016,-0.0016736401673639323,0.04142259414225935,0.02384937238493723
45,45,0.8326359832635983,0.797979797979798,0.837511091393079,0.9283496007098491,0.01673640167364021,-0.01589958158995819,-0.0008368200836820217,-0.009623430962343194,-0.0046025104602509526,-0.006276150627614996,0.009623430962343194,0.002510460251045954
46,46,0.8368200836820083,0.7958115183246073,0.8348121857438628,0.9108251996450754,0.0058577405857740406,0.0004184100418409553,0.029707112970711158,0.007531380753137973,-0.006276150627615218,0.01757322175732201,0.0058577405857740406,0.0020920502092049986
47,47,0.8117154811715481,0.7540983606557377,0.8001700680272108,0.910603371783496,-0.02384937238493723,0.01380753138075308,0.0058577405857739295,0.021338912133891164,-0.007531380753138084,0.008786610878661172,0.02468619246861925,-0.029288702928870203
48,48,0.8410041841004184,0.8041237113402062,0.8422803904170364,0.9238391008577344,0.01757322175732212,0.006694560669456062,0.003765690376569153,0.0071129707112971285,-0.003765690376569042,0.0033472803347280866,0.011297071129707126,0.03765690376569031
49,49,0.8284518828451883,0.7759562841530054,0.8178423543330375,0.9236912156166814,0.00794979079497915,0.001255230125522977,0.04476987447698755,0.0020920502092049986,0.0016736401673640433,0.021338912133891164,-0.001255230125522977,0.005439330543932974
50,50,0.8200836820083682,0.7570621468926554,0.8029059449866903,0.8992901508429458,-0.019246861924686054,0.010041841004184038,0.011297071129707015,0.03472803347280329,0.006694560669456062,0.03263598326359818,0.04937238493723861,0.04644351464435159
51,51,0.8242677824267782,0.7717391304347826,0.8144409937888198,0.9329340431824904,-0.035983263598326265,0.00878661087866106,-0.001255230125523088,0.008368200836820106,-0.006276150627615107,-0.015481171548117123,0.03263598326359818,0.019246861924686054
52,52,0.8451882845188284,0.8082901554404145,0.8456817509612541,0.9083111505471754,0.006276150627615107,0.021338912133891275,0.01966527196652712,0.002510460251046065,0.023849372384937118,0.03179916317991627,-0.004184100418410108,0.03556485355648531
53,53,0.8577405857740585,0.8131868131868132,0.8477521443359952,0.9330819284235433,0.009623430962343082,0.03765690376569042,0.0313807531380752,0.019246861924686165,0.01673640167364021,0.021338912133891164,0.02845188284518818,0.02259414225941425
54,54,0.8451882845188284,0.8082901554404145,0.8456817509612541,0.902913339248743,0.005439330543933085,0.03472803347280329,0.04058577405857722,0.023430962343096273,0.030125523012552224,0.052719665271966476,0.05313807531380743,-0.005439330543933085
55,55,0.8326359832635983,0.8,0.839544513457557,0.9174060928719313,0.014644351464435212,-0.0016736401673640433,-0.0008368200836820217,0.0033472803347279756,0.0008368200836820217,0.0,0.005439330543932974,0.011715481171548192
56,56,0.8075313807531381,0.7472527472527473,0.7947352854185152,0.9095681750961254,-0.016317991631799256,0.0046025104602509526,0.01380753138075308,0.013389121338912235,0.003765690376568931,0.015481171548117123,-0.015062761506276057,0.029288702928870425
57,57,0.8410041841004184,0.8041237113402062,0.8422803904170364,0.9264270925761608,0.004184100418410108,-0.004602510460251064,0.009623430962343082,0.0071129707112971285,-0.0188284518828451,0.0167364016736401,0.020083682008368298,0.020083682008368298
58,58,0.8577405857740585,0.8316831683168316,0.8680863649807748,0.9112688553682342,0.010041841004184038,0.0033472803347280866,0.006276150627614996,0.006276150627614996,-0.023849372384937118,0.014225941422594035,0.029707112970711158,0.02552301255230116
59,59,0.8326359832635983,0.7849462365591398,0.8253105590062111,0.9307897071872226,-0.010041841004184038,0.01380753138075319,0.025941422594142116,-0.0071129707112970175,0.001255230125522977,0.022175732217573185,0.05648535564853563,-0.019246861924686165
60,60,0.8410041841004184,0.8061224489795918,0.8443138124815144,0.914226560189293,0.005857740585774152,0.00502092050209213,0.015481171548117234,0.007531380753138084,-0.007531380753138084,0.015062761506276057,0.015062761506276057,0.011715481171548081
61,61,0.8200836820083682,0.7772020725388601,0.8191733215025141,0.8969239869860988,0.020083682008368187,0.02887029288702936,0.014225941422594035,0.03514644351464424,0.020083682008368187,0.02677824267782425,0.03514644351464424,-0.012133891213389147
62,62,0.8577405857740585,0.8247422680412371,0.859952676722863,0.9354480922803904,0.022175732217573185,-0.0008368200836819106,-0.013389121338912124,-0.013389121338912124,-0.02761506276150627,0.011297071129707015,0.0,0.017991631799163188
63,63,0.8158995815899581,0.7755102040816326,0.8178053830227743,0.9086069210292813,0.0046025104602509526,-0.0033472803347280866,-0.007531380753138195,-0.0016736401673640433,-0.03138075313807542,-0.0008368200836820217,0.005439330543932974,0.009205020920501905
64,64,0.8075313807531381,0.7472527472527473,0.7947352854185152,0.8965542738834664,-0.020083682008368187,0.011715481171548081,0.03598326359832649,0.013389121338912124,0.03598326359832649,0.017154811715481277,-0.0033472803347280866,0.03933054393305446
65,65,0.8284518828451883,0.7939698492462312,0.8341097308488613,0.90402247855664,0.0,-0.0058577405857740406,0.005020920502092019,-0.00794979079497904,-0.0071129707112970175,0.007531380753138195,0.02552301255230116,0.01966527196652712
66,66,0.8158995815899581,0.7349397590361446,0.7873040520556048,0.913413191363502,-0.0033472803347280866,0.01966527196652712,-0.007531380753138195,0.025941422594142116,0.017154811715481166,0.0016736401673639323,-0.017154811715481166,-0.008368200836820217
67,67,0.8117154811715481,0.7513812154696132,0.7981366459627328,0.918293404318249,-0.032217573221757334,-0.009623430962343194,-0.00878661087866106,0.0,0.0020920502092049986,0.021338912133891164,0.018410041841004143,0.02468619246861914
68,68,0.8326359832635983,0.7916666666666666,0.831410825199645,0.9262792073351079,0.018410041841004143,0.0071129707112970175,0.012970711297071169,0.012133891213389147,0.0008368200836820217,0.009205020920502016,0.018410041841004143,0.010041841004184038
69,69,0.8619246861924686,0.8324873096446701,0.8674208813960367,0.9119343389529725,0.01087866108786617,-0.0016736401673640433,0.0,-0.00041841004184106634,1.1102230246251565e-16,0.02384937238493734,0.030962343096234357,0.05020920502092052
70,70,0.8284518828451883,0.7657142857142857,0.8097086660751257,0.9283496007098492,-0.028033472803347115,0.021338912133891164,-0.010041841004184038,0.043096234309623505,-0.006694560669455951,0.03054393305439329,0.015062761506276168,0.028033472803347337
71,71,0.8326359832635983,0.7894736842105263,0.8293774031351671,0.9198461993493049,0.005439330543932974,-0.0020920502092049986,0.010460251046024993,0.010460251046025215,-0.0029288702928870203,0.03640167364016744,-0.00878661087866095,0.018410041841004143
72,72,0.7405857740585774,0.5694444444444444,0.6854111209701272,0.9046879621413783,0.0029288702928870203,0.020083682008368187,0.035146443514644354,0.013389121338912013,-0.0033472803347279756,0.02259414225941425,0.05523012552301254,0.034309623430962444
