,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_temperature_fd3_scaled
26,26,0.9382716049382716,0.9388833333957547,0.9353839801816681,0.9782824112303882,1.8079246015638468,1.0745612040451753,1.9420814072903498,2.290992160051624,0.7738079537217221,0.06213991769547319,0.056790123456790076,0.03991769547325098,0.003703703703703687,0.00905349794238679,0.009876543209876498,0.0024691358024691136,0.011111111111111061,-0.00246913580246918,0.005761316872427957,-0.0020576131687243373,-0.0004115226337449207
27,27,0.934156378600823,0.9350733058899057,0.9373086220789686,0.9806607574536664,2.7509519599605587,1.0801736330854934,1.4279673896673744,1.5895809697463488,0.7060537767039359,0.0699588477366255,0.06748971193415634,0.06666666666666662,-0.002880658436214001,-0.003292181069958866,0.002057613168724259,0.0004115226337448541,0.0012345679012345622,0.0012345679012345622,-0.007407407407407462,-0.003292181069958855,-0.0020576131687242926
28,28,0.9670781893004116,0.9670781893004116,0.9634036144578313,0.9914156626506024,2.627846999622529,0.8184354280960326,0.8276398469824281,2.094631174222641,1.18917528662012,0.08518518518518522,0.0798353909465021,0.032921810699588536,3.3306690738754695e-17,-0.008641975308641924,-0.005349794238683103,-0.006172839506172811,-0.005761316872427957,-0.004938271604938249,-0.007407407407407374,-0.0032921810699588216,-0.005761316872427957
29,29,0.9465020576131687,0.9464505925411274,0.9428876244665718,0.9807254623044097,2.6546162373259956,1.4304208295289331,1.4645080800459545,2.248903327934759,-0.08660715935830982,0.09876543209876544,0.07860082304526753,0.05308641975308646,0.007407407407407451,0.016460905349794275,0.006995884773662586,0.0004115226337448541,0.00905349794238688,-0.003703703703703687,0.004115226337448574,0.003703703703703731,-0.0028806584362139676
30,30,0.934156378600823,0.9343723676336622,0.9278554778554778,0.9874902874902876,2.9273146352161494,0.6329514467392314,1.5893147787594868,1.9074926628263718,0.6078538751789265,0.09999999999999996,0.08065843621399173,0.038271604938271565,0.0016460905349794052,0.0028806584362139785,-0.0020576131687242817,-0.002880658436214023,0.0004115226337448319,0.003703703703703687,-0.006995884773662586,-0.0016460905349794165,0.0016460905349794165
31,31,0.9506172839506173,0.9511640211640212,0.9528508771929824,0.9685672514619883,3.0391739118247676,0.7033999779960883,1.6897259058875174,1.7508474638769844,0.5809011884532714,0.07777777777777778,0.07119341563786008,0.04197530864197531,0.0024691358024691245,0.006584362139917666,0.009053497942386824,0.0008230452674897082,0.006172839506172811,0.0004115226337448541,0.003703703703703687,0.0008230452674897082,0.013991769547325117
32,32,0.9218106995884774,0.9225667158207804,0.9228395061728395,0.9747751867093432,2.8427180215411223,0.898843898419581,1.610549711659854,1.3175501871785824,0.8474424187927333,0.07983539094650209,0.08189300411522638,0.029218106995884795,-0.006584362139917666,-0.006584362139917666,-0.011111111111111061,-0.0012345679012345622,-0.0028806584362139785,-0.006584362139917666,-0.006172839506172811,-0.006995884773662508,-0.011522633744855914
33,33,0.9382716049382716,0.9386705954694283,0.9387915543575921,0.9874962563641809,2.2331017470909686,1.5257221337934728,1.31228761358706,1.8276355639362567,0.9628532994169268,0.0864197530864197,0.06995884773662546,0.01687242798353905,-0.004938271604938349,-0.004115226337448619,-0.008641975308642047,-0.0032921810699589106,0.000823045267489686,-0.009465020576131754,-0.008230452674897193,-0.0032921810699588884,-0.006584362139917766
34,34,0.9423868312757202,0.9423868312757202,0.9376466275659824,0.9830645161290322,2.907685681623527,1.4825820886214933,1.0711509209499999,1.8498139666191369,0.511113546765642,0.11728395061728399,0.09135802469135804,0.07407407407407411,-0.0004115226337448319,0.01193415637860088,-0.007407407407407374,-0.002057613168724259,0.002880658436214034,-0.004115226337448541,-0.0016460905349794052,0.002057613168724326,-0.004115226337448541
35,35,0.9423868312757202,0.9430220256243648,0.9501555325137017,0.9705228854984447,2.6895155603257552,1.3516658554983427,1.8661437288288356,1.4627416690308865,0.3513524168990102,0.13415637860082308,0.07078189300411525,0.04320987654320992,0.001646090534979472,0.012345679012345734,0.011111111111111172,0.0028806584362140453,0.005349794238683192,0.0016460905349794607,-0.003292181069958833,0.0028806584362140453,0.004526748971193461
