,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd2_scaled
12,12,0.9465020576131687,0.9465688993234543,0.9430813439434129,0.9807692307692307,2.335508168991886,0.6895523708756133,0.8307246672351908,2.268684138971653,0.9680726570583246,0.20205761316872425,0.07037037037037039,0.05596707818930043,0.01028806584362144,0.002880658436214001,0.013168724279835443,0.007818930041152305,0.003292181069958866
13,13,0.9218106995884774,0.9227827204585812,0.9258052147239264,0.9708588957055215,1.8168693541847674,0.8450606140809187,1.8611027159953153,2.233022416507592,0.474754169591126,0.17942386831275722,0.08765432098765434,0.028806584362139943,0.0008230452674897193,0.0004115226337448763,0.003292181069958877,0.006584362139917732,0.008230452674897148
14,14,0.9382716049382716,0.9387702475618157,0.9374119856047567,0.9861524018150525,1.754943672646799,1.0579349758128953,1.366359828439132,2.481608381284845,0.4525814644025387,0.17201646090534972,0.06337448559670775,0.018106995884773623,0.007818930041152227,0.006995884773662519,0.03456790123456784,0.00041152263374480966,-0.001646090534979472
15,15,0.9465020576131687,0.9465688993234543,0.9430813439434129,0.9907898614795166,1.9439572252427209,0.4110704498997255,1.789680798592654,2.687194607254135,0.03103456449535221,0.1823045267489712,0.05473251028806585,0.012345679012345701,-0.005761316872427957,-0.010699588477366207,0.0016460905349794607,-0.0028806584362139676,-0.013580246913580207
16,16,0.9423868312757202,0.9423868312757202,0.9387777137921105,0.986323063633746,2.439600709445169,1.203542688577746,1.4531245788413478,1.4994756714042266,0.2671713128802631,0.18847736625514405,0.042798353909465056,0.025925925925925984,0.006584362139917743,0.011111111111111172,0.023045267489711974,0.0032921810699589106,0.006584362139917766
17,17,0.9506172839506173,0.9506172839506173,0.9462864721485411,0.9797376952549366,1.9955093127484416,0.7844779680955736,1.5615603923908743,2.5391210758586324,-0.0709780544944692,0.18971193415637858,0.06666666666666667,0.03127572016460907,0.0024691358024691245,0.0020576131687242705,0.012757201646090555,0.00781893004115226,0.010699588477366262
18,18,0.9300411522633745,0.9297789270922533,0.9210929519918284,0.987012987012987,1.610337850946584,1.1441213287086223,1.6220058388567085,2.2951385445363854,0.5100513930782893,0.1691358024691358,0.029218106995884764,0.00987654320987653,-0.009053497942386834,-0.005349794238683115,0.02016460905349793,-0.0032921810699588438,-0.0008230452674897082
19,19,0.9547325102880658,0.9553324872120303,0.9632867132867133,0.9766899766899767,2.5091307478024008,0.3856039683864284,1.6503049976932735,1.9009448462303953,0.5702645782124947,0.20411522633744852,0.06584362139917695,0.02304526748971193,0.01275720164609052,0.006172839506172811,0.028806584362139908,0.0008230452674897082,0.00987654320987651
20,20,0.9423868312757202,0.942587409120207,0.9365742199810905,0.9817995587771824,1.3833561837214472,0.8127610382755499,1.708065028354676,2.3999992223654862,0.8868105069111294,0.2139917695473251,0.07695473251028809,0.023456790123456816,0.015226337448559713,0.005349794238683181,0.0032921810699589106,0.008230452674897182,0.01193415637860088
21,21,0.9506172839506173,0.9511330555507262,0.9531025107948184,0.9888853350391811,1.4812475537005156,0.9620436803087999,1.7868617139643728,2.352013819295875,0.42876959084591365,0.1794238683127572,0.05432098765432099,0.05185185185185185,0.004938271604938293,0.0008230452674897082,0.008230452674897115,-0.0008230452674897082,0.004526748971193417
