,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_scaled
71,71,0.9745454545454545,0.9743072939377789,0.9536821705426357,0.9976744186046511,2.4842051718518463,0.5421797865811756,2.347764681149694,1.4136550301302095,1.4583993287520665,0.24436363636363634,0.1665454545454545,0.02072727272727265
72,72,0.9672727272727273,0.9678234540193539,0.9653663097059324,0.99209586945436,2.8639886608118217,-0.049772964829812735,2.37583189183905,1.56712710098974,1.498534583460458,0.24654545454545448,0.19418181818181818,0.013090909090909075
73,73,0.9672727272727273,0.9678095550184005,0.9656443774090833,0.992290933467404,2.210406782684596,0.6030211360610008,2.7825550917105235,0.8370134555811454,1.9177387591628179,0.2509090909090909,0.1316363636363637,0.021090909090909084
74,74,0.9745454545454545,0.9741279218543754,0.9468377275580666,0.9954488386691777,2.0596268195563256,0.23346976716850604,2.1574785646170507,1.55938210319096,2.482153800317353,0.24945454545454543,0.15818181818181812,0.033090909090909046
75,75,0.9745454545454545,0.9744477877631861,0.9540878851540616,0.9975490196078433,2.312726560411638,0.40230776266770896,2.538950779749408,1.5147752334768811,1.4828994192192941,0.23127272727272724,0.13709090909090907,0.01563636363636358
76,76,0.9709090909090909,0.9709090909090909,0.9557379687751488,0.9952518911958796,2.3519457646486575,0.2334475825925659,2.328387504715309,1.0069811376853575,2.7853457893947606,0.2665454545454546,0.1683636363636364,0.022909090909090934
77,77,0.9745454545454545,0.9746544573282767,0.9586576798936777,0.9962027719764571,1.9373346836905283,0.7982352873681527,1.5469748820828115,1.7816117823881272,2.5588012456786564,0.2341818181818181,0.13927272727272721,0.017090909090909025
78,78,0.9745454545454545,0.9748916398378974,0.9659683239775461,0.993785084202085,2.169967629665844,0.6435153544548301,1.9968439158450508,1.5697682542208984,2.0092798249524018,0.24690909090909088,0.1363636363636363,0.0192727272727272
79,79,0.9709090909090909,0.9707253369544804,0.9506826741996234,0.9970966729441306,2.1361749162011843,1.0584278862630463,2.0362132804039645,1.9600853314772855,1.419935550424551,0.27381818181818185,0.16472727272727275,0.007636363636363652
80,80,0.9745454545454545,0.9744753279147649,0.9616409952606635,0.9974081753554502,1.7580444017589576,-0.03706295600265643,1.910125625413421,2.5590815149372896,2.068300107343564,0.2654545454545454,0.17890909090909085,0.021818181818181747
81,81,0.9781818181818182,0.9783268101761252,0.9727272727272727,0.9979338842975206,1.9809468873975888,0.7701769904709208,2.451708929696961,1.9033048079342487,1.2731378683935894,0.2498181818181818,0.1767272727272727,0.01599999999999998
82,82,0.9781818181818182,0.9785122230710466,0.9787339714646921,0.9965685389199928,1.7889838202446118,0.8797725714135449,2.5534968249692187,2.0095594617505306,0.6783357064126087,0.21490909090909088,0.17745454545454545,0.03418181818181817
83,83,0.9672727272727273,0.9676117853313136,0.9581845996940337,0.9908210096889342,2.1952998888506183,1.0686136854814148,1.9311305922932267,1.734312342817852,1.3267259912904883,0.23236363636363638,0.18363636363636365,0.028000000000000014
84,84,0.9709090909090909,0.97107540649567,0.9637275930749196,0.9937950053623411,2.307891978760804,0.7810016467784363,2.209139769729446,1.376439243353639,2.0247508851511724,0.2774545454545455,0.17781818181818188,0.021818181818181837
85,85,0.9563636363636364,0.9557530051647698,0.9194390084801043,0.9904598825831702,2.803766191045308,-0.058033599068327224,2.4387442330147615,1.0749756707438984,2.4992792352373456,0.2283636363636364,0.19454545454545463,0.02618181818181825
86,86,0.9927272727272727,0.992764970276932,0.9952380952380953,0.9993406593406594,1.7884435787950015,0.29576200827137644,2.030828338589271,1.8654219283689344,2.198309922438512,0.27745454545454534,0.21527272727272723,0.03963636363636357
87,87,0.9672727272727273,0.9678885970682911,0.9731116899034779,0.9936417956182013,1.946583343653234,0.9706042197408711,1.9200816137674002,2.1285719238781864,1.2470561765193968,0.2796363636363636,0.17818181818181816,0.014909090909090894
88,88,0.9709090909090909,0.9709090909090909,0.9563006515175592,0.9974574924519307,2.120464836441895,0.15666170470968757,2.2069799578668956,1.5843134873132485,2.0357375114024117,0.24690909090909097,0.18690909090909097,0.008363636363636384
89,89,0.9672727272727273,0.9669422912247513,0.9404876871076775,0.993320457106068,2.34222288163585,-0.20841500875822755,2.375915103385864,0.5731622548192901,3.406170553497695,0.24618181818181814,0.1592727272727273,0.0170909090909091
90,90,0.9745454545454545,0.9744575506043396,0.9568181818181818,0.9957851239669421,2.029448309957562,0.0248533416066377,2.018580009283816,1.9385313072818657,2.5593263742071843,0.23163636363636358,0.17854545454545448,0.027272727272727216
91,91,0.9781818181818182,0.9779715261521931,0.9623377520022094,0.997859707263187,1.548681145952235,0.4588665594311614,1.5321828984944796,2.214975543149081,2.4709129096027755,0.29818181818181816,0.18654545454545451,0.028363636363636324
92,92,0.9672727272727273,0.9669814483037623,0.9445706497046797,0.9965924579736484,2.084149969885359,0.10915644164183277,2.143392181461205,1.9510478822246549,1.6536736098646572,0.2236363636363637,0.17781818181818182,0.017818181818181823
93,93,0.9781818181818182,0.9780209476622033,0.9577596464388918,0.9978752337242903,1.6323810001574945,0.9896085734914266,2.3243361175295068,1.391804623021454,2.105160514335732,0.26509090909090904,0.14472727272727268,0.010909090909090879
