,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_fd3_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd1_scaled
20,20,0.9670781893004116,0.9671928052115469,0.9652930980144974,0.9904664355499527,2.3176979639034028,0.019195340465749368,1.8482452317855724,1.9155730921458807,1.6293697242653369,0.12962962962962968,0.08148148148148152,0.03950617283950623,0.005349794238683181,0.013580246913580308,-0.0004115226337448319,0.008230452674897182,0.01399176954732514,-0.0032921810699588104,0.010699588477366318,0.008641975308642047,0.004938271604938338
21,21,0.9423868312757202,0.942599451303155,0.9357908204062051,0.9848872541180234,1.7147152495337177,1.3427947157045064,2.162921111426616,1.196922375251811,1.3787353890736573,0.1004115226337449,0.05679012345679017,0.018518518518518556,0.006995884773662609,0.0020576131687243147,0.0024691358024691913,0.00246913580246918,-0.0004115226337448319,0.0032921810699588993,0.0004115226337448985,-0.003703703703703687,3.3306690738754695e-17
22,22,0.934156378600823,0.9344798040138541,0.9332691453118056,0.983113612798104,2.141140533841432,0.6537678747534384,2.3861313605847245,1.6328358000098222,0.8419952157952563,0.07654320987654319,0.08189300411522629,0.04567901234567897,0.01358024691358023,-0.006172839506172878,0.003292181069958833,0.003703703703703687,0.0127572016460905,-0.0016460905349794275,0.013168724279835353,0.012345679012345645,0.005349794238683103
23,23,0.9753086419753086,0.975475553253331,0.9784509927513394,0.9898361172392057,2.5926125104688613,0.49406175080950426,1.8464722012853558,1.7607661367790919,0.9374237493578307,0.12345679012345678,0.08436213991769549,0.0559670781893004,0.014403292181069982,0.009053497942386846,0.0008230452674897082,0.010288065843621408,0.006995884773662531,0.0012345679012345622,0.011522633744855982,0.006584362139917666,0.004938271604938249
24,24,0.934156378600823,0.9344798040138541,0.9332691453118056,0.9810398459487484,1.912019837550912,0.6253073828470664,1.660747528177034,2.2402346706963847,1.3058860007758875,0.09382716049382712,0.10329218106995881,0.03168724279835389,-0.002880658436214012,0.0028806584362139785,-0.006995884773662586,-1.1102230246251566e-17,0.0020576131687242705,-0.0004115226337448652,0.003292181069958833,0.0024691358024691245,-0.006995884773662586
25,25,0.9753086419753086,0.9754384809932137,0.9783243486073675,0.9928122192273137,2.2061467984633985,0.3735184784824848,1.9880795963544917,2.207084604359208,0.6705632239521552,0.10658436213991769,0.11358024691358024,0.04814814814814815,0.0065843621399176875,0.018930041152263398,-0.0028806584362139785,0.007407407407407407,0.013991769547325127,0.005349794238683115,-0.0008230452674897082,0.00864197530864198,0.004526748971193395
26,26,0.9423868312757202,0.9432621312963193,0.9467795210569777,0.9834847233691164,1.8993576901653637,1.1413924803884996,1.314527331944353,1.5781686398033088,1.6864702953802393,0.11316872427983546,0.07325102880658442,0.044444444444444495,0.01316872427983543,0.006584362139917754,3.3306690738754695e-17,0.007818930041152328,0.009876543209876609,0.006995884773662619,0.005761316872428058,0.0008230452674897526,0.005761316872428035
27,27,0.9135802469135802,0.9143661139970982,0.9069701853344078,0.9716357775987108,2.196818355465585,1.138783363602377,1.6855877699771868,0.7247712736593547,1.8251455405941057,0.06090534979423863,0.07201646090534973,0.04814814814814809,0.0057613168724279466,-0.005349794238683181,-0.0037037037037037533,-0.004938271604938327,0.006172839506172811,-0.0024691358024691913,-0.006995884773662619,0.0004115226337448319,-0.004526748971193473
28,28,0.9629629629629629,0.9630158005132194,0.9602786144578312,0.9943524096385542,2.5953108105461586,0.4683022658914441,1.6554556522381088,1.2878561414090766,1.6374827637884064,0.06995884773662547,0.09218106995884769,0.0275720164609053,0.006584362139917655,-0.0061728395061729,0.0016460905349794165,0.009465020576131643,0.007407407407407374,-0.002880658436214034,0.006995884773662519,0.001234567901234529,0.0016460905349794052
29,29,0.9382716049382716,0.9383285731970915,0.936130867709815,0.9771692745376955,2.366062280040082,1.231368964164874,1.892422093960671,2.0246331807597744,0.23133594222883275,0.12057613168724272,0.08477366255144028,0.04238683127572011,0.0020576131687242262,0.02551440329218104,-0.003703703703703731,0.012345679012345633,0.0032921810699588216,-0.0004115226337448874,0.007407407407407374,-0.0004115226337448985,-0.0024691358024691913
