,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled
15,15,0.9345454545454546,0.9334766803102111,0.8960246842709529,0.9815585533869116,2.0431911389797106,2.0654426739586773,2.818200050366253,0.6087648282431197,0.44749333300780947,0.24000000000000005,0.00036363636363638817,-0.0010909090909090647,0.001454545454545464
16,16,0.96,0.9598544676297485,0.9321349651538331,0.9915009348971613,2.48182618920026,1.5152822302267912,2.148590382531636,0.6835331781200162,0.7788001972916327,0.20109090909090907,0.04254545454545451,0.005818181818181745,0.0003636363636363438
17,17,0.9636363636363636,0.963127504303975,0.9306506849315068,0.989481409001957,2.2990191261776793,2.663092964697428,1.6946298110757976,0.17963111532570758,0.7758274826420396,0.21600000000000003,0.04909090909090911,0.0032727272727272826,0.0069090909090908535
18,18,0.9490909090909091,0.9482797202797203,0.9168087524865018,0.9923273657289002,2.0833845459458193,1.9197930652602933,2.174936970958949,0.37894312560193555,0.9437222338604112,0.2450909090909091,0.03272727272727274,0.010545454545454525,0.0025454545454545617
19,19,0.9672727272727273,0.9670389978660734,0.9503935376967689,0.9920602043634354,2.4914555248272987,2.2073617196967197,1.7852515300233103,0.2402696135346223,0.6964509277976216,0.26981818181818185,0.0065454545454545765,0.0014545454545454527,0.0036363636363636598
20,20,0.9636363636363636,0.9639350553998132,0.9442889137737962,0.9899216125419933,2.622525705639026,2.0036567322677774,2.319487307341021,0.5608949525295618,0.21402187897430408,0.19345454545454546,0.03236363636363636,0.005090909090909079,-0.006909090909090943
21,21,0.9672727272727273,0.9671567343228278,0.9446539299480476,0.9927936986760516,2.9818308657169634,2.0342281444151387,1.3906096987348546,0.34654031687299774,0.8764816389973652,0.1905454545454546,0.06909090909090912,0.0036363636363636485,0.000363636363636366
22,22,0.9672727272727273,0.966677367576244,0.9318181818181819,0.9882644628099173,2.1851620114204393,1.8206250043000953,2.2872388473349035,0.5530126636304404,0.5653624134352165,0.2123636363636364,0.015636363636363625,0.0018181818181818299,-0.001454545454545464
23,23,0.96,0.9596063263198394,0.9304385825520419,0.9907834101382488,2.615518461748801,1.6940531316139553,2.2458654770841977,0.47233118098602184,0.3814167375128169,0.2105454545454545,0.02290909090909087,0.0072727272727272085,0.006545454545454477
24,24,0.9345454545454546,0.9332066115702479,0.8827268393453043,0.986016208485619,2.4397768471571384,1.8421955151229499,2.0524905882387614,1.0181156371837665,0.2231320794044728,0.1901818181818182,0.019272727272727296,-0.007999999999999974,0.000363636363636366
25,25,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.9941498815165878,2.8408671670552703,1.735915196267592,1.7499810168384011,0.9514996979101118,0.2669774053791802,0.25636363636363635,0.00800000000000003,0.006545454545454588,-0.00036363636363633266
26,26,0.9563636363636364,0.9560736523750223,0.9271286013198132,0.9927571221632062,2.4809061295593495,2.363518669305408,1.2026904232519713,1.0473045678721082,0.7006390103637952,0.21309090909090914,0.02690909090909096,0.006545454545454588,0.0010909090909091202
27,27,0.9672727272727273,0.9669422912247513,0.9404876871076775,0.9950909383550619,1.956728575155321,1.9652902348935086,1.9176963773139046,1.0558409193531493,0.7015479008073158,0.21018181818181825,0.014545454545454539,0.007999999999999997,0.009090909090909104
28,28,0.96,0.9601417691609883,0.9393166751657318,0.9945605983341832,2.1709992084917507,2.131617105533517,2.0067245339679842,0.4954610799778376,0.8621939288389342,0.1912727272727272,0.05163636363636361,0.0021818181818181294,-0.000727272727272732
29,29,0.9709090909090909,0.9709090909090909,0.9495227606461086,0.9909140969162996,2.5866495056030145,1.8274145603935812,1.5832697885850195,1.0173875652792765,0.7132830023516739,0.18327272727272734,0.04836363636363642,0.0123636363636364,0.0010909090909090979
30,30,0.9527272727272728,0.9525798399701402,0.926789077212806,0.9876020087884494,1.5696366777980726,2.4551901335116817,1.8423414958449522,1.0231619301932195,0.9211979738910429,0.22072727272727272,0.052000000000000046,0.003272727272727294,-0.0018181818181818299
31,31,0.9563636363636364,0.9560880054317206,0.9291038920276209,0.9953703703703703,2.5548960664106257,1.9864192953501325,1.9042527726517238,0.9534558701410017,0.060927946595121366,0.2156363636363637,0.016363636363636393,0.002181818181818207,-0.002545454545454506
32,32,0.9672727272727273,0.9675948239201311,0.9590909090909091,0.9962809917355372,3.140698350562822,1.9946938428257435,1.940151300157057,0.6516614361586898,-0.27911447067538675,0.1872727272727273,0.006545454545454554,0.0029090909090909167,0.000363636363636366
33,33,0.9636363636363636,0.9638719400670148,0.9505870841487281,0.992579908675799,2.849449449620151,1.7228130857377102,2.0856515050411732,1.015196595112965,-0.15403877856396758,0.22545454545454544,0.000727272727272732,0.0036363636363636377,0.000363636363636366
