,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_scaled
79,79,0.9588477366255144,0.9589787043348734,0.9563908613769682,0.9873417721518987,1.1228634749085096,2.618455130966103,0.6785996133623029,1.4529326993984333,1.4031133109370661,0.3781893004115226,0.31358024691358016,0.19629629629629627
80,80,0.9465020576131687,0.9466564528292922,0.9464516129032259,0.9848028673835125,1.6257012355005138,3.5724443006286335,0.7984097403201383,0.5202976304139642,1.0181438218856227,0.3477366255144033,0.29218106995884774,0.1823045267489712
81,81,0.9382716049382716,0.9386386420127615,0.931583688175565,0.9856698329511955,1.300060027003478,3.2077886661658366,1.0618228178799272,0.878151880161357,1.2507393969656848,0.41769547325102874,0.36584362139917687,0.21028806584362134
82,82,0.9382716049382716,0.9384644888520858,0.9374277038750722,0.9723105841526894,1.9993533696825307,3.022284625795281,0.541374047411991,0.9571360373855391,1.0874153941345035,0.33909465020576135,0.26625514403292183,0.1909465020576131
83,83,0.9506172839506173,0.950738568480504,0.9488284703801946,0.9761273209549072,0.9682919057873121,2.895704753343672,0.7213202058437685,1.6742646107926105,0.982214536162423,0.3559670781893004,0.26584362139917694,0.17983539094650203
84,84,0.9465020576131687,0.9466501750861006,0.9465586177352563,0.9790803941168071,1.487488539386921,3.381608180480945,0.1774324805865996,0.456612380885456,1.9414768698540124,0.3209876543209877,0.25802469135802475,0.17160493827160495
85,85,0.9465020576131687,0.9467773418308888,0.9431531673495115,0.9830601953986764,1.4862938534471626,2.7102203115015917,0.21114263076525264,1.6024245608885923,1.2976447050749325,0.34732510288065843,0.2781893004115227,0.14238683127572016
86,86,0.9506172839506173,0.9509713516436913,0.9493043339197185,0.9837677914600992,2.073651089867503,2.965812363958037,0.4041376904547759,0.29508145306684586,1.6029459979065135,0.3757201646090535,0.29506172839506173,0.2094650205761317
87,87,0.9300411522633745,0.9296594453942374,0.9139805977155375,0.9745736191519324,1.2845981505678958,2.79332167974891,0.467194794150776,1.1289686480104,1.719871500244059,0.30493827160493825,0.22798353909465022,0.19670781893004113
88,88,0.9753086419753086,0.9753086419753086,0.9723905468868352,0.9878806241478564,1.3209609071215362,3.0589457667720086,0.26118376120249376,1.1001998510671491,1.428020744656449,0.39300411522633744,0.34814814814814815,0.2135802469135802
