,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled
66,66,0.8477366255144033,0.8475656205471338,0.8363938692886062,0.9423076923076923,2.837820977666334,0.4830041645167652,1.3100487012730628,2.0501606192158905,0.10671088277434829,0.14320987654320994,0.007818930041152295,0.0008230452674897526,0.0049382716049383045
67,67,0.8806584362139918,0.8811212652301336,0.8728965003723008,0.9501861504095308,2.3745408260455574,-0.011473285905088011,1.8758850672570733,1.8154167952859983,0.20008203863226984,0.12921810699588474,0.013168724279835375,-0.0016460905349794386,0.01358024691358024
68,68,0.8189300411522634,0.815588869292573,0.7791027607361963,0.9191717791411043,2.5705969128051054,-0.2390267135015803,1.4403681908863537,1.8837766746747078,0.47650901208141616,0.10370370370370371,0.006995884773662619,-0.009876543209876475,-0.002057613168724237
69,69,0.8477366255144033,0.8460146463210978,0.8205948795180723,0.9356174698795181,3.426292980537413,1.3004961213172792,1.0104063772579142,1.3747895545720712,0.5730591620972231,0.14115226337448566,0.0004115226337448652,-0.0028806584362139564,-0.002057613168724259
70,70,0.831275720164609,0.8315401327961713,0.8105828220858895,0.9203220858895705,2.056790741885956,0.6695638249004469,1.3678255004386426,1.9196281772475914,1.0225153108543077,0.14320987654320985,0.014403292181069971,0.014814814814814803,0.01358024691358024
71,71,0.8559670781893004,0.8578163924482781,0.8506483482556344,0.935937017598024,2.7665791805029802,-0.00589155863233388,1.2431856390863345,2.2741842233171434,0.05097514172222288,0.12427983539094649,0.009465020576131656,0.0028806584362139785,0.003292181069958855
72,72,0.823045267489712,0.8237548604020338,0.8086253369272237,0.9100029949086553,2.4682059747389964,0.24747492704899604,1.8008224574558913,1.8482416167035367,0.2576451870364222,0.12962962962962962,0.016872427983539127,0.006584362139917721,-0.01275720164609051
73,73,0.8518518518518519,0.8485714285714285,0.8148148148148149,0.9336229233348574,2.68154417295774,0.27383626398538063,1.4977658664896247,1.7583752877959846,0.3512925103921351,0.1551440329218107,0.01810699588477368,0.011111111111111127,0.02016460905349795
74,74,0.8353909465020576,0.833866788599299,0.8096361185983827,0.9202605570530098,3.0548319692727164,0.6114171156423688,1.0486529850993784,2.2115093830560535,0.06270715857583262,0.13580246913580246,0.008641975308641959,-0.012757201646090555,-0.011934156378600846
75,75,0.8765432098765432,0.8757574036203893,0.8559687926071807,0.95864262990456,2.7999836576719677,-0.4188969667826431,1.0079915241628936,1.8167788837011587,0.6236122644535494,0.17242798353909466,0.004115226337448585,0.01440329218106996,0.008230452674897115
76,76,0.8724279835390947,0.8713339052378999,0.847622699386503,0.9366564417177915,2.0375311739970483,0.23988597885997281,1.6203106099575435,2.521853050374209,0.020060286734233535,0.15185185185185185,0.009876543209876566,0.002057613168724304,0.004526748971193417
77,77,0.8518518518518519,0.8509653419515562,0.8306379155435759,0.9269991015274034,2.549660294880517,0.030933664204217594,1.7508568740539188,1.7938733293243394,0.2116045531858684,0.1699588477366255,0.0024691358024691245,0.005349794238683125,0.0004115226337448652
78,78,0.8683127572016461,0.8670168230046108,0.8437736706559612,0.9509922738978942,2.209421729732849,-0.5245580188766594,1.047369123805825,1.4969511140162624,1.5748719570919303,0.13539094650205769,-0.0008230452674896638,0.0037037037037037646,0.0061728395061729
79,79,0.8600823045267489,0.8596093892390189,0.8372954615622106,0.9400277863538129,2.810748032036925,0.04721669533958766,0.9332047130283577,2.3024861325170387,0.4024239356848442,0.1502057613168724,0.011522633744855936,0.007407407407407374,0.0127572016460905
80,80,0.8683127572016461,0.8674090212216574,0.854516129032258,0.9527598566308244,2.475353227151567,-0.5306901012327456,0.8244601231239427,2.6160856414746374,0.19236635984638625,0.1827160493827161,-0.002057613168724237,-0.008230452674897049,0.007407407407407441
81,81,0.8395061728395061,0.8377271226147752,0.7956518178840485,0.9204880445463478,2.393519317138392,0.12227082100663747,1.6150972000540829,1.4053382253072135,0.6546724396066009,0.11358024691358018,0.0008230452674896638,-0.003703703703703776,0.00041152263374480966
82,82,0.8518518518518519,0.8503454825293905,0.8330682475419318,0.94237998843262,2.3438174669952696,-0.897346581308368,1.1725085277210858,2.2226917829528716,0.5660314936994574,0.17736625514403292,0.005761316872427991,0.003292181069958855,0.006172839506172856
83,83,0.8641975308641975,0.864367205974923,0.8535587975243148,0.943118184497495,2.6823401638370004,0.27635808719525873,1.326427672121069,1.7263433693853356,0.7196476607360497,0.16090534979423865,0.014403292181069904,0.011111111111111061,0.008641975308641936
84,84,0.8847736625514403,0.8837193039081201,0.8706982721690704,0.9470941025274882,2.837214270815853,0.42622416128848184,0.971350942243548,2.23909059010915,0.07909494835349747,0.17983539094650203,0.0012345679012345401,0.00411522633744853,0.007818930041152227
85,85,0.8930041152263375,0.8921913366357811,0.8683816577371573,0.9538291837377877,2.331582568782795,-0.2922024665837899,1.0492142084939853,1.8905522519710458,1.1743195953952794,0.15596707818930047,0.013168724279835443,0.014403292181069994,0.018106995884773693
86,86,0.8641975308641975,0.8639359163309156,0.8377978570286262,0.9460259075643691,2.6775772926664887,-0.33862070840769526,1.309614073344505,1.914871966865049,0.2960554340813357,0.13456790123456783,0.002469135802469091,0.0024691358024691024,0.006584362139917655
87,87,0.8641975308641975,0.8639576395567681,0.8414176185260522,0.9352214051009232,2.4129971817452582,-0.18915538741182086,1.7229758687498355,1.8816075402246988,0.38003827404335266,0.16913580246913576,0.008230452674897082,0.009465020576131643,0.01975308641975304
88,88,0.8765432098765432,0.8748740970963192,0.8499848507801848,0.9537948795637023,2.455643531140465,-0.016406755031052843,0.8382266181668578,2.3849958507676328,0.4062143549389118,0.14609053497942387,0.023456790123456795,0.006584362139917721,0.018106995884773668
89,89,0.8600823045267489,0.8578950335419133,0.8244797371303396,0.9308402440932562,2.951432553143388,0.022029075414275547,0.9622827237183396,1.2745872027201357,1.0498175425837515,0.13045267489711931,0.013168724279835365,0.006584362139917643,0.00781893004115224
90,90,0.8559670781893004,0.8602923911565888,0.8595378151260504,0.9407563025210085,3.1421864384183418,-0.2803661031813666,1.2081510146702563,1.8977571297070108,0.10093263645373332,0.15925925925925924,0.013168724279835387,0.011934156378600801,0.006995884773662542
