,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_humidity_fd1_scaled
100,100,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.9966853646098929,2.2849225836753617,2.839966541425688,0.8560037394027596,1.6403357351334669,0.743448533388129,0.10036363636363632,0.055636363636363595,0.019999999999999907,-0.003272727272727294,0.0010909090909090647,0.0018181818181817633,-0.001454545454545475,-0.0021818181818181958,-0.001090909090909109,-2.2204460492503132e-17,0.0032727272727272163,0.0014545454545453972
101,101,0.9636363636363636,0.9633884297520662,0.9372961513372473,0.9973907371167645,1.998420147119896,2.2866100115531647,1.0861394429247948,1.5592548401114834,2.129594583771217,0.10799999999999998,0.04581818181818181,0.0032727272727272605,-0.006909090909090909,-0.007272727272727308,-0.000363636363636366,-0.013454545454545441,-0.010909090909090879,-0.0061818181818182215,-0.003272727272727294,0.000363636363636366,-0.007636363636363652
102,102,0.9709090909090909,0.9713161783750018,0.9673163159710245,0.9951707485339772,2.8650029216790927,2.351644811634055,1.580060219649917,1.6618552344996795,0.34626946915753537,0.0887272727272728,0.03709090909090913,0.000727272727272732,1.1102230246251566e-17,-0.002545454545454473,0.0036363636363636598,-0.0003636363636363549,-0.00363636363636356,-0.00618181818181811,-0.005454545454545379,-0.0007272727272727098,-0.005090909090909012
103,103,0.9818181818181818,0.9818748867247713,0.9758461782933419,0.9961862386778961,1.858289115804726,1.9438928162180489,0.968890813900449,1.6296862601029019,2.0156326951596393,0.11527272727272724,0.10145454545454544,0.027636363636363626,0.00872727272727274,0.01018181818181817,0.01018181818181818,0.0021818181818181958,0.0036363636363636598,0.014545454545454539,0.0036363636363636485,0.0018181818181818299,0.0025454545454545617
104,104,0.9890909090909091,0.9892010544402344,0.9932126696832579,0.9982403217697335,2.6073932083037987,2.1832226053309385,1.1017136408855883,1.0399797610557937,1.4321652112327736,0.12145454545454548,0.0625454545454546,0.002909090909090928,0.010181818181818247,0.002909090909090928,0.0018181818181818299,0.00545454545454549,0.0021818181818181958,0.0061818181818182215,0.004000000000000026,0.0010909090909090979,0.000363636363636366
105,105,0.9709090909090909,0.971097552053612,0.9617987606001304,0.9923352902804958,2.0819513543900916,2.040317523821394,1.421614701138806,1.3662547595688128,2.0228294638169286,0.10327272727272732,0.07854545454545458,0.019636363636363653,0.002909090909090928,0.002909090909090928,0.0025454545454545617,0.0010909090909090979,0.000727272727272732,0.0014545454545454861,-0.0021818181818181294,0.00872727272727276,0.001454545454545464
106,106,0.9672727272727273,0.9669740986459971,0.943810326336755,0.9963995710127164,2.9488241032207396,2.2086873620010348,0.5912852752943498,1.5652007099904583,1.1552085069381643,0.10509090909090912,0.07163636363636364,0.009090909090909071,0.0040000000000000036,-0.0025454545454545287,0.010909090909090868,-0.005818181818181789,-0.0014545454545454527,-0.0029090909090909167,0.000363636363636366,0.0036363636363636598,-0.0018181818181818188
107,107,0.96,0.9598898010089163,0.9412766587677726,0.9941498815165877,2.133872094165098,2.341069199783457,0.8970948429341216,2.0740774380147156,1.732946755951478,0.11090909090909085,0.08036363636363632,0.013090909090909065,0.005454545454545412,-0.000727272727272732,-0.004000000000000026,0.0,0.0,-0.000363636363636366,-0.0061818181818182215,-0.003272727272727294,0.0007272727272727098
108,108,0.9745454545454545,0.9748876044318788,0.9778509768287142,0.9978797516280479,2.568338290256265,2.78147712208018,1.1736188944847088,1.0302468851594493,0.686743993750707,0.10472727272727264,0.042909090909090855,0.0010909090909090534,0.004363636363636314,0.0018181818181817854,0.003272727272727205,-0.0061818181818182215,-0.001454545454545475,-0.004000000000000026,0.0025454545454544953,-0.002909090909090939,-0.0040000000000000365
109,109,0.9854545454545455,0.9855464224318508,0.9843473362304844,0.9964590375020119,2.343535756827843,2.451131300967068,0.6968316701893035,2.0711504299157544,1.6648315314781605,0.10981818181818181,0.07236363636363637,0.01309090909090912,0.013454545454545474,0.006909090909090953,0.00981818181818186,0.0043636363636363916,0.008000000000000052,0.006545454545454588,0.005818181818181856,0.0036363636363636598,0.000727272727272732
