,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
28,28,0.9563636363636364,0.9563636363636364,0.9298827129015809,0.98946115927248,3.04801383757947,2.092313358655379,1.675258673445884,-0.18684296334033282,1.5044783458806843,0.12000000000000006,0.06545454545454552,0.02872727272727278,0.008727272727272773,0.0032727272727273047,-0.003636363636363593,4.4408920985006264e-17,-0.00036363636363633266
29,29,0.9381818181818182,0.940591893918617,0.9379129955947136,0.98568281938326,2.3615585624302318,2.8491790722283743,1.2812592438399109,1.1284328576728704,0.5290487329504863,0.09890909090909096,0.051272727272727324,0.01490909090909095,-0.013090909090909052,-0.007636363636363585,-0.007636363636363575,-0.011636363636363601,-0.0047272727272726685
30,30,0.96,0.9593438771997326,0.925258945386064,0.99278091650973,1.495134336317817,2.767270630496158,1.2443426057610518,1.4327042559117114,1.3820149851419365,0.13018181818181812,0.08290909090909088,0.0367272727272727,-0.004363636363636403,-0.0018181818181818633,0.005454545454545412,0.005454545454545401,-0.0007272727272727653
31,31,0.9709090909090909,0.9712500522305947,0.9691619585687382,0.996939736346516,0.9818309777605053,3.0621177298971385,1.348259036897936,0.7717348313935196,1.3767780163363894,0.1276363636363637,0.07781818181818183,0.03963636363636366,0.014909090909090927,-0.0007272727272726875,0.00618181818181821,0.0010909090909091202,0.0021818181818181958
32,32,0.9381818181818182,0.9387902229602479,0.9136363636363636,0.9881818181818182,1.7754599784106164,3.366979584465702,1.0622988716280375,1.6460825591997752,0.343008871604821,0.08072727272727279,0.10290909090909098,0.022181818181818237,-0.0014545454545453972,-0.012363636363636332,0.001454545454545475,-0.00036363636363632155,-0.0021818181818181403
33,33,0.9745454545454545,0.9747896960610605,0.9707273320287019,0.9933137638617091,2.649531263892765,2.0583964709203655,0.9828691807386438,1.002287162275911,1.4524041428835384,0.12836363636363632,0.10509090909090901,0.026545454545454483,0.013818181818181762,0.008727272727272672,0.013818181818181752,0.010181818181818125,0.007636363636363585
34,34,0.9672727272727273,0.9673857466255894,0.9516507457683928,0.9916205798558739,2.2313947415039657,2.4048420587472306,0.6866422237417146,0.8716244366684849,1.7966377416867931,0.12654545454545457,0.1061818181818182,0.018181818181818188,0.01018181818181818,0.013090909090909097,0.000363636363636366,0.003272727272727294,0.0021818181818181958
35,35,0.9563636363636364,0.9572335883294787,0.9514278429372769,0.9851266360700324,2.0874198087358895,2.682533521335322,0.6302816743619103,1.1024564670596586,1.9045283839102405,0.12727272727272737,0.06981818181818186,0.017090909090909122,0.005818181818181856,0.012000000000000044,0.01781818181818189,0.0007272727272727541,0.0010909090909091423
36,36,0.9672727272727273,0.9669336692141409,0.9395792563600782,0.9944553163731247,2.482439786974598,2.908131129980931,0.6735947013314922,1.4707369757684747,0.6054785902017166,0.14654545454545453,0.09600000000000002,0.04618181818181821,0.013818181818181795,0.002909090909090928,0.007272727272727275,0.00436363636363637,0.006545454545454554
37,37,0.9636363636363636,0.9638603549620498,0.9516923565866836,0.9915779437470206,2.10463710688201,2.61917324403608,0.7997184119622599,1.7682111056327952,0.7872832341776661,0.13745454545454544,0.06981818181818181,0.026909090909090903,0.007999999999999985,0.0072727272727272415,-0.0007272727272727208,0.015636363636363636,0.0010909090909090758
