,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_temperature_fd1_scaled
32,32,0.9454545454545454,0.9469476885881962,0.9454545454545454,0.9862809917355372,1.7619387870052465,3.371981990658946,0.3433694955729905,1.6951587743549896,0.4697813068434069,0.08254545454545453,0.04545454545454545,0.030181818181818164,0.004727272727272714,0.004727272727272691,-0.000363636363636366,0.0032727272727272605,0.007636363636363608
33,33,0.96,0.960383808095952,0.9483039791258969,0.9897260273972602,2.2338583124315625,3.088598313973399,0.6590290096062111,2.497907090594848,-0.04394987337629431,0.12545454545454543,0.06218181818181813,0.04254545454545452,0.013454545454545408,0.006181818181818122,0.0029090909090908725,0.0021818181818181294,-0.0010909090909090979
34,34,0.9709090909090909,0.9712957362272431,0.9679068208479973,0.9912016088486677,1.6553463406142401,3.2958078360178984,0.45298659008846087,2.269267574182562,0.17538831211669564,0.10363636363636367,0.04145454545454549,0.01563636363636365,0.004000000000000026,0.014181818181818207,0.008363636363636406,3.3306690738754695e-17,0.00545454545454549
35,35,0.9709090909090909,0.971662935487175,0.9819819819819819,0.9858065612782594,1.5250519568580727,3.2993475819023272,0.15289403250286665,1.6699546202742022,1.124668179599329,0.09672727272727276,0.04872727272727277,0.022181818181818212,0.006909090909090943,0.01927272727272731,0.013454545454545474,0.001454545454545475,0.013454545454545486
36,36,0.9709090909090909,0.9709090909090909,0.9551532941943901,0.9936399217221136,2.3271388595874343,3.503112379941338,0.46977994892974523,1.054200245044089,0.5215426456017707,0.08109090909090913,0.06363636363636369,0.038545454545454584,0.007636363636363675,0.012000000000000021,2.2204460492503132e-17,-0.0014545454545454195,-0.0003636363636363105
37,37,0.9636363636363636,0.964275666114183,0.9643254409661529,0.9868901954552678,1.5955819127392614,3.3852111463996812,0.7864515796510004,2.230299250227464,0.13144439519799064,0.09781818181818179,0.04254545454545455,0.027636363636363605,0.01709090909090908,0.005090909090909079,0.009090909090909061,0.0,0.005090909090909057
38,38,0.9454545454545454,0.9462245989304812,0.935077519379845,0.9826356589147287,2.8382652125663834,3.1667825951739497,0.8136795403669606,1.2008144134920908,-0.09551132928512074,0.0789090909090909,0.039999999999999994,0.041818181818181796,0.005454545454545434,0.005454545454545445,0.0029090909090908946,-0.0036363636363636598,-0.003272727272727294
39,39,0.9672727272727273,0.9671731843971505,0.9490310077519379,0.994108527131783,1.8026637019552578,3.028442713367606,0.5437450403458447,1.7178409204496254,0.5967278032219163,0.08872727272727274,0.07272727272727275,0.03636363636363636,0.001454545454545464,-0.0007272727272727208,0.0018181818181818299,-0.0032727272727272718,0.0018181818181818299
40,40,0.9636363636363636,0.964361323607899,0.9631140574536801,0.9906510283868775,1.4954144742981483,2.865697873214253,0.3843223922045081,1.977594059564792,1.1924237192816463,0.09963636363636363,0.05381818181818181,0.0247272727272727,0.0014545454545454527,0.009090909090909071,0.0010909090909090758,-0.0025454545454545617,-0.00036363636363637706
41,41,0.9490909090909091,0.9504933343375761,0.9613553113553114,0.9816117216117216,1.918418838902603,2.740794744022105,1.1915320634559008,2.2985006036785465,0.06222164349085879,0.12654545454545454,0.057454545454545446,0.04436363636363638,0.011272727272727278,-0.001454545454545464,0.009090909090909094,0.002909090909090928,0.001454545454545464
42,42,0.96,0.9605600655395845,0.9373594931534845,0.9923359901900675,2.255800800345681,2.629504751356977,0.48610119591982504,2.5974271349909084,0.10784445571849828,0.08181818181818178,0.018181818181818143,0.025454545454545407,0.00036363636363633266,-0.004727272727272758,-0.002909090909090928,-0.0036363636363636598,-0.001818181818181841
43,43,0.9418181818181818,0.94332587097435,0.9352371239163693,0.9809620941696413,1.6551474116866436,3.625715301994922,0.36459525280050514,2.0296037496284303,0.5051565558912973,0.07818181818181814,0.053818181818181765,0.03345454545454542,0.00472727272727268,0.002545454545454484,0.00036363636363633266,-0.002909090909090939,0.0032727272727272492
44,44,0.9345454545454546,0.936964560862866,0.9379143294237634,0.979347271800102,0.9790680597840994,3.238584046089126,0.10044508696576185,1.873831231609821,1.657048000287247,0.06727272727272729,0.07781818181818186,0.03490909090909093,0.02072727272727275,0.020363636363636396,0.00618181818181821,-0.0029090909090908833,0.013818181818181863
45,45,0.9636363636363636,0.9636363636363636,0.9473341504519688,0.9890455032940095,1.5327975401281155,3.0691277331661455,0.48888935734572464,2.1893055985880583,0.798234392653256,0.12218181818181817,0.015636363636363615,0.028727272727272723,0.0021818181818181737,-0.005090909090909113,0.004727272727272702,-0.003272727272727294,-0.001090909090909109
46,46,0.9890909090909091,0.9890501549014613,0.978527078302863,0.9982752673335633,1.5038323975368126,2.843850624268047,0.7414455434250241,1.8454839805890964,0.6046552611328354,0.1196363636363637,0.0363636363636364,0.053818181818181855,0.012363636363636432,0.006909090909090953,0.01418181818181825,0.01163636363636369,0.0043636363636363916
47,47,0.96,0.9601129411764706,0.9455929123125852,0.9940935938209904,2.2963248584175013,3.530875989135214,0.7617410578472003,1.3995376826563914,-0.28908737080145913,0.09309090909090904,0.07636363636363631,0.05018181818181816,0.005454545454545412,-0.004727272727272758,-0.00545454545454549,-0.006909090909090953,0.005454545454545401
48,48,0.9636363636363636,0.9641322314049586,0.9559323474417813,0.992775794662587,1.7310472363391098,3.389066532763516,0.9111061452609951,1.829561850478589,0.17733382453982793,0.12472727272727271,0.04581818181818183,0.0370909090909091,0.007636363636363608,0.003999999999999981,0.0032727272727272826,0.001454545454545464,-0.0007272727272727431
49,49,0.9490909090909091,0.9504441677044416,0.9464901690238012,0.9855122456019316,1.856056891781583,3.2287961642346903,0.5558263694297912,2.217931901701031,0.31450111689600646,0.07890909090909093,0.045454545454545456,0.01272727272727272,0.007272727272727264,0.005090909090909102,0.005090909090909113,-0.0036363636363636598,0.0018181818181818299
50,50,0.9818181818181818,0.9818898519563709,0.972954668593101,0.9949431099873577,1.995359922476269,3.011892728659808,0.24067429019860756,2.642992693507907,0.18435426397956117,0.11090909090909089,0.059636363636363654,0.036363636363636334,0.0043636363636363916,0.011272727272727268,0.012363636363636344,0.0025454545454545617,0.008000000000000018
51,51,0.9709090909090909,0.9709090909090909,0.9525698516729907,0.9970679544670576,2.0093729544091614,2.6275679916854644,0.29481132232471646,2.0122105406260657,0.9895155590525792,0.08400000000000002,0.050545454545454595,0.014909090909090927,0.0043636363636363916,0.002181818181818229,0.002909090909090939,-0.0047272727272726685,0.0007272727272727653
52,52,0.9854545454545455,0.985360314882285,0.9718337835690449,0.9971396790084222,1.5098699386482346,2.973556793094328,0.8875802241819106,2.1000930614870623,0.45952498190127805,0.1083636363636364,0.04800000000000001,0.03272727272727274,0.016000000000000004,0.00872727272727276,-0.000363636363636366,-0.000363636363636366,0.000727272727272732
53,53,0.9563636363636364,0.9568625831233738,0.9480620155038759,0.9906976744186047,1.394851182063559,2.7011854745617976,0.5429418451281769,3.2622750236237654,0.1947563471968004,0.12036363636363642,0.03381818181818188,0.02254545454545459,0.010545454545454613,-0.009454545454545405,0.004000000000000026,0.008000000000000052,0.0010909090909091202
54,54,0.96,0.9605788160926105,0.9560577526679221,0.9885436283741368,1.2828519342151883,3.1194000337446743,0.8765057263119356,1.945671357076859,0.7210126982675614,0.09418181818181816,0.05781818181818178,0.035272727272727254,0.008727272727272672,0.0010909090909090424,-0.0010909090909091202,-0.004727272727272769,0.011272727272727222
