,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled
24,24,0.9490909090909091,0.9487611020879971,0.917209597965994,0.9930081042428094,1.9955483335616904,0.8770666648668907,2.290691324871441,2.1828899552235983,0.7625219531185983,0.2210909090909091,0.036727272727272754,0.013818181818181808
25,25,0.9745454545454545,0.9746138845227394,0.967083827014218,0.9960752369668247,2.5959446564898823,0.06506428468393274,2.082318951777149,2.2308521681719355,1.40155331785259,0.28727272727272724,0.045090909090909036,0.009090909090909028
26,26,0.9636363636363636,0.9640843462877361,0.9576291646547561,0.9949299855142443,2.5913196624490125,0.23278194919161768,2.389255938776714,2.0758428522516774,1.0501500927868905,0.2618181818181818,0.027636363636363636,0.014909090909090905
27,27,0.9709090909090909,0.9705123966942149,0.9427812650893288,0.996861419604056,2.834724405996838,0.010405713283567503,1.8173224581925498,2.0197960781872166,1.6957006625700555,0.24072727272727276,0.04109090909090912,0.014181818181818195
28,28,0.9745454545454545,0.9746356712842651,0.9626891041985381,0.9977052524222335,3.1429311867934695,0.15618355176958623,1.8340637742048445,1.9425092487068303,1.07301301344583,0.2501818181818181,0.026545454545454494,0.005090909090909035
29,29,0.96,0.9607673818606804,0.9511288546255506,0.996787812041116,2.691812319227164,0.5462966811537397,1.7010283115701323,2.24517738786429,1.1325629504874146,0.22581818181818178,0.014909090909090882,-0.004727272727272758
30,30,0.9745454545454545,0.9746228767820143,0.9653170119271814,0.9939579409918393,3.002218672136846,0.4375127946127154,2.2553667060675093,1.6400404975593825,1.1629257341840467,0.27927272727272723,0.04218181818181813,0.017090909090909035
31,31,0.9781818181818182,0.9781818181818182,0.9676318267419963,0.9971751412429378,2.8854444626709204,0.6832234418334987,1.9199627004376871,1.2778424747769845,1.2674958168441968,0.2847272727272727,0.03709090909090905,0.014909090909090882
32,32,0.96,0.96013462209362,0.9409090909090909,0.9947107438016529,2.866845368669269,0.2862730216769126,1.727208656929496,2.4200398716422296,1.0180495749640206,0.24327272727272722,0.03381818181818178,0.005090909090909046
33,33,0.96,0.960383808095952,0.9483039791258969,0.9892367906066536,2.1077887986543185,0.6368503678848035,2.3864221544579682,1.9213919944300484,1.181561179043662,0.25963636363636355,0.026909090909090883,0.0065454545454544984
34,34,0.9781818181818182,0.9781818181818182,0.9654348919054802,0.9975699681582034,2.1809120190545417,0.6930221334972612,1.1159558855159877,1.6348532233171016,2.5179163206770605,0.27381818181818174,0.03199999999999997,0.007999999999999962
35,35,0.9636363636363636,0.9636363636363636,0.941568927417984,0.9945605983341832,2.4279073844156005,0.5369094074925692,1.8041564143819289,2.032675644842431,1.610646967609642,0.24327272727272725,0.02799999999999999,0.011272727272727245
36,36,0.9745454545454545,0.9742817427221097,0.9507909328114807,0.9967384213959556,2.423703073349495,0.27303351747835874,1.880468505062108,2.1573581423789,1.7485316416016503,0.2523636363636363,0.025454545454545396,0.018545454545454476
37,37,0.9781818181818182,0.9780404723234274,0.9609089464484348,0.9983314794215795,2.5328717959357814,0.35708252662902806,1.7128012218174895,2.354914772977465,1.1584642577457307,0.2985454545454545,0.01745454545454541,0.005090909090909068
38,38,0.9563636363636364,0.9563636363636364,0.936046511627907,0.9906976744186047,2.526191779160743,0.1537565767974317,2.0513568439735432,2.5347441618131006,1.3716325325073406,0.2454545454545455,0.036000000000000046,0.012363636363636432
39,39,0.9672727272727273,0.9675568733545542,0.961046511627907,0.9936434108527132,2.412623459692357,0.15906295360147504,1.954179185651152,1.9491317317505061,2.062784171689955,0.2821818181818182,0.014545454545454539,0.006545454545454565
40,40,0.9781818181818182,0.9784793388429751,0.9793047764745878,0.9976202617712052,2.074574032647315,0.506897448553428,1.5824366596558135,2.045652340393759,1.9895788948059303,0.27054545454545453,0.038181818181818164,0.01599999999999995
41,41,0.9563636363636364,0.9561261309780267,0.9342490842490843,0.9938461538461539,2.096482031869079,0.27290125678177435,2.0100255914920733,2.539216910985082,1.3463454238686823,0.26072727272727275,0.04072727272727279,0.01418181818181823
42,42,0.9709090909090909,0.971444313262495,0.9633149397097895,0.9860004087471899,2.0564181236479366,0.4983616169121292,2.4528814573788926,2.2546028583379427,1.0642043739431433,0.20145454545454547,0.03490909090909093,0.015636363636363625
