,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_humidity_fd2_scaled
162,162,0.9300411522633745,0.9304485336852389,0.9302608311229001,0.9816534040671973,2.1721369119278346,1.5671186457656687,1.1165107406604378,1.6976546402087491,0.5836710526366121,0.16296296296296292,0.06913580246913578,0.05637860082304526,0.0185185185185185,0.009465020576131643,0.011111111111111117,0.003292181069958833,0.011522633744855959,0.004526748971193395,0.004938271604938249,0.005349794238683103,0.006995884773662519
163,163,0.9423868312757202,0.9427648120831887,0.9404240337975278,0.982710061023314,2.1506958892399366,1.14178475899374,0.775834197621882,2.5663778683285337,0.7999244129181291,0.1415637860082305,0.09135802469135808,0.06913580246913584,0.023045267489711984,0.0069958847736626304,0.006584362139917766,-0.0016460905349794052,0.011111111111111172,0.007818930041152328,-0.0020576131687242484,0.0032921810699588993,0.0028806584362140453
164,164,0.9465020576131687,0.9462505431587558,0.9356915618845629,0.991061960309044,2.934540864912377,1.0781129807623018,0.9737376847198732,2.2808248684149937,0.2966091273024037,0.12345679012345681,0.06172839506172841,0.04197530864197533,0.006995884773662586,0.0020576131687242926,-0.0037037037037036757,0.006172839506172867,0.0041152263374485635,0.008641975308642025,0.0020576131687242817,0.007407407407407429,0.003703703703703731
165,165,0.9423868312757202,0.942103834039318,0.9336601307189543,0.9870007262164124,2.7509563069587726,1.4438015388182712,0.525270344842282,2.4093972770921726,0.2540036506124157,0.168724279835391,0.07942386831275723,0.06008230452674901,0.011934156378600857,0.001646090534979472,-0.0004115226337448208,-0.0024691358024691136,0.004526748971193461,-0.0008230452674896638,-0.010288065843621352,-0.0008230452674896638,0.004938271604938338
166,166,0.9300411522633745,0.9301441786038532,0.9232692016361157,0.984396303590365,2.716917735193213,1.2256380729128205,0.7670233727737379,1.5495120094469368,1.260665345401578,0.14032921810699586,0.07572016460905348,0.058436213991769535,-0.0004115226337448541,0.0024691358024691245,-0.005349794238683136,-0.0037037037037036978,0.005761316872427968,-0.003292181069958855,0.0008230452674897082,0.005761316872427957,0.004115226337448552
167,167,0.9465020576131687,0.9469474163576045,0.9467381027418846,0.9799086038449417,2.2682355556145004,1.2369948396922903,1.054127317344329,2.981198683953241,0.06086971116742963,0.15720164609053497,0.09300411522633747,0.06502057613168727,0.020576131687242816,1.1102230246251566e-17,-0.002057613168724259,-0.003292181069958833,0.0004115226337448652,-0.007818930041152227,-0.0008230452674897082,0.0004115226337448763,-0.0024691358024691245
168,168,0.9465020576131687,0.9466692236718077,0.9462116830537883,0.9878542510121457,1.7598996776606806,0.7678430582511065,1.112718548209434,2.8134861361475685,0.6830679710140874,0.16255144032921814,0.11646090534979425,0.062139917695473265,0.005761316872428002,-0.003703703703703687,-0.013991769547325061,0.0,0.009465020576131734,0.0020576131687242926,0.008230452674897148,0.009876543209876599,0.004115226337448574
169,169,0.9300411522633745,0.9302267227802801,0.9293741109530583,0.9874822190611664,1.585891301905325,1.6002761655701818,0.5077529839316416,2.9048323134635736,0.7462371427897849,0.18888888888888888,0.05514403292181069,0.03456790123456788,-0.0008230452674897082,0.0020576131687242705,-0.005349794238683115,-0.0024691358024691245,0.011111111111111105,0.0020576131687242705,-0.0016460905349794165,0.0024691358024691245,-0.006584362139917676
170,170,0.9382716049382716,0.9386182366286826,0.9393328445747801,0.9766129032258065,1.7699428201718617,1.0557068442163624,1.6179179544296072,2.4752434400870063,0.8600101931231282,0.14279835390946496,0.07736625514403286,0.06666666666666662,0.012757201646090488,0.009876543209876498,-0.001646090534979472,0.0004115226337448319,0.006172839506172789,0.0028806584362139676,0.004526748971193395,0.007407407407407374,0.003703703703703687
171,171,0.9588477366255144,0.9590569545869673,0.9602010424422933,0.9775130305286671,1.466315366839517,1.2410730605281937,1.0426323035947822,2.9109853437696844,0.743844204155826,0.17407407407407405,0.08559670781893,0.06172839506172835,0.01563786008230449,0.012757201646090477,0.01193415637860078,0.015226337448559623,0.011522633744855914,0.013168724279835353,0.010288065843621352,0.008641975308641936,0.011934156378600768
