,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
20,20,0.9709090909090909,0.9715878787878788,0.974010824934677,0.9955207166853304,2.6688088964396313,1.33969634050799,1.5889807755966574,2.4594479913114893,1.212849323348391,0.1272727272727273,0.029818181818181844,-0.006909090909090842,-0.0007272727272726986,-0.0003636363636363438,0.007636363636363675,0.006545454545454588,-0.003999999999999915,0.0007272727272727431,0.005818181818181856,-0.0014545454545454195,-0.004363636363636303
21,21,0.9927272727272727,0.9927272727272727,0.9884782973018267,0.99932964638847,2.7971399868441487,0.7578873914783516,1.7319248312994986,2.1695515584251375,1.6263289978990925,0.15818181818181812,0.04654545454545449,-0.003272727272727294,0.00727272727272722,0.0003636363636363438,0.015636363636363615,0.0018181818181817744,0.0010909090909090647,0.003272727272727227,0.002909090909090839,-0.0007272727272727541,0.00036363636363633266
22,22,0.9818181818181818,0.9818793736789181,0.975,0.9976859504132232,3.0184961232193923,0.887035238065728,1.5052008095221896,2.2548654330764455,1.331205051689681,0.15599999999999997,0.037818181818181806,-0.000363636363636366,0.005454545454545478,0.0043636363636363916,0.016727272727272723,0.010545454545454535,0.005090909090909123,0.005454545454545467,0.00872727272727274,0.0010909090909090979,0.001454545454545464
23,23,0.9636363636363636,0.9638603549620498,0.9516923565866836,0.9968218655649134,2.537159415354221,1.5939091273274093,1.3830256052664696,2.0092814008485727,1.6225001068729625,0.12654545454545454,0.047272727272727265,-0.00545454545454549,-0.006545454545454554,-0.001454545454545464,0.00654545454545451,-0.007636363636363641,-0.0018181818181818299,-0.0025454545454545617,-0.007272727272727297,-0.00436363636363637,-0.0036363636363636485
24,24,0.9527272727272728,0.9522620220143558,0.9195137454314317,0.9938026378515811,2.588782004080616,1.7249984102786255,1.921756362128351,1.547593112169639,1.3885863234147708,0.1425454545454546,0.0352727272727273,0.0,0.004000000000000026,0.0,0.008363636363636406,0.000363636363636366,0.002909090909090928,0.001454545454545464,0.0,0.0043636363636363916,-0.0040000000000000036
25,25,0.9709090909090909,0.9710636030636031,0.9647141587677726,0.9967417061611374,2.9581997612122053,1.9050115765166982,1.336522428466735,1.2742212069169734,1.4430062703561297,0.14363636363636365,0.05854545454545458,2.2204460492503132e-17,0.0072727272727273196,0.011272727272727323,0.010909090909090934,0.0018181818181818633,0.005090909090909123,0.0065454545454545765,0.0018181818181818299,0.002181818181818207,-0.0007272727272727098
26,26,0.9672727272727273,0.9673774022079868,0.9534443907934975,0.9962980846611942,2.189525107811613,1.2679544947379469,1.93178240701846,1.4303965596112589,2.052838116689875,0.13636363636363638,0.039636363636363636,-0.000727272727272732,0.0021818181818181958,0.006909090909090953,0.009090909090909104,0.000363636363636366,0.008363636363636384,0.00036363636363637706,0.0010909090909090979,-0.000363636363636366,-0.002545454545454551
27,27,0.9781818181818182,0.9780368261875112,0.9603251247384517,0.9976661838081442,2.3079099767636633,1.6308682346146217,1.245071384621054,2.8887627780846263,1.4997693642686645,0.17236363636363636,0.039636363636363636,0.006909090909090865,0.006909090909090865,0.0021818181818181958,0.007636363636363608,0.0029090909090908946,0.0036363636363636598,0.005818181818181789,0.0032727272727272826,0.005818181818181778,0.001454545454545464
28,28,0.9818181818181818,0.9818826223459037,0.9743753187149413,0.9972802991670917,2.853605232518446,1.0908349208227823,1.5360515853970644,1.3234363602840216,2.223775952318179,0.13381818181818178,0.05018181818181818,0.008000000000000018,0.009090909090909104,0.002181818181818185,0.011636363636363634,0.00436363636363637,0.0036363636363636598,-0.000727272727272732,0.002909090909090928,0.005454545454545478,0.011636363636363622
29,29,0.9745454545454545,0.9746485680178586,0.9599394273127753,0.993575624082232,3.048831952189661,0.7918057171652977,2.422874419747661,1.9776616976837273,1.2218369008481251,0.14290909090909082,0.02581818181818176,0.0,0.003272727272727205,-0.0021818181818181958,0.0018181818181817744,-0.0043636363636363916,0.0003636363636363549,0.0,-0.004727272727272758,0.0007272727272727098,0.0010909090909090647
30,30,0.9527272727272728,0.9528710568808835,0.9329488386691777,0.9957627118644068,2.1815817365434857,0.883528312192806,1.7612726810345087,2.6861280133596845,1.8614890399803097,0.15018181818181822,0.025454545454545497,-0.009818181818181781,-0.0036363636363636155,-0.0040000000000000036,-0.0010909090909090868,0.0010909090909090979,-0.010545454545454514,-0.0018181818181818188,-0.009818181818181804,-0.009090909090909061,-0.007272727272727231
31,31,0.9818181818181818,0.9818734834157244,0.9761064030131827,0.9985091023226617,2.84209937668928,0.8573583026615352,1.531376866875322,2.354747654380216,1.2772079120136466,0.16690909090909095,0.04072727272727271,0.002909090909090928,0.007272727272727287,-0.0036363636363636598,0.009454545454545448,0.0010909090909090979,-0.000727272727272732,-0.002909090909090928,0.003272727272727294,0.0018181818181818299,-0.000363636363636366
32,32,0.9781818181818182,0.9783268101761252,0.9727272727272727,0.9965289256198346,2.532961141233099,1.276488682827912,1.588374859977562,2.7806575375944296,1.0312334185246412,0.16399999999999998,0.048727272727272695,0.005818181818181789,0.006545454545454532,0.005454545454545434,0.0072727272727272415,0.0021818181818181958,0.011636363636363601,0.0018181818181818299,0.0010909090909090979,0.0010909090909090979,0.0010909090909090979
33,33,0.9636363636363636,0.9643083376134225,0.9638780169602088,0.9969015003261579,2.1262117344112723,1.733397191756128,1.7891346806145263,1.8042059451335966,1.9704752296533026,0.13890909090909093,0.039636363636363636,0.0,0.0025454545454545287,0.009090909090909038,0.0018181818181818078,-0.000363636363636366,0.009818181818181771,-0.0018181818181818299,-0.003272727272727294,0.0003636363636363549,-0.0065454545454545765
34,34,0.9745454545454545,0.9746333584865695,0.963172448466566,0.9975699681582034,2.372213407707242,1.8480148732495998,1.4676216681469743,2.0093936365641296,1.7153897751790848,0.1796363636363636,0.03454545454545449,-0.000727272727272732,-0.004000000000000026,0.0018181818181817633,0.005818181818181745,0.0010909090909090424,-0.001454545454545464,0.0,-0.0025454545454545617,-0.004000000000000026,-0.002909090909090928
35,35,0.9636363636363636,0.963890793302558,0.9487506374298827,0.9926908040115587,2.1152482351866624,1.8561212838439132,1.573846615042354,2.773016196999648,1.5700359647229627,0.13418181818181818,0.04036363636363636,0.0058181818181818005,-0.0021818181818181958,0.009818181818181771,0.009818181818181771,-0.000727272727272732,0.000727272727272732,-0.003272727272727294,0.0003636363636363549,0.005454545454545445,0.007999999999999962
36,36,0.9672727272727273,0.967162581923402,0.9462247227658187,0.9975538160469667,2.165595262673691,1.3316252401790392,1.7289794645921424,2.1814629377739303,1.8205716311740077,0.13818181818181818,0.04945454545454547,-0.004363636363636336,-0.0018181818181818078,-0.005818181818181789,0.004727272727272735,0.0,0.000363636363636366,-0.0032727272727272605,-0.0014545454545454527,-0.005454545454545445,-0.0072727272727272415
37,37,0.9781818181818182,0.9781818181818182,0.9672254886381694,0.9986492928650882,2.434154496741718,1.153455796657292,1.5201251886570581,2.7653012531388472,1.0797789270716913,0.18763636363636363,0.019636363636363598,-0.0021818181818181958,0.000363636363636366,-0.0036363636363636598,-0.000727272727272732,-0.000363636363636366,-0.0061818181818182215,-0.0021818181818181958,-0.000363636363636366,0.0,-0.001454545454545464
38,38,0.9636363636363636,0.9636363636363636,0.946705426356589,0.9945736434108527,2.559044569696009,1.3278313032587794,1.8125103715590385,2.4363829161543293,0.9459482829630353,0.15636363636363634,0.03418181818181817,-0.003272727272727294,0.0076363636363635965,0.004727272727272702,0.015636363636363625,-0.002181818181818207,0.0032727272727272718,0.000363636363636366,0.0014545454545454527,0.007636363636363608,-0.001454545454545464
39,39,0.9745454545454545,0.9746209713151862,0.9656976744186045,0.9964341085271318,2.5567522545938486,1.0054591377201834,1.825967385611382,1.9120518881471427,1.9754610972086244,0.18909090909090906,0.03454545454545449,0.00290909090909085,0.010909090909090858,0.006909090909090842,0.003636363636363593,0.003636363636363571,0.0072727272727272085,0.0036363636363635488,0.0010909090909090647,0.006545454545454477,0.0003636363636363438
40,40,0.9781818181818182,0.9784793388429751,0.9793047764745878,0.9952405235424103,2.606960021334412,1.4845516565832955,1.8959548335262237,2.0386385239862057,0.8747921329435487,0.15309090909090908,0.03381818181818179,0.0,0.0003636363636363549,0.005454545454545423,0.007272727272727253,0.0021818181818181737,0.0010909090909090979,0.00436363636363637,-0.0025454545454545617,-0.000363636363636366,-0.003272727272727294
41,41,0.9672727272727273,0.9675241078497421,0.9626373626373627,0.9944322344322345,2.6830575660661524,1.8604900157140813,1.4984748591232202,1.582556707826848,1.2490486496825093,0.15709090909090911,0.06690909090909095,0.0,-0.0010909090909090868,0.004727272727272758,0.015636363636363636,0.00800000000000003,0.002909090909090928,0.005818181818181845,0.0025454545454545617,-0.0018181818181818188,-0.0010909090909090979
42,42,0.9709090909090909,0.971184661369104,0.9535561005518087,0.9958103413039036,2.625767626588379,1.199106424883002,2.0282741432131486,2.37234805740095,1.2292217288952632,0.09709090909090912,0.03454545454545459,0.010181818181818247,0.003272727272727294,0.006545454545454588,0.008727272727272773,0.006545454545454588,0.003272727272727294,0.008363636363636417,0.0036363636363636598,0.006545454545454588,0.005090909090909123
43,43,0.9672727272727273,0.9680242861166698,0.9725480197178311,0.9954954954954954,2.0710754060327683,1.0802096106169212,1.6316347248922352,2.3749474227685528,1.7712480543340285,0.15636363636363634,0.03418181818181819,-0.006181818181818155,0.004727272727272735,-0.0036363636363636377,0.011999999999999988,0.001454545454545464,0.0010909090909090979,0.004000000000000026,0.0,-0.006181818181818144,-0.005818181818181789
