,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled
32,32,0.9781818181818182,0.9783268101761252,0.9727272727272727,0.998099173553719,1.8531150336876294,2.542300899841148,2.684771978310242,1.1598595232922972,0.9174913002737496,0.24109090909090908,0.03454545454545451,0.02109090909090905
33,33,0.9781818181818182,0.9785850025680535,0.9863013698630136,0.9955968688845401,2.083498860864635,1.8048434286410535,2.974671430154346,0.9722583289119683,1.0769889301849092,0.27418181818181814,0.030181818181818143,0.019999999999999962
34,34,0.9854545454545455,0.9854545454545455,0.9769565946036534,0.9989944695827049,1.6448935614696933,2.0555706390567425,2.113781758745015,1.3832617040491382,2.171876282251379,0.2741818181818182,0.018545454545454566,0.01563636363636365
35,35,0.9854545454545455,0.9855563173210232,0.9838092809790924,0.9994050654428013,1.0951287121862574,2.22057898618234,2.6820642261284293,1.14866476691168,1.764296947274583,0.2501818181818182,0.030181818181818178,0.02509090909090912
36,36,0.9854545454545455,0.9854545454545455,0.977576647097195,0.99853228962818,1.4866267378270173,2.484921782533183,2.287981639499811,1.4154142272907697,1.5919980337796025,0.2516363636363637,0.05309090909090911,0.03345454545454546
37,37,0.9854545454545455,0.98554414198482,0.9844668679485142,0.9991260130303512,2.035696515362462,1.850691894276619,2.5849671743863585,1.2808168549737207,1.0371334437829007,0.2916363636363636,0.03818181818181819,0.016000000000000014
38,38,0.9745454545454545,0.9747664570535421,0.9717054263565892,0.9947286821705426,1.9969460990499763,2.863535855884853,2.8579771094072997,0.7564447153367859,0.8109478031252163,0.2585454545454545,0.03963636363636358,0.034909090909090855
39,39,0.9781818181818182,0.9781818181818182,0.9680232558139534,0.9963565891472869,2.1580491242727398,2.255981301018747,2.966523036658739,0.5620948215269149,1.2904789341585798,0.2865454545454545,0.017818181818181778,0.018909090909090865
40,40,0.9854545454545455,0.9856528925619835,0.990990990990991,0.9985551589325175,2.2595534757248417,2.245026230262982,2.2205897583738983,1.1481301613561314,0.7863189261262653,0.2661818181818182,0.028000000000000004,0.020363636363636372
41,41,0.9781818181818182,0.9781818181818182,0.9697802197802199,0.9964835164835164,1.7061034845566077,2.7168126360729676,2.2292204213707953,1.4547662021864545,0.9954403000030028,0.28072727272727277,0.02981818181818178,0.04581818181818179
42,42,0.9745454545454545,0.9751224300328593,0.9752197016145514,0.9920294297976702,2.116150894685444,2.323228081448035,2.5605250330344225,0.9921263839173927,1.1877947844413455,0.18799999999999994,0.028727272727272657,0.014909090909090872
43,43,0.9818181818181818,0.9820065474062853,0.98155702872684,0.9992350841407446,1.6491178828208453,2.6404230318773445,2.314841355434147,1.4946723645171383,0.675732070383309,0.25963636363636367,0.022545454545454525,0.02545454545454544
44,44,0.9709090909090909,0.9714890588863192,0.9748002719700832,0.9971953085160632,1.8619543013943358,2.9810741239707057,2.7301959899842703,0.3563611622367977,1.013578415752517,0.25200000000000006,0.019272727272727296,0.01745454545454548
45,45,0.9781818181818182,0.9781818181818182,0.9684004902711812,0.9968592002451356,1.7110838738870546,3.1419765339531693,2.6504077582935945,1.1536311462594573,0.6355577949558249,0.2658181818181818,0.04072727272727269,0.033090909090909074
46,46,0.9963636363636363,0.9963500516338203,0.9903846153846154,0.9999137633666781,1.3363909851285378,2.356471331983146,2.5314085372915955,0.5468131017073087,2.0450440207392293,0.24290909090909088,0.04181818181818179,0.03309090909090904
47,47,0.9854545454545455,0.9854545454545455,0.9791761320611843,0.9981826442526125,2.7246834784290073,2.1650073267563674,2.202779241131118,-0.34186301590922485,1.8781386731385605,0.2836363636363636,0.06072727272727274,0.03600000000000001
48,48,0.9927272727272727,0.9927781586605116,0.9954954954954955,0.9995750467448581,1.4097790225912072,2.3358566754229635,2.6497683706684017,1.440055533082558,1.3063056404707354,0.25563636363636355,0.03236363636363632,0.033454545454545404
49,49,0.9818181818181818,0.9820115034013475,0.9814160055191445,0.9981027940669196,1.6497151413284417,2.317691795022871,2.51215335446556,1.27631759750556,1.3602707953337052,0.24872727272727274,0.030181818181818164,0.029090909090909077
50,50,0.9818181818181818,0.9820274677801856,0.980946360845223,0.99349828426946,2.1694200145881686,2.289411478444545,2.318379439246841,1.2253745706633459,1.3823989081206338,0.22509090909090906,0.0367272727272727,0.036363636363636355
51,51,0.9963636363636363,0.9963500516338203,0.9903846153846154,0.9992238703001035,1.042725052300487,2.3043157335345104,2.7030998967100612,1.0334397552866361,1.340827759511869,0.23672727272727268,0.043636363636363584,0.021818181818181792
52,52,0.9781818181818182,0.9780404723234274,0.9609089464484348,0.9947560781821071,1.5255160714292524,2.3700047676959275,2.8222067895082534,1.488162711073231,1.2652338862930959,0.24509090909090908,0.029090909090909077,0.02690909090909086
53,53,0.9818181818181818,0.9819760407525302,0.9823643410852713,0.9975193798449612,1.998798881329323,2.900738681722334,2.447779890277645,0.9936558848402182,0.35183293420665457,0.2730909090909091,0.04181818181818179,0.03199999999999997
54,54,0.9709090909090909,0.9710838618745596,0.9630021971123666,0.9938010043942247,1.9858749906639348,2.6643899333981085,2.5948995494605906,1.1250468403727012,0.9937310937815236,0.25163636363636366,0.03418181818181824,0.021454545454545483
55,55,0.9781818181818182,0.9783385100366232,0.97180062090376,0.9974991376336667,1.7751495234530916,1.8277540346360581,2.8150901181920784,1.451781698612868,1.1183403611785012,0.22654545454545452,0.03599999999999996,0.02799999999999996
56,56,0.9781818181818182,0.9781818181818182,0.9627505869604479,0.9987357774968394,1.6539305953571966,1.9911308022592469,2.1786214349986337,1.8578208882225633,1.485514074058083,0.25345454545454543,0.0036363636363636155,0.004727272727272714
57,57,0.9781818181818182,0.9781818181818182,0.9659090909090908,0.9977685950413223,1.9431431221873081,2.543529239337647,2.7312257384556498,1.2278211122445402,0.5970985653530524,0.24763636363636365,0.027272727272727226,0.024727272727272688
58,58,0.9745454545454545,0.9744619480072387,0.9580315467568002,0.9979880894897795,2.0681416880769277,3.032077955055298,1.9186875001868444,1.0308589203068284,1.086585143807097,0.2498181818181818,0.03672727272727268,0.029818181818181765
59,59,0.9890909090909091,0.9890512184444769,0.9788798232194459,0.999320074791773,1.4399245339546913,2.2009648200783425,2.214874311109053,1.072894979182383,2.4036074179492988,0.2432727272727273,0.04327272727272731,0.021818181818181848
