,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_temperature_fd1_scaled
55,55,0.9636363636363636,0.9643801652892562,0.9628320110382891,0.9932735426008968,2.989224107086884,3.021218636036217,0.5280352356361422,1.3832931871760619,0.2982767972291796,0.11309090909090909,0.13381818181818178,0.039636363636363636,0.019272727272727264,-0.0025454545454545617,0.004727272727272714,0.0036363636363636377,-0.002909090909090928
56,56,0.9745454545454545,0.9748384548922598,0.9685298898320389,0.9908795376557702,3.379602092144133,3.1575933981628164,1.5572720511681841,0.40412733902187337,0.2066171184820548,0.10581818181818174,0.14399999999999996,0.029090909090909035,0.021818181818181757,0.005090909090909035,0.005090909090909024,-3.3306690738754695e-17,0.0014545454545454306
57,57,0.96,0.9595746925170355,0.9272727272727272,0.9924793388429752,1.9923513185643829,3.0964905646092746,1.4573286351978456,1.9587400507085655,0.1692465668597915,0.1218181818181818,0.10945454545454543,0.030181818181818143,0.011636363636363589,0.003636363636363571,-0.005090909090909123,-3.3306690738754695e-17,0.0047272727272726685
58,58,0.96,0.9598687754399465,0.9359005311443747,0.9914694994366651,2.161894188844676,3.305825501542255,1.1558014685453901,1.364129243175298,0.5944074904476153,0.1105454545454545,0.13854545454545447,0.043999999999999984,0.007272727272727231,-0.002181818181818218,0.0007272727272726986,0.005818181818181755,-0.0007272727272727653
59,59,0.9636363636363636,0.9627878787878787,0.920023797382288,0.9919258881523033,2.4036814677243776,2.891488486922772,1.11894761474502,1.7497393539301773,0.37268726815756326,0.13018181818181818,0.12072727272727271,0.03199999999999999,0.0021818181818181624,-0.004000000000000015,-0.003272727272727294,0.005818181818181789,-0.008727272727272728
60,60,0.9709090909090909,0.9709090909090909,0.9495227606461086,0.9947687224669604,2.429945543806984,3.24784469359412,1.455484123300991,1.599526245439236,-0.27336894705118986,0.1141818181818182,0.1283636363636364,0.03163636363636367,0.02763636363636369,-0.0014545454545454195,-0.0072727272727272085,0.0018181818181818299,-0.0036363636363635488
61,61,0.9636363636363636,0.964419822910389,0.9622222222222222,0.9867555555555556,2.7429382107804163,3.2948889184416323,1.2622153070381679,0.7497971860999123,0.8056817434309518,0.11672727272727271,0.12509090909090909,0.03309090909090908,0.018909090909090896,0.0032727272727272826,-0.0018181818181818299,0.0032727272727272826,0.000363636363636366
62,62,0.9745454545454545,0.974640547654166,0.9616596638655461,0.9963235294117647,2.686777706471582,3.0090960519828265,0.877682906774582,1.6098644472954786,0.25482030283880064,0.12690909090909083,0.14690909090909082,0.04290909090909086,0.003636363636363571,0.00618181818181811,0.006909090909090842,0.0032727272727271937,0.003999999999999915
63,63,0.9709090909090909,0.971129360835243,0.9588888888888889,0.9946666666666667,2.427679606099656,3.008676677752648,1.877960376226905,1.2050011841422785,-0.08173683445401651,0.10290909090909092,0.14218181818181824,0.0312727272727273,0.015636363636363636,0.0025454545454545617,-0.00036363636363633266,0.004727272727272758,0.0010909090909090979
64,64,0.9636363636363636,0.9636363636363636,0.9423914865091336,0.9937992290933467,1.7222595789961967,3.3810588930152776,1.8872072968522087,0.7930695249835634,0.6342315713311262,0.06327272727272729,0.13818181818181816,0.030545454545454532,0.007999999999999985,-1.1102230246251566e-17,0.009090909090909061,-0.003272727272727294,0.003999999999999971
