,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.leftlow_humidity_fd2_scaled
103,103,0.9709090909090909,0.9707206297645697,0.9499841093278245,0.9973780390910535,4.151172703566495,0.3520067808905375,2.03756198743798,1.348207865392191,0.937241376821241,0.2410909090909091,0.022181818181818212,0.02581818181818184,-0.0069090909090908535,-0.004727272727272658,0.002909090909090928,-0.0025454545454544953,-0.0010909090909090647,-0.002909090909090839,-0.002909090909090839,-0.00290909090909085,-0.0007272727272726986
104,104,0.9781818181818182,0.9784718021704322,0.9794285235461706,0.9983241159711748,3.706986288638352,0.7949016491234071,1.8206047880471976,1.8653781249148447,0.45436409703498054,0.2752727272727272,0.0058181818181818005,0.0007272727272727098,-0.000727272727272732,0.004000000000000015,0.0036363636363636485,0.003272727272727294,0.002909090909090928,-0.0018181818181818299,0.0025454545454545617,0.002909090909090928,0.0010909090909090979
105,105,0.9672727272727273,0.967162581923402,0.9462247227658187,0.9942922374429224,2.7382083589339525,1.0674119930199648,1.562638272624692,1.9063773339785497,1.8550631639013393,0.2370909090909091,0.016363636363636358,0.019636363636363653,-0.010181818181818136,-0.006181818181818155,-0.0018181818181818299,-0.0018181818181818299,-0.0065454545454544984,-0.0003636363636363549,0.0065454545454545765,-0.0025454545454545396,-0.004363636363636359
106,106,0.9709090909090909,0.970550704787993,0.9461467749348859,0.9980082733261836,3.7133862223624297,0.509884503797861,1.5076124870479968,1.0353124002605008,2.015685671654119,0.24327272727272736,0.010909090909090946,0.023636363636363678,0.000363636363636366,0.003272727272727294,0.0043636363636363916,0.001454545454545475,0.00036363636363638817,-0.010545454545454502,-0.005818181818181755,0.005090909090909123,-0.00036363636363633266
107,107,0.9854545454545455,0.9854545454545455,0.9796356635071091,0.9976303317535545,3.8419491925718465,0.5234371854237732,2.144428849466985,1.1589474667869444,1.3454151028383081,0.30036363636363633,0.020000000000000018,0.03272727272727273,0.0036363636363636598,0.004727272727272758,0.0061818181818182215,0.006909090909090953,0.0036363636363636598,0.01163636363636369,0.010909090909090946,0.009454545454545493,0.0018181818181818299
108,108,0.9854545454545455,0.9853693051241694,0.9734590337725277,0.999015598970165,3.620023182008755,0.543309420242207,1.8832475217191873,1.101733292035052,1.205097335470187,0.2861818181818182,0.014909090909090927,0.014181818181818195,-0.0025454545454545617,-0.002909090909090928,-0.0018181818181818299,-0.001454545454545464,-0.0036363636363636598,0.00545454545454549,0.0010909090909090979,0.0021818181818181958,0.0021818181818181958
109,109,0.9890909090909091,0.9890551205745309,0.9801625623692258,0.998229518751006,3.6887836395027933,0.6152536395188691,1.4418971932702747,1.784868695583543,1.7301238808138866,0.2861818181818182,0.011272727272727346,0.01490909090909095,0.0036363636363636598,0.0036363636363636598,0.000727272727272732,0.004000000000000026,0.0036363636363636598,0.000363636363636366,0.0036363636363636598,0.002909090909090928,0.003272727272727294
110,110,0.9890909090909091,0.9892069020408086,0.9932735426008968,0.999482580200069,3.9317754143765775,0.13089021599670062,2.6666281868908404,1.4409256237402948,1.0622372982885002,0.2690909090909091,0.013818181818181886,0.00981818181818187,-0.003272727272727205,0.0,0.000727272727272732,0.0043636363636363916,-0.0014545454545454085,-0.003272727272727205,-0.002545454545454484,-0.0036363636363635488,-0.002909090909090839
111,111,0.9890909090909091,0.9892350786468435,0.9935064935064934,0.996654860291224,3.7665992195315208,0.3759505980479398,2.2321668890499238,1.0059939724122293,1.9184481567843383,0.21563636363636363,0.020363636363636382,0.021454545454545493,0.003272727272727294,0.000727272727272732,0.0036363636363636598,0.0072727272727273196,0.0,0.0072727272727273196,0.0072727272727273196,0.003272727272727294,0.0036363636363636598
112,112,0.9745454545454545,0.9741860962566844,0.9514652014652014,0.9981684981684982,3.6657618485144208,0.23533094473261215,2.2075627039649888,2.04241078788014,1.2366770008170975,0.30399999999999994,0.0032727272727272163,0.0072727272727272085,-0.0036363636363636598,-0.000363636363636366,0.0,0.002909090909090839,-0.0036363636363636598,0.0003636363636363549,0.0,0.003636363636363571,0.0021818181818181294
