,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_humidity_fd3_scaled
40,40,0.934156378600823,0.9349945719407206,0.9377560668137409,0.9801449732114719,1.7420581424529598,1.0217761342015237,1.7880248279149467,1.9275040753626922,0.5028822472716333,0.17448559670781888,0.03662551440329215,0.02427983539094647,-0.0012345679012345622,0.007407407407407363,0.0028806584362139676,0.003292181069958833,0.004938271604938238
41,41,0.9506172839506173,0.9506172839506173,0.9470588235294117,0.9874364560639071,1.9376644418254172,0.6702111277968203,1.4880560644837248,2.2922501112326352,0.1865014106245591,0.2164609053497942,0.057201646090535,0.034979423868312765,0.0016460905349794165,0.0004115226337448541,0.0012345679012345622,0.02098765432098767,0.013991769547325127
42,42,0.9506172839506173,0.9510745313214449,0.9534965034965035,0.9837606837606838,2.5755420947603174,0.5892566834250115,2.0423630197155758,1.740734926729177,0.4695567205913774,0.22716049382716047,0.04279835390946503,0.0506172839506173,0.0008230452674897082,0.013991769547325127,0.016872427983539107,0.00864197530864197,0.020576131687242795
43,43,0.9176954732510288,0.9191281721402204,0.9214181286549707,0.9740090968161144,2.584723355225646,0.5509347903835414,2.102058769598824,1.0757984947720893,0.9681761769842337,0.1823045267489712,0.027160493827160525,0.027983539094650255,0.004115226337448608,4.4408920985006264e-17,-0.0020576131687242484,0.0028806584362140453,4.4408920985006264e-17
44,44,0.9506172839506173,0.9510332434860737,0.9537037037037037,0.9830818472793781,2.1186758690103944,0.9862010646868297,2.134221258817821,1.7502735541639018,-0.10890365120117029,0.2148148148148148,0.03744855967078189,0.023868312757201648,-0.0016460905349794165,0.003703703703703687,0.0049382716049382715,-0.003292181069958833,0.006995884773662531
45,45,0.9135802469135802,0.9137156777736488,0.9037576687116564,0.9776073619631902,2.139553728667784,1.0916242380548569,1.5451809871365518,1.3053379613921345,0.8435955882129813,0.17777777777777776,0.031687242798353873,0.028806584362139852,-0.002057613168724326,-0.004115226337448608,-0.009876543209876599,-0.008641975308642047,-0.0004115226337448874
46,46,0.9094650205761317,0.9104818105516918,0.9102377300613497,0.969478527607362,2.035405175427975,0.9920189521163275,1.2662475816420093,2.29840081316351,0.3333809669380612,0.19094650205761315,0.042798353909464994,0.03086419753086418,-0.007407407407407462,0.004115226337448518,0.0008230452674896971,-0.0004115226337448763,0.015226337448559623
47,47,0.934156378600823,0.934156378600823,0.9276247207743857,0.9812360387192852,1.9117622345517014,0.9582742751838146,2.013593197705407,1.916326114410144,-0.10746086527774767,0.19711934156378597,0.04074074074074069,0.02427983539094646,-0.0004115226337448874,0.002057613168724259,0.002057613168724259,0.0004115226337448541,0.0024691358024691136
48,48,0.9218106995884774,0.9228470233662343,0.9255244755244756,0.9767676767676767,1.9645400800913775,0.7069690194965839,1.130498460439551,1.925356324322842,1.1925165565420377,0.20987654320987653,0.03909465020576136,0.012345679012345701,-0.009465020576131643,0.0012345679012345846,-0.004526748971193384,-0.009876543209876498,0.0012345679012345956
49,49,0.9259259259259259,0.9263691808760738,0.9225076687116565,0.9753067484662576,1.4710597680244286,0.7847339532360177,2.061564922042156,2.2391961732580277,0.6983655855293784,0.22016460905349797,0.041975308641975316,0.030041152263374494,0.003703703703703709,0.00493827160493826,0.004526748971193406,0.012345679012345711,0.0024691358024691358
50,50,0.9053497942386831,0.906519098474336,0.9109084139985109,0.9553983618763962,2.3617685217779516,0.8728491108331061,1.6239919048321863,1.4937839867184508,0.9139125792879808,0.22551440329218106,0.025925925925925908,0.011522633744855959,0.0028806584362139785,0.00493827160493826,0.005349794238683103,-1.1102230246251566e-17,0.008641975308641947
51,51,0.9300411522633745,0.9305726635759283,0.9284887310898426,0.9808582895955542,1.3542958083584193,1.1965995599814157,1.0050947921975744,2.034426806206913,1.3751427332957813,0.2362139917695473,0.04074074074074076,0.025925925925925908,-0.009465020576131689,0.00781893004115226,0.00658436213991771,0.008641975308641959,0.005761316872427968
52,52,0.9382716049382716,0.9386841589570634,0.9386295180722892,0.9753765060240964,3.1039750548220444,0.8317848543315324,2.0394840193035106,0.8773497268875088,0.1717445026669699,0.20658436213991763,0.047736625514403254,0.033333333333333284,0.005349794238683092,0.009876543209876498,0.01975308641975303,0.003703703703703665,0.01851851851851847
53,53,0.9218106995884774,0.9219017613180707,0.9169706697796585,0.9661462133372246,1.8525835744259003,0.6565209774856204,2.2706659658787673,2.0187182479051557,0.3733501331684188,0.2032921810699589,0.03909465020576135,0.019341563786008254,0.005349794238683136,0.0049382716049382715,-0.002057613168724259,0.009465020576131722,0.016872427983539127
54,54,0.9423868312757202,0.9429039620508927,0.9441957394257486,0.9847946897190492,2.1721920920700715,0.863264266662508,1.8761828834527012,1.2351928333098656,0.7697190265409884,0.20823045267489718,0.03662551440329222,0.03045267489711938,0.0037037037037037533,-0.007407407407407363,-0.006172839506172811,0.0037037037037037646,0.0024691358024691466
55,55,0.9094650205761317,0.9110759988793194,0.9197852760736196,0.9609662576687117,2.450677129921534,0.3967112502828755,1.9727266650564663,1.6135717849804962,1.1190447882319792,0.1847736625514403,0.04032921810699586,0.023868312757201617,-0.0041152263374485635,0.01193415637860078,-0.0016460905349794496,0.0020576131687242705,0.020987654320987637
56,56,0.9053497942386831,0.9065650578945826,0.9069157147267675,0.9648039518369866,1.020338624887719,0.9478808259204429,2.489061540258324,1.403395359395902,1.323569734664642,0.1814814814814815,0.027572016460905326,0.025925925925925918,-0.0065843621399176875,-0.007407407407407418,-0.012345679012345689,-0.0020576131687242705,-0.006172839506172844
57,57,0.934156378600823,0.9339531575471219,0.9233828207847297,0.9805332525374943,1.984523026786567,0.9087029146257168,2.0645278695640763,1.4780570198476815,0.3862565494994982,0.21152263374485591,0.03497942386831272,0.02057613168724277,0.0008230452674897082,0.0016460905349794052,-0.0004115226337448652,0.0008230452674896971,-0.003292181069958877
58,58,0.9259259259259259,0.9265498652291104,0.9259259259259259,0.9739368998628258,1.5365446208676803,0.8838976108714902,1.895978562417488,1.7711710681983466,0.928527814388668,0.20411522633744855,0.07325102880658438,0.026748971193415638,0.010288065843621408,0.020164609053497963,0.015226337448559678,0.006172839506172844,0.02304526748971194
59,59,0.9218106995884774,0.9219295079995189,0.9135802469135802,0.9789666209419297,2.5529584919408244,0.9216851690482054,1.9875003852754172,0.866342631953982,0.7274472056003589,0.22798353909465022,0.023868312757201658,0.030864197530864224,0.004938271604938293,0.014814814814814836,0.0008230452674897303,0.012345679012345711,0.023456790123456805
60,60,0.9423868312757202,0.9425485933172866,0.938855421686747,0.9780873493975903,2.737978494702487,0.384025217177457,1.9526448033845882,1.7584793112710964,0.3294858023306819,0.223045267489712,0.0497942386831276,0.023045267489711974,-0.005761316872427957,0.012757201646090588,0.01193415637860088,0.0020576131687243373,0.007818930041152328
61,61,0.9218106995884774,0.9227827204585812,0.9258052147239264,0.9809049079754601,1.547884862458541,0.735944614102249,1.9524556792758274,1.5470571661341643,1.387380958743652,0.19465020576131692,0.027160493827160504,0.016460905349794275,-0.006172839506172811,-0.0012345679012345401,-0.011522633744855926,-0.0057613168724279466,0.01028806584362143
62,62,0.8888888888888888,0.8900707199250383,0.8843822843822844,0.9672105672105672,1.5124117595966369,0.5583654074560306,2.1133600993513464,1.8269582829338347,1.4016817935591264,0.1938271604938271,0.01563786008230448,-0.009876543209876599,-0.009876543209876609,-0.006995884773662609,-0.0032921810699588993,-0.0028806584362140453,-0.006584362139917721
63,63,0.9135802469135802,0.9143213967305186,0.9079761904761905,0.9715079365079365,2.235285378392288,0.5851716010302044,1.6897191829370561,1.8362673078474314,0.7068464226504431,0.17448559670781885,0.02427983539094646,0.022222222222222164,-0.009876543209876609,-0.00823045267489717,0.0016460905349793941,-0.005349794238683181,-0.0004115226337448985
64,64,0.9135802469135802,0.9140382212277637,0.9042857142857144,0.9694444444444444,1.9781639240424589,0.44256636312678843,2.3823315724660694,2.0500903717834835,0.3768995080883379,0.19341563786008226,0.033744855967078144,0.008230452674897092,-0.0032921810699588884,-0.0020576131687243373,-0.0012345679012346067,-0.0016460905349794607,0.0008230452674896638
65,65,0.9259259259259259,0.9268355599000759,0.9321536144578313,0.9772590361445783,1.1065633636055467,0.9531700505689944,2.1156641220451218,2.1057064650393658,0.3878938781915267,0.20699588477366254,0.044855967078189306,0.006172839506172844,-0.009465020576131678,0.0008230452674897082,1.1102230246251566e-17,-0.009053497942386824,0.006172839506172834
66,66,0.9382716049382716,0.9386872843662967,0.9418377674956623,0.983661075766339,2.840787987114207,1.012894742881013,1.9616817908860396,1.4921943002049127,-0.2943035818322614,0.22839506172839502,0.04197530864197526,0.013580246913580184,-0.014814814814814859,0.004938271604938238,0.0024691358024691024,-0.00905349794238689,0.007407407407407363
