,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_humidity_fd1_scaled
24,24,0.9382716049382716,0.9387748408123395,0.9417123389127537,0.9788179528958674,0.9311608858375485,1.1188047398813783,1.3621661215434202,2.9207209514282724,0.07077077651499206,0.2193415637860082,0.04650205761316868,0.05555555555555551,0.037860082304526685,0.013168724279835332,0.008641975308641936,0.008230452674897082,0.03004115226337444
25,25,0.9218106995884774,0.9219187019073778,0.9149820305480683,0.9821802935010482,0.7134713046090662,1.0572877615172522,1.8855079729569162,2.7428772500414675,0.2949963817858689,0.21440329218107,0.04403292181069962,0.031275720164609076,0.012345679012345711,-0.00411522633744853,-0.002057613168724259,0.003292181069958866,0.0016460905349794496
26,26,0.9382716049382716,0.9388833333957547,0.9353839801816681,0.9720891824938067,1.1908540741703966,1.1191976066985403,2.458423233229768,2.170762909145311,-0.06321635064454086,0.179835390946502,0.03209876543209872,0.05020576131687238,0.02181069958847731,-0.006584362139917754,-0.001646090534979472,-0.004526748971193473,-0.0004115226337448985
27,27,0.9012345679012346,0.9022967709804561,0.894238517324738,0.9530217566478646,1.388195506527218,0.4889415112808867,1.9710250157297189,2.7423761507443856,0.023571161178671966,0.19588477366255141,0.030452674897119336,0.03909465020576134,0.012757201646090555,-0.006584362139917699,0.0024691358024691358,0.00781893004115226,0.0020576131687242817
28,28,0.9588477366255144,0.958963280940919,0.9571536144578313,0.9892319277108435,1.524876221586661,1.307448559221069,1.4169421078584834,2.2202086234380762,0.09274931443690629,0.22962962962962957,0.04032921810699586,0.037037037037037,0.03456790123456786,-0.0012345679012345956,-0.0012345679012345956,0.0008230452674896971,-0.0037037037037037203
29,29,0.9382716049382716,0.9380861316070183,0.9323613086770981,0.983072546230441,1.5010134673157722,1.2439912072727954,1.5165129128015342,1.9471188767761658,0.20348743035081,0.22427983539094645,0.06008230452674892,0.04773662551440324,0.027983539094650144,0.009053497942386779,0.0016460905349794052,0.004115226337448541,0.013168724279835353
30,30,0.9300411522633745,0.9307852681009499,0.9315850815850816,0.9817404817404817,1.2821990944168191,0.5932626239012789,1.7956494157776353,2.5967739560749354,0.45282290836055683,0.2139917695473251,0.05185185185185185,0.053497942386831254,0.03497942386831273,0.013991769547325072,-0.0020576131687242705,-0.0016460905349794275,0.013168724279835365
31,31,0.9423868312757202,0.9428244812860197,0.9389619883040936,0.969541910331384,1.4963885811603557,0.41982320775975385,1.488791030677248,2.2682766818433184,1.0517112950305527,0.1954732510288066,0.046913580246913625,0.04855967078189305,0.024279835390946546,0.008641975308642035,-0.000823045267489686,0.014403292181070004,0.016049382716049422
32,32,0.9300411522633745,0.9305401735713525,0.9290123456790124,0.977290047248895,1.3455024018814818,0.7729714793125988,1.262091242465312,2.6048858591536383,0.6355639004399402,0.18024691358024691,0.05473251028806582,0.03004115226337447,0.02427983539094649,0.012345679012345668,0.005349794238683103,0.011111111111111105,0.010288065843621375
33,33,0.9465020576131687,0.9467165857029405,0.9450808625336927,0.9881701108116203,1.1581560762541765,0.18047118613918708,1.8688305871274056,2.313420846920495,1.1250980404311932,0.23662551440329221,0.03209876543209879,0.0283950617283951,0.010699588477366285,0.003292181069958877,0.009876543209876576,0.007407407407407451,0.007818930041152295
34,34,0.8930041152263375,0.8921317362700668,0.8768328445747801,0.968841642228739,1.6690551669310665,1.0901109970733516,1.3609993988181381,1.7752319166900725,0.9199421182273383,0.21399176954732516,0.049794238683127615,0.031275720164609076,0.012345679012345723,-0.004115226337448508,-0.00905349794238679,-0.010699588477366207,-0.0004115226337447986
35,35,0.8847736625514403,0.8847736625514403,0.8740186639016443,0.9646719004591913,1.4525521198142848,1.1319702356209773,1.1485003525424897,2.6453134956960977,0.5335005764205165,0.16995884773662548,0.010288065843621375,0.020164609053497918,0.006995884773662519,0.002057613168724237,-0.008230452674897148,-0.0016460905349794386,0.011111111111111082
36,36,0.9094650205761317,0.9098792329002932,0.9069281524926687,0.9669354838709678,2.145958683611041,0.16354676001966179,1.138066017784147,2.5062015430857096,0.8174324044133441,0.21275720164609052,0.041563786008230394,0.02139917695473249,0.02551440329218104,-0.0016460905349794386,0.005349794238683103,0.0016460905349794165,0.0074074074074073955
37,37,0.9218106995884774,0.9220937610676699,0.9187665782493368,0.9700117889773062,0.6481432645280636,0.4914344101269064,1.6815861903887026,2.7945922705875654,1.0859019194585837,0.2168724279835391,0.04609053497942388,0.04074074074074078,0.038683127572016494,0.019753086419753107,-0.0012345679012345512,0.0012345679012345846,0.003292181069958866
38,38,0.9300411522633745,0.9297512513021154,0.9195674714857058,0.9870389571915272,0.9754097626086049,0.9001642249567724,1.9367085783267712,2.5151088347425086,0.41681266268155304,0.21687242798353906,0.04855967078189301,0.025514403292181066,-0.00781893004115226,0.002057613168724259,-0.006995884773662542,0.006172839506172823,0.005349794238683115
39,39,0.9135802469135802,0.9139153989597519,0.909084139985108,0.968801191362621,2.014290800202388,0.5135810093216928,1.4102983148624253,2.255566088653156,0.5359724617748347,0.22427983539094645,0.0218106995884773,0.04526748971193412,0.019341563786008188,0.0020576131687242484,0.0057613168724279466,-0.001646090534979472,0.006584362139917655
40,40,0.9176954732510288,0.9185054321241759,0.9150252127324299,0.9817207689883392,1.1533943730547116,1.2292566373038716,1.6560322629779762,1.902954244730156,0.6431286715874541,0.17489711934156382,0.016460905349794275,0.01975308641975313,0.008641975308642025,0.0004115226337448985,-0.009465020576131633,-0.007407407407407374,0.00823045267489716
41,41,0.934156378600823,0.9344360196649284,0.9339869281045752,0.9835148874364561,0.9123080200817698,0.6694807252269592,1.8064731935920089,2.6205656716676624,0.5113795266680448,0.21687242798353906,0.042798353909465,0.051028806584362096,0.017283950617283928,0.014403292181069916,0.008230452674897082,-0.0004115226337448652,0.011934156378600791
42,42,0.9259259259259259,0.9259259259259259,0.915034965034965,0.984071484071484,1.055142740424271,1.05759433733565,1.485003542554545,2.7031967899141267,0.6930470720060792,0.2123456790123457,0.03786008230452677,0.028395061728395066,0.015637860082304545,0.0,-0.00987654320987653,-0.004526748971193395,0.00864197530864198
43,43,0.9259259259259259,0.9274281274281274,0.9353070175438596,0.9666179337231969,1.069340674185407,1.0904694893900218,1.3683235473384938,2.685179651948021,0.6190554561408587,0.2135802469135802,0.0440329218106996,0.03292181069958847,0.023045267489711953,0.01522633744855969,0.0020576131687242705,0.0008230452674897082,0.021810699588477377
44,44,0.9465020576131687,0.9470193318773761,0.9506172839506173,0.9850632525529645,1.5054235764369255,0.8417769801680642,1.7932188893553869,2.3893368413324567,0.029356969661360643,0.22633744855967083,0.043621399176954755,0.04197530864197533,0.016460905349794275,0.011934156378600846,0.00823045267489716,0.00452674897119344,0.00658436213991771
45,45,0.9176954732510288,0.9179494995681552,0.9100076687116564,0.9760736196319019,0.9983076706210942,1.316541848111277,1.5787981145830994,2.1760159496212794,0.5700617681231019,0.211522633744856,0.04444444444444449,0.03868312757201651,0.0020576131687243147,-0.0057613168724279466,0.005349794238683181,-0.0008230452674896638,-0.0016460905349793941
46,46,0.9259259259259259,0.9269325170293152,0.9320552147239264,0.9727760736196319,1.4340057855334016,0.7576343623998409,1.5082024234413605,2.66089207502936,0.4523405156149443,0.2156378600823045,0.046502057613168724,0.05967078189300411,0.05308641975308642,0.008230452674897104,0.00781893004115226,0.013991769547325127,0.008230452674897137
47,47,0.9094650205761317,0.9097030587756242,0.9032017870439315,0.9752047654504841,1.3651170139849882,0.5556146406332498,1.624745120445721,2.105845798809672,1.082566502497147,0.1905349794238683,0.02921810699588474,0.028806584362139887,0.0024691358024691024,-0.009876543209876576,-0.01316872427983542,-0.0020576131687242817,-0.0008230452674897303
48,48,0.9218106995884774,0.923214729734183,0.9322843822843823,0.9721833721833723,1.1748663772025756,1.0965078792516696,1.6198970869030875,2.1130545331505157,0.40230947752527946,0.22839506172839505,0.018518518518518545,0.023045267489711974,0.012757201646090555,-0.002057613168724259,0.0008230452674897303,-0.0024691358024691136,0.0037037037037037203
49,49,0.9259259259259259,0.9256829382639817,0.9129601226993864,0.9813650306748466,1.299053954986464,1.181607308486471,1.7910948178464368,1.6367773176204194,0.6824816253891623,0.22345679012345682,0.03909465020576132,0.032921810699588494,0.022222222222222233,0.005349794238683125,-0.0016460905349794165,0.0028806584362139898,0.00864197530864197
50,50,0.9176954732510288,0.9179118716142037,0.9122486969471333,0.9749813849590468,1.4481105679050663,0.9857461784129099,1.2741362507567293,2.3172664144435737,0.8379572476211551,0.21646090534979426,0.03209876543209881,0.036213991769547385,0.010699588477366328,0.0004115226337449096,-0.0004115226337448208,0.0016460905349794607,0.0012345679012346288
51,51,0.9382716049382716,0.9389079441000521,0.9411469589379438,0.9842543995060204,1.70910518921806,0.7692664632318414,0.29489711300234933,2.4025959721025925,0.935870261977724,0.2522633744855966,0.05226337448559666,0.04238683127572011,0.015226337448559623,0.007407407407407351,0.006995884773662519,0.012757201646090477,0.01193415637860078
52,52,0.9300411522633745,0.9306742172394765,0.9323795180722891,0.9781626506024096,1.894906739865462,0.3123402486877057,2.1189236468893946,2.2729615602053097,0.06519364533857906,0.19917695473251026,0.07160493827160493,0.04156378600823045,0.016049382716049377,1.1102230246251566e-17,0.0008230452674897082,0.0028806584362139785,0.009465020576131666
53,53,0.9259259259259259,0.9265312624452409,0.9297023201517584,0.9734422880490297,0.8949592733042534,1.432149720749732,1.6317572396173263,2.629471427611327,0.29887496056578716,0.20246913580246914,0.039094650205761326,0.04074074074074073,0.005761316872428002,-0.0024691358024691245,0.0012345679012345622,0.005761316872427957,0.005349794238683115
54,54,0.9259259259259259,0.9256755590088924,0.9123186168570546,0.983019450447669,1.5061392226560326,1.0337746840492505,1.4065300456369847,2.596175628925743,0.07110007697572118,0.16872427983539096,0.020576131687242816,0.027983539094650213,0.023456790123456805,0.003703703703703709,-0.005761316872427957,-0.012345679012345656,0.0041152263374485635
55,55,0.9135802469135802,0.9151998729705054,0.9260352760736197,0.9648006134969326,1.2835587624774702,1.044510560360333,0.9858102515799907,2.4532536559933202,1.1903025294965557,0.18847736625514394,0.039094650205761285,0.03827160493827155,0.02839506172839502,0.0032921810699588104,-0.00246913580246918,-0.002057613168724326,0.007407407407407351
56,56,0.9012345679012346,0.9005468724344226,0.8809046001852423,0.9678913244828651,0.5126671332275944,0.7348724008457316,1.767669996597125,2.422093779217229,1.0761110071452515,0.17736625514403292,0.011934156378600824,0.026337448559670795,0.0024691358024691466,-0.006584362139917676,-0.008230452674897092,-0.015226337448559668,-0.000411522633744843
