,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
56,56,0.9465020576131687,0.9465884890012497,0.9406838530410621,0.9638777400432232,2.177410203223863,1.688809762191762,1.770253231327163,0.6855907776254105,0.8557811679870043,0.3275720164609054,0.24609053497942393,0.1609053497942387
57,57,0.9629629629629629,0.9627888375714463,0.9540978639600061,0.985986971670959,1.7794048362049182,2.1001585177916473,1.5324002858401948,0.8318462561588029,0.6831810501536705,0.34732510288065843,0.24444444444444438,0.17777777777777767
58,58,0.9588477366255144,0.9590863453815262,0.9598765432098766,0.9919981710105167,1.4323522485327764,3.2260593395706256,1.216537574427479,-0.2105769533848066,1.2814067610066764,0.4037037037037036,0.3053497942386831,0.3
59,59,0.9423868312757202,0.9425592082007777,0.9382716049382716,0.980871818320378,2.120087978682454,1.9070123393603227,1.2688373171933975,0.7796976549123454,1.346843039982477,0.3176954732510288,0.25473251028806587,0.15761316872427988
60,60,0.9547325102880658,0.9543778104164578,0.9424322289156626,0.9903614457831326,0.7537170214757344,2.4612309562769914,2.028501220692676,0.9705294433933165,1.2243931767451612,0.3358024691358025,0.24320987654320986,0.1534979423868313
61,61,0.9423868312757202,0.9427315851258352,0.9411426380368098,0.9718558282208589,1.163927632340172,2.6605800156978368,1.0766479475779047,0.47263756500046367,1.6092933463072132,0.3633744855967079,0.21810699588477367,0.23703703703703707
62,62,0.9465020576131687,0.946410296207262,0.936946386946387,0.9910644910644911,1.752487175047304,2.500601726811735,2.048576035445361,0.06788640179044884,0.8633225859037524,0.3847736625514404,0.21646090534979426,0.20740740740740743
63,63,0.9259259259259259,0.9266770266770267,0.9242857142857144,0.9724603174603176,1.5830606298500838,2.0172931467473956,1.259765303873292,1.4043825124372746,0.9648765724398571,0.28189300411522633,0.20905349794238687,0.11316872427983538
64,64,0.9423868312757202,0.9425933707633467,0.9361904761904762,0.9680952380952381,1.6789247013365454,2.114332396137518,0.8621210407494697,0.7464891843056833,1.8379338028275667,0.3802469135802469,0.25473251028806587,0.2967078189300413
65,65,0.9506172839506173,0.9510068010043323,0.9538027108433735,0.9889307228915662,1.1696927782343625,2.767763430917177,1.0363873951382225,0.16974447910049464,1.8038724396599661,0.3448559670781893,0.2670781893004115,0.20781893004115223
66,66,0.9588477366255144,0.9587535974609322,0.9538750722961249,0.9928426836321573,1.4444056676409118,1.6914126786641637,2.371378343419415,0.8539647257976292,0.8525828590024773,0.33456790123456787,0.25843621399176947,0.18148148148148144
67,67,0.9588477366255144,0.959150947950231,0.9629188384214444,0.9902457185405807,1.6002101040405143,1.6855404609824636,1.1915549081990988,0.9967499772156861,1.661590092807519,0.3625514403292181,0.21481481481481474,0.17613168724279832
68,68,0.9259259259259259,0.9263691808760738,0.9225076687116565,0.9599693251533743,1.6211377262567328,2.4541213257348966,1.377095044711371,0.808736229800561,1.3604263713527391,0.3312757201646091,0.2185185185185185,0.1897119341563786
69,69,0.9300411522633745,0.9306742172394765,0.9323795180722891,0.9769578313253011,1.1954539558837496,2.6680830225308076,1.3643902674691708,0.9158474510074822,1.0670999883721648,0.3436213991769547,0.2288065843621399,0.19753086419753083
70,70,0.9506172839506173,0.9506172839506173,0.9440950920245399,0.9673312883435583,2.550447311004022,2.305652283111641,0.9477687720852703,1.130283670834206,0.49848512049197996,0.34074074074074073,0.21975308641975308,0.1876543209876543
71,71,0.9506172839506173,0.950922115531169,0.9502933004013584,0.9900432232170423,1.749888272069378,1.836789295281981,1.6985890360795273,0.32797956559855723,1.3548354996958965,0.3345679012345679,0.22716049382716053,0.15514403292181073
72,72,0.9259259259259259,0.926315442979641,0.9237421383647799,0.9644354597184785,1.9826318457464502,2.0174102995062224,1.2061788795099413,1.0518390473237078,0.8410664930719118,0.3539094650205762,0.22798353909465022,0.17119341563786009
73,73,0.9588477366255144,0.9588477366255144,0.9537037037037037,0.9900167657369304,1.3558882056982664,1.7193588031228237,1.9104466856914766,0.8114644746686052,1.1854290157242846,0.34032921810699585,0.234156378600823,0.20617283950617277
74,74,0.9382716049382716,0.9383568699268772,0.9331761006289307,0.9862982929020665,1.164238604232885,2.7905250984449785,1.0616679403673965,1.3273411966428148,0.9998941115744752,0.40246913580246907,0.2209876543209876,0.2078189300411522
75,75,0.9547325102880658,0.9549262479723398,0.9538706256627784,0.9824269050143918,1.0685205582694364,2.4026974824435805,1.304730388036783,0.9779208299447936,1.4557686662641764,0.3765432098765432,0.23127572016460904,0.22469135802469134
