,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
14,14,0.9709090909090909,0.9705595489781536,0.9469180675450553,0.9959866727245191,2.1381953441186665,0.9457839577885885,1.622026178711631,0.933436628477221,2.0000543507865953,0.22290909090909095,0.03381818181818186,0.012727272727272731,0.03272727272727275
15,15,0.9381818181818182,0.9369896654600961,0.8984285304247991,0.982276119402985,1.9444645452079736,1.8386020465776647,2.8431080116586416,0.163657311212713,1.1281781157937179,0.22836363636363638,0.02690909090909096,0.025090909090909143,0.03309090909090915
16,16,0.9636363636363636,0.9630856888209829,0.9272055073941867,0.9866564677885433,2.804692114500065,0.8491223354444699,2.2773429827727885,1.1613416346393397,0.888654326010293,0.20036363636363635,0.034545454545454525,0.005818181818181789,0.012727272727272698
17,17,0.9563636363636364,0.9560661157024795,0.9260844748858448,0.976761252446184,2.6592864358808446,1.9295851239762756,1.4109028810247524,1.4436758584697187,0.38079948786039275,0.19163636363636372,0.022181818181818237,0.000727272727272732,0.008363636363636417
18,18,0.9345454545454546,0.9331204222317966,0.8923344700198921,0.9872833191247513,2.9296131671458436,0.6500578611922458,2.259344703896583,1.266238060801251,0.5584826181801201,0.21454545454545454,0.008363636363636406,0.0043636363636363916,0.008000000000000018
19,19,0.9527272727272728,0.952150786242089,0.9268157967412316,0.9878486605909969,2.1007633344574437,1.1565919840296264,1.799386383511516,0.6903643620572633,1.9891693170811642,0.25163636363636366,0.03090909090909094,0.016363636363636393,0.045818181818181855
20,20,0.9672727272727273,0.967670450666286,0.9549272116461367,0.9914147069802165,3.517225116682713,0.7319188200459693,2.214706687815493,-0.30069670702731105,1.629933293144652,0.18145454545454548,0.04836363636363637,0.007272727272727287,0.046909090909090914
21,21,0.96,0.9595634028892456,0.926135411429529,0.9932964638846992,2.7004017087417087,1.208047497859485,1.9156040554909677,0.7654083272796577,0.9582181525135798,0.18654545454545451,0.033454545454545424,0.00036363636363633266,0.019999999999999962
22,22,0.96,0.9592723381487428,0.9204545454545454,0.994297520661157,2.3627006776898294,1.5266816122674582,2.1252824748451986,0.07662769206163957,1.357881615326204,0.18727272727272723,0.047272727272727244,0.013090909090909052,0.03599999999999996
23,23,0.9563636363636364,0.9554710743801653,0.9155013507071349,0.9906245034164944,1.9828951235537613,1.6379504007857488,1.9389816922469854,0.7287233290086625,1.3220765298177977,0.18327272727272734,0.04654545454545461,0.008727272727272783,0.04400000000000006
