,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_fd2_scaled
152,152,0.9283990345937249,0.9279180332185333,0.9132035387928525,0.9706390780513359,2.334449633638041,-0.360519798618339,-1.229366719395876,3.8735528168707845,2.009979014721826,0.055028157683024916,0.050522928399034564,0.05864843121480288,0.04360418342719223,0.038616251005631506,0.027192276749798915,0.04022526146419948,0.020756234915526982,0.014481094127111849,-0.0028962188254223697,-0.0006436041834271932,-0.002413515687851975
153,153,0.9388576025744167,0.9384559702781604,0.9246566919450707,0.9794776447164231,2.545553145558731,-0.20136255989220114,-0.9218370812729662,3.621664007996924,1.5673101217445882,0.04738535800482703,0.05277554304102976,0.05358004827031374,0.03934030571198719,0.033869670152856045,0.02485921158487534,0.03378921962992765,0.015124698310539041,0.0193081255028158,-0.0016894609814963823,-0.0012872083668543865,-0.0023330651649235757
154,154,0.9251810136765889,0.9250482305699596,0.911256870736832,0.9666351601114972,1.9763764413880058,-0.10677519478073348,-0.6772051405228604,3.5267950130544015,2.026324136766148,0.0660498793242156,0.049155269509251774,0.06677393403057119,0.044006436041834227,0.04633950120675782,0.03652453740949313,0.056798069187449694,0.021480289621882576,0.02204344328238137,0.001045856798069189,-0.0018503620273531806,0.0016894609814963823
155,155,0.9332260659694288,0.933245828091521,0.9254155997236109,0.9752643405856429,2.0490313894779613,-0.5852356452391695,-0.9263165997084308,3.9159314581285423,2.2064386537230103,0.06291230893000803,0.045695897023330635,0.06468222043443281,0.040466613032984725,0.028238133547868104,0.028318584070796505,0.047546259050683805,0.01995172968624299,0.018905872888173803,-0.0002413515687851975,0.0016090104585679832,0.002493966210780374
156,156,0.9332260659694288,0.9328482967520517,0.9205570017411692,0.9751380580504652,1.5706997314266198,-0.27855701172583514,-0.8957071397343134,4.023826079991074,2.268742506272914,0.07272727272727272,0.05116653258246175,0.05543041029766691,0.048350764279967796,0.030329847144006484,0.04119066773934031,0.041271118262268716,0.020032180209171392,0.030651649235720068,0.0012067578439259874,-0.0004022526146419958,-0.0030571198712791682
157,157,0.9211584875301689,0.9212127278210387,0.9092762028265072,0.9721912034869059,2.4667238800640994,-0.23974840889386873,-1.1574940592424516,3.635131726007678,1.8999203147949162,0.05840707964601768,0.03427192276749793,0.06709573612228478,0.034352373290426355,0.03370876910699914,0.022043443282381357,0.031053901850361998,0.02284794851166535,0.015526950925181037,-0.0032984714400643655,-0.0012067578439259874,-0.0008849557522123908
158,158,0.9267900241351569,0.9265817215105203,0.9145333263148044,0.9717591942728804,2.5519606625692,-0.05714206587260828,-1.1027380945593863,3.449742124674832,1.782476606924603,0.07288817377312953,0.050201126307320966,0.06468222043443281,0.04360418342719223,0.050281576830249364,0.03620273531777955,0.03467417538213996,0.04038616251005628,0.03588093322606595,-0.0028157683024939706,-0.0003218020917135966,0.0004022526146419958
159,159,0.9452936444086887,0.9451108077550892,0.9342511580030881,0.9771593873675617,2.3830004241933276,-0.2455202088449016,-0.8875181993263418,3.693925810981589,1.7001018855731778,0.06798069187449718,0.04102976669348357,0.05921158487530168,0.047385358004827106,0.043041029766693537,0.0386162510056316,0.03427192276749804,0.03491552695092524,0.03041029766693488,0.0,0.0028157683024939706,0.0027353177795655715
160,160,0.9340305711987128,0.9337629199754595,0.9206126607471818,0.9790103126980648,2.4280516436783057,-0.30187346086121924,-0.7896872584868218,3.5918063955495922,1.790555224056153,0.06862429605792437,0.04094931617055512,0.053258246178600144,0.041995172968624296,0.0365245374094932,0.02510056315366054,0.05156878519710375,0.02115848753016898,0.022445695897023367,0.0018503620273531806,0.0007240547063555924,0.0033789219629927645
161,161,0.9283990345937249,0.9282858542909614,0.9173629311709557,0.9739611733596008,2.2183459562277137,-0.5293534589735325,-0.7687793716168023,3.8899092574632403,1.872759923229415,0.057039420756234895,0.04312148028962184,0.046983105390185,0.049396621078036974,0.04070796460176991,0.036604987932421576,0.041432019308125456,0.035317779565567184,0.03821399839098951,0.002493966210780374,0.002091713596138378,-0.0005631536604987942
162,162,0.9235720032180209,0.9232578960856321,0.9099259021558388,0.974296216342367,2.599494751839225,-0.016855487100712913,-1.1159743318817406,3.8741865331679715,1.2951621288983446,0.050281576830249364,0.047385358004826995,0.050201126307320966,0.04947707160096537,0.02493966210780374,0.029605792437650845,0.04352373290426383,0.026065969428801315,0.03403057119871274,0.0014481094127111848,-0.0018503620273531806,-0.002493966210780374
163,163,0.9364440868865648,0.9361189666867792,0.9223941334312674,0.9760841364522187,1.6788502734873896,-0.512015999412259,-1.0459745056925256,4.238335023454229,2.393796878372889,0.065728077232502,0.03169750603378927,0.06846339501206758,0.04778761061946901,0.04448913917940467,0.039420756234915554,0.048189863234110994,0.03089300080450528,0.029123089300080496,0.0041029766693483575,0.00193081255028158,0.005792437650844739
164,164,0.9404666130329847,0.940502823865222,0.9334466603577396,0.9783773205752807,1.8346473205263394,0.04333196677468997,-0.7772325445304343,3.7578325163496555,1.7598009299844135,0.061786001609010446,0.046259050683829496,0.0668543845534996,0.0455349959774739,0.04674175382139987,0.034754625905068434,0.042477876106194745,0.02695092518101372,0.02582461786001613,-0.0002413515687851975,-0.0013676588897827858,0.0008045052292839916
165,165,0.9283990345937249,0.9280705187108932,0.9128999180881658,0.974694026415072,1.8816564200561297,-0.26210846224239226,-0.8250153714210313,3.4564788925756478,2.3667241435567594,0.06910699919549476,0.05358004827031373,0.07980691874497185,0.04094931617055507,0.04328238133547865,0.03330651649235722,0.04786806114239739,0.018342719227675008,0.01713596138374902,-0.0004022526146419958,0.0022526146419951766,0.0
166,166,0.9283990345937249,0.928205989138552,0.9173653300931551,0.9729618700457097,2.515051971569319,-0.6630413362493421,-0.6922933897066942,3.805325814923827,1.8231955089637903,0.05953338696701527,0.03781174577634753,0.05446500402252612,0.03789219629927594,0.04448913917940463,0.01721641190667742,0.036122284794851155,0.025020112630732137,0.02212389380530977,0.0015285599356395841,0.0008045052292839916,0.0015285599356395841
167,167,0.9283990345937249,0.9280178185779182,0.9122198107059365,0.9706313190196887,2.3213320712732393,-0.5377255012868412,-1.2273040328576712,3.5797020847103767,2.602708838752633,0.06476267095736121,0.04891391794046659,0.06709573612228478,0.03604183427192278,0.03354786806114242,0.03660498793242155,0.040466613032984676,0.017940466613033012,0.021882542236524572,-0.0008045052292839916,0.0022526146419951766,-0.0005631536604987942
168,168,0.9227674979887369,0.922675789970195,0.9124215075190583,0.9678238756169335,2.4808397412952137,-0.22468090499528168,-1.0756849998569709,3.818533093903231,1.7129447036162393,0.06065969428801286,0.05068382944489136,0.062429605792437635,0.03966210780370068,0.03724859211584871,0.03435237329042634,0.046580852775543004,0.023652453740949354,0.02461786001609012,0.0027353177795655715,8.045052292839915e-05,0.0011263073209975883
169,169,0.9308125502815768,0.930494415225858,0.9170438380964696,0.9697724039829303,2.548091319956434,-0.34573211493218825,-0.9352336931745671,3.6111821592325413,1.741147500711335,0.0660498793242156,0.04102976669348348,0.05470635559131132,0.03845534995977473,0.036363636363636376,0.027192276749798915,0.03692679002413517,0.02389380530973455,0.029927594529364488,-0.0007240547063555924,-0.0006436041834271932,-0.0005631536604987942
170,170,0.9275945293644409,0.9271614658094367,0.9121298331824648,0.9754123414410496,2.1251383267169714,-0.6335673332591435,-0.7556116656709139,3.985027864536737,2.0113601038711146,0.042880128720836644,0.03491552695092519,0.05253419147224454,0.03459372485921158,0.031214802896218863,0.03218020917135964,0.03724859211584873,0.03153660498793245,0.04038616251005628,-8.045052292839915e-05,-0.001045856798069189,0.0004022526146419958
171,171,0.9292035398230089,0.9289777312601709,0.9168345386935262,0.9698210991713758,2.0171298235224797,0.2044812851158745,-1.0148260850805806,4.038659675056797,1.3369578189830906,0.05349959774738533,0.04320193081255025,0.05808527755430408,0.050201126307320966,0.04963797264682217,0.03306516492357201,0.029042638777152095,0.03604183427192278,0.031295253419147254,0.0037007240547063613,0.0006436041834271932,0.0013676588897827858
172,172,0.9308125502815768,0.9302654731134513,0.9159124473483085,0.9750058900937244,1.9728784838254259,-0.26551855040843136,-0.9078991654694784,3.6198550507238103,2.2022216398529983,0.05969428801287206,0.05888978278358807,0.06315366049879323,0.03845534995977473,0.03869670152855992,0.03218020917135964,0.03523732904263881,0.024376508447304945,0.021399839098954175,0.002011263073209979,0.0001609010458567983,0.0029766693483507687
173,173,0.9316170555108608,0.931638166221504,0.9229701636752262,0.9756946681111468,2.657181879923279,-0.3608265070053991,-1.054853089892132,3.5682466377644877,1.8038605192571897,0.05382139983909893,0.03435237329042641,0.07023330651649236,0.043684633950120656,0.032582461786001646,0.022526146419951765,0.038294448913917936,0.024537409493161744,0.031053901850362064,0.0015285599356395841,-0.002413515687851975,-0.0011263073209975883
174,174,0.9267900241351569,0.9266701487222557,0.9148514120288314,0.9693755169561622,2.713102438281203,-0.6604645010963612,-1.2858806453192164,3.7234694850043484,2.303027895489318,0.066130329847144,0.048028962188254185,0.06741753821399839,0.041673370876910656,0.0467417538213998,0.03378921962992759,0.041834271922767466,0.03209975864843123,0.027111826226870517,0.0027353177795655715,0.00386162510056316,0.0011263073209975883
175,175,0.9428801287208367,0.9426707429413949,0.9312743707904998,0.9829315845444877,2.4606130238288415,-0.6341282460196982,-1.2602936200416188,3.7453211748551865,2.296846832213717,0.06540627514078842,0.046580852775543094,0.06307320997586482,0.0509251810136766,0.03901850362027359,0.0379726468222044,0.03282381335478686,0.021399839098954175,0.032099758648431266,-0.0016894609814963823,-0.0016894609814963823,-0.0039420756234915585
176,176,0.9243765084473049,0.9241295756029406,0.910870985398238,0.9707170224411604,1.2218128035789602,-0.23216660478870574,-0.6146484570896009,4.113450265992433,2.200457701777086,0.05752212389380529,0.03740949316170551,0.06170555108608204,0.0371681415929203,0.033628318584070796,0.03290426387771519,0.036685438455349925,0.03105390185036202,0.028238133547868072,-0.00386162510056316,-0.0012067578439259874,-0.00193081255028158
177,177,0.9340305711987128,0.9338691024415263,0.9235434494465631,0.9721479397265371,2.7255534426971963,-0.591741022699561,-0.5903858729566819,3.322515627406544,1.9611496092765757,0.06202735317779564,0.043201930812550284,0.05832662912308928,0.04513274336283184,0.037248592115848765,0.03507642799678203,0.036283185840707985,0.017538213998391016,0.01729686242960582,0.002413515687851975,0.0006436041834271932,-0.0001609010458567983
178,178,0.9356395816572808,0.9354172212808003,0.9254027865374692,0.9747548879078035,2.111078372322379,-0.3659695846464624,-1.1745267789433407,4.06192768614812,1.9172776404674063,0.0659694288012872,0.06387771520514882,0.0658889782783588,0.03958165728077238,0.0438455349959775,0.019147224456959,0.044730490748189855,0.030008045052292886,0.0286403861625101,8.045052292839915e-05,0.0008045052292839916,0.003539823008849563
179,179,0.9275945293644409,0.9273873494370759,0.9170489077461155,0.9753884524969899,2.3451993769775408,-0.5299637366089003,-0.8929355581336855,4.067282199604649,1.6850148934855802,0.06057924376508446,0.06484312148028962,0.05382139983909893,0.04344328238133545,0.04094931617055507,0.03113435237329045,0.042638777152051444,0.03218020917135963,0.0479485116653258,-0.002091713596138378,0.0012067578439259874,0.002011263073209979
180,180,0.9267900241351569,0.9268963905259338,0.9194736842105262,0.9695461794983325,2.115851737076529,-0.23552193957393622,-1.0977734759516242,3.964527871098363,1.865404812161527,0.06693483507642799,0.04867256637168138,0.06138374899436845,0.0396621078037007,0.04432823813354784,0.029927594529364453,0.04593724859211581,0.03467417538213998,0.0394207562349155,-0.0016090104585679832,-0.0005631536604987942,-0.0014481094127111848
181,181,0.9364440868865648,0.9363506096452836,0.9276126821205448,0.9801105004305587,2.143409371663959,-0.4245901717008061,-0.6354078518479532,4.072187765382664,1.4847622512741443,0.05937248592115847,0.044810941271118274,0.05100563153660498,0.04577634754625903,0.04006436041834275,0.027111826226870517,0.032180209171359664,0.017377312952534217,0.023732904263877752,-0.002574416733708773,-0.0001609010458567983,0.0001609010458567983
182,182,0.9356395816572808,0.9357155413216723,0.9289339363780114,0.976714375406939,2.263261292893314,-0.4220199531919394,-1.0319491571738992,3.897017008686336,2.004943588186932,0.07103781174577635,0.05776347546259049,0.07940466613032986,0.04955752212389377,0.04086886564762674,0.032421560740144864,0.043604183427192286,0.025341914722445735,0.024135156878519748,0.0037811745776347603,-0.000482703137570395,0.0005631536604987942
183,183,0.9428801287208367,0.9423010287736178,0.9242838248113746,0.9797907836594824,2.3967734508554206,-0.7368782493130654,-0.7138741072741377,3.8740888988437163,1.8943165276807017,0.05486725663716814,0.033869670152856045,0.04376508447304913,0.04352373290426394,0.026226870474658125,0.027674979887369312,0.03161705551086087,0.024296057924376547,0.02574416733708773,0.0001609010458567983,-0.0033789219629927645,0.0002413515687851975
184,184,0.9275945293644409,0.9273594828253688,0.914651493598862,0.970577689477211,2.357842460397358,-0.1186157812250509,-0.9460959650137687,3.9382808962998896,1.4342911524005901,0.07256637168141593,0.03765084473049072,0.06492357200321801,0.045132743362831816,0.04352373290426385,0.03781174577634753,0.039340305711987114,0.029525341914722492,0.023330651649235756,0.0016090104585679832,0.0017699115044247816,0.003539823008849563
185,185,0.9275945293644409,0.9270559628786261,0.9107238495447616,0.9732536445550906,2.315282372625446,-0.08200079786513784,-0.5355407682681266,3.7219856723475258,1.2102204420174127,0.04247787610619465,0.04867256637168138,0.051971037811745745,0.0464199517296862,0.02590506838294453,0.018342719227675008,0.027353177795655714,0.03201930812550284,0.03113435237329044,-0.0008849557522123908,-0.0012872083668543865,-0.0028962188254223697
186,186,0.9283990345937249,0.9278950461932348,0.9120975042027674,0.9699810728518863,2.141270921130588,-0.48729131408609416,-0.8557138096417223,3.6470492182077505,2.346570748704228,0.057683024939662084,0.04223652453740945,0.05156878519710375,0.03234111021721644,0.036202735317779566,0.032099758648431245,0.03563958165728078,0.030008045052292865,0.03193885760257444,-0.0012067578439259874,-0.0008045052292839916,-0.0012067578439259874
187,187,0.9324215607401448,0.9324215607401448,0.9244835965978129,0.9785193542787711,2.222930279614397,-0.13727262568517504,-1.2644242108598744,4.123296600610058,1.6310152167175183,0.050040225261464163,0.04279967819790825,0.053901850362027326,0.047385358004827,0.04320193081255026,0.03427192276749802,0.043765084473049054,0.02590506838294453,0.03789219629927597,0.0027353177795655715,-0.0011263073209975883,0.00096540627514079
188,188,0.9316170555108608,0.9314727878005079,0.9213397129186602,0.9740234884732493,2.7526556485700358,-0.29281927609009956,-1.2487930733373824,3.5074995469971166,1.9348716189908486,0.0762670957361223,0.04223652453740948,0.07401448109412712,0.0464199517296862,0.046419951729686215,0.03346741753821404,0.05261464199517294,0.03250201126307325,0.02389380530973455,-0.002413515687851975,0.0011263073209975883,-0.0003218020917135966
189,189,0.9283990345937249,0.9281367933594795,0.9175443553911495,0.9733896195825913,2.3741399843809115,-0.4609804408925694,-0.8633642715049299,3.8566634722850432,1.8422173781773001,0.060981496379726455,0.046983105390185,0.06902654867256637,0.047385358004826995,0.050040225261464163,0.04111021721641188,0.038938053097345125,0.023169750603378957,0.030249396621078062,-0.0012872083668543865,-0.0018503620273531806,0.000482703137570395
190,190,0.9283990345937249,0.9281130799495515,0.9127599927654186,0.9706667872430217,2.3188698665487024,-0.2081588695404693,-0.9922319048278394,3.402451056769244,2.222813992275064,0.07160096540627514,0.03982300884955749,0.06532582461786,0.03829444891391791,0.05044247787610616,0.03419147224456961,0.0403057119871279,0.02300884955752216,0.017377312952534217,-0.0002413515687851975,0.0005631536604987942,0.0013676588897827858
191,191,0.9227674979887369,0.9224683965763041,0.9088054739582416,0.968898231048413,1.9379227538911796,-0.2212209403845603,-0.7476103340973008,3.770861180535071,1.9743444273855761,0.07345132743362832,0.06983105390185036,0.057683024939662084,0.05470635559131132,0.034674175382139946,0.03909895414320188,0.0464199517296862,0.024376508447304924,0.02300884955752216,0.0003218020917135966,0.0007240547063555924,-0.0002413515687851975
192,192,0.9348350764279968,0.9347338881396671,0.9249515147266716,0.9753513721916511,2.635823619091157,-0.28719775137276715,-0.7572082479262969,3.7794638071937063,1.3426741954679113,0.06894609814963797,0.047868061142397424,0.06307320997586482,0.04955752212389377,0.02325020112630736,0.03161705551086087,0.032904263877715244,0.02381335478680615,0.027192276749798915,0.0016090104585679832,0.0,0.0002413515687851975
193,193,0.9404666130329847,0.9400732665565994,0.9263557369263513,0.9774937995813618,2.257073436240806,-0.18426350442585016,-0.9780491410150097,3.8528078493049156,1.5917407460476096,0.05366049879324214,0.060418342719227656,0.06814159292035397,0.044247787610619524,0.0288012872083669,0.03451327433628324,0.036041834271922826,0.025181013676588936,0.024537409493161744,-0.001045856798069189,-0.0013676588897827858,-0.0011263073209975883
194,194,0.9388576025744167,0.9386126698602876,0.9286092279527447,0.9823993821333562,2.0954410362349916,-0.5602872529064508,-0.8623934488631876,3.6936507018345197,2.2498038845384953,0.05800482703137568,0.04730490748189864,0.04738535800482705,0.036041834271922826,0.04352373290426392,0.03636363636363641,0.03620273531777962,0.019147224456959,0.01826226870474661,0.0005631536604987942,0.0018503620273531806,0.0033789219629927645
195,195,0.9372485921158488,0.9372106530438746,0.928860369012281,0.977608986671323,1.6519743391526038,-0.0023498178242415914,-0.8247289587496484,4.147447078267484,1.6411521154430828,0.05446500402252613,0.05929203539823008,0.05374094931617054,0.04086886564762674,0.027111826226870517,0.03073209975864848,0.05084473049074817,0.02679002413515692,0.020756234915526982,-0.0015285599356395841,-0.0023330651649235757,-0.0004022526146419958
196,196,0.9300080450522928,0.9296558983224813,0.9175473075088638,0.9701731400233304,2.4027096691579626,-0.012199749994750382,-1.0119116404444748,3.3288218423450653,1.9071171718588182,0.07272727272727272,0.04328238133547865,0.06379726468222043,0.04891391794046658,0.04456958970233303,0.03757039420756235,0.05382139983909893,0.026548672566371723,0.027433628318584112,0.0031375703942075673,0.0006436041834271932,-0.0016090104585679832
