,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd1_scaled
10,10,0.7908286403861625,0.7778579190534678,0.7248698142683563,0.8246976798009605,1.3440408261711148,-0.3474249298713055,0.03724926191641416,2.6206985543761174,2.0516719789972013,0.07851971037811747,0.06693483507642799,0.06693483507642799,0.0480289621882542
11,11,0.8125502815768303,0.8031621362412573,0.7509537049010733,0.8370061013601682,1.2751278560408275,-0.5600217683066249,0.4256847005203574,2.3697079835111956,2.24712496200228,0.10321802091713601,0.07465808527755433,0.08246178600160903,0.061303298471440115
12,12,0.8109412711182623,0.7980984459016046,0.7442043005769632,0.8607757721806427,1.4956644105520753,-0.20315349666107838,-0.2100445776882502,2.3952693292174345,2.007124054775925,0.08189863234111024,0.07023330651649236,0.06098149637972648,0.05349959774738543
13,13,0.8101367658889783,0.8035961727497082,0.7592957787566732,0.8496805624434784,1.4086598292416697,-0.32305872056998286,0.10956032374489602,2.3518172629980945,2.1716381115085723,0.08238133547868062,0.07087691069991955,0.07658889782783589,0.05502815768302499
14,14,0.8045052292839904,0.7965981480829849,0.7470322698353844,0.8380151961909471,1.8205407137862148,-0.3115336205996777,0.317689451105761,2.33768996222736,1.6437679931524385,0.09098954143201934,0.07618664521319389,0.07884151246983107,0.06041834271922768
15,15,0.8222043443282381,0.8141909042849705,0.7578687553279605,0.8450100059854535,1.4847712281676675,-0.10140766515581566,-0.2615724878311498,2.497670860248781,1.9484528560957108,0.10370072405470629,0.08423169750603371,0.08930008045052285,0.06669348350764273
16,16,0.7940466613032985,0.7835423153856892,0.7346866323002235,0.8417921734562521,1.349481344528328,-0.37600275697673136,0.5591766921116864,2.1846246323649114,2.0799381013804754,0.08294448913917943,0.058889782783588085,0.0660498793242156,0.053338696701528555
17,17,0.8117457763475463,0.8049325621651687,0.7618202145654239,0.8493176078040642,1.5299912652956777,-0.3172819344065229,0.23829849188436364,2.1328090300089384,2.03875256818102,0.10225261464199523,0.07932421560740147,0.07940466613032986,0.06645213193885763
18,18,0.8028962188254224,0.7965272290233778,0.756655531064885,0.8400835744133719,0.3867114174518887,-0.40052892629127823,0.17636493004249923,2.5474396903281056,3.041702476978452,0.10016090104585684,0.08262268704746582,0.08905872888173776,0.07135961383748995
19,19,0.8012872083668544,0.7913793197838831,0.7400167069737011,0.8409186498895939,1.2217746210377496,-0.4815794375272193,0.23992261023618033,2.181453842566663,2.654281958291939,0.09646017699115048,0.05647626709573613,0.07361222847948512,0.05937248592115847
20,20,0.7948511665325825,0.7841257094189796,0.7379247482655755,0.842613123335581,1.3147505011452556,-0.3257732612609629,0.4202979975136463,2.5972196862222314,1.7582473250605966,0.08817377312952537,0.06299275945293643,0.058809332260659694,0.047787610619469026
21,21,0.8101367658889783,0.8004040441486654,0.7534402416223214,0.8448813461815043,1.2694708101837995,-0.30009360838601584,0.31440512216922245,2.314570432244204,2.066643816988686,0.09227674979887372,0.06427996781979085,0.06942880128720837,0.0605792437650845
22,22,0.8125502815768303,0.8040961005866069,0.751447212336892,0.8371322657176751,1.757678913184705,-0.3767755634622734,0.2635798258402114,2.201358378228554,2.004474169152054,0.08889782783588096,0.06387771520514886,0.07642799678197909,0.059211584875301745
23,23,0.8165728077232502,0.8077462747615604,0.756936127744511,0.8608312786192323,1.216870761711369,-0.13705388655176992,0.09130074048946692,2.2924974035538566,2.0990163347263695,0.10402252614642,0.08656476267095739,0.08061142397425584,0.06814159292035402
24,24,0.8173773129525342,0.8081632872706362,0.7597448165869218,0.8477569957952733,1.4020454273990026,-0.29060442065455044,0.0536333227621304,2.4018212924122966,2.1271249117174644,0.09195494770716013,0.07353177795655673,0.08519710378117461,0.06854384553499603
25,25,0.7884151246983105,0.7795769701699061,0.7337629014588019,0.8334313555901516,1.3384216186599225,-0.3261347010793143,0.2035394047156742,1.9755395718678188,2.4757675380012696,0.08744971842316977,0.06283185840707964,0.07272727272727272,0.06275140788415123
