,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled
88,88,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.8901570048309179,0.38235294117647045,0.013602941176470651,0.05257352941176474
89,89,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.8791666666666667,0.22352941176470587,0.002941176470588225,-0.002941176470588336
90,90,0.8897058823529411,0.8351648351648352,0.8741545893719807,0.8589975845410627,0.24191176470588238,0.004779411764705754,0.0022058823529411686
91,91,0.9044117647058824,0.8470588235294118,0.8746376811594203,0.884903381642512,0.42647058823529416,0.0007352941176470562,0.02352941176470591
92,92,0.875,0.8089887640449438,0.8524154589371982,0.8682367149758453,0.36286764705882346,-0.02683823529411755,-0.004779411764705976
93,93,0.9044117647058824,0.8470588235294118,0.8746376811594203,0.8873792270531401,0.39522058823529416,-0.0025735294117645857,0.018382352941176516
94,94,0.8860294117647058,0.8306010928961749,0.8713768115942029,0.8885265700483093,0.24448529411764708,0.0011029411764704733,-0.004779411764705976
95,95,0.8786764705882353,0.819672131147541,0.8631642512077294,0.8757246376811595,0.22536764705882373,-0.004411764705882448,-0.009558823529411842
96,96,0.8860294117647058,0.8306010928961749,0.8713768115942029,0.87493961352657,0.21397058823529402,0.004779411764705865,0.0011029411764704733
97,97,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8625603864734299,0.23860294117647052,-0.004779411764705865,-0.0007352941176470562
98,98,0.9044117647058824,0.8505747126436781,0.8799516908212561,0.8775362318840578,0.3893382352941176,-0.00772058823529409,0.016911764705882404
99,99,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8766908212560387,0.2121323529411765,0.009926470588235148,-0.002941176470588336
100,100,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8810386473429951,0.43124999999999997,0.012500000000000067,0.03124999999999989
101,101,0.9044117647058824,0.8505747126436781,0.8799516908212561,0.9047101449275362,0.3775735294117648,0.005882352941176561,0.011397058823529482
102,102,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.8899154589371979,0.4272058823529412,0.013235294117647123,0.04044117647058809
103,103,0.9044117647058824,0.8488372093023255,0.8772946859903381,0.877717391304348,0.3871323529411764,-0.0007352941176469452,0.03308823529411764
104,104,0.8860294117647058,0.8306010928961749,0.8713768115942029,0.8623188405797102,0.2279411764705882,0.0051470588235293935,-0.0051470588235295045
105,105,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.8937801932367151,0.22610294117647056,0.0014705882352942234,-0.0003676470588235281
106,106,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.8722826086956522,0.21691176470588225,0.004044117647058698,-0.0018382352941177516
107,107,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8785628019323672,0.21691176470588225,0.0025735294117645857,-0.003308823529411864
108,108,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.878864734299517,0.4205882352941176,0.006249999999999978,0.018750000000000044
109,109,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8630434782608696,0.231985294117647,0.004779411764705754,-0.005514705882353033
110,110,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8780797101449276,0.23382352941176465,0.0003676470588234171,-0.004779411764705976
111,111,0.8970588235294118,0.8390804597701149,0.8717391304347826,0.8890096618357488,0.39522058823529427,0.005514705882353144,0.029044117647058942
112,112,0.9044117647058824,0.8452380952380952,0.8719806763285024,0.8791062801932368,0.37830882352941175,-0.003308823529411642,0.02757352941176483
113,113,0.9080882352941176,0.8520710059171598,0.8774154589371981,0.873792270531401,0.40698529411764695,0.028308823529411664,0.049632352941176294
114,114,0.9191176470588235,0.8735632183908046,0.8963768115942029,0.8807367149758454,0.42867647058823527,0.020588235294117685,0.051470588235293935
115,115,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.8792874396135265,0.2841911764705882,0.00036764705882363913,-0.01544117647058818
116,116,0.9007352941176471,0.8439306358381503,0.8745169082125603,0.8862318840579709,0.38492647058823526,-0.003676470588235392,0.031985294117647056
117,117,0.9044117647058824,0.8470588235294118,0.8746376811594203,0.8742753623188406,0.4088235294117647,-0.0011029411764706953,0.02499999999999991
118,118,0.8823529411764706,0.8260869565217391,0.8685990338164251,0.8657004830917876,0.1941176470588235,0.006985294117647034,-0.006985294117647034
119,119,0.8823529411764706,0.8260869565217391,0.8685990338164251,0.878743961352657,0.21544117647058825,0.0018382352941176405,-0.00955882352941173
120,120,0.8823529411764706,0.8260869565217391,0.8685990338164251,0.8774758454106282,0.2227941176470588,-0.0018382352941176405,-0.008823529411764564
121,121,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8781400966183576,0.2345588235294117,0.0022058823529411686,-0.010661764705882426
122,122,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8934178743961355,0.205514705882353,0.004044117647058698,-0.007352941176470562
123,123,0.8823529411764706,0.8260869565217391,0.8685990338164251,0.8675724637681158,0.21801470588235294,-0.005514705882353033,-0.003308823529411864
124,124,0.9044117647058824,0.8470588235294118,0.8746376811594203,0.879891304347826,0.4011029411764707,0.022426470588235214,0.057720588235294135
125,125,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8747584541062802,0.2397058823529412,-0.00036764705882363913,-0.003676470588235281
126,126,0.9007352941176471,0.8383233532934131,0.8665458937198067,0.8827294685990337,0.4209558823529412,0.002941176470588225,0.03860294117647067
127,127,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8787439613526571,0.2408088235294118,0.00367647058823517,-0.003676470588235281
128,128,0.9007352941176471,0.8491620111731844,0.882487922705314,0.8807971014492753,0.42058823529411765,0.0051470588235295045,0.0194852941176471
129,129,0.8860294117647058,0.8248587570621468,0.8634057971014493,0.8941425120772947,0.36911764705882355,-0.012867647058823484,0.020955882352941213
130,130,0.8897058823529411,0.8369565217391305,0.8768115942028986,0.8795893719806762,0.2555147058823529,0.004411764705882226,-0.0025735294117646967
131,131,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8771739130434782,0.23235294117647054,0.002941176470588225,-0.006617647058823506
132,132,0.8823529411764706,0.8202247191011236,0.8606280193236715,0.8879830917874395,0.3555147058823529,-0.021691176470588158,0.006249999999999867
133,133,0.8860294117647058,0.8248587570621468,0.8634057971014493,0.8708937198067633,0.3790441176470587,-0.020220588235294157,0.007352941176470562
