,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled
80,80,0.803347280334728,0.7431693989071039,0.7913339248742975,0.8981070689145223,-0.022594142259414363,-0.00794979079497915,0.00041841004184106634,-0.0008368200836821327,-0.017991631799163188,-0.002510460251046176,-0.006276150627615107,0.022175732217573185
81,81,0.8410041841004184,0.8,0.8382135462880804,0.9355959775214433,0.00041841004184106634,-0.011297071129707015,-0.003765690376569042,-0.010460251046025104,-0.010041841004184038,0.0008368200836821327,-0.0016736401673639323,0.029288702928870314
82,82,0.8619246861924686,0.8307692307692308,0.8653874593315587,0.9509760425909495,-0.00794979079497904,0.020083682008368298,0.008368200836820106,-0.018410041841004032,-0.011715481171548192,0.020502092050209142,0.025941422594142338,0.05732217573221743
83,83,0.8619246861924686,0.8176795580110497,0.851153504880213,0.9458740017746229,0.01882845188284532,0.028451882845188292,0.022175732217573296,-0.0016736401673640433,-0.0016736401673640433,0.04058577405857744,0.057740585774058606,-0.02761506276150616
84,84,0.8242677824267782,0.7980769230769231,0.8388420585625554,0.9307157645666961,-0.012133891213389147,-0.020502092050209253,-0.04225941422594148,-0.012133891213389147,-0.016317991631799145,0.001255230125522866,0.0029288702928869093,-0.017154811715481055
85,85,0.8702928870292888,0.8502415458937198,0.8864241348713399,0.9127477077787636,-0.01380753138075308,0.015481171548117234,0.020502092050209253,-0.0033472803347278646,-0.012133891213389036,0.012133891213389258,0.029288702928870425,0.009623430962343305
86,86,0.8619246861924686,0.8290155440414507,0.8633540372670807,0.9191067731440402,0.004602510460251175,0.0016736401673641543,0.03472803347280329,0.013389121338912124,-0.009623430962342971,0.0167364016736401,0.052719665271966476,0.023430962343096273
87,87,0.8493723849372385,0.8105263157894737,0.8470496894409938,0.9235433303756284,-0.010460251046024993,0.04267782426778233,0.001255230125523088,-0.012133891213389147,0.005857740585774263,-0.012133891213388925,0.0058577405857740406,0.03723849372384935
88,88,0.803347280334728,0.7374301675977654,0.7872670807453416,0.9056492162082224,-0.030962343096234357,0.010041841004184038,-0.00502092050209213,0.029288702928870203,-0.022175732217573296,0.0020920502092049986,0.0058577405857740406,0.003765690376569042
89,89,0.8200836820083682,0.7675675675675676,0.8110396332446022,0.9031351671103224,-0.011297071129707126,0.004602510460251064,0.009623430962343082,0.010460251046025104,-0.00502092050209213,-0.005439330543933085,0.02175732217573223,0.019246861924686276
90,90,0.8744769874476988,0.8387096774193549,0.8694912747707779,0.9336734693877551,0.02384937238493723,-0.0029288702928871313,0.019246861924686276,0.030962343096234246,0.012552301255230103,0.06527196652719658,0.05313807531380743,0.011297071129707237
91,91,0.8075313807531381,0.7294117647058823,0.7825347530316474,0.9077935522034901,0.017154811715481277,0.07656903765690382,0.04476987447698755,0.06150627615062776,0.0,0.05439330543933063,0.00502092050209213,0.08200836820083679
92,92,0.8535564853556485,0.8223350253807107,0.8585847382431233,0.9273883466430051,0.004602510460251064,0.019246861924686165,0.0071129707112970175,0.007531380753138084,-0.006276150627614996,0.013389121338912235,0.003765690376569042,0.0008368200836820217
93,93,0.8200836820083682,0.7542857142857143,0.8008725229222123,0.9179236912156167,-0.020502092050209142,-0.0008368200836821327,0.023430962343096273,0.011715481171548081,-0.013389121338912124,0.0029288702928870203,0.024267782426778184,0.02845188284518818
94,94,0.8326359832635983,0.8076923076923077,0.8476782017154687,0.9401804199940846,-0.032217573221757334,-0.04058577405857733,-0.01589958158995819,-0.029288702928870203,-0.047698744769874346,-0.01882845188284521,0.03933054393305435,0.022175732217573185
95,95,0.7949790794979079,0.7292817679558011,0.7804643596569063,0.9168884945282461,-0.04476987447698755,-0.003765690376569042,-0.020083682008368298,-0.03765690376569042,-0.011297071129707237,-0.032217573221757445,-0.0020920502092051096,-0.0020920502092051096
96,96,0.8158995815899581,0.7864077669902912,0.8279724933451642,0.8845016267376515,-0.023430962343096162,-0.0029288702928870203,-0.015481171548117234,-0.028451882845188403,-0.0326359832635984,0.002510460251045954,-0.007531380753138084,0.0167364016736401
97,97,0.8493723849372385,0.8125,0.8490831115054718,0.9120082815734989,0.025523012552301383,0.03347280334728042,0.032217573221757334,0.03933054393305435,0.00041841004184106634,0.009205020920502238,0.0058577405857740406,0.05523012552301254
98,98,0.7866108786610879,0.6622516556291391,0.7411268855368234,0.9029872818692695,-0.018410041841004032,-0.02761506276150627,-0.009205020920501905,0.035146443514644465,-0.006276150627615107,-1.1102230246251565e-16,0.004602510460251064,0.011715481171548303
99,99,0.8075313807531381,0.7415730337078652,0.7906684412895593,0.9056492162082224,-0.01673640167364021,-0.006276150627614996,-0.004184100418409997,-0.02552301255230116,-0.011297071129707015,0.02468619246861925,0.013389121338912235,-0.0020920502092049986
100,100,0.8284518828451883,0.7897435897435897,0.8300428867199054,0.9244306418219461,-0.0481171548117153,-0.017991631799163188,0.0058577405857740406,-0.023012552301255207,-0.035146443514644354,0.033054393305439356,-0.0029288702928870203,-0.007531380753137973
101,101,0.8368200836820083,0.8078817733990148,0.8470127181307305,0.9080153800650694,-0.021338912133891164,0.00794979079497904,-0.032217573221757334,-0.004184100418409997,-0.02092050209205021,-0.006276150627615218,0.001255230125522977,0.01673640167364021
102,102,0.8535564853556485,0.8258706467661692,0.8626515823720793,0.9062407571724341,-0.010460251046025104,0.01673640167364021,0.011297071129707237,-0.002510460251045954,-0.007531380753137973,0.024267782426778184,0.011297071129707015,0.03765690376569042
103,103,0.8075313807531381,0.7653061224489796,0.8089692398698609,0.9069801833776989,-0.02384937238493723,-0.01757322175732201,-0.0029288702928870203,-0.002510460251046065,0.0071129707112971285,0.003765690376568931,-0.01464435146443499,-0.012552301255229992
104,104,0.8577405857740585,0.8191489361702128,0.8538524105294292,0.90402247855664,0.011297071129707015,0.021338912133891164,0.004602510460251064,0.02468619246861925,0.02468619246861925,0.025104602510460206,0.020083682008368187,0.0334728033472802
105,105,0.8451882845188284,0.8082901554404145,0.8456817509612541,0.9180715764566696,-0.005439330543933085,-0.0058577405857740406,0.001255230125523088,0.014225941422594146,-0.0033472803347280866,0.01380753138075308,0.012970711297071058,0.046025104602510414
106,106,0.8702928870292888,0.8268156424581006,0.8579562259686484,0.9517154687962142,0.014225941422594257,0.004184100418410108,0.02468619246861925,0.020083682008368298,-0.01087866108786606,0.04853556485355637,-0.005020920502091908,0.07029288702928871
107,107,0.8577405857740585,0.8411214953271028,0.8802868973676428,0.9049097900029577,-0.009205020920502127,0.004184100418409997,-0.006694560669455951,0.00041841004184106634,-0.03347280334728031,0.002510460251046065,0.011715481171548081,0.0033472803347280866
108,108,0.8535564853556485,0.8167539267015707,0.8524844720496894,0.9016563146997929,0.011297071129707237,0.03054393305439318,0.047698744769874346,0.028033472803347226,0.008368200836819994,0.02175732217573223,0.05815899581589956,0.0347280334728034
109,109,0.8744769874476988,0.85,0.8837252292221236,0.9151138716356108,-0.0058577405857739295,0.038075313807531375,0.01087866108786606,0.020502092050209253,0.005439330543933085,0.01882845188284521,0.003765690376569042,0.06569037656903753
