,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled
45,45,0.8775510204081632,0.8295454545454546,0.860791418016482,0.960997442455243,-0.006938775510204054,-0.0008163265306123657,0.04653061224489796,0.019183673469387763,-0.015918367346938744,0.024489795918367308,-0.026530612244897944,0.017142857142857126,-0.021632653061224416,-0.029795918367346963,0.03183673469387749,-0.009387755102040818
46,46,0.8571428571428571,0.8258706467661692,0.8661196362603012,0.9550298380221653,-0.013061224489795964,0.006122448979591688,0.0016326530612242873,0.02122448979591829,-0.017142857142857237,0.008163265306122325,-0.014285714285714457,-0.003673469387755257,-0.022448979591836782,-0.014693877551020473,0.020408163265306034,0.028979591836734597
47,47,0.8775510204081632,0.8214285714285714,0.852124183006536,0.9418868996874112,0.0273469387755102,0.02244897959183667,0.01224489795918371,0.014285714285714235,0.033877551020408236,-0.024897959183673657,-0.03755102040816316,0.008163265306122436,0.011020408163265216,0.038367346938775526,0.013469387755102091,0.026530612244897944
48,48,0.8775510204081632,0.845360824742268,0.8802926967888605,0.9593634555271384,0.03224489795918373,-0.006122448979591799,0.0032653061224489077,0.022448979591836782,-0.0008163265306123657,0.017551020408163254,-0.013469387755102091,-0.004081632653061162,-0.02734693877551031,-0.011428571428571344,-0.010204081632653073,0.014693877551020473
49,49,0.8448979591836735,0.7865168539325843,0.8281472009093493,0.9546746234725775,-0.001224489795918382,-0.0065306122448979265,-0.015510204081632617,-0.008571428571428563,0.006938775510203943,-0.017551020408163365,-0.0053061224489795444,-0.031020408163265345,-0.0008163265306122547,-0.004489795918367401,-0.009795918367346945,0.0016326530612246204
50,50,0.8693877551020408,0.84,0.8780903665814151,0.949559533958511,0.028979591836734597,0.026530612244897944,0.027346938775510088,0.015102040816326712,0.008979591836734802,0.0016326530612245094,-0.001224489795918382,-0.013061224489795964,-0.004489795918367401,0.03020408163265298,0.024897959183673435,0.019183673469387874
51,51,0.8938775510204081,0.8737864077669902,0.9106990622335891,0.9433077578857629,0.017142857142857015,0.01224489795918371,0.0020408163265305257,-0.0028571428571428914,0.004489795918367179,0.003673469387755146,-0.015510204081632728,-2.220446049250313e-16,0.0016326530612242873,0.004081632653061162,0.02081632653061205,0.05591836734693878
52,52,0.8244897959183674,0.7881773399014779,0.8334754191531686,0.9414606422279057,-0.0077551020408163085,-0.017551020408163143,0.0004081632653060163,0.009387755102040929,-0.01510204081632649,-0.03142857142857147,-0.044489795918367325,0.002448979591836764,-0.001224489795918271,-0.0065306122448979265,0.004897959183673417,-0.016734693877551
53,53,0.8816326530612245,0.8465608465608465,0.8792270531400965,0.959789712986644,0.01959183673469389,-0.00448979591836729,-0.0016326530612246204,0.0028571428571430024,-0.01795918367346927,-0.018775510204081636,-0.020408163265306034,-0.01795918367346927,-0.004081632653061273,-0.012244897959183598,-0.010204081632652962,0.00897959183673469
54,54,0.8571428571428571,0.8128342245989305,0.8509519749928958,0.9566638249502699,0.01959183673469378,-0.0106122448979592,-0.020816326530612272,0.0,0.002448979591836653,-0.03591836734693887,-0.02408163265306129,-0.001224489795918493,0.0,-0.014693877551020473,0.020408163265306034,-0.0008163265306123657
