,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
21,21,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9317714453584018,0.1991666666666666,0.06999999999999984,-1.1102230246251565e-16
22,22,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9422003525264395,0.1695833333333333,0.06333333333333335,-0.005833333333333246
23,23,0.9,0.8695652173913043,0.8942420681551116,0.9413190364277321,0.17374999999999996,0.0558333333333334,-0.007083333333333219
24,24,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9477820211515864,0.1629166666666666,0.07750000000000001,0.04083333333333328
25,25,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9430816686251469,0.1595833333333334,0.06583333333333319,0.0024999999999999467
26,26,0.9,0.8681318681318682,0.8921856639247944,0.9416128084606346,0.19374999999999998,0.0641666666666666,0.03375000000000006
27,27,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9344888366627497,0.18791666666666673,0.0675,-0.00749999999999984
28,28,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9264101057579319,0.20958333333333334,0.07041666666666668,0.0008333333333333526
29,29,0.8583333333333333,0.7901234567901234,0.8275558166862514,0.9504259694477085,0.12249999999999994,0.09166666666666667,-0.015416666666666745
30,30,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9408783783783784,0.21666666666666667,0.06666666666666665,-0.0033333333333332993
31,31,0.825,0.7341772151898734,0.7881903642773208,0.9454318448883666,0.1416666666666666,0.009166666666666656,0.006666666666666599
32,32,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9394829612220916,0.2504166666666666,0.06874999999999998,-0.003749999999999809
33,33,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.9424206815511162,0.1758333333333334,0.06791666666666663,0.0012499999999998623
34,34,0.8833333333333333,0.8444444444444444,0.872502937720329,0.9381609870740305,0.15125,0.0691666666666666,0.022500000000000075
35,35,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9396298472385429,0.1629166666666666,0.07791666666666663,0.030416666666666647
