,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled
71,71,0.7534246575342466,0.6351351351351351,0.7200017117425539,0.8451728859979459,-0.010958904109588996,-0.0273972602739726,-0.04292237442922364,-0.017808219178082174,-0.020547945205479423,0.013242009132420018,0.004566210045662156,0.001369863013698569
72,72,0.7853881278538812,0.6967741935483871,0.7580451900034235,0.8667408421773365,0.03150684931506842,0.021461187214611765,0.008219178082191747,-0.002739726027397249,-0.008219178082191747,0.0031963470319634757,0.01963470319634697,-0.0036529680365297024
73,73,0.7625570776255708,0.723404255319149,0.7593289969188634,0.8396097226977063,0.24840182648401832,0.009589041095890316,0.03835616438356171,0.015525114155251263,-0.09726027397260273,0.09543378995433782,0.033789954337899664,0.11050228310502286
74,74,0.8036529680365296,0.7261146496815286,0.7782865457035262,0.8966963368709346,0.009589041095890538,0.0022831050228310223,0.004566210045662045,-0.03789954337899548,-0.03926940639269405,0.033333333333333326,0.03150684931506853,0.021917808219178103
75,75,0.7945205479452054,0.7133757961783439,0.7689147552208149,0.8938719616569668,0.00136986301369868,-0.007762557077625631,-0.012328767123287676,-0.0018264840182647957,-0.012328767123287676,0.03515981735159823,0.04200913242009119,0.03013698630136985
76,76,0.8082191780821918,0.7375,0.7852191030469018,0.8820609380349196,0.011415525114155334,-0.01689497716894972,-0.00776255707762552,-0.01735159817351606,0.0022831050228311334,0.03789954337899548,0.0328767123287671,0.031050228310502193
77,77,0.7625570776255708,0.6486486486486487,0.7293735022252653,0.9085073604929819,-0.00045662100456611565,0.0022831050228311334,0.018721461187214627,0.005022831050228382,-0.018721461187214627,0.02876712328767128,0.02602739726027392,0.01963470319634708
78,78,0.7579908675799086,0.6394557823129252,0.7239387196165696,0.8574118452584732,0.049315068493150704,0.031963470319634646,0.013698630136986245,0.00639269406392684,-0.024200913242009126,0.023287671232876672,0.010045662100456654,0.006392694063926951
79,79,0.8082191780821918,0.7341772151898734,0.7837213283122219,0.9023450872988703,0.021461187214611877,-0.0036529680365295913,0.005936073059360725,1.1102230246251565e-16,-0.021917808219178103,0.038812785388127935,0.04611872146118723,0.033333333333333326
80,80,0.771689497716895,0.6666666666666666,0.7402430674426566,0.9210886682642931,0.0009132420091324533,-0.020091324200913196,-0.010502283105022658,-0.016438356164383605,0.005936073059360614,0.005936073059360836,0.0091324200913242,0.02100456621004565
81,81,0.7808219178082192,0.6923076923076923,0.7541081821294078,0.9130434782608695,0.019178082191780854,0.018721461187214627,0.02237442922374422,0.016438356164383494,-0.00776255707762552,0.015525114155251152,0.022831050228310557,0.038812785388127935
82,82,0.8082191780821918,0.7341772151898734,0.7837213283122219,0.8633173570694967,-0.005479452054794498,0.024200913242009237,0.008675799086757974,0.004566210045661934,-0.015981735159817267,0.00776255707762552,0.04109589041095896,0.01324200913242024
83,83,0.7214611872146118,0.5481481481481482,0.6774649092776446,0.8995207120849025,0.025114155251141468,0.02100456621004565,0.04155251141552496,0.01826484018264829,0.004109589041095707,0.021461187214611877,0.019178082191780854,0.006849315068493067
