,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled
39,39,0.8666666666666667,0.85,0.8754903563255966,0.9154952598888526,0.388,0.09422222222222232,0.1306666666666667,0.045333333333333226
40,40,0.8177777777777778,0.8056872037914692,0.83413697286695,0.9073226544622426,0.3755555555555556,0.04888888888888887,0.13422222222222224,0.14577777777777778
41,41,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9004576659038903,0.10177777777777786,0.016444444444444373,0.007555555555555538,0.001777777777777989
42,42,0.9111111111111111,0.8924731182795699,0.9097335730630924,0.9150866296175221,0.41288888888888886,0.20400000000000007,0.12577777777777788,0.15555555555555545
43,43,0.8622222222222222,0.845771144278607,0.871730957829356,0.9221967963386727,0.40355555555555556,0.22977777777777775,0.1519999999999999,0.1617777777777778
44,44,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.915740438051651,0.2804444444444444,0.05422222222222206,0.08666666666666656,0.0048888888888888316
45,45,0.8311111111111111,0.7682926829268293,0.8085567178816606,0.9003759398496239,0.053333333333333455,0.010666666666666713,0.016888888888888842,0.009333333333333527
46,46,0.8222222222222222,0.8095238095238095,0.8378963713631906,0.9210526315789472,0.37111111111111106,0.16799999999999993,0.08711111111111114,0.1817777777777777
47,47,0.8711111111111111,0.8512820512820513,0.8758989865969271,0.9066688460281136,0.3662222222222221,0.05422222222222217,0.05022222222222206,0.0431111111111111
48,48,0.9022222222222223,0.8817204301075269,0.9005393919581562,0.9172932330827067,0.3408888888888888,0.14044444444444448,0.09555555555555562,0.1120000000000001
49,49,0.8977777777777778,0.8756756756756757,0.8951046093494606,0.9169663288656424,0.24977777777777788,0.09733333333333327,0.11244444444444435,0.13644444444444448
50,50,0.8844444444444445,0.8539325842696629,0.8754494932984636,0.8996404053612291,0.27955555555555567,0.028444444444444383,0.01866666666666672,0.009777777777777885
51,51,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9153318077803204,0.23688888888888882,0.03022222222222226,0.021333333333333426,0.0040000000000000036
52,52,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.9122262177182086,0.3706666666666667,0.058666666666666645,0.06577777777777771,0.06533333333333347
53,53,0.8933333333333333,0.8681318681318682,0.88799444262831,0.9183556717881659,0.36444444444444446,0.15600000000000003,0.16755555555555557,0.12488888888888883
54,54,0.8311111111111111,0.8173076923076923,0.8454151683556718,0.916721150702844,0.38,0.12355555555555564,0.13511111111111118,0.11688888888888882
55,55,0.8222222222222222,0.8076923076923077,0.8362209872507356,0.9181104936253677,0.3742222222222221,0.1737777777777777,0.11155555555555541,0.13688888888888884
56,56,0.8,0.7906976744186046,0.8190993788819876,0.9090389016018305,0.36488888888888893,0.10888888888888892,0.1266666666666667,0.10533333333333328
57,57,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.903726708074534,0.10044444444444445,0.0040000000000000036,0.004888888888889054,0.0004444444444443585
58,58,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9143510951291272,0.28933333333333333,0.0484444444444444,0.028000000000000136,0.033333333333333215
59,59,0.7955555555555556,0.7870370370370371,0.815339980385747,0.915740438051651,0.36044444444444446,0.0835555555555556,0.14044444444444448,0.14
60,60,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9058515854854527,0.09600000000000009,0.002666666666666595,0.0048888888888888316,0.0013333333333334085
61,61,0.8666666666666667,0.8314606741573034,0.857061131088591,0.9094475318731611,0.21733333333333327,0.07466666666666666,0.008888888888888946,-0.007111111111111068
62,62,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9006211180124224,0.13377777777777777,0.045777777777777806,0.03244444444444439,0.030222222222222372
63,63,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.9123079437724746,0.3600000000000001,0.045777777777777806,0.10088888888888892,0.07466666666666677
64,64,0.8622222222222222,0.8121212121212121,0.8415740438051651,0.9097744360902256,0.07555555555555549,0.028444444444444494,0.006222222222222129,0.020888888888888846
65,65,0.8088888888888889,0.7981220657276995,0.8266181758744688,0.9148414514547237,0.36,0.13333333333333341,0.12222222222222223,0.0039999999999998925
66,66,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9051977770513238,0.32000000000000006,0.064888888888889,0.04266666666666663,0.006666666666666932
67,67,0.88,0.847457627118644,0.8700147106897679,0.9119810395554101,0.33644444444444443,0.02577777777777779,0.021777777777777896,0.046666666666666634
68,68,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9056881333769204,0.3937777777777778,0.07244444444444453,0.0782222222222223,0.05066666666666664
69,69,0.8666666666666667,0.8484848484848485,0.8738149722131415,0.9212160836874795,0.40844444444444444,0.16266666666666674,0.14666666666666672,0.11066666666666669
70,70,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.911735861392612,0.33199999999999996,0.12755555555555553,0.06977777777777794,0.08444444444444454
71,71,0.9022222222222223,0.8842105263157894,0.9038901601830663,0.9193363844393592,0.4026666666666667,0.16400000000000015,0.13288888888888895,0.10755555555555552
72,72,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8872997711670481,0.3342222222222223,0.020000000000000018,0.018222222222222362,-0.008888888888888724
73,73,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.9083033671134357,0.276,0.009333333333333305,0.0066666666666664876,0.004444444444444473
74,74,0.9022222222222223,0.8829787234042553,0.9022147760706113,0.9182739457339,0.43688888888888894,0.12711111111111117,0.08222222222222231,0.0848888888888889
75,75,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9174566851912389,0.3568888888888889,0.058666666666666645,0.08044444444444443,0.03733333333333333
76,76,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.9069140241909119,0.3857777777777778,0.08044444444444443,0.1333333333333333,0.11288888888888882
77,77,0.8933333333333333,0.8666666666666667,0.8863190585158549,0.902745995423341,0.3853333333333333,0.08533333333333326,0.10044444444444434,0.03200000000000003
78,78,0.8844444444444445,0.8539325842696629,0.8754494932984636,0.9104282445243543,0.3355555555555555,0.07111111111111124,0.015555555555555656,0.06444444444444442
79,79,0.7688888888888888,0.7636363636363637,0.7911082052958482,0.9175384112455051,0.3413333333333333,0.17333333333333334,0.015111111111111186,0.10355555555555551
80,80,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9001307616868258,0.18844444444444453,0.020888888888888846,0.010222222222222244,0.0040000000000000036
81,81,0.8533333333333334,0.7975460122699386,0.8307044785877737,0.9090389016018307,0.1146666666666668,0.021777777777777896,0.012888888888888839,0.022222222222222254
82,82,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.9043805165086629,0.2426666666666668,0.007555555555555538,0.01911111111111119,-0.0031111111111109535
83,83,0.8177777777777778,0.8056872037914692,0.83413697286695,0.9083850931677018,0.37333333333333335,0.17022222222222216,0.14488888888888896,0.1671111111111111
84,84,0.8577777777777778,0.84,0.8662961752206604,0.9139424648577965,0.3866666666666666,0.10044444444444434,0.06933333333333325,0.06711111111111101
85,85,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9065871199738477,0.30666666666666664,0.09822222222222221,0.011111111111111072,0.05288888888888876
86,86,0.8488888888888889,0.7926829268292683,0.8269450800915332,0.9098561621444916,0.18222222222222229,0.025333333333333208,0.008000000000000007,0.023555555555555552
87,87,0.8977777777777778,0.8729281767955801,0.8917538411245505,0.9162307943772474,0.32933333333333326,0.06622222222222207,0.05644444444444441,0.08533333333333337
88,88,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9072409284079764,0.22844444444444434,0.027999999999999914,0.03733333333333333,0.023555555555555552
89,89,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9143510951291272,0.3435555555555556,0.08444444444444454,0.10000000000000009,0.03288888888888897
90,90,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.897842432167375,0.12844444444444447,0.01866666666666661,0.007999999999999896,0.020000000000000018
91,91,0.9022222222222223,0.8817204301075269,0.9005393919581562,0.9170480549199084,0.3946666666666667,0.09555555555555562,0.16355555555555557,0.12311111111111106
92,92,0.8533333333333334,0.8374384236453202,0.8642121608368748,0.916721150702844,0.3911111111111112,0.10666666666666669,0.14533333333333331,0.14488888888888884
93,93,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.9186008499509644,0.26622222222222214,0.06044444444444441,0.014666666666666717,0.07022222222222207
