,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
52,52,0.9105058365758755,0.8855721393034826,0.9230895915678524,0.9780632411067193,0.10466926070038907,0.15719844357976653,0.1638132295719844,0.06108949416342413
53,53,0.8949416342412452,0.8695652173913043,0.913372859025033,0.9826745718050065,0.01322957198443575,0.09922178988326846,0.09260700389105059,0.04902723735408565
54,54,0.9182879377431906,0.8955223880597015,0.9315546772068511,0.9817523056653492,0.09260700389105059,0.13774319066147855,0.09766536964980543,0.09105058365758756
55,55,0.9105058365758755,0.8888888888888888,0.9303030303030303,0.9839262187088273,0.00739299610894939,0.14902723735408563,0.12140077821011663,0.07276264591439685
56,56,0.8988326848249028,0.8737864077669902,0.9164031620553359,0.9733201581027668,0.08404669260700393,0.10077821011673149,0.10116731517509725,0.09727626459143968
57,57,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9832015810276681,0.28677042801556407,0.1583657587548638,0.15719844357976653,0.14396887159533078
58,58,0.8988326848249028,0.8725490196078431,0.9139986824769433,0.980368906455863,0.06303501945525303,0.11673151750972766,0.1494163424124514,0.06342412451361878
59,59,0.9377431906614786,0.9175257731958762,0.9443017127799737,0.9871541501976284,0.08249027237354067,0.1190661478599222,0.1813229571984436,0.058754863813229474
60,60,0.8988326848249028,0.8725490196078431,0.9139986824769433,0.9770750988142292,0.04435797665369634,0.0988326848249027,0.09416342412451362,0.0385214007782102
61,61,0.9299610894941635,0.9108910891089109,0.9454545454545454,0.98866930171278,0.16731517509727634,0.2089494163424125,0.0926070038910507,0.09299610894941646
62,62,0.933852140077821,0.91005291005291,0.9340579710144927,0.9895256916996047,0.022957198443579796,0.1299610894941634,0.09961089494163422,0.10428015564202342
63,63,0.9105058365758755,0.8855721393034826,0.9230895915678524,0.9798418972332016,0.06809338521400787,0.1638132295719844,0.17704280155642016,0.05914396887159534
64,64,0.9221789883268483,0.9,0.9345849802371542,0.9815546772068512,0.04163424124513615,0.12062256809338523,0.10544747081712069,0.05525291828793788
65,65,0.9299610894941635,0.91,0.9430500658761528,0.9905138339920949,0.019844357976653626,0.14708171206225684,0.11167315175097281,0.0521400778210116
66,66,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9876811594202899,0.235408560311284,0.12684824902723724,0.13229571984435784,0.13968871595330745
