,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
119,119,0.8995433789954338,0.8791208791208791,0.8954125299554947,0.9188634029441972,0.4273972602739726,0.04155251141552507,0.009589041095890427,0.0036529680365297024
120,120,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9192913385826772,0.24383561643835616,0.015525114155251152,0.011415525114155223,0.001369863013698569
121,121,0.908675799086758,0.8913043478260869,0.906282095172886,0.9470215679561794,0.40776255707762565,0.037442922374429144,0.011415525114155334,0.020547945205479534
122,122,0.867579908675799,0.8342857142857143,0.8573690516946251,0.907993837726806,0.32100456621004547,0.0036529680365295913,0.00776255707762552,0.019178082191780743
123,123,0.867579908675799,0.8284023668639053,0.8528757274905854,0.9133002396439576,0.4821917808219178,0.09634703196347039,0.043835616438356095,0.01324200913242013
124,124,0.8904109589041096,0.8681318681318682,0.8860407394727834,0.9273365285861006,0.34200913242009134,0.012328767123287787,0.017351598173515947,0.004566210045662156
125,125,0.8812785388127854,0.8488372093023255,0.8691800753166723,0.9362375898664841,0.07168949771689492,0.09589041095890416,0.014155251141552694,0.028310502283105055
126,126,0.8356164383561644,0.775,0.8133344744950359,0.9293050325231085,0.15753424657534243,0.01735159817351606,0.0,0.041552511415525184
127,127,0.8949771689497716,0.8756756756756757,0.8929732968161588,0.922543649435125,0.2484018264840181,0.031050228310502193,0.08356164383561637,0.05753424657534234
128,128,0.8082191780821918,0.8,0.8226634714138994,0.9186066415611092,0.4054794520547945,-0.015525114155251152,0.07716894977168953,-0.041552511415525184
129,129,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9336699760356041,0.39315068493150684,0.258904109589041,0.22739726027397256,0.27305936073059356
130,130,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9178363574118452,0.09726027397260284,0.017808219178082174,0.02237442922374433,0.020091324200913308
131,131,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9281923998630607,0.2885844748858447,-0.0018264840182650177,0.009589041095890427,0.0036529680365297024
