,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_humidity_scaled
116,116,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9526570048309179,0.1691176470588236,-0.004779411764705976,-0.018014705882352877
117,117,0.8676470588235294,0.8,0.8468599033816425,0.942512077294686,0.15698529411764706,-1.1102230246251565e-16,-0.01580882352941182
118,118,0.8897058823529411,0.8214285714285714,0.8555555555555556,0.9579710144927537,0.22610294117647045,0.007720588235294201,0.004779411764705754
119,119,0.8823529411764706,0.8160919540229885,0.8553140096618357,0.9440217391304347,0.19742647058823526,0.008088235294117618,-0.0018382352941175295
120,120,0.8125,0.6222222222222222,0.7254830917874396,0.9588164251207729,0.1459558823529412,0.02757352941176472,0.045588235294117596
121,121,0.8897058823529411,0.8192771084337349,0.8528985507246376,0.9571256038647343,0.19999999999999996,0.014338235294117596,0.020955882352941102
122,122,0.8786764705882353,0.8135593220338984,0.8551932367149759,0.957548309178744,0.18529411764705872,0.004779411764705976,-0.003676470588235392
123,123,0.8713235294117647,0.8087431693989071,0.854951690821256,0.9484903381642513,0.1716911764705883,0.00588235294117645,-0.009926470588235259
124,124,0.875,0.8,0.8417874396135265,0.941364734299517,0.18455882352941178,0.0,0.002941176470588003
125,125,0.8897058823529411,0.8295454545454546,0.866183574879227,0.9592391304347826,0.19227941176470575,0.012499999999999956,0.003308823529411753
126,126,0.875,0.8131868131868132,0.8577294685990338,0.9446859903381642,0.12610294117647058,0.008455882352941257,-0.004411764705882448
127,127,0.8713235294117647,0.8108108108108109,0.8576086956521739,0.9373792270531401,0.20257352941176476,0.002941176470588225,0.0014705882352941124
128,128,0.8566176470588235,0.7483870967741936,0.8013285024154589,0.9552536231884059,0.1812499999999999,-0.013235294117647123,0.022058823529411686
129,129,0.8860294117647058,0.8187134502923976,0.8554347826086957,0.9264492753623188,0.19816176470588232,0.012132352941176539,0.013235294117647012
130,130,0.8823529411764706,0.8160919540229885,0.8553140096618357,0.9518719806763285,0.16874999999999996,0.006249999999999867,0.009191176470588314
131,131,0.8933823529411765,0.8361581920903954,0.8716183574879227,0.9560386473429952,0.21286764705882366,0.008455882352941146,-0.0011029411764705843
132,132,0.8602941176470589,0.7840909090909091,0.8333333333333333,0.9502415458937198,0.15404411764705894,-0.008088235294117618,-0.012867647058823595
133,133,0.8786764705882353,0.7975460122699386,0.8365942028985507,0.9653985507246376,0.21544117647058814,-0.0051470588235293935,0.00588235294117645
134,134,0.8823529411764706,0.8181818181818182,0.8579710144927537,0.9346618357487922,0.18566176470588236,0.00772058823529409,-0.005882352941176339
135,135,0.8713235294117647,0.8087431693989071,0.854951690821256,0.9603864734299516,0.19080882352941186,0.0025735294117646967,-0.01727941176470571
136,136,0.7794117647058824,0.5238095238095238,0.6765700483091788,0.9560386473429952,0.11433823529411757,0.004411764705882337,-0.003676470588235281
137,137,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.9544082125603864,0.17794117647058816,0.009191176470588092,-0.004411764705882337
138,138,0.8676470588235294,0.8,0.8468599033816425,0.9601449275362319,0.1625000000000001,-1.1102230246251565e-16,-0.017647058823529238
139,139,0.6838235294117647,0.12244897959183673,0.532608695652174,0.9398550724637681,0.020588235294117685,0.00808823529411773,0.010294117647058787
140,140,0.8860294117647058,0.8268156424581006,0.8660628019323672,0.9601449275362318,0.19889705882352937,0.006985294117646923,-0.004044117647058809
141,141,0.8639705882352942,0.7757575757575758,0.8228260869565217,0.9501207729468599,0.16470588235294126,-0.004411764705882337,0.004044117647058809
142,142,0.8272058823529411,0.7151515151515152,0.7817632850241546,0.9260265700483092,0.10992647058823524,-0.0025735294117646967,-0.02169117647058827
143,143,0.8713235294117647,0.8087431693989071,0.854951690821256,0.9608695652173913,0.21286764705882355,-0.003308823529411864,-0.01948529411764721
144,144,0.8676470588235294,0.8,0.8468599033816425,0.9535628019323672,0.15992647058823528,-0.007352941176470562,-0.012867647058823484
145,145,0.8713235294117647,0.782608695652174,0.8257246376811594,0.9603260869565218,0.20772058823529416,-0.007352941176470562,0.008455882352941146
146,146,0.8823529411764706,0.8072289156626506,0.8446859903381643,0.9359299516908212,0.20992647058823533,0.0014705882352941124,0.017279411764705932
147,147,0.8786764705882353,0.7975460122699386,0.8365942028985507,0.9471618357487923,0.19227941176470598,0.0051470588235295045,0.013602941176470651
148,148,0.8933823529411765,0.8323699421965318,0.866304347826087,0.9603260869565218,0.20661764705882357,0.014705882352941235,0.008823529411764786
149,149,0.8786764705882353,0.8176795580110497,0.8605072463768115,0.9510869565217391,0.1808823529411765,0.007352941176470562,-0.008455882352941146
150,150,0.8786764705882353,0.7975460122699386,0.8365942028985507,0.9576690821256039,0.21286764705882355,-0.0022058823529411686,0.012132352941176427
151,151,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9548309178743961,0.18970588235294128,-0.0018382352941175295,-0.020588235294117574
152,152,0.8602941176470589,0.7840909090909091,0.8333333333333333,0.9516908212560387,0.1772058823529412,-0.012499999999999956,-0.012499999999999956
153,153,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9586956521739131,0.263235294117647,0.009558823529411842,0.01948529411764699
154,154,0.8860294117647058,0.8143712574850299,0.8501207729468598,0.9182367149758455,0.21985294117647047,0.0051470588235293935,0.00588235294117645
155,155,0.8897058823529411,0.8255813953488372,0.8608695652173912,0.8989130434782608,0.22720588235294115,0.00955882352941173,-0.004411764705882448
156,156,0.8823529411764706,0.8181818181818182,0.8579710144927537,0.960024154589372,0.18382352941176472,0.007352941176470562,1.1102230246251565e-16
157,157,0.7830882352941176,0.6143790849673203,0.7165458937198068,0.8829710144927536,0.03492647058823528,1.1102230246251565e-16,0.010661764705882315
158,158,0.8639705882352942,0.7932960893854749,0.8414251207729468,0.941243961352657,0.14558823529411768,-0.00772058823529409,-0.009191176470588092
159,159,0.8161764705882353,0.6527777777777778,0.7415458937198067,0.9504227053140096,0.14926470588235297,-0.004779411764705865,-0.008823529411764675
160,160,0.8676470588235294,0.8043478260869565,0.8521739130434782,0.9568236714975845,0.16764705882352948,0.0014705882352943345,-0.020220588235294157
161,161,0.8786764705882353,0.819672131147541,0.8631642512077294,0.9467391304347826,0.1783088235294117,0.006249999999999978,-0.007352941176470562
162,162,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9564613526570047,0.18419117647058814,0.0022058823529411686,-0.016911764705882404
163,163,0.8639705882352942,0.7861271676300579,0.8334541062801932,0.9464975845410628,0.14411764705882346,-0.004411764705882337,-0.0025735294117645857
164,164,0.8676470588235294,0.8,0.8468599033816425,0.9452898550724638,0.15441176470588247,1.1102230246251565e-16,-0.011764705882352788
165,165,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.9516908212560385,0.17500000000000016,0.0025735294117646967,-0.008823529411764786
166,166,0.8713235294117647,0.779874213836478,0.8230676328502415,0.9440821256038648,0.2172794117647059,0.0,0.010294117647058787
167,167,0.8897058823529411,0.8275862068965517,0.8635265700483092,0.9504227053140096,0.19044117647058822,0.010294117647058676,0.011397058823529482
168,168,0.8676470588235294,0.7721518987341772,0.8176328502415459,0.9586352657004831,0.19742647058823537,-0.005882352941176339,0.018750000000000044
169,169,0.8419117647058824,0.7152317880794702,0.7795893719806763,0.9502415458937199,0.1665441176470588,-0.013970588235294068,0.020588235294117685
170,170,0.875,0.8131868131868132,0.8577294685990338,0.9601449275362319,0.18455882352941178,0.00588235294117645,-0.01544117647058818
