,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
82,82,0.8210116731517509,0.7628865979381443,0.8173254281949934,0.9226613965744401,-0.0077821011673151474,0.015564202334630295,0.012840466926069993,0.0046692607003890885
83,83,0.8560311284046692,0.8229665071770335,0.8734519104084322,0.9329380764163373,0.005836575875486361,0.05447470817120614,0.04863813229571978,0.02217898832684828
84,84,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9686429512516468,0.004280155642023331,0.2867704280155643,0.17276264591439683,0.0852140077821012
85,85,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9611989459815546,0.008560311284046662,0.32023346303501954,0.2334630350194552,0.15603112840466926
86,86,0.8988326848249028,0.8686868686868687,0.9067852437417655,0.9687747035573122,-0.0011673151750972721,0.188715953307393,0.14319066147859927,0.1163424124513619
87,87,0.8560311284046692,0.8262910798122066,0.8782608695652174,0.8884057971014493,0.021789883268482413,0.0027237354085603016,0.00739299610894939,0.004280155642023331
88,88,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.9673913043478262,0.0019455252918287869,0.16809338521400774,0.13073929961089503,0.04708171206225664
89,89,0.8210116731517509,0.7628865979381443,0.8173254281949934,0.9239789196310936,-0.005836575875486361,0.009727626459143934,0.02062256809338514,0.0038910505836575737
90,90,0.8949416342412452,0.8656716417910447,0.9061594202898551,0.966600790513834,-0.0007782101167315147,0.22957198443579763,0.19182879377431916,0.10077821011673149
91,91,0.9105058365758755,0.8855721393034826,0.9230895915678524,0.969433465085639,0.04007782101167301,0.2143968871595331,0.18560311284046693,0.04319066147859929
92,92,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9669301712779973,0.0015564202334630295,0.23112840466926066,0.19027237354085613,0.1035019455252918
93,93,0.9105058365758755,0.883248730964467,0.9182806324110672,0.9650856389986824,0.006614785992217875,0.29922178988326853,0.22645914396887157,0.20311284046692613
94,94,0.8132295719844358,0.7446808510638298,0.8016469038208169,0.9163372859025034,0.0027237354085603016,0.01634241245136181,0.015175097276264538,0.007003891050583633
95,95,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.9705533596837945,0.0035019455252918164,0.2677042801556422,0.21322957198443582,0.1630350194552529
96,96,0.8443579766536965,0.8,0.8499341238471674,0.9220026350461134,0.008171206225681016,0.030350194552529186,0.02217898832684828,0.033852140077821
97,97,0.8910505836575876,0.86,0.9007246376811595,0.9569169960474307,-0.0027237354085603016,0.3424124513618677,0.3097276264591441,0.20622568093385218
98,98,0.9105058365758755,0.883248730964467,0.9182806324110672,0.9728590250329381,0.008171206225680905,0.29455252918287933,0.22178988326848248,0.15136186770428017
99,99,0.9066147859922179,0.8787878787878788,0.9152503293807641,0.9664031620553359,0.003112840466926059,0.3252918287937744,0.20661478599221794,0.0988326848249027
100,100,0.8560311284046692,0.8177339901477833,0.8662384716732543,0.9241765480895916,0.019844357976653626,0.027237354085603127,0.029182879377431914,0.023346303501945553
101,101,0.8638132295719845,0.8356807511737089,0.886725955204216,0.924110671936759,0.01789883268482495,0.006614785992217986,0.012451361867704125,0.010505836575875338
102,102,0.9105058365758755,0.883248730964467,0.9182806324110672,0.9566534914361001,0.0035019455252918164,0.2361867704280155,0.169260700389105,0.06887159533073928
103,103,0.8093385214007782,0.7407407407407407,0.7986166007905138,0.9194993412384718,-0.0027237354085603016,0.016731517509727567,0.015564202334630295,0.008560311284046662
104,104,0.8443579766536965,0.797979797979798,0.8475296442687748,0.9223320158102768,0.0019455252918287869,0.03463035019455252,0.039299610894941606,0.04474708171206221
105,105,0.8093385214007782,0.7351351351351352,0.7938076416337285,0.9212779973649539,0.0015564202334630295,0.018677042801556354,0.015175097276264538,0.016731517509727567
106,106,0.867704280155642,0.8380952380952381,0.8873517786561265,0.9351778656126483,0.02996108949416343,0.02217898832684828,0.026459143968871612,0.03463035019455263
107,107,0.8988326848249028,0.8712871287128713,0.9115942028985508,0.972266139657444,0.014007782101167265,0.1225680933852139,0.11673151750972766,0.06731517509727636
108,108,0.8015564202334631,0.7272727272727273,0.7877470355731224,0.9117259552042161,0.0,0.018677042801556465,0.012451361867704236,0.00739299610894939
109,109,0.8015564202334631,0.7243243243243244,0.7853425559947299,0.9165349143610013,-0.00894941634241242,0.01789883268482495,0.012840466926069993,0.01789883268482484
110,110,0.8949416342412452,0.8656716417910447,0.9061594202898551,0.9665349143610014,-0.0015564202334630295,0.33852140077821014,0.28171206225680945,0.22178988326848248
111,111,0.9066147859922179,0.88,0.9176548089591567,0.9556653491436101,0.005836575875486361,0.28988326848249035,0.2509727626459144,0.20933852140077824
112,112,0.8910505836575876,0.8627450980392157,0.9055335968379447,0.966205533596838,0.0027237354085603016,0.19844357976653704,0.15330739299610896,0.13035019455252927
113,113,0.8988326848249028,0.87,0.909189723320158,0.9670619235836627,0.010116731517509692,0.14863813229571987,0.11984435797665383,0.07470817120622575
114,114,0.8015564202334631,0.7182320441988951,0.7805335968379447,0.9160737812911726,-0.0007782101167315147,0.015175097276264649,0.014396887159533134,0.0077821011673151474
