,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_humidity_fd3_scaled
14,14,0.8177777777777778,0.7453416149068323,0.7922523700555737,0.919908466819222,0.02622222222222237,0.002666666666666817,-0.001777777777777767,0.013777777777777889,0.008000000000000118,-0.003555555555555423,-0.04088888888888875,-0.04799999999999993,0.02488888888888885,0.01911111111111119,-0.0031111111111111756,-0.001777777777777545
15,15,0.8044444444444444,0.7215189873417721,0.7759480222294868,0.87406015037594,0.007111111111111179,0.010222222222222244,-0.03066666666666673,-0.021333333333333315,0.03111111111111109,-0.023555555555555663,-0.009333333333333416,-0.04755555555555557,-0.00044444444444458053,0.0022222222222222365,0.016888888888888953,-0.003555555555555645
16,16,0.8222222222222222,0.7435897435897436,0.7926610003269042,0.8804347826086957,0.007999999999999896,0.04933333333333323,0.04488888888888887,0.04888888888888876,0.058666666666666645,0.006222222222222129,0.019555555555555437,0.001777777777777767,-0.00622222222222224,0.03066666666666662,0.02488888888888885,0.039111111111111097
17,17,0.8222222222222222,0.7530864197530864,0.7976871526642693,0.8671134357633213,-0.004888888888888943,0.0022222222222221255,-0.005777777777777771,-0.016888888888888842,0.029777777777777792,-0.008000000000000118,-0.004888888888888943,-0.01288888888888895,-0.01200000000000001,0.0040000000000000036,0.008000000000000007,-0.000888888888888939
18,18,0.8044444444444444,0.7215189873417721,0.7759480222294868,0.9230957829355998,0.008000000000000007,-0.008000000000000007,-0.04888888888888887,-0.017333333333333423,0.001777777777777878,-0.03200000000000003,-0.07199999999999995,-0.05066666666666675,0.006666666666666599,0.000888888888888828,-0.0031111111111110645,-0.0013333333333334085
19,19,0.88,0.8439306358381503,0.8666639424648578,0.9309414841451455,0.06800000000000006,0.0013333333333332975,-0.0004444444444443585,0.04844444444444451,0.04133333333333333,-0.011555555555555652,-0.0040000000000000036,-0.021333333333333315,0.04311111111111121,0.03599999999999992,0.035111111111111204,0.016888888888888953
20,20,0.8222222222222222,0.7530864197530864,0.7976871526642693,0.9064236678653155,0.01822222222222225,-0.008444444444444477,-0.01911111111111119,-0.01955555555555577,0.026222222222222147,-0.039111111111111097,-0.047555555555555684,-0.04800000000000004,0.01777777777777778,-0.007111111111111068,-0.021777777777777785,0.010666666666666602
21,21,0.6711111111111111,0.6224489795918368,0.6698676037920889,0.8020594965675057,0.2888888888888889,-0.015999999999999903,-1.1102230246251565e-16,-0.05688888888888888,0.2684444444444444,-0.000888888888888828,-0.016444444444444484,-0.0444444444444444,-0.14088888888888895,0.040444444444444394,-0.0119999999999999,0.023111111111111082
22,22,0.7911111111111111,0.6928104575163399,0.7579682902909448,0.9108368747956849,0.002666666666666817,-0.01155555555555543,0.000888888888888939,0.015111111111111075,0.003555555555555534,-0.04222222222222227,-0.023555555555555552,-0.06266666666666676,0.004444444444444362,-0.009777777777777774,0.006222222222222129,0.002666666666666706
23,23,0.8,0.7133757961783439,0.7705132396207911,0.8317260542661,0.011111111111111183,0.04933333333333334,0.03822222222222238,-0.03555555555555556,0.023111111111111082,-0.03200000000000003,-0.002666666666666706,-0.027999999999999914,0.00666666666666671,-0.011111111111111072,-0.01777777777777767,0.028444444444444494
24,24,0.8222222222222222,0.75,0.7960117685518143,0.8550997057862048,0.10977777777777775,0.033777777777777795,0.046222222222222165,-0.0004444444444444695,0.21511111111111125,-0.008888888888888946,0.022222222222222143,0.0066666666666664876,-0.04888888888888898,0.015555555555555545,-0.007555555555555649,0.021333333333333315
25,25,0.6711111111111111,0.6372549019607843,0.6765691402419092,0.8096600196142529,0.288,0.00622222222222224,-0.05111111111111111,0.000888888888888828,0.2866666666666666,-0.004888888888888943,-0.004888888888888943,0.011555555555555652,-0.18577777777777782,-0.007111111111111179,0.02400000000000002,-0.015555555555555545
26,26,0.8444444444444444,0.7878787878787878,0.8231856815952926,0.9234226871526643,0.06844444444444442,-0.03200000000000003,-0.02311111111111097,0.01288888888888895,0.047111111111111215,-0.0364444444444445,-0.03200000000000003,-0.055111111111111,0.034222222222222265,0.005777777777777771,0.00622222222222224,0.015999999999999792
27,27,0.8444444444444444,0.7904191616766467,0.8248610657077475,0.8215920235371035,0.0782222222222223,0.022222222222222254,0.06266666666666665,0.03688888888888875,0.1902222222222223,0.01733333333333331,0.013777777777778,0.03911111111111121,-0.007111111111111179,0.06444444444444442,0.0311111111111112,0.026222222222222258
28,28,0.8488888888888889,0.7976190476190477,0.8302958483164433,0.9308597580908794,0.04399999999999993,-0.015555555555555434,-0.040000000000000036,-0.01866666666666672,0.0013333333333334085,-0.025777777777777677,-0.034222222222222265,-0.0671111111111109,-0.021777777777777785,0.015111111111111186,0.0431111111111111,0.029777777777777792
29,29,0.8,0.784688995215311,0.8140732265446224,0.9008662961752206,0.3031111111111112,-0.0022222222222221255,-0.03200000000000003,-0.03022222222222215,0.040888888888888975,-0.032888888888888856,-0.020000000000000018,-0.033777777777777684,-0.08044444444444454,-0.02533333333333332,-0.008000000000000007,-0.019555555555555548
30,30,0.7555555555555555,0.6994535519125683,0.7463223275580255,0.8487250735534488,0.24533333333333318,0.0,-0.007111111111111068,-0.05155555555555558,0.1928888888888889,-0.052888888888888985,-0.04355555555555557,-0.06666666666666665,-0.09244444444444433,0.007111111111111068,-0.010222222222222244,-0.004000000000000115
31,31,0.8311111111111111,0.7625,0.8052059496567505,0.9528440666884602,0.01733333333333331,-0.002666666666666817,0.004888888888888943,-0.008888888888888724,0.008444444444444477,-0.03733333333333333,-0.03466666666666662,-0.0604444444444443,-0.01244444444444448,0.020888888888888957,0.008000000000000007,0.0119999999999999
32,32,0.8844444444444445,0.8522727272727273,0.8737741091860085,0.8999673095782935,0.14622222222222225,0.04133333333333333,-0.016000000000000014,-0.01822222222222203,0.04488888888888898,-0.020444444444444487,-0.02444444444444438,-0.003555555555555423,0.059555555555555584,0.019555555555555548,0.015555555555555656,0.03599999999999992
