,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled
67,67,0.8653061224489796,0.8390243902439024,0.879156010230179,0.9698067632850241,0.46326530612244904
68,68,0.8816326530612245,0.8599033816425121,0.8987283319124751,0.9708013640238704,0.5004081632653061
69,69,0.9224489795918367,0.900523560209424,0.9249076442171071,0.9798948564933219,0.5375510204081633
70,70,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9269323671497585,0.4220408163265306
71,71,0.9020408163265307,0.875,0.9042341574310884,0.9754191531685138,0.5077551020408164
72,72,0.8816326530612245,0.8527918781725888,0.8878942881500427,0.9708724069337881,0.4938775510204082
73,73,0.9183673469387755,0.8979591836734694,0.9259732878658711,0.9825944870701904,0.5212244897959184
74,74,0.8938775510204081,0.8737864077669902,0.9106990622335891,0.965686274509804,0.47102040816326524
75,75,0.8979591836734694,0.8792270531400966,0.9161338448422847,0.9658283603296391,0.5008163265306123
76,76,0.9020408163265307,0.883495145631068,0.9194018186984938,0.9637681159420289,0.5093877551020409
77,77,0.889795918367347,0.8615384615384616,0.894430235862461,0.9703751065643649,0.4530612244897959
78,78,0.8734693877551021,0.8393782383419689,0.8748579141801649,0.965331059960216,0.4571428571428572
79,79,0.8653061224489796,0.8450704225352113,0.8878232452401251,0.9725063938618925,0.4853061224489796
80,80,0.8775510204081632,0.8484848484848485,0.8846263142938334,0.961849957374254,0.3804081632653061
81,81,0.8693877551020408,0.8333333333333334,0.8694231315714691,0.9652600170502984,0.4342857142857143
82,82,0.889795918367347,0.8656716417910447,0.9009306621199205,0.9761295822676896,0.4979591836734694
83,83,0.8938775510204081,0.8586956521739131,0.8868641659562375,0.9695225916453538,0.43020408163265295
84,84,0.9428571428571428,0.9247311827956989,0.9412475134981528,0.9813157146916738,0.54
85,85,0.8775510204081632,0.8351648351648352,0.8672918442739415,0.9716538789428815,0.4204081632653061
86,86,0.8775510204081632,0.84375,0.878125888036374,0.9701619778346121,0.4024489795918367
87,87,0.8979591836734694,0.8768472906403941,0.9118002273373117,0.9715828360329639,0.5155102040816326
88,88,0.8857142857142857,0.8571428571428571,0.8911622620062518,0.9490622335890878,0.46326530612244887
89,89,0.8816326530612245,0.8465608465608465,0.8792270531400965,0.9663256606990622,0.4412244897959184
90,90,0.8979591836734694,0.8677248677248677,0.8966325660699062,0.9735720375106565,0.4791836734693877
91,91,0.8612244897959184,0.8425925925925926,0.8867220801364024,0.9570900824097756,0.4448979591836735
92,92,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9187979539641944,0.41306122448979593
93,93,0.9020408163265307,0.8723404255319149,0.8999005399261153,0.97435350951975,0.4404081632653062
94,94,0.8816326530612245,0.861244019138756,0.9008951406649617,0.9632708155726059,0.47551020408163275
95,95,0.8653061224489796,0.8307692307692308,0.8683219664677465,0.9664677465188974,0.42448979591836733
96,96,0.8448979591836735,0.8061224489795918,0.8476484796817279,0.9539641943734015,0.3648979591836735
97,97,0.8938775510204081,0.865979381443299,0.8976982097186701,0.9757743677181017,0.4787755102040816
98,98,0.8612244897959184,0.8349514563106796,0.8758880363739698,0.9656152315998863,0.47795918367346935
99,99,0.8979591836734694,0.8603351955307262,0.8857985223074738,0.9750639386189258,0.42489795918367346
100,100,0.9020408163265307,0.8762886597938144,0.9064009661835748,0.9746376811594203,0.4938775510204082
101,101,0.8857142857142857,0.8541666666666666,0.8868286445012787,0.9692384200056835,0.47346938775510206
102,102,0.9142857142857143,0.8877005347593583,0.9118712702472294,0.9771952259164535,0.46122448979591835
103,103,0.9142857142857143,0.8839779005524862,0.9053708439897699,0.9725063938618925,0.46979591836734697
104,104,0.8734693877551021,0.8442211055276382,0.8813583404376243,0.9579425973287866,0.45795918367346944
105,105,0.8489795918367347,0.8262910798122066,0.8704177323103155,0.9195083830633703,0.43999999999999995
106,106,0.8857142857142857,0.8585858585858586,0.8933290707587382,0.9727195225916454,0.48612244897959184
107,107,0.8857142857142857,0.8556701030927835,0.8889954532537653,0.9716538789428816,0.4224489795918367
108,108,0.9102040816326531,0.8865979381443299,0.9151037226484797,0.9750639386189258,0.47959183673469397
109,109,0.8653061224489796,0.847926267281106,0.892156862745098,0.9682438192668372,0.4808163265306123
110,110,0.9061224489795918,0.8844221105527639,0.9161693662972435,0.9786160841148053,0.4959183673469388
111,111,0.8693877551020408,0.8367346938775511,0.8737567490764422,0.9671781756180733,0.3897959183673469
112,112,0.8653061224489796,0.835820895522388,0.874822392725206,0.9603580562659847,0.4836734693877552
113,113,0.9102040816326531,0.8865979381443299,0.9151037226484797,0.9809605001420858,0.4906122448979592
114,114,0.8612244897959184,0.8333333333333334,0.8737212276214834,0.9670360897982382,0.4546938775510204
115,115,0.9102040816326531,0.8877551020408163,0.9172705314009661,0.9820971867007673,0.5
116,116,0.9020408163265307,0.8736842105263158,0.9020673486786019,0.9716538789428816,0.4873469387755103
117,117,0.889795918367347,0.8656716417910447,0.9009306621199205,0.9705882352941176,0.49142857142857144
118,118,0.9102040816326531,0.8854166666666666,0.9129369138959932,0.9780477408354646,0.48653061224489796
119,119,0.8857142857142857,0.8571428571428571,0.8911622620062518,0.9715117931230464,0.3787755102040816
120,120,0.8734693877551021,0.8530805687203792,0.8943591929525434,0.9719380505825519,0.4759183673469388
121,121,0.889795918367347,0.864321608040201,0.898763853367434,0.9711565785734584,0.3697959183673468
122,122,0.8857142857142857,0.8585858585858586,0.8933290707587382,0.9725063938618925,0.47142857142857136
123,123,0.8816326530612245,0.8599033816425121,0.8987283319124751,0.9674623472577437,0.4893877551020409
124,124,0.8693877551020408,0.8504672897196262,0.8932580278488207,0.9722932651321399,0.476734693877551
125,125,0.8816326530612245,0.8571428571428571,0.8943947144075022,0.9737851662404092,0.48530612244897964
126,126,0.8489795918367347,0.8159203980099502,0.8574168797953964,0.9595055413469735,0.4583673469387755
127,127,0.8979591836734694,0.8768472906403941,0.9118002273373117,0.9766268826371127,0.49102040816326525
128,128,0.8816326530612245,0.8542713567839196,0.8900610969025291,0.9715828360329639,0.46653061224489795
129,129,0.8693877551020408,0.8367346938775511,0.8737567490764422,0.9660414890593918,0.4526530612244898
130,130,0.8489795918367347,0.8262910798122066,0.8704177323103155,0.9164890593918726,0.4424489795918367
131,131,0.8734693877551021,0.845771144278607,0.8835251491901108,0.9705171923842001,0.46857142857142864
132,132,0.8857142857142857,0.8556701030927835,0.8889954532537653,0.9709434498437056,0.45877551020408164
133,133,0.9142857142857143,0.8877005347593583,0.9118712702472294,0.9772662688263711,0.4975510204081632
134,134,0.8775510204081632,0.84375,0.878125888036374,0.9690252912759306,0.45836734693877546
135,135,0.9020408163265307,0.8681318681318682,0.8934001136686559,0.9744245524296675,0.40938775510204084
136,136,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9215686274509804,0.4322448979591837
137,137,0.8448979591836735,0.8207547169811321,0.8649829497016197,0.9097755044046604,0.4306122448979592
138,138,0.8653061224489796,0.847926267281106,0.892156862745098,0.9652600170502984,0.4567346938775511
139,139,0.9020408163265307,0.8736842105263158,0.9020673486786019,0.9754901960784315,0.47591836734693876
140,140,0.9183673469387755,0.8979591836734694,0.9259732878658711,0.9786871270247229,0.5061224489795919
141,141,0.9224489795918367,0.9025641025641026,0.9292412617220802,0.9781187837453822,0.49224489795918364
142,142,0.8816326530612245,0.8571428571428571,0.8943947144075022,0.9711565785734584,0.46571428571428575
143,143,0.8734693877551021,0.845771144278607,0.8835251491901108,0.9666098323387327,0.46
144,144,0.8530612244897959,0.8269230769230769,0.8693520886615516,0.9694515487354363,0.45673469387755106
145,145,0.889795918367347,0.864321608040201,0.898763853367434,0.973998294970162,0.47551020408163264
146,146,0.8816326530612245,0.8481675392670157,0.8813938618925832,0.9683148621767548,0.44163265306122457
147,147,0.8775510204081632,0.8584905660377359,0.899793975561239,0.9568059107701051,0.4375510204081632
148,148,0.8653061224489796,0.8390243902439024,0.879156010230179,0.9732168229610685,0.45591836734693886
149,149,0.8816326530612245,0.8585365853658536,0.8965615231599886,0.9720090934924694,0.4987755102040816
150,150,0.8938775510204081,0.865979381443299,0.8976982097186701,0.9725063938618925,0.4612244897959183
151,151,0.8938775510204081,0.865979381443299,0.8976982097186701,0.9738562091503268,0.49918367346938775
152,152,0.8775510204081632,0.8584905660377359,0.899793975561239,0.9601449275362319,0.32122448979591833
153,153,0.8938775510204081,0.8673469387755102,0.8998650184711565,0.9751349815288434,0.4779591836734693
154,154,0.8775510204081632,0.845360824742268,0.8802926967888605,0.9656152315998863,0.4440816326530612
155,155,0.9306122448979591,0.9119170984455959,0.9357772094344985,0.9809605001420858,0.490204081632653
156,156,0.8816326530612245,0.861244019138756,0.9008951406649617,0.9683148621767548,0.4861224489795919
157,157,0.8816326530612245,0.8599033816425121,0.8987283319124751,0.9726484796817279,0.47020408163265315
158,158,0.8571428571428571,0.8372093023255814,0.8812872975277067,0.967746518897414,0.46816326530612246
159,159,0.9142857142857143,0.8888888888888888,0.9140380789997158,0.9811736288718386,0.46816326530612234
160,160,0.8734693877551021,0.8442211055276382,0.8813583404376243,0.9683148621767548,0.4661224489795919
161,161,0.9020408163265307,0.8736842105263158,0.9020673486786019,0.9678175618073317,0.4848979591836735
162,162,0.8612244897959184,0.8282828282828283,0.8672208013640239,0.9652600170502984,0.45061224489795926
163,163,0.9020408163265307,0.8787878787878788,0.9107345836885479,0.976626882637113,0.4959183673469388
