,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backlow_humidity_scaled
17,17,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9260428907168039,0.20416666666666672,0.061249999999999916,0.008333333333333304
18,18,0.8958333333333334,0.8648648648648649,0.8908636897767332,0.9387485311398356,0.15625,0.06208333333333338,0.04166666666666674
19,19,0.9041666666666667,0.8770053475935828,0.9017332549941246,0.9333871915393654,0.19499999999999995,0.060833333333333295,-0.0016666666666667052
20,20,0.6166666666666667,0.0,0.5,0.9286868390129258,-1.1102230246251565e-16,-1.1102230246251565e-16,0.00041666666666650976
21,21,0.8875,0.8491620111731844,0.8758813160987073,0.9232520564042304,0.1499999999999999,0.05958333333333332,0.002083333333333326
22,22,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9373531139835489,0.1579166666666666,0.0724999999999999,0.022916666666666696
23,23,0.8875,0.850828729281768,0.8779377203290247,0.9363983548766156,0.16708333333333325,0.04625000000000001,0.008750000000000036
24,24,0.8458333333333333,0.7701863354037267,0.8133078730904818,0.9388954171562867,0.11750000000000005,0.042916666666666825,0.028749999999999942
25,25,0.8875,0.8571428571428571,0.8861633372502937,0.9446974148061105,0.14500000000000002,0.040000000000000036,0.0008333333333332416
26,26,0.8625,0.7975460122699386,0.8329905992949471,0.9380141010575792,0.14750000000000008,0.050833333333333286,0.03416666666666668
27,27,0.9041666666666667,0.8770053475935828,0.9017332549941246,0.9226645123384254,0.17541666666666667,0.05833333333333324,-0.0029166666666665675
28,28,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.900484723854289,0.17416666666666658,0.06958333333333333,-0.0033333333333334103
29,29,0.8083333333333333,0.6805555555555556,0.7561692126909518,0.9380141010575793,0.07583333333333342,0.06833333333333336,-0.0016666666666665941
30,30,0.8541666666666666,0.782608695652174,0.8221210340775558,0.9404377203290247,0.15249999999999997,0.03916666666666657,0.00708333333333333
31,31,0.8375,0.7417218543046358,0.7942126909518215,0.9406580493537016,0.1433333333333333,0.04708333333333348,0.060416666666666674
32,32,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9231786133960046,0.24583333333333335,0.07000000000000017,-0.004166666666666763
33,33,0.825,0.72,0.7799647473560518,0.9352232667450059,0.10833333333333339,0.04499999999999993,0.005416666666666625
