,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
36,36,0.8584474885844748,0.8121212121212121,0.8405083875385142,0.9271653543307088,0.01963470319634686,0.05616438356164377,0.11415525114155234,0.15251141552511416
37,37,0.8721461187214612,0.8409090909090909,0.8628038343033209,0.9102191030469016,0.36894977168949783,0.12648401826484024,0.12237442922374431,0.002739726027397249
38,38,0.867579908675799,0.8304093567251462,0.8543735022252653,0.9253252310852447,0.03013698630136985,0.10913242009132418,0.062100456621004496,0.16392694063926938
39,39,0.8310502283105022,0.7784431137724551,0.8138907908250599,0.906710030811366,0.27305936073059356,-0.008675799086757974,0.021917808219178103,-0.014155251141552472
40,40,0.8812785388127854,0.8505747126436781,0.8706778500513523,0.9331564532694283,0.01872146118721474,0.26529680365296804,0.21643835616438356,0.13789954337899546
41,41,0.817351598173516,0.7368421052631579,0.7885997945908936,0.9484765491270113,-0.045205479452054886,0.09360730593607303,0.0780821917808221,0.10273972602739723
42,42,0.8721461187214612,0.8478260869565217,0.8687949332420404,0.9096199931530298,0.4146118721461188,0.091324200913242,0.041095890410958846,0.05936073059360736
43,43,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9204895583704211,0.07716894977168953,0.07808219178082199,0.15388127853881273,0.1803652968036531
44,44,0.863013698630137,0.8192771084337349,0.8459431701472098,0.9290482711400205,0.047945205479452135,0.18127853881278544,0.11324200913242011,0.09269406392694068
45,45,0.8538812785388128,0.8350515463917526,0.8575402259500171,0.9058541595344061,0.406392694063927,0.12831050228310503,0.158447488584475,0.07990867579908678
46,46,0.8310502283105022,0.7784431137724551,0.8138907908250599,0.890020540910647,0.4068493150684931,0.0091324200913242,0.029680365296803624,-0.015068493150684925
47,47,0.8127853881278538,0.7284768211920529,0.7831650119821978,0.8936152002738788,-0.05296803652968052,0.0876712328767123,0.004109589041095929,0.06849315068493134
48,48,0.867579908675799,0.8242424242424242,0.8498801780212255,0.9352105443341322,-0.04063926940639284,0.23242009132420094,0.06803652968036522,0.126027397260274
49,49,0.8721461187214612,0.8352941176470589,0.858310510099281,0.9133002396439576,0.21643835616438356,0.06986301369863035,0.03515981735159812,0.1589041095890411
50,50,0.8127853881278538,0.7484662576687117,0.7921516603902773,0.904228004108182,0.3808219178082191,0.0,0.010958904109589107,0.02602739726027392
51,51,0.8082191780821918,0.7272727272727273,0.7807257788428621,0.9162102019856214,-0.08082191780821912,0.11598173515981736,0.04292237442922375,0.02237442922374433
52,52,0.863013698630137,0.8192771084337349,0.8459431701472098,0.9289626840123246,0.027853881278538828,0.06712328767123288,0.1876712328767124,0.06438356164383563
53,53,0.8127853881278538,0.7484662576687117,0.7921516603902773,0.9008045190003423,0.03242009132420087,-0.0018264840182649067,0.01963470319634697,-0.024657534246575352
54,54,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9284491612461486,0.09360730593607314,0.10593607305936092,0.1114155251141552,0.05159817351598173
55,55,0.8447488584474886,0.8,0.8301951386511468,0.9009756932557342,0.037442922374429144,0.1351598173515982,0.02100456621004565,0.038812785388127935
56,56,0.5799086757990868,0.0,0.5,0.8946422458062308,0.0,0.0,0.0,0.0
57,57,0.817351598173516,0.7333333333333333,0.7871020198562136,0.8942143101677508,-0.010045662100456543,0.21506849315068488,0.19954337899543373,0.17762557077625574
58,58,0.863013698630137,0.8314606741573034,0.8549298185552893,0.8782095172885998,0.43333333333333335,0.05068493150684927,0.04840182648401847,0.10547945205479459
59,59,0.867579908675799,0.8242424242424242,0.8498801780212255,0.9240842177336527,0.07579908675799085,0.11598173515981736,0.029223744292237397,0.05525114155251132
60,60,0.8584474885844748,0.8143712574850299,0.842006162273194,0.9118452584731256,0.22328767123287663,0.1041095890410959,0.05753424657534234,0.15068493150684925
61,61,0.5799086757990868,0.0,0.5,0.9053406367682302,0.0,0.0,0.0,0.0
62,62,0.8447488584474886,0.8089887640449438,0.8361862375898665,0.8923313933584388,0.3342465753424657,0.0009132420091324533,0.042465753424657526,-0.007762557077625409
63,63,0.8721461187214612,0.8372093023255814,0.859808284833961,0.9174940089010613,0.11461187214611879,0.14520547945205475,0.06164383561643838,0.05251141552511429
64,64,0.8493150684931506,0.7975460122699386,0.8296388223211228,0.938719616569668,0.03972602739726028,0.17305936073059358,0.008675799086757974,0.17260273972602735
65,65,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9132146525162615,0.34794520547945196,0.05114155251141539,0.12283105022831053,-0.0009132420091324533
66,66,0.867579908675799,0.8323699421965318,0.8558712769599452,0.9083361862375898,0.10136986301369855,0.1278538812785387,0.11735159817351593,0.09269406392694057
67,67,0.8584474885844748,0.8165680473372781,0.8435039370078741,0.9235706949674769,0.04292237442922364,0.204566210045662,0.04109589041095896,0.07031963470319624
68,68,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.906966792194454,0.2429223744292236,0.004566210045662045,-0.01187214611872145,-1.1102230246251565e-16
69,69,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9210886682642931,0.15936073059360734,0.09178082191780823,0.15936073059360722,0.0031963470319634757
70,70,0.8538812785388128,0.8072289156626506,0.8365713796644985,0.9026874358096542,0.24885844748858454,0.2022831050228311,0.06575342465753431,-0.0009132420091322313
71,71,0.8767123287671232,0.8421052631578947,0.8637452927079767,0.9262238959260527,0.18356164383561646,0.1972602739726027,0.06027397260273981,0.10319634703196345
72,72,0.8493150684931506,0.8023952095808383,0.8326343717904827,0.9179219445395412,-0.0022831050228311334,0.147945205479452,0.10913242009132418,0.19315068493150678
73,73,0.8493150684931506,0.8023952095808383,0.8326343717904827,0.9017459774049983,-0.05022831050228305,0.18401826484018258,0.22739726027397256,0.10319634703196345
74,74,0.8036529680365296,0.7329192546583851,0.781282095172886,0.906966792194454,0.34885844748858447,-0.008675799086757863,-0.0018264840182646847,-0.014611872146118698
