,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
20,20,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9650856389986825,0.006225680933852118,-0.014007782101167265,-0.021789883268482524,0.015564202334630295,0.012062256809338479,0.006614785992217875,0.010505836575875449,0.00894941634241242,-0.014396887159533134,0.00038910505836575737,0.010505836575875449,0.00038910505836575737
21,21,0.8326848249027238,0.7074829931972789,0.7735177865612648,0.9648221343873519,-0.010116731517509692,-0.009727626459143934,0.04007782101167312,0.018287937743190708,0.01206225680933859,0.005836575875486472,0.03891050583657585,0.0007782101167316258,-0.015953307392996052,0.03268482490272373,0.04046692607003888,0.03852140077821009
22,22,0.8326848249027238,0.7114093959731543,0.7759222661396574,0.9567852437417654,0.011673151750972832,0.007003891050583744,0.011284046692607075,-0.02062256809338514,0.0015564202334631405,0.0003891050583658684,0.015175097276264649,0.033463035019455245,-0.01478599221789878,0.006614785992217986,0.0038910505836576847,-0.02529182879377423
23,23,0.8521400778210116,0.7764705882352941,0.8223320158102767,0.9568511198945981,-0.0015564202334630295,-0.017509727626459304,0.019066147859922222,-0.0011673151750972721,-0.01828793774319082,0.0077821011673151474,0.021400778210116767,0.03463035019455252,-0.01945525291828809,-0.015953307392996274,0.00038910505836575737,-0.008560311284046884
24,24,0.8326848249027238,0.6993006993006993,0.7687088274044795,0.9679183135704874,0.029182879377431914,0.01206225680933859,-0.005836575875486361,-0.005447470817120492,-0.0038910505836575737,0.0038910505836576847,0.005058365758754957,0.015953307392996163,-0.011284046692606964,0.010894941634241317,0.017120622568093435,0.011284046692607075
25,25,0.8793774319066148,0.8050314465408805,0.8387351778656127,0.9697628458498024,0.019066147859922222,0.02684824902723737,0.006225680933852007,0.019066147859922222,0.00038910505836564635,0.010894941634241095,0.02801556420233442,0.013618677042801397,0.010894941634241095,0.03696498054474706,0.06342412451361867,0.07470817120622564
26,26,0.8560311284046692,0.8042328042328042,0.8494071146245059,0.9582345191040844,0.02529182879377434,0.011284046692606964,-0.014396887159533245,-0.023346303501945664,-0.0035019455252920384,-0.003112840466926059,-0.02412451361867718,0.00038910505836575737,-0.028793774319066268,0.0015564202334630295,-0.010505836575875449,-0.01828793774319082
27,27,0.9066147859922179,0.8787878787878788,0.9152503293807641,0.9665349143610014,-0.008560311284046773,0.015175097276264538,0.007003891050583633,0.005058365758754846,0.0027237354085603016,0.011673151750972721,0.011284046692606964,0.0007782101167315147,0.0015564202334630295,0.018677042801556354,-0.0038910505836575737,0.004280155642023331
28,28,0.8560311284046692,0.7581699346405228,0.8061264822134387,0.9685770750988142,0.018287937743190597,0.021400778210116767,0.003112840466926059,0.0007782101167315147,0.003112840466926059,0.0,0.026070038910505855,0.01634241245136181,0.01478599221789878,0.00739299610894939,0.01906614785992211,0.01906614785992211
29,29,0.8754863813229572,0.8241758241758241,0.8621541501976284,0.9384057971014493,-0.005447470817120714,0.017898832684824728,0.008949416342412309,-0.0019455252918288979,-0.03424124513618676,0.01945525291828798,0.006225680933852007,-0.012451361867704347,0.01011673151750958,0.014785992217898891,-0.004280155642023442,0.011284046692606853
