,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_scaled
18,18,0.875,0.8131868131868132,0.8577294685990338,0.952596618357488,0.1419117647058823,0.006985294117647145,0.015073529411764652
19,19,0.875,0.8152173913043478,0.8603864734299517,0.9306763285024156,0.15000000000000013,0.004779411764705754,0.006985294117647145
20,20,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9323671497584541,0.09816176470588234,0.01176470588235301,0.028676470588235303
21,21,0.8492647058823529,0.7354838709677419,0.7931159420289855,0.9545893719806764,0.16102941176470587,-0.0018382352941177516,0.03308823529411764
22,22,0.8566176470588235,0.7547169811320755,0.8066425120772946,0.951388888888889,0.14889705882352933,-0.01397058823529429,0.016176470588235237
23,23,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.9643115942028986,0.22499999999999998,0.007720588235293868,0.014338235294117485
24,24,0.8823529411764706,0.8181818181818182,0.8579710144927537,0.9585144927536231,0.143014705882353,0.0051470588235293935,0.020588235294117463
25,25,0.8860294117647058,0.8342245989304813,0.8766908212560387,0.9628623188405797,0.2124999999999999,0.006617647058823395,0.0117647058823529
26,26,0.875,0.8152173913043478,0.8603864734299517,0.9554951690821256,0.1264705882352941,0.007720588235293979,0.010661764705882426
27,27,0.875,0.8131868131868132,0.8577294685990338,0.8879830917874397,0.125,0.009191176470588203,0.0117647058823529
28,28,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.8878019323671497,0.13602941176470595,0.010661764705882426,0.011397058823529482
29,29,0.875,0.8131868131868132,0.8577294685990338,0.9533816425120772,0.13639705882352937,0.008823529411764897,0.006985294117647145
30,30,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9606884057971015,0.21433823529411766,0.003676470588235281,0.006985294117647034
31,31,0.8676470588235294,0.7857142857142857,0.8309178743961352,0.9558574879227053,0.13382352941176479,-0.0055147058823528106,0.014338235294117707
32,32,0.8602941176470589,0.7625,0.8120772946859903,0.9542874396135266,0.16102941176470598,-0.0014705882352940014,0.01764705882352935
33,33,0.8713235294117647,0.7953216374269005,0.8390096618357488,0.9565821256038647,0.1419117647058824,-0.0055147058823528106,0.004411764705882337
34,34,0.8713235294117647,0.8066298342541437,0.8522946859903382,0.9365942028985507,0.10330882352941184,0.002941176470588225,0.00588235294117645
35,35,0.8786764705882353,0.819672131147541,0.8631642512077294,0.9614734299516907,0.15073529411764697,0.004044117647058809,0.0022058823529412797
36,36,0.8823529411764706,0.8241758241758241,0.8659420289855072,0.9533816425120774,0.14154411764705865,0.00955882352941173,0.00955882352941173
37,37,0.875,0.8131868131868132,0.8577294685990338,0.947463768115942,0.12720588235294117,0.007720588235294201,0.012867647058823595
38,38,0.875,0.8152173913043478,0.8603864734299517,0.9516304347826087,0.12242647058823519,0.006985294117647145,0.010661764705882204
39,39,0.8639705882352942,0.7885714285714286,0.8361111111111111,0.9346618357487922,0.10220588235294126,-0.009926470588235148,0.003308823529411753
40,40,0.8602941176470589,0.7625,0.8120772946859903,0.9535024154589373,0.16874999999999996,-0.0007352941176470562,0.04705882352941182
41,41,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9658816425120773,0.23492647058823513,0.005514705882352922,0.006249999999999978
42,42,0.8713235294117647,0.8044692737430168,0.8496376811594203,0.93737922705314,0.10588235294117643,0.0051470588235293935,0.01764705882352935
43,43,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9626207729468599,0.18566176470588225,0.008088235294117618,0.006249999999999867
44,44,0.875,0.8131868131868132,0.8577294685990338,0.959963768115942,0.15000000000000002,0.0003676470588235281,0.0014705882352942234
45,45,0.8529411764705882,0.7468354430379747,0.8012077294685991,0.9525966183574879,0.16066176470588245,-0.008823529411764675,0.022426470588235103
46,46,0.875,0.7951807228915663,0.8364734299516908,0.9569444444444444,0.17242647058823535,0.0014705882352942234,0.026102941176470607
47,47,0.7720588235294118,0.5079365079365079,0.6683574879227053,0.9518719806763285,0.0988970588235295,-0.004411764705882337,0.06249999999999989
48,48,0.8786764705882353,0.8235294117647058,0.8684782608695653,0.9264492753623188,0.17132352941176476,0.006617647058823506,0.011029411764705732
49,49,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.966243961352657,0.20257352941176454,-0.0007352941176470562,0.004779411764705865
50,50,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9632246376811594,0.19191176470588223,0.012867647058823595,0.023897058823529327
51,51,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9646135265700483,0.2099264705882351,0.006249999999999867,0.008088235294117618
52,52,0.8823529411764706,0.8297872340425532,0.8739130434782609,0.9652777777777777,0.19044117647058822,0.009558823529411842,0.01176470588235301
53,53,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9606884057971015,0.2147058823529412,0.011397058823529371,0.012499999999999845
54,54,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.9651570048309178,0.21470588235294108,-0.0011029411764706953,0.0022058823529411686
55,55,0.8786764705882353,0.8216216216216217,0.8658212560386473,0.9452898550724638,0.1496323529411765,0.009926470588235259,0.012499999999999734
56,56,0.875,0.7976190476190477,0.8391304347826087,0.9508454106280193,0.1485294117647059,0.004411764705882448,0.013235294117647123
