,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
37,37,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8665540540540541,0.1529166666666667,0.023749999999999938,0.03500000000000003,0.021666666666666723,-0.005416666666666625,0.04499999999999993,0.04583333333333328,0.04249999999999998
38,38,0.8166666666666667,0.7105263157894737,0.773207990599295,0.9560810810810811,0.04499999999999993,0.0029166666666666785,-0.014583333333333393,-0.01000000000000012,0.029166666666666674,-0.006666666666666599,0.0008333333333333526,-0.0004166666666666208
39,39,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8655992949471211,0.12708333333333333,0.009583333333333388,0.02041666666666675,0.0183333333333332,0.0,0.03624999999999989,0.03208333333333335,0.003750000000000031
40,40,0.8625,0.8092485549132948,0.8432726204465335,0.8673619271445359,0.17500000000000016,0.0016666666666665941,0.025833333333333486,0.005416666666666625,-0.015000000000000013,0.029166666666666785,0.009583333333333388,0.011666666666666714
41,41,0.8666666666666667,0.813953488372093,0.8466509988249119,0.8720622796709753,0.07416666666666683,0.017916666666666803,-0.01375000000000004,-0.009166666666666545,-0.01041666666666674,0.018333333333333313,0.010000000000000009,0.01791666666666658
42,42,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8769829612220919,0.11458333333333326,0.03125,0.007916666666666572,0.012916666666666687,0.0016666666666665941,0.02083333333333326,0.0245833333333334,0.022083333333333344
43,43,0.8625,0.8070175438596491,0.8412162162162162,0.8773501762632198,0.07000000000000006,0.0033333333333334103,-0.0004166666666666208,-0.013749999999999929,-0.0008333333333334636,0.012500000000000067,0.008333333333333415,0.0012500000000001954
44,44,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.8668478260869563,0.1399999999999999,0.03916666666666657,0.015833333333333366,0.019166666666666665,-0.00374999999999992,0.05166666666666675,0.013333333333333308,0.013333333333333308
45,45,0.8625,0.8070175438596491,0.8412162162162162,0.857153349001175,0.10791666666666666,0.04166666666666685,0.009583333333333388,-0.003750000000000142,-0.01833333333333309,0.0279166666666667,0.020000000000000018,0.012500000000000067
46,46,0.8666666666666667,0.8117647058823529,0.8445945945945945,0.877864277320799,0.10291666666666666,0.0024999999999999467,0.0050000000000000044,-0.007500000000000062,-0.012499999999999956,0.01708333333333334,0.004583333333333384,0.011249999999999982
47,47,0.875,0.8255813953488372,0.8554641598119859,0.8714012925969448,0.09583333333333344,0.022499999999999964,0.007916666666666794,0.032916666666666705,-0.006666666666666599,0.056666666666666865,0.04208333333333347,0.018750000000000044
48,48,0.8666666666666667,0.8117647058823529,0.8445945945945945,0.8701527614571093,0.060833333333333295,0.007916666666666683,0.0004166666666667318,-0.0029166666666667895,0.02041666666666664,0.018333333333333424,0.022500000000000075,0.005833333333333468
49,49,0.8916666666666667,0.8522727272727273,0.8772032902467685,0.871915393654524,0.10125000000000017,0.030833333333333268,0.015416666666666634,0.022500000000000075,0.012500000000000067,0.06666666666666676,0.046666666666666634,0.030000000000000138
