,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled
42,42,0.8625,0.8047337278106509,0.839159811985899,0.8766891891891891,0.13208333333333344,-0.0050000000000000044,-0.005833333333333357,0.010416666666666852,0.10416666666666674,0.018333333333333424,0.025000000000000244,0.013333333333333308,-0.006249999999999978,0.02041666666666664,0.016666666666666607,0.0016666666666668162
43,43,0.85,0.7831325301204819,0.822855464159812,0.9103260869565217,0.0412499999999999,0.007916666666666572,0.01041666666666674,-0.0016666666666665941,-0.0004166666666666208,-0.0033333333333332993,-0.01666666666666683,-0.013333333333333308,0.007083333333333219,0.008333333333333415,0.0004166666666666208,0.015000000000000013
44,44,0.8291666666666667,0.7657142857142857,0.8100763807285547,0.8703730904817861,0.1362500000000001,-0.0016666666666665941,0.011666666666666603,0.006250000000000089,0.06958333333333344,-0.01375000000000004,-0.0029166666666665675,0.005833333333333246,-0.039583333333333304,0.016250000000000098,0.009583333333333388,0.01000000000000012
45,45,0.8375,0.7577639751552795,0.8044947121034077,0.9077555816686251,0.016249999999999987,0.004999999999999893,0.004166666666666652,-0.0033333333333332993,0.05791666666666673,0.0016666666666668162,0.0025000000000000577,0.0008333333333334636,-0.019583333333333286,0.0025000000000000577,-0.0008333333333332416,-0.0004166666666666208
46,46,0.8541666666666666,0.7928994082840237,0.8303466509988249,0.9394095182138661,0.03791666666666649,0.0029166666666665675,0.0004166666666666208,-0.002083333333333326,0.029583333333333295,-0.011250000000000093,-0.019166666666666776,-0.0279166666666667,0.002083333333333215,-0.004583333333333273,-0.0004166666666668428,-0.012500000000000178
47,47,0.8416666666666667,0.7682926829268293,0.8119858989424207,0.8597238542890716,0.10458333333333336,0.0012499999999999734,0.010833333333333472,0.016249999999999987,0.039583333333333415,0.01041666666666663,0.006250000000000089,0.003750000000000031,-0.025000000000000133,0.01416666666666666,0.017916666666666803,0.01041666666666663
48,48,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.9043772032902468,0.1204166666666665,-0.0029166666666666785,0.007499999999999951,-0.009999999999999898,0.01791666666666658,-0.009166666666666656,-0.01041666666666674,-0.01416666666666666,-0.0012499999999998623,0.007916666666666572,0.012499999999999845,0.01041666666666663
49,49,0.8416666666666667,0.759493670886076,0.8058166862514688,0.9082696827262045,0.025416666666666754,-0.006666666666666599,-0.005833333333333468,-1.1102230246251565e-16,0.029166666666666674,-0.019583333333333175,-0.02791666666666659,-0.035833333333333384,0.008333333333333304,-0.012499999999999956,-0.0012500000000000844,0.004166666666666652
50,50,0.8416666666666667,0.759493670886076,0.8058166862514688,0.9388954171562867,-0.007083333333333219,0.008749999999999925,-0.007500000000000062,0.0004166666666667318,0.011666666666666603,-0.004583333333333384,-0.002083333333333326,-0.002083333333333326,0.011666666666666825,0.002083333333333326,-0.006249999999999978,-0.012083333333333335
51,51,0.8458333333333333,0.7730061349693251,0.8153642773207991,0.911427732079906,0.0412499999999999,-0.007916666666666683,0.005833333333333246,-0.004583333333333273,0.008749999999999925,-0.003750000000000031,-0.013333333333333308,-0.00708333333333333,-0.0029166666666667895,-0.0016666666666665941,-0.004583333333333273,0.005416666666666625
52,52,0.8333333333333334,0.7530864197530864,0.8011163337250293,0.9034958871915394,-0.002083333333333215,0.004166666666666763,0.007083333333333441,0.005833333333333357,-0.005416666666666514,0.0008333333333332416,0.0050000000000000044,-0.00708333333333333,-0.003750000000000031,-0.0029166666666666785,-0.004583333333333495,-0.01041666666666663
53,53,0.8125,0.7783251231527094,0.8212397179788484,0.9023942420681551,0.19791666666666674,0.01749999999999996,0.022499999999999964,0.004166666666666652,0.10458333333333336,0.025833333333333375,0.019583333333333397,0.022083333333333344,-0.05833333333333324,0.018750000000000044,0.015833333333333255,0.01375000000000004
54,54,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9393360752056404,0.03208333333333335,0.004583333333333384,0.0008333333333333526,0.015833333333333366,0.050000000000000044,-0.0012499999999999734,-0.014999999999999902,-0.009166666666666545,0.002083333333333437,0.010833333333333361,0.00666666666666671,0.0016666666666667052
55,55,0.8416666666666667,0.7532467532467533,0.8017038777908343,0.9284665099882492,-0.002083333333333326,0.0016666666666665941,0.007499999999999951,0.007499999999999951,0.013333333333333308,0.005833333333333468,0.002083333333333326,-0.01375000000000004,0.0050000000000000044,-0.002083333333333326,0.0012499999999999734,0.0004166666666667318
56,56,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.8816833137485312,0.08208333333333329,-0.0012499999999998623,0.025833333333333375,0.01375000000000004,0.0704166666666668,0.03916666666666668,-0.005833333333333246,-0.004583333333333384,-0.009999999999999898,0.02750000000000008,0.03375000000000017,0.00666666666666671
57,57,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.8852085781433607,0.09333333333333327,0.003750000000000031,-0.004583333333333384,0.018749999999999822,0.054166666666666585,-0.010833333333333361,-0.01375000000000004,-0.004999999999999893,-0.0008333333333334636,0.015416666666666523,0.03125,0.022499999999999964
58,58,0.8375,0.7515923566878981,0.8003819036427732,0.9337544065804935,-0.0004166666666666208,0.0004166666666666208,0.010416666666666852,0.0024999999999998357,-0.005416666666666736,-0.012083333333333113,-0.012083333333333335,-0.014999999999999791,0.0004166666666666208,-0.006249999999999978,0.0,-0.008333333333333193
59,59,0.8541666666666666,0.7904191616766467,0.8282902467685076,0.8812426556991775,0.12458333333333327,0.00708333333333333,0.01416666666666655,0.01041666666666663,0.08291666666666664,0.0016666666666665941,0.01416666666666655,-0.006249999999999978,-0.011666666666666714,0.02833333333333332,-0.006249999999999978,0.0033333333333332993
60,60,0.8333333333333334,0.7435897435897436,0.7949471210340775,0.9323589894242069,-0.01791666666666658,0.0008333333333332416,-0.01083333333333325,-0.0008333333333333526,0.008750000000000147,-0.01041666666666663,-0.016666666666666607,-0.005416666666666514,0.0025000000000000577,-0.009166666666666545,-0.016249999999999987,-0.0033333333333332993
61,61,0.8375,0.7607361963190185,0.806551116333725,0.912970035252644,0.015416666666666745,0.0012499999999999734,-0.0029166666666666785,0.012916666666666798,-0.0025000000000000577,-0.009583333333333277,-0.011250000000000093,-0.008750000000000036,0.005416666666666514,0.004166666666666763,0.007499999999999951,0.01041666666666663
62,62,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.929274383078731,0.15208333333333324,0.002083333333333215,0.0,0.007916666666666572,0.08166666666666655,0.008333333333333304,0.0004166666666667318,-0.0050000000000000044,0.0012499999999999734,0.012500000000000067,-0.0004166666666666208,0.0012499999999999734
63,63,0.8416666666666667,0.7654320987654321,0.8099294947121034,0.9339747356051704,0.01708333333333334,0.0012499999999999734,0.0008333333333333526,-0.0012499999999998623,0.004583333333333273,-0.02083333333333337,-0.009166666666666656,-0.021666666666666612,0.0024999999999999467,0.007916666666666683,0.010000000000000009,-0.0004166666666667318
64,64,0.85,0.7804878048780488,0.8207990599294948,0.9042303172737957,0.061249999999999916,0.013749999999999929,0.008333333333333415,0.01458333333333317,0.039583333333333415,-0.012916666666666798,-0.007499999999999951,-0.009166666666666545,-0.018750000000000044,0.0050000000000000044,0.0033333333333332993,-0.005416666666666736
65,65,0.8541666666666666,0.7976878612716763,0.8344594594594594,0.8570799059929495,0.17874999999999985,0.015833333333333144,0.012916666666666687,0.0,0.04083333333333339,0.025000000000000022,0.025416666666666532,0.030416666666666536,-0.008750000000000147,0.03166666666666662,0.043333333333333224,0.00666666666666671
66,66,0.8166666666666667,0.7142857142857143,0.7752643948296123,0.8658196239717979,-0.01708333333333334,-0.0029166666666666785,-0.0024999999999998357,0.002083333333333215,0.0008333333333333526,-0.0004166666666666208,-0.01000000000000012,-0.0029166666666667895,-0.014583333333333393,-0.012500000000000178,-0.007083333333333441,-0.0012500000000000844
67,67,0.8375,0.7636363636363637,0.8086075205640424,0.9334606345475911,0.005833333333333357,-0.00374999999999992,0.0012499999999999734,0.007499999999999951,0.0025000000000000577,0.0025000000000000577,-0.0008333333333332416,-0.025833333333333486,-0.0016666666666667052,0.002083333333333215,-0.0016666666666667052,0.0004166666666666208
68,68,0.8291666666666667,0.7453416149068323,0.7956815511163338,0.9226645123384253,0.02083333333333348,-0.011666666666666603,-0.003750000000000031,-0.015833333333333255,-0.012916666666666576,-0.028750000000000053,-0.0024999999999999467,-0.033333333333333326,-0.010833333333333361,0.002083333333333326,-0.014583333333333282,0.0033333333333334103
69,69,0.8458333333333333,0.7757575757575758,0.8174206815511162,0.8875587544065805,0.06291666666666673,-0.0008333333333333526,0.007500000000000062,0.005833333333333246,0.019583333333333175,-0.009999999999999898,0.0016666666666664831,0.003750000000000031,0.002083333333333326,1.1102230246251565e-16,-0.0012499999999999734,-0.002083333333333326
70,70,0.725,0.6886792452830188,0.7379553466509988,0.8484870740305523,0.0904166666666667,0.0012499999999998623,-0.012916666666666687,-0.008750000000000036,0.06958333333333333,0.009166666666666656,0.0066666666666664876,0.009999999999999898,-0.053333333333333344,-0.019166666666666665,0.03208333333333324,0.0016666666666665941
71,71,0.85,0.7831325301204819,0.822855464159812,0.9219300822561692,0.022916666666666585,0.004166666666666763,0.004583333333333273,-0.0029166666666666785,0.008749999999999813,-0.015000000000000013,-0.01625000000000021,-0.015833333333333366,-0.002083333333333215,-0.007916666666666572,-0.008333333333333415,-0.0033333333333332993
72,72,0.8208333333333333,0.7189542483660131,0.7786427732079906,0.8987220916568743,0.0016666666666667052,0.010416666666666519,0.009583333333333277,0.005833333333333246,0.011666666666666603,0.008749999999999925,0.013749999999999818,0.00374999999999992,0.0050000000000000044,0.005416666666666625,0.0008333333333332416,0.005833333333333246
73,73,0.8666666666666667,0.8095238095238095,0.8425381903642772,0.912970035252644,0.03041666666666676,0.003750000000000031,0.014583333333333504,0.01708333333333334,0.011666666666666825,0.01041666666666674,0.010000000000000009,0.003750000000000031,-0.0008333333333333526,0.004583333333333384,0.00666666666666671,0.012083333333333224
74,74,0.8375,0.7607361963190185,0.806551116333725,0.8608989424206815,0.04749999999999999,0.00666666666666671,-0.004166666666666541,-1.1102230246251565e-16,0.005416666666666736,-0.01458333333333317,-0.01750000000000007,-0.019583333333333397,-0.0012500000000000844,-0.0004166666666666208,0.00666666666666671,0.009583333333333388
75,75,0.8041666666666667,0.6887417218543046,0.7589600470035253,0.9168625146886016,-0.015416666666666634,-0.004166666666666652,0.002083333333333326,0.020000000000000018,0.012916666666666687,-0.026666666666666616,-0.01791666666666658,-0.010833333333333361,-0.010833333333333361,-0.011666666666666603,0.0029166666666667895,-0.009583333333333277
76,76,0.825,0.7640449438202247,0.8087544065804935,0.8561251468860165,0.17041666666666655,0.02791666666666659,0.025833333333333264,0.017083333333333228,0.06874999999999998,0.0379166666666666,0.04583333333333339,0.04791666666666661,-0.03875000000000017,0.0641666666666666,0.0345833333333333,0.019999999999999907
