,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled
99,99,0.8,0.7804878048780488,0.8107224583197123,0.9122262177182086,0.2866666666666666,0.10977777777777797,0.17200000000000004,0.10533333333333328
100,100,0.7377777777777778,0.7203791469194313,0.7513893429225237,0.8479078130107879,0.29244444444444445,0.032888888888888856,0.02400000000000002,0.08666666666666667
101,101,0.7288888888888889,0.5734265734265734,0.6852321019941157,0.8260869565217391,0.07244444444444453,0.01822222222222214,0.014666666666666828,0.020444444444444487
102,102,0.7866666666666666,0.7575757575757576,0.7910673422687152,0.8859921542987904,0.25111111111111106,0.0942222222222221,0.14755555555555555,0.06711111111111101
103,103,0.7422222222222222,0.6947368421052632,0.7383949002942138,0.8597580908793723,0.26622222222222225,0.039555555555555455,0.027555555555555444,0.007111111111111179
104,104,0.7688888888888888,0.7523809523809524,0.782731284733573,0.8828048381824125,0.2831111111111111,0.09199999999999997,0.05733333333333335,0.046222222222222276
105,105,0.7511111111111111,0.72,0.7559660019614254,0.8723439032363517,0.2773333333333333,0.022666666666666613,0.04888888888888887,0.01777777777777778
106,106,0.8577777777777778,0.8160919540229885,0.8445161817587447,0.881415495259889,0.20977777777777773,0.1266666666666667,0.06577777777777771,0.0982222222222221
107,107,0.8222222222222222,0.7752808988764045,0.8110902255639098,0.8678489702517163,0.18355555555555558,0.026666666666666616,0.05377777777777759,0.04933333333333323
108,108,0.8355555555555556,0.7955801104972375,0.8273945733899968,0.9046256946714614,0.2631111111111111,0.06888888888888889,0.1551111111111112,0.11733333333333351
109,109,0.8,0.7738693467336684,0.8056963059823472,0.9071592023537104,0.21511111111111125,0.08133333333333337,0.09911111111111115,0.0742222222222223
110,110,0.7911111111111111,0.7513227513227513,0.7881252043151357,0.8731611637790127,0.1791111111111111,0.03733333333333322,0.013333333333333197,0.033333333333333215
111,111,0.8444444444444444,0.8022598870056498,0.8332379862700229,0.8998855835240275,0.2426666666666667,0.15955555555555556,0.04222222222222227,0.10711111111111116
112,112,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9149231775089899,0.1306666666666666,0.11644444444444446,0.08577777777777773,0.0968888888888888
113,113,0.7777777777777778,0.7641509433962265,0.7936008499509644,0.8587773782281792,0.2751111111111111,0.04222222222222238,0.058222222222222175,0.08266666666666678
114,114,0.7644444444444445,0.7225130890052356,0.762218045112782,0.8564073226544623,0.18666666666666665,0.07777777777777772,0.020444444444444487,0.03155555555555556
115,115,0.7511111111111111,0.7307692307692307,0.7626675384112456,0.7805655442955215,0.2813333333333334,0.033333333333333215,0.0497777777777777,0.07644444444444443
116,116,0.8666666666666667,0.8170731707317073,0.8453334423014056,0.8843576332134684,0.07599999999999996,0.046666666666666634,0.06177777777777793,0.022222222222222254
117,117,0.76,0.73,0.7651601830663615,0.8568159529257927,0.15822222222222226,0.03200000000000003,0.010666666666666713,0.0835555555555555
118,118,0.7866666666666666,0.7757009345794392,0.8044704151683557,0.9186825760052304,0.26977777777777767,0.124,0.13155555555555565,0.18888888888888888
119,119,0.7822222222222223,0.7461139896373057,0.7822817914351095,0.854527623406342,0.2613333333333333,0.019555555555555548,0.016888888888889064,0.047111111111111215
120,120,0.7644444444444445,0.736318407960199,0.7705949656750573,0.8997221314154953,0.1791111111111111,0.06311111111111112,0.04444444444444451,0.03333333333333344
121,121,0.76,0.7326732673267327,0.7668355671788166,0.8830500163452109,0.25288888888888894,0.039111111111111097,0.016444444444444595,-0.003555555555555534
122,122,0.7955555555555556,0.7604166666666666,0.7952353710362863,0.8716083687479569,0.20399999999999996,-0.005777777777777771,0.06933333333333347,0.053333333333333455
123,123,0.7822222222222223,0.6573426573426573,0.7403971886237333,0.8448022229486761,0.13377777777777777,0.03866666666666663,0.011111111111111072,-0.011555555555555541
124,124,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9149231775089899,0.2182222222222221,0.06711111111111112,0.10399999999999998,0.10755555555555552
125,125,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.9163942464857797,0.2155555555555555,0.24711111111111117,0.014666666666666495,0.20533333333333326
126,126,0.7511111111111111,0.582089552238806,0.7006783262504086,0.8862373324615889,0.10222222222222221,0.03066666666666673,-0.009777777777777885,0.023555555555555552
127,127,0.8088888888888889,0.7817258883248731,0.8132151029748285,0.895472376593658,0.22044444444444444,0.07733333333333337,0.13866666666666672,0.0848888888888889
128,128,0.76,0.7403846153846154,0.7718617195161818,0.8675220660346518,0.2755555555555555,0.05155555555555569,0.11955555555555553,-0.001777777777777767
129,129,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8912226217718209,0.20577777777777773,0.17733333333333334,0.11733333333333329,0.19066666666666665
130,130,0.7733333333333333,0.7536231884057971,0.7848152991173586,0.8609839816933639,0.22533333333333327,0.022222222222222254,0.03822222222222227,0.008888888888888946
131,131,0.7866666666666666,0.7551020408163265,0.7893919581562603,0.8885256619810395,0.26622222222222214,0.039111111111111097,0.052444444444444405,0.0768888888888889
132,132,0.7911111111111111,0.7661691542288557,0.798177508989866,0.8944916639424648,0.18000000000000005,0.06000000000000005,0.07422222222222219,0.0822222222222222
133,133,0.7555555555555555,0.7120418848167539,0.7530238640078457,0.8649885583524027,0.22888888888888892,0.039999999999999925,0.019555555555555548,0.0311111111111112
134,134,0.76,0.7216494845360825,0.7601340307289964,0.8761033017325923,0.23111111111111116,0.03288888888888897,0.02533333333333332,0.009777777777777885
