,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled
40,40,0.9061224489795918,0.8783068783068783,0.9053353225348111,0.9715117931230464,-0.00612244897959191,0.01836734693877551,0.01224489795918371,0.016326530612245094,-0.014285714285714235,-0.005714285714285783,0.015918367346938744,0.023265306122448925,-0.014285714285714457,0.01836734693877551,0.009387755102040818,0.02285714285714291
41,41,0.889795918367347,0.8586387434554974,0.8900966183574879,0.9547456663824949,-0.0212244897959184,0.033877551020408125,-0.0008163265306121437,0.026530612244897944,-0.00897959183673469,-0.007346938775510181,0.001224489795918382,-0.002448979591836653,-0.025306122448979784,0.012653061224489726,0.01346938775510187,-0.004897959183673306
42,42,0.889795918367347,0.8571428571428571,0.8879298096050015,0.965331059960216,-0.0004081632653060163,0.044489795918367436,0.022857142857142798,0.0106122448979592,-0.028979591836734597,0.014693877551020362,0.014693877551020362,0.010204081632653073,-0.014285714285714235,0.014285714285714457,0.015918367346938744,0.008571428571428563
43,43,0.8734693877551021,0.8324324324324325,0.8661906791702189,0.9577294685990339,-0.012244897959183487,0.023673469387754942,0.024897959183673546,0.020000000000000018,-0.005714285714285783,-0.008163265306122325,0.002448979591836764,0.0053061224489795444,-0.012244897959183487,0.015918367346938966,0.015510204081632839,0.0077551020408164195
44,44,0.8775510204081632,0.8469387755102041,0.882459505541347,0.9723643080420573,-0.031428571428571694,0.012653061224489726,0.008163265306122436,0.0020408163265305257,-0.022040816326530543,0.002448979591836653,0.0053061224489795444,0.004897959183673417,-0.031020408163265345,0.005714285714285672,0.0065306122448979265,0.0032653061224489077
45,45,0.8938775510204081,0.8586956521739131,0.8868641659562375,0.9704461494742824,-0.0053061224489797665,0.017551020408163254,0.005714285714285894,-0.0020408163265307477,-0.013469387755102091,-0.0016326530612245094,-0.001224489795918382,0.007346938775510181,-0.0151020408163266,-0.00040816326530623837,0.013061224489795853,0.00571428571428545
46,46,0.8448979591836735,0.8020833333333334,0.8433148621767548,0.9429525433361751,-0.01836734693877551,0.006938775510204165,0.008571428571428674,0.004081632653061162,-0.02693877551020407,-0.010204081632653073,-0.007346938775510292,-0.006122448979591799,-0.010204081632652962,0.0028571428571430024,-0.004081632653061051,0.0032653061224489077
47,47,0.9020408163265307,0.8736842105263158,0.9020673486786019,0.9673202614379084,-0.00734693877551007,0.023673469387755053,0.008163265306122547,0.0077551020408163085,-0.0065306122448979265,0.014693877551020584,0.010204081632653073,0.015510204081632728,-0.0053061224489795444,0.006938775510204054,0.008571428571428674,0.01673469387755111
48,48,0.9061224489795918,0.8795811518324608,0.9075021312872975,0.9711565785734584,-0.006938775510204054,0.02693877551020407,0.0077551020408161975,0.022040816326530543,0.004081632653061273,0.00448979591836729,0.004897959183673306,0.008571428571428452,-0.0004081632653060163,0.0077551020408161975,0.015918367346938855,0.02897959183673482
49,49,0.8734693877551021,0.8342245989304813,0.8683574879227053,0.9608553566354078,-0.008163265306122325,0.020816326530612272,0.00897959183673458,-0.001224489795918271,-0.02857142857142858,-0.004081632653061162,0.008163265306122436,0.0008163265306122547,-0.0032653061224490187,0.0016326530612245094,0.0020408163265307477,0.0053061224489797665
50,50,0.8775510204081632,0.8351648351648352,0.8672918442739415,0.9615657857345837,-0.02448979591836742,0.011428571428571455,-0.0077551020408163085,-0.003673469387755146,-0.044897959183673564,0.008571428571428563,0.009387755102040707,0.00612244897959191,-0.022040816326530766,-0.0065306122448980375,0.0028571428571428914,-0.003673469387755146
51,51,0.9142857142857143,0.8923076923076924,0.9205385052571753,0.9749218527990906,-0.014285714285714346,0.03632653061224489,0.017142857142857126,0.009795918367346945,0.012653061224489726,0.02408163265306118,0.02244897959183667,0.022040816326530432,0.004081632653061162,0.022857142857142798,0.016326530612244983,0.029795918367346852
52,52,0.9020408163265307,0.8723404255319149,0.8999005399261153,0.9711565785734584,-0.00897959183673469,0.00938775510204104,0.01224489795918371,0.006938775510204165,-0.019183673469387652,0.008571428571428674,0.029795918367346963,0.027755102040816326,-0.0016326530612243983,0.009387755102040818,0.0065306122448980375,0.014693877551020584
53,53,0.8816326530612245,0.8497409326424871,0.8835606706450696,0.9614236999147485,-0.02244897959183667,0.01510204081632649,0.010204081632652962,0.002448979591836764,-0.017551020408163143,-0.005714285714285783,-0.0016326530612243983,0.0032653061224489077,-0.021632653061224305,0.004081632653061162,-0.004897959183673417,0.009387755102040818
54,54,0.8938775510204081,0.8645833333333334,0.8955314009661836,0.9720090934924694,-0.018775510204081636,0.01632653061224487,0.016734693877550888,0.004081632653061162,-0.001224489795918382,-0.0028571428571428914,-0.0020408163265305257,0.0,-0.011836734693877582,0.0028571428571427804,0.0016326530612245094,0.011428571428571344
55,55,0.8979591836734694,0.8663101604278075,0.8944657573174197,0.9670360897982382,-0.010204081632653184,0.015918367346938855,0.01346938775510198,-0.0016326530612246204,-0.017551020408163143,-0.0020408163265306367,0.017142857142857126,0.00897959183673458,-0.008163265306122436,0.00448979591836729,0.01510204081632649,0.0016326530612246204
56,56,0.8734693877551021,0.8359788359788359,0.8705242966751918,0.9639812446717818,-0.01673469387755122,0.018775510204081636,0.017551020408163254,0.019591836734694,-0.0032653061224490187,0.003673469387755257,0.004489795918367401,0.006938775510204276,-0.029795918367346963,0.004081632653061273,0.0273469387755102,0.01224489795918382
