,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_scaled
65,13,0,65,0.8638888888888889,0.8606855893120335,0.8301667577911427,0.9011520127118644,0.207136181911904,-0.24362611421528427,0.3173878738146602,-0.20405798227483743,4.70980407238003,0.14777777777777784,0.1185416666666667,0.09215277777777782,0.0031250000000000223
66,13,1,66,0.832220367278798,0.8312961339152137,0.8343112757128196,0.88665722189996,-1.5345595561222845,0.4256115950538552,0.8947094156796954,1.9021482510498238,3.565400590760913,0.13948247078464107,0.101669449081803,0.0979966611018364,0.019616026711185307
67,13,2,67,0.9314420803782506,0.9294937290569915,0.880911162505952,0.928270185701653,1.3112413063442603,0.05552220715092611,2.0742538544711997,-1.3156232546317987,2.897117184849608,0.14688731284475964,0.11252955082742319,0.0901497241922774,0.007643814026792761
68,13,3,68,0.8498263888888888,0.8442884709636785,0.8067729083665338,0.8857102916654184,1.0632704482197008,-0.6176683585652084,2.0340595588762818,0.4555612949037338,3.2053231096862773,0.12795138888888885,0.10286458333333329,0.08515624999999995,-0.0039062500000000555
69,13,4,69,0.9227430555555556,0.9216943562424176,0.8707156479883753,0.9373535555353736,-0.15375598413246103,-0.23976082022939166,1.9153677932249693,-0.6095185327018633,4.410135902424388,0.14487847222222222,0.09765625000000004,0.07378472222222227,0.00399305555555558
70,14,0,70,0.8919540229885058,0.8840852582990963,0.8018336738253027,0.8875660222233297,1.8313336223436478,-1.0160218895862951,1.3381386776634194,-1.8523553254066745,5.126064428932331,0.11900383141762454,0.08712643678160924,0.07072796934865905,-0.00015325670498081979
71,14,1,71,0.8760757314974182,0.8758971413827741,0.8767660305795899,0.9084716131326303,-1.6063693408207265,1.0034732487239557,-0.051630852339018304,1.2018468282127375,4.724198027603748,0.17383820998278826,0.13373493975903614,0.11721170395869192,0.03752151462994837
72,14,2,72,0.8986111111111111,0.8961956521739131,0.8456878686433924,0.8923959827833572,-0.9171274178533327,0.3187773322952318,1.674986430919483,1.8025359897203121,2.467065439414951,0.15347222222222223,0.11027777777777784,0.09229166666666667,-0.0006249999999999977
73,14,3,73,0.9166666666666666,0.9178571428571429,0.8896194714376533,0.9454954136772319,-0.4376861531559631,-0.41441717280519774,0.880519175349067,0.3344377996348761,5.074416016888445,0.16032986111111108,0.11779513888888885,0.09123263888888888,0.009201388888888851
74,14,4,74,0.8107638888888888,0.8063233442647767,0.7994569904882226,0.8878205517559739,1.8048289925090888,0.8430993879062169,1.2932340020717292,-1.4032592505311976,1.9678780631531894,0.12708333333333327,0.09895833333333329,0.07456597222222218,-0.0006944444444445085
75,15,0,75,0.881992337164751,0.8761567475882426,0.8053238959839976,0.859187567318049,1.1006037055128404,-0.15777422390330567,2.491103736071201,1.7414378861580524,0.5074421174853557,0.1333333333333334,0.07685823754789275,0.07877394636015331,-0.005287356321839043
76,15,1,76,0.9330484330484331,0.9339874572128557,0.8973912177636164,0.9513627117679692,0.6098047544975722,-0.19707254157463586,0.6538845295296796,-0.2170522631521894,4.889116689785999,0.15349002849002855,0.11096866096866102,0.09138176638176644,0.0027777777777778234
77,15,2,77,0.8729166666666667,0.8690557552496008,0.836710726390812,0.9040363067983929,0.22101783727270696,1.0682891644759134,0.5257638865815836,0.19090201393776532,0.9601645010419104,0.1388888888888889,0.10131944444444443,0.08125000000000002,0.007222222222222197
78,15,3,78,0.843503937007874,0.8413714519574853,0.8358412999301825,0.8988973527886015,-1.4446861086169176,0.4770277889486637,0.6517691397411164,1.6636260899630728,2.4670795219730937,0.13257874015748025,0.10039370078740151,0.095767716535433,0.009448818897637778
79,15,4,79,0.7963671128107075,0.791869999536849,0.7928884986830553,0.860085601404741,-0.5570544055736542,0.7029118892400811,0.1895079447563436,1.0972450224405572,2.274963755384919,0.12868068833652013,0.09388145315487575,0.08145315487571705,-0.006978967495219835
80,16,0,80,0.8472222222222222,0.8426288772389691,0.7776612909222042,0.8705384914704359,0.19079149118021743,0.17406580813063302,2.85643909404403,0.7815903129256582,0.395123175064204,0.09972222222222221,0.0465972222222222,0.05750000000000001,-0.013194444444444463
81,16,1,81,0.8486111111111111,0.8453651752576582,0.8366522372147325,0.9079679030777418,-1.3859042136324178,0.25911301647796836,3.74045125459053,1.16810997724147,0.7426738888094309,0.12937499999999996,0.07277777777777775,0.08729166666666666,0.005763888888888869
82,16,2,82,0.9347222222222222,0.9323177241280689,0.850301466631714,0.9161722705887222,-0.28423681275724083,0.06532415242760217,0.8555167965781948,0.8456001045225685,4.104451356919309,0.1289583333333333,0.08277777777777781,0.06812499999999999,0.007361111111111085
83,16,3,83,0.8520710059171598,0.8496644390057221,0.8429559570863918,0.898051948051948,1.0247485826877538,0.9703237831155465,2.9858674743400844,0.3711681764132848,-0.047495658300767435,0.1253254437869823,0.062248520710059194,0.09467455621301776,0.013727810650887583
84,16,4,84,0.8527724665391969,0.845270996597815,0.8136403178101258,0.9179918421001758,0.9421654619968844,-0.3733842222425554,1.634414351226179,-0.5125737233586892,3.6254428349741197,0.12342256214149136,0.09713193116634797,0.07313575525812617,0.0005736137667303965
85,17,0,85,0.8764607679465777,0.873420367000754,0.8566081164674233,0.9162545135442293,-0.9804531716601694,-0.36280808417438004,-0.11581558358871318,1.2155294004982047,5.8789901333357015,0.15191986644407351,0.12737896494156936,0.10500834724540908,0.017612687813021742
86,17,1,86,0.925,0.9238311210357323,0.8510534085735179,0.9226155162184909,3.42445843511191,-0.37368542965298174,1.4695722172538335,-4.131847144572161,4.395798407359843,0.1235416666666667,0.08645833333333336,0.08437500000000003,0.0015277777777777946
87,17,2,87,0.7847222222222222,0.7786978428123168,0.7658779821254207,0.8227316396557111,0.7576937281192546,1.8358609733603306,4.6197856634733405,0.3576016329538875,-2.6846259231430754,0.09222222222222222,0.046874999999999965,0.05763888888888889,0.00777777777777775
88,17,3,88,0.8817204301075269,0.8805235522158593,0.8582456140350877,0.9105928924876293,0.09416913060393454,-0.2763051319557598,0.7106763557217612,0.23001593765821743,3.1199460019350265,0.1768817204301075,0.12634408602150535,0.09731182795698926,0.00035842293906811483
89,17,4,89,0.9075712881022615,0.9046410316076858,0.8677295884226586,0.9211552359454322,0.7367963124852888,0.12213199036461803,0.5422303499329801,-1.0507452276360476,4.618527306029286,0.16332350049164207,0.12409046214355945,0.10039331366764989,0.005309734513274267
90,18,0,90,0.8412576687116564,0.8394988392835675,0.8319120115995116,0.8753529456654457,-0.41687000611302966,-0.40762423259735764,2.428120852814002,1.2128458353351752,2.1510260139461534,0.15835889570552145,0.0986963190184049,0.08742331288343555,0.013266871165644145
91,18,1,91,0.9066951566951567,0.902120560338042,0.8429083827864625,0.9521350153811418,0.757981884810154,-0.8143203467261602,1.7957935951812671,-1.0663882990996087,4.946689763077406,0.11887464387464382,0.08938746438746435,0.07792022792022787,0.010968660968660938
92,18,2,92,0.8176245210727969,0.8138204678760311,0.8021466156421908,0.8573259985649366,0.3090870816202942,0.19250977345432901,2.7758278227534756,1.4717820385122595,1.2973893218368822,0.13118773946360154,0.09724137931034484,0.08137931034482757,0.0006130268199233457
93,18,3,93,0.8871527777777778,0.8798377948433015,0.7898385919652404,0.8499338074305401,-1.0122552281835562,-0.6106227148832186,2.3913589842352874,0.3272718892490515,4.563906115384701,0.12109375,0.07864583333333335,0.0732638888888889,-0.0048611111111110826
94,18,4,94,0.9388145315487572,0.9383480626498114,0.9123949660438169,0.9647201012930208,-1.132272820561106,-0.5294200040988158,1.210898850920701,0.2043396155396377,5.819134804024628,0.15038240917782025,0.1389101338432122,0.12370936902485659,0.03910133843212236
95,19,0,95,0.8304843304843305,0.8263212657795735,0.817100364121237,0.904842299605108,-1.6642310753530734,0.10495899715058096,4.343825196826723,0.8866003316500721,1.4278983382284565,0.11930199430199431,0.06196581196581195,0.07521367521367518,0.004914529914529886
96,19,1,96,0.9084687767322498,0.905784068985443,0.8429578938556839,0.9042231709358781,1.2094525927528046,-1.7865061548127514,1.1086564233410878,0.5926904324594952,4.580816431729267,0.1208725406330197,0.07827202737382379,0.07681779298545768,0.0014542343883661491
97,19,2,97,0.85625,0.8532995062903418,0.8267705120555335,0.8746795976166265,-1.112059135866799,2.025876528274083,1.0552523147810204,0.34365207576436096,1.0751372882644377,0.14270833333333327,0.10138888888888883,0.08208333333333327,-0.004861111111111172
98,19,3,98,0.9168260038240917,0.914757442377508,0.8670061536064808,0.9331379498364232,-1.0558466954619012,0.14097662511220438,1.92671676622685,1.2547501932197642,3.2467123512502942,0.12973231357552578,0.10783938814531546,0.09608030592734221,0.007265774378585032
99,19,4,99,0.8637152777777778,0.8577085903187044,0.8150326797385621,0.8720541791221226,-0.37442025962964104,-1.2231571970405564,-0.1851047007255106,1.4999962334509558,6.229302378136718,0.14991319444444445,0.10720486111111112,0.08585069444444446,-0.00017361111111110494
