,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_scaled
10,2,0,10,0.8305214723926381,0.8269322901725711,0.8227501983452341,0.8643365824171674,1.1592626471095424,0.5705471736260621,0.4776338300192352,1.3307755420973417,2.3654989357672394,0.15283742331288347,0.10728527607361966,0.08719325153374237,-0.009662576687116542
11,2,1,11,0.9245014245014245,0.9248433436961113,0.8772269770626497,0.9539541252995549,2.137190105813097,0.5431550120295221,0.00350293054043816,0.4575300523718412,2.6030929157811626,0.13767806267806265,0.10569800569800566,0.08596866096866093,0.004700854700854673
12,2,2,12,0.9242878560719641,0.9218391444787704,0.848902771335807,0.9272778003246752,1.720453536678187,0.4992276858914904,0.3511002686196768,1.348104072109057,1.737849656130045,0.12263868065967021,0.10472263868065972,0.0799100449775113,0.0032233883058471304
13,2,3,13,0.8550347222222222,0.8546677609676427,0.8508032963270895,0.906493006308994,0.8490845684589748,0.3196609325704974,1.138366859199725,-0.6195145484626025,4.205862061833067,0.1657986111111111,0.13619791666666664,0.11197916666666666,0.03203124999999999
14,2,4,14,0.8180924287118977,0.8156495278843062,0.8035080193513024,0.8442005671933462,1.3841130112827773,0.6741043917153356,1.028992554547469,0.2008964788809011,2.5901207583890016,0.15604719764011793,0.12635201573254667,0.095575221238938,-0.004424778761062009
15,3,0,15,0.8875,0.8850851257497518,0.8609531772575251,0.9299163879598661,1.2127292220284245,0.37168878429975255,0.02054346803937047,0.6961453946505574,3.355405576318833,0.17388888888888882,0.1416666666666666,0.09256944444444441,0.011458333333333293
16,3,1,16,0.8743055555555556,0.8727012827471097,0.8231308783676072,0.8635826507658168,-1.5608765652658663,0.03991290245389002,2.90295892631873,-0.49142416983069565,4.686978486211289,0.15875,0.12513888888888888,0.10208333333333333,-0.009722222222222198
17,3,2,17,0.8436055469953775,0.8415912368824192,0.8458177871404584,0.9060887243294852,0.49790205043905705,-0.6866249697302402,1.6284329502870407,-0.15154810295475357,3.8081531942279674,0.14360554699537748,0.099306625577812,0.0882126348228043,0.010785824345146355
18,3,3,18,0.8908554572271387,0.8884504631813581,0.8508311843801806,0.9131884324921717,0.18804264134846868,0.07077107034301416,0.2826956454629854,0.41719253106157106,4.950974460603385,0.14916420845624384,0.12055063913470994,0.09223205506391348,0.0047197640117994325
19,3,4,19,0.8956692913385826,0.8895317321363366,0.7869181698867624,0.8899185056313524,1.0565549836174373,-0.5609264490379943,0.3398106662848967,0.5808017541718458,4.595933375145351,0.1102362204724409,0.07992125984251966,0.05501968503937008,0.0023622047244094444
20,4,0,20,0.8903374233128835,0.889155320240928,0.8704592883076915,0.9288256227758007,2.354056918195817,0.22958721894137696,-0.048054694108531824,-1.0939390878253223,4.299963432780828,0.18144171779141102,0.15115030674846625,0.11687116564417181,0.013113496932515368
21,4,1,21,0.9081196581196581,0.9057484339999503,0.8611810253923537,0.9310478418936636,2.1107214807302315,0.9832870067559606,0.6667029946254661,0.2777875300161547,1.525543585061375,0.14145299145299145,0.10982905982905981,0.10099715099715098,0.005982905982905984
22,4,2,22,0.8758620689655172,0.877332345013834,0.8392459016393443,0.8942098360655738,0.6947620973072591,0.4659602635678946,1.1673411694431164,-1.5762788941268135,4.416082681228959,0.15770114942528735,0.13348659003831415,0.08183908045977009,-0.014789272030651357
23,4,3,23,0.8923611111111112,0.8919323891663348,0.8755433956528348,0.9300130043404098,1.8264522414635953,0.1611716590319047,1.6064202465099844,-0.8401444316749289,3.2624615590858457,0.18593750000000006,0.14678819444444452,0.11414930555555558,0.006076388888888939
24,4,4,24,0.7887189292543021,0.7835251072122007,0.7884238542306454,0.8131306484162499,-0.5556824107782368,-1.0108710828944067,0.36717068497288785,2.3158947161019947,4.8012021284536415,0.12877629063097512,0.1008604206500956,0.07705544933078393,-0.01118546845124283
25,5,0,25,0.9263888888888889,0.9269227716727717,0.9129843188864848,0.9585554638531373,0.701243342503495,-0.3731413154358818,-0.21674120111230993,0.6818156681282012,4.727485479450152,0.18472222222222223,0.16673611111111114,0.12000000000000004,0.057083333333333354
