,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_scaled
41,8,1,41,0.9416666666666667,0.9427729885057471,0.923518335873756,0.9598666598352781,0.8128000973106271,-0.36483633162364326,0.46880499817455684,0.8780595208751514,4.029114495090089,0.1560416666666667,0.13673611111111109,0.10319444444444441,0.019305555555555555
42,8,2,42,0.825491873396065,0.8213226902859886,0.8089487239103608,0.8639284841330879,-1.9536783119399241,1.2599077673764667,1.0647421483793726,0.6095369832545491,3.0181797998830944,0.14165953806672368,0.11257485029940117,0.078956372968349,-0.008212147134302827
43,8,3,43,0.8632887189292543,0.8622968150502198,0.8599067804062968,0.8953588074927448,1.0573940180046644,-1.5646640600878365,0.48838843272722526,0.5047877177894089,5.606203215529609,0.1774378585086042,0.14560229445506692,0.11070745697896749,-0.0017208413001912116
44,8,4,44,0.9522569444444444,0.9541012600115049,0.9214326867678125,0.9667985404263492,0.6290808520765413,-0.08197815124830485,0.18261277506056514,-0.30221553046646077,5.106394299048739,0.12812499999999996,0.11788194444444441,0.09392361111111108,0.0007812499999999778
45,9,0,45,0.8952234206471494,0.8925193164161629,0.8531338995082027,0.9058175740453221,0.00419674904178538,1.4007987423018047,1.9754109265794826,-0.28581307195369243,1.211075409873453,0.16317411402157161,0.12187981510015407,0.08744221879815098,0.0016949152542372614
46,9,1,46,0.9020833333333333,0.9016191891318855,0.8695731376354159,0.9082926248949759,-0.9246299542156081,1.2532257286844093,0.5557145271580667,-1.0752528828372239,5.5110767151583495,0.180625,0.15243055555555554,0.10937500000000003,-0.0002083333333333326
47,9,2,47,0.8972222222222223,0.8959863182085405,0.8781772575250837,0.9263482441471572,0.6447698804813619,-0.29109876706773846,0.1336869876656873,1.0027770101677824,4.087135219961578,0.19236111111111115,0.14902777777777781,0.10986111111111116,0.0027083333333333347
48,9,3,48,0.8751418842224744,0.8682122217859846,0.8145167085878549,0.9325008983111751,-1.164088917933554,-1.1170982347192744,0.7818334177022467,-0.26628871859460657,7.3030400361743935,0.12587968217934162,0.09273552780930755,0.07582292849035184,0.008626560726447163
49,9,4,49,0.8368055555555556,0.834543743960438,0.8235402922498305,0.8506165608237253,0.3123995645810211,-0.5609925269931211,-0.15326921677554484,1.7351911211711086,4.5712901804894885,0.1658854166666667,0.13350694444444447,0.1049479166666667,-0.014062499999999967
50,10,0,50,0.8440779610194903,0.840167250796261,0.816626213592233,0.8806896059394631,-0.6286871811873689,1.5689332721145308,0.6778458179195838,0.6640585883231424,1.9476172178177165,0.15644677661169415,0.1206146926536732,0.08185907046476763,0.0035232383808096344
51,10,1,51,0.8729166666666667,0.8717337087648492,0.8546958590909468,0.8901207245134826,0.4203424743894981,-0.7225782846432185,-0.15641326066543657,1.5022791897881613,4.8711627315999735,0.17381944444444447,0.15381944444444445,0.1151388888888889,0.004999999999999982
52,10,2,52,0.9083333333333333,0.9084503200325795,0.901458933868948,0.9400521888210034,0.6606870724738744,0.33822686236809724,-0.5418473471444819,0.5402140508040022,4.522333721810732,0.18493055555555554,0.16340277777777779,0.12333333333333334,0.03923611111111108
53,10,3,53,0.9183874139626352,0.9137755489009294,0.8146823946970092,0.8847343285140143,-1.1691847733191902,0.22248760322544425,1.3702655405776927,0.13134651431029784,4.691399392078166,0.1266470009832842,0.09134709931170112,0.05604719764011802,-0.003933136676499483
54,10,4,54,0.8877551020408163,0.8863732993197279,0.8617021276595744,0.9352923408031113,-0.4968640981471926,-0.9442475651831237,-0.17273602570464058,1.0676838574092284,6.2745287380097245,0.1854081632653061,0.146734693877551,0.0989795918367347,-0.005204081632653068
55,11,0,55,0.9215277777777777,0.9205054330915966,0.8869941186530154,0.9334810485799756,2.00050135086544,-0.7886780535014276,0.2723517982932446,-0.5606635216954442,4.702895462627493,0.16937499999999997,0.1430555555555555,0.10423611111111106,0.0004166666666666319
56,11,1,56,0.8755622188905547,0.8718612167987365,0.8455112315289868,0.9025648046732384,-1.336331520521361,1.273572638933073,1.8869004753725431,-0.21555502898596982,3.413679269057324,0.1529235382308846,0.12136431784107948,0.09220389805097455,0.004572713643178438
57,11,2,57,0.8640776699029126,0.8574459956343021,0.8202461197638763,0.8664307230950035,-0.46155325173840306,-1.3929064445777664,-0.2955978749003996,1.614789695024137,6.381212542983219,0.15039717563989402,0.11200353045013234,0.06928508384819061,0.0022065313327448875
58,11,3,58,0.7925347222222222,0.7931361599502968,0.7956802019930961,0.8594525694351269,-1.0923933542804602,0.9563170141891189,0.9151098052742105,2.2354278915212995,2.617240020467406,0.15980902777777778,0.1385416666666667,0.10407986111111109,0.02578125
59,11,4,59,0.9105902777777778,0.9111433551423461,0.8762999140697614,0.9395024814548516,-0.8971810224660294,-0.5458075845800372,1.129950598427378,0.03370127672377048,5.6310632325398435,0.15972222222222224,0.13185763888888888,0.09930555555555556,0.005295138888888884
60,12,0,60,0.8805555555555555,0.8801533857089413,0.8652596437278605,0.9102608754746473,-2.315282443963517,0.7344488413529736,1.4503800242451248,1.105935532344026,3.751669042360818,0.19388888888888883,0.14437499999999998,0.11597222222222223,0.008194444444444416
61,12,1,61,0.9011494252873563,0.8991039343126457,0.875063548551093,0.920729922509282,1.6036883950489338,-0.21190984177914624,0.4337581998359686,0.32423559094578797,3.566648786593693,0.1898084291187739,0.1481992337164751,0.10114942528735629,-0.00022988505747127962
62,12,2,62,0.8736517719568567,0.8703172139425879,0.8474698795180723,0.9067570281124497,-0.09375690601558845,-1.2368631934356127,-0.5243808421121101,-0.03714520946374267,7.4003957302021615,0.15516178736517722,0.1328967642526965,0.0945300462249615,0.005701078582434538
63,12,3,63,0.8740157480314961,0.8700169634430759,0.8320631464344039,0.9200309059300753,-1.743184083395861,-0.2616640634635595,0.40719155713206134,0.39306724700982765,6.730268974257441,0.156496062992126,0.12706692913385825,0.08700787401574803,-0.0033464566929133797
64,12,4,64,0.9140625,0.9101029848084722,0.8382286995515695,0.9244480855467402,-1.3842312167169675,-0.4570565747396957,0.959683716410193,-0.6360957987647085,6.687601507839182,0.13081597222222224,0.09852430555555557,0.08272569444444446,0.004513888888888873
65,13,0,65,0.8583333333333333,0.8553918958887904,0.8259294696555495,0.8788528567523237,-0.12357627079125567,1.3160875464332902,0.20976567076147984,1.479934786269972,1.216309143991854,0.1643055555555555,0.1294444444444444,0.08777777777777772,-0.0002083333333333881
66,13,1,66,0.8330550918196995,0.8317916905480702,0.8354602650484138,0.8806194502699567,0.3943458173433463,0.34850367929280646,0.4251151191070674,2.04348957339105,2.2652020017689223,0.1493322203672788,0.11176961602671118,0.08681135225375626,0.027963272120200333
67,13,2,67,0.929866036249015,0.9289054304046369,0.8910805387388613,0.9465036392082171,1.032619948349408,-0.9695967080142359,0.271169849790352,-0.5775110388198129,5.757284897348516,0.157919621749409,0.1260835303388495,0.08802206461780931,0.004964539007092206
68,13,3,68,0.8819444444444444,0.8804458117443869,0.8584409230246932,0.8955423086268127,-0.9405846534608047,-0.8484425183800374,0.22352502622515935,-0.04471691732225494,7.41746987461419,0.1745659722222222,0.1506944444444444,0.12092013888888889,0.015017361111111094
69,13,4,69,0.9392361111111112,0.9400220212994367,0.922105167559713,0.9594995913177732,-0.16277294409778556,0.9705010456280617,0.6315007916168097,-0.1427407986881113,3.896504663613166,0.16831597222222225,0.14201388888888894,0.10581597222222228,0.0018229166666667185
70,14,0,70,0.8743295019157088,0.8686625695072336,0.7960956574816882,0.832624321092232,-0.1431168764767671,-0.699612476572551,0.9509893378083956,0.07287747493349149,5.2744652933476806,0.12950191570881225,0.1089655172413793,0.07233716475095786,0.0014559386973179932
71,14,1,71,0.887263339070568,0.8869887414669662,0.8881296669432263,0.932825648927344,1.1358669816443332,-0.11529476700768741,-0.09884067148425638,1.0492773572184755,3.4784304102318204,0.1823580034423408,0.13975903614457832,0.11135972461273665,0.03158347676419965
72,14,2,72,0.9027777777777778,0.9018733943346586,0.8635877115073671,0.9193267189441269,0.6179089276472348,-0.6107773646096057,-0.5022983878280101,0.13050774588065325,6.07757616062739,0.17722222222222228,0.1345138888888889,0.09291666666666668,-0.008541666666666637
73,14,3,73,0.9288194444444444,0.9297400820936258,0.9064117700481337,0.9568022886204705,-0.2510751546816628,0.28540315996938226,0.836577182668137,0.22876625308889179,4.176245840096542,0.16684027777777774,0.1453125,0.10260416666666664,0.0006076388888888729
74,14,4,74,0.8315972222222222,0.8296549641845744,0.8240928582708731,0.8776041983017286,-0.2418926980275863,2.662529889731665,2.2438037848492365,0.1735620353782763,-0.5995750939510319,0.16206597222222222,0.08116319444444443,0.08689236111111111,0.015017361111111094
75,15,0,75,0.9118773946360154,0.9095955627348074,0.861578704416064,0.8774857670410833,0.25400165893252713,0.06753004842908084,0.22147493851040043,0.9563139646825924,4.130052772161489,0.1613026819923372,0.1342528735632184,0.10199233716475098,0.003448275862069006
76,15,1,76,0.9294871794871795,0.9305283157277483,0.8919681085617559,0.9426608440847215,0.8390048298776469,0.7596953982858462,0.6078991485593201,-1.1230927882159543,4.306820686523123,0.1711538461538462,0.14294871794871797,0.09871794871794873,0.00341880341880344
77,15,2,77,0.8513888888888889,0.8446394930126019,0.8044453316796778,0.868215836016276,-1.8741637697217568,0.525489985490829,2.0455800332304643,0.24331710938756457,3.7593855035590793,0.13263888888888883,0.09993055555555555,0.06881944444444442,0.0009027777777777746
78,15,3,78,0.8671259842519685,0.8663786613287512,0.8626566504019377,0.9386854822667648,-2.423532170324514,0.625968127379104,1.833061079910288,0.9071097347624201,3.974783884605436,0.16820866141732288,0.1311023622047244,0.09773622047244097,0.019881889763779526
79,15,4,79,0.8346080305927343,0.8321115277009657,0.8317712906057946,0.8963637693883524,-0.5673228482739197,-1.0980196912678206,0.6361685098245605,-0.44137965041262417,6.963071727043048,0.1392925430210325,0.111376673040153,0.09120458891013387,0.0024856596558317625
80,16,0,80,0.9006944444444445,0.9010621593332017,0.8761905824094934,0.9266752420819918,-0.35547368404372043,-0.45876042839371856,0.9664076686133115,-0.26211145706246736,5.8679806691677125,0.1675694444444445,0.1411805555555556,0.11131944444444448,0.004097222222222208
81,16,1,81,0.8777777777777778,0.8772477794536617,0.8732358679403045,0.9301578144155489,-1.7123625169139147,1.7766322941136565,2.3346692373464353,1.4084293344383663,1.112129908138456,0.16784722222222218,0.1215972222222222,0.0967361111111111,0.02090277777777778
82,16,2,82,0.9375,0.9361794825727633,0.8684584500338028,0.9273306750920957,0.3266913576132658,1.3923146598708573,0.49662572276636574,-0.7921067023847518,3.8147391637514914,0.1300694444444444,0.10340277777777776,0.06409722222222222,-0.002430555555555547
83,16,3,83,0.8721893491124261,0.8703974319047505,0.8639751552795032,0.9357029926595143,0.37930616439252235,-0.07382859354193047,-0.7604721668562224,0.27573455657745105,5.461545442223317,0.1781065088757397,0.12733727810650888,0.0831952662721894,0.0040236686390532905
84,16,4,84,0.8097514340344169,0.7974120835060006,0.7627191710645866,0.8231939531017418,-0.19300505475587915,-0.7528118588741902,0.2062979366450633,0.8588193305170186,5.679358365318231,0.1081261950286807,0.08652007648183559,0.048852772466539254,-0.00019120458891010994
85,17,0,85,0.8714524207011686,0.8683721444572864,0.8517428394688763,0.8800943708371095,0.28383374743929246,-0.47423596901232296,-0.007346706798246396,1.8524375985415111,4.036060891834779,0.16360601001669445,0.13606010016694486,0.10091819699499163,0.046994991652754545
86,17,1,86,0.9395833333333333,0.9398290410785504,0.8960905917576125,0.9423350211785483,-0.43185249753083305,-0.4050135961387275,0.41809240258231334,-0.5210677633147506,6.184467125272673,0.16069444444444442,0.143125,0.10555555555555554,0.002777777777777768
87,17,2,87,0.8131944444444444,0.8086014831454763,0.79611525547603,0.8601723802581971,-1.3791994034180965,-0.07432614427771987,2.4345796571305485,-0.7704344293395144,5.300657768022194,0.13555555555555554,0.10222222222222221,0.07930555555555555,-0.00777777777777775
88,17,3,88,0.8879928315412187,0.8871620447763264,0.867578947368421,0.9274529914529914,-2.0948239455918847,0.23877499749943154,1.4669494514039028,0.004123460588377748,5.018392047227716,0.19220430107526884,0.14820788530465956,0.10098566308243728,0.004838709677419384
89,17,4,89,0.8790560471976401,0.8733831838927094,0.8253205271187801,0.8979398827633587,1.2395544734021893,-1.0312432105319134,-0.10586505495554892,0.03220662331271615,5.586782755728557,0.1508357915437561,0.11612586037364792,0.0828908554572271,-0.011307767944936131
90,18,0,90,0.8535276073619632,0.852871888927793,0.8479758089133089,0.9091021825396826,-0.2533989021588501,0.899556841943706,2.190576726962121,1.0186947227201384,0.9867895110889743,0.1709355828220859,0.11342024539877302,0.08918711656441719,-0.0007668711656441563
91,18,1,91,0.9074074074074074,0.9043603611136103,0.8549272250059652,0.9211212967880482,0.5262657487329969,1.2326887289569926,0.9970804438712855,-1.1607812107196698,3.480852614602747,0.1592592592592593,0.11801994301994308,0.09401709401709406,0.0025641025641025884
92,18,2,92,0.8467432950191571,0.8454871138530328,0.8378677349916288,0.8649031332217174,0.8875216613323438,-0.20868406766545977,0.572212319978858,1.0790821581328942,3.7256531231523073,0.16521072796934871,0.12720306513409968,0.10291187739463607,0.004291187739463664
93,18,3,93,0.8949652777777778,0.891767568984255,0.8251709974711043,0.8405522836436464,-1.1696463598350508,-0.8122389733686554,-0.12138964635016083,2.2372277544807626,5.535401586245101,0.14644097222222224,0.12612847222222223,0.07717013888888889,-0.0012152777777777678
94,18,4,94,0.9483747609942639,0.9468585951124315,0.9065917200629245,0.9567538272647047,0.6014096518615784,-0.24022064688438674,-0.02442532713329518,0.8393033751661584,4.444909523652094,0.1618546845124283,0.12963671128107077,0.0916826003824092,0.002390057361376674
95,19,0,95,0.8753561253561254,0.8747080750186205,0.870174880763116,0.9252330888763527,0.337923190476118,-0.5609669370574005,0.6581610184412123,1.2612135935015267,4.167524968910036,0.1824786324786325,0.13354700854700857,0.1100427350427351,0.007264957264957317
96,19,1,96,0.9289991445680068,0.9278277433978671,0.883046626485853,0.9400050226017076,-0.5163371555895624,-1.0818798209445912,0.4793142573088668,1.2919569566854332,5.444212209214337,0.16321642429426858,0.1314798973481608,0.10410607356715137,0.0011120615911034636
97,19,2,97,0.8319444444444445,0.8255592684844948,0.789694178551319,0.8302833827768487,-2.0988573517361546,1.2806841740538122,2.2779534852535015,0.6189147050897896,2.307790930559563,0.13437500000000005,0.09597222222222228,0.08000000000000004,-0.0011111111111110961
98,19,3,98,0.9244741873804971,0.9225958384807257,0.8771907618009036,0.9443497818974919,1.045859624780621,-0.3357039723465437,-0.11118004422581648,0.16374383502251905,4.8594913944684865,0.14627151051625242,0.1145315487571702,0.09445506692160612,0.0029636711281070816
99,19,4,99,0.8897569444444444,0.887154473511151,0.856984344125247,0.8533583286889259,-0.49441461113925256,-0.9167358827439152,0.43026042920344587,1.2581602174622208,5.388257268254557,0.16510416666666664,0.13515624999999995,0.10486111111111111,0.007812499999999989
