,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_mid_CO2_fd3_scaled,feature_importance.B_mid_CO2_fd2_scaled,feature_importance.B_mid_CO2_fd1_scaled,feature_importance.B_mid_CO2_scaled
33,6,3,33,0.8100393700787402,0.8098464326195572,0.8070145540733776,0.8569234686881746,-1.3978479651668312,0.28484552004691355,1.2366724018347273,1.718526491730678,3.95287475810057,0.17746062992125985,0.1404527559055118,0.12470472440944882,-0.03257874015748029
34,6,4,34,0.9547689282202556,0.953330099674557,0.7757562144354597,0.7987587767461981,1.34983760754709,1.212538816024393,1.9828687311265936,-3.951136432025194,3.925137974797622,0.06607669616519168,0.052409046214355895,0.05634218289085541,0.0003933136676499083
35,7,0,35,0.8390325271059216,0.8338142480195452,0.8046573050101538,0.881776332636569,3.016546321100627,1.270065596227211,0.7780560933505147,-1.8804406173822967,2.3235887998460942,0.13719766472060047,0.10375312760633859,0.08098415346121765,0.004170141784820658
36,7,1,36,0.8144171779141104,0.8088426534365827,0.8012472139232703,0.8817019964907289,1.979540193012233,-0.17787642806690385,0.6425120872253371,-2.7246396817818446,4.878291845838737,0.13213190184049078,0.10690184049079751,0.07469325153374229,-0.003757668711656492
37,7,2,37,0.9208333333333333,0.9235955625861929,0.898011837911671,0.9534589329322976,-0.844349545243224,1.5605059041733593,1.7559207386850297,-0.3185037278150589,2.792516659285741,0.13777777777777772,0.10763888888888884,0.09527777777777773,0.006388888888888866
38,7,3,38,0.8472222222222222,0.8421220098620442,0.8059591209098443,0.8505193927714372,-1.4816836229471078,0.596154304149865,1.8695764299566802,0.6161067773050307,3.1575655360634087,0.14973958333333331,0.10807291666666666,0.07473958333333333,-0.0021701388888889063
39,7,4,39,0.8629032258064516,0.8635464080744113,0.8513198380566802,0.9122159244264507,-0.4947926675354425,0.7219685706102322,0.6591689621488528,1.2219131355772253,3.433765095897939,0.1868279569892473,0.14551971326164875,0.12293906810035844,-0.0019713261648745426
40,8,0,40,0.811965811965812,0.8073189491591611,0.8034626391420803,0.8771455632389934,-0.17901351580118333,1.4113602957729339,1.5364319821717694,0.04014944467134786,1.1689786994211004,0.13518518518518516,0.08945868945868947,0.05562678062678063,0.006837606837606836
41,8,1,41,0.9270833333333334,0.9284201736395057,0.8985827003624905,0.9591653751072741,0.6381862722870782,0.23051133606294552,0.6700330880401792,-0.8172915832151754,4.867411011390651,0.15868055555555557,0.13680555555555562,0.11520833333333336,-0.0007638888888888862
42,8,2,42,0.8195038494439693,0.8165723276413996,0.8060096340147491,0.8621310488318161,-1.212662636929526,2.218898448106772,0.2454786414511429,1.7312416090917049,0.8918421294984812,0.1550898203592815,0.11420017108639868,0.07724550898203598,0.0038494439692044803
43,8,3,43,0.7887189292543021,0.7844942489073351,0.782601207750711,0.8337877055667928,-0.48952429154979576,0.24482490527899403,0.21469676826812956,1.246530398977923,4.518625376791254,0.13164435946462716,0.0953154875717017,0.08413001912045888,-0.006978967495219901
