,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled
23,4,3,23,0.8741319444444444,0.8746321994314332,0.8630946952424381,0.9199337960851869,1.384623700002396,0.49200337275181805,1.262560570331131,-0.9454871425244296,2.9748743641336928,0.1958333333333333,0.14973958333333331,0.11432291666666665,-0.0022569444444444755
24,4,4,24,0.7447418738049714,0.7364043579778793,0.7444027668099793,0.7884494457605803,-2.715276962882318,0.5674729597553196,2.86635076049916,2.121742573624412,2.2797505974639525,0.12065009560229452,0.07418738049713199,0.053441682600382456,-0.019407265774378523
25,5,0,25,0.8166666666666667,0.8246193403686858,0.8257827544927989,0.926464574364465,0.7211232734478099,0.1446941916326518,-0.17930710479392808,1.5130803635738364,2.9982508260481437,0.14250000000000002,0.10965277777777778,0.08006944444444444,0.0504861111111111
26,5,1,26,0.8348623853211009,0.8298025506231105,0.7998353096179183,0.8748682476943346,1.8451562074285555,0.5472821060651001,1.36208235617855,-0.44664896223160205,2.172985870345387,0.1524603836530442,0.103836530442035,0.0725604670558799,0.010675562969140939
27,5,2,27,0.8044478527607362,0.7975079674609578,0.7886358453996123,0.8621427621327862,0.8675866871868553,0.5897661924035312,1.8877224545995315,-3.2449131752229445,4.04068786132486,0.12131901840490791,0.07791411042944782,0.05851226993865029,0.00927914110429443
28,5,3,28,0.8691756272401434,0.8594029218685798,0.7491442404069822,0.8936163171133006,-0.24071055728394272,-0.6317904725552035,1.450355335236888,-0.6688960473964647,4.988757429521455,0.10349462365591404,0.06039426523297496,0.0409498207885305,0.010304659498207924
29,5,4,29,0.8020833333333334,0.7891341279753159,0.741692696712777,0.8460277323284909,0.07049126252916219,1.1658380123502963,3.8730400656550827,-0.36232635124715434,0.30817876244571557,0.10772569444444446,0.07968750000000005,0.050260416666666696,-0.009374999999999967
30,6,0,30,0.7631184407796102,0.7549103279424103,0.7599118596049421,0.8159214830970556,1.1830952693475147,-0.4093064353313585,1.0063235455547876,-1.833471761948442,5.006704767777066,0.1131184407796102,0.08433283358320844,0.058995502248875585,0.013193403298350847
31,6,1,31,0.8831908831908832,0.8826447840314318,0.7983293392673743,0.8855289284491612,0.24084869049640578,1.5356404271626332,2.437523345898404,-0.8714932904481029,0.6664565647230729,0.11566951566951574,0.06132478632478635,0.06809116809116814,0.006196581196581241
32,6,2,32,0.7826388888888889,0.7722063129212671,0.7590415177635023,0.8290555733074048,-1.7362166546676188,-0.5308636192803914,3.3068401087096424,0.44606923205555177,3.8314216806138974,0.12229166666666669,0.07090277777777776,0.04902777777777776,-0.002777777777777768
33,6,3,33,0.8287401574803149,0.826963478530157,0.8204187968893851,0.8558343617167148,2.2656624095001883,0.07019796194388132,0.24146965531848094,-0.27594476764146025,3.3269556641469515,0.1780511811023622,0.1491141732283464,0.109251968503937,-0.016437007874015787
34,6,4,34,0.9193706981317601,0.9264795116105585,0.7643006888289907,0.8060463878073941,2.473525159989326,0.37783070967556764,1.8236574130882548,-2.666193005696618,2.804543314522725,0.09734513274336284,0.05653883972468045,0.0529006882989184,-0.0018682399213372446
