,repeat,fold,split_id,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_scaled
53,10,3,53,0.8947885939036382,0.8894562948463903,0.7791051203089931,0.8550811628999427,0.12157688397151008,-0.9307905993769261,0.5361140157885046,1.3560292496296205,4.381434521643224,0.1131760078662734,0.09203539823008852,0.06027531956735499,-0.010029498525073722
54,10,4,54,0.8979591836734694,0.8956455970961276,0.8653363287960882,0.9342256791708359,-0.01051925099020715,-0.5797542868029968,0.5035786617206821,2.275534278867167,3.0986073910272256,0.1661224489795918,0.12877551020408162,0.09336734693877552,0.00020408163265306367
55,11,0,55,0.8513888888888889,0.8542654541807494,0.8309056976943039,0.9240927037094867,1.4857524894691236,-1.6361100405792484,-0.43235153514782226,2.9655948314296525,3.484916242318035,0.14326388888888886,0.10534722222222218,0.08076388888888884,-0.012291666666666723
56,11,1,56,0.8860569715142429,0.8827507225662408,0.8571318767894545,0.9432610826079437,0.16007934648224628,-0.21553787473605743,0.6053439454143505,2.218569152481518,2.543199748726927,0.1446776611694153,0.11139430284857572,0.08755622188905547,0.011844077961019517
57,11,2,57,0.8358340688437775,0.824042144378081,0.7795306569047264,0.8399714976563238,1.6888087726253351,-1.284644533812552,-1.0352241200696772,2.0466267180500104,4.214833378351935,0.13318623124448362,0.09443954104148275,0.07272727272727268,-0.0020300088261253958
58,11,3,58,0.8333333333333334,0.8333333333333334,0.8313796762743495,0.8824390422404647,0.08674600942955077,1.3377252062152616,2.976762273980832,-0.43449523953998825,1.424313990311164,0.16293402777777782,0.1246527777777778,0.11571180555555563,-0.008333333333333304
59,11,4,59,0.9027777777777778,0.901320883785497,0.844466267997124,0.9245392210160812,0.6059376739110998,-1.7533016451550905,0.6680913540386599,0.1256416275960222,5.8428568128190905,0.12378472222222225,0.11527777777777778,0.08368055555555556,0.004253472222222232
60,12,0,60,0.8590277777777777,0.859673927493992,0.8496610572634834,0.8948916487567853,1.0827407000911546,1.6048027382850514,1.4753978824714558,-1.870930376322943,1.6703659716323809,0.17409722222222218,0.13833333333333328,0.10597222222222218,0.0001388888888888329
61,12,1,61,0.8544061302681992,0.8500059906421501,0.8178505954306665,0.9039582402571726,0.2558408860135914,-0.24655459736232926,0.2114663503783166,1.63754936339464,3.667676020971644,0.14927203065134095,0.11854406130268198,0.09908045977011494,-0.005670498084291176
62,12,2,62,0.8759630200308166,0.872117459451399,0.8474497991967871,0.9311671686746988,1.2598385314176315,-1.9806318871808588,0.012008883174448665,1.9055812781683699,4.482541070059464,0.1445300462249614,0.1000770416024653,0.08220338983050844,0.007087827426810456
63,12,3,63,0.8759842519685039,0.8703342137091797,0.8258907405131086,0.9186831615361652,-1.4119741673270676,-0.8276489312721045,1.0349734330386369,1.715302145121575,5.340436976831958,0.14281496062992122,0.11328740157480317,0.0839566929133858,0.011220472440944863
64,12,4,64,0.9097222222222222,0.9032551579902149,0.8149879268713349,0.9276172818213178,0.17597812452968106,-1.333527510552309,0.47536598827334897,0.44257676021733544,5.407136136879695,0.10008680555555553,0.08194444444444444,0.06362847222222222,0.00703125
65,13,0,65,0.88125,0.8806190417875327,0.8635012301804265,0.9120677282668124,0.8082503269220085,2.3584827203139325,-0.3284923242385162,0.020635298864332453,0.5958678651975595,0.1822222222222222,0.1520833333333333,0.11361111111111111,0.006874999999999976
66,13,1,66,0.7879799666110183,0.7861143806831064,0.7905241845522288,0.8619957833206907,1.7553247388743505,-0.08349264257835948,-1.1262937497324783,2.11147974466263,2.822329193314408,0.11744574290484136,0.0806343906510851,0.07579298831385638,-0.031218697829716213
67,13,2,67,0.9227738376674547,0.9224202652073642,0.8897745051357051,0.9417590640092511,1.5245038631822443,-0.8956407899227449,-1.3832122172714882,1.637855174061885,4.5394951638217504,0.17974783293932234,0.15098502758077226,0.11946414499605988,0.0030732860520094607
68,13,3,68,0.8628472222222222,0.8574363570241064,0.8196786787686348,0.9097444807237217,-0.5530540997896308,-1.3699352656929429,1.4788379764060127,1.4469456720265848,4.96503292641815,0.12447916666666665,0.10355902777777777,0.07916666666666668,0.002690972222222221
69,13,4,69,0.9210069444444444,0.9223967615724145,0.8999500499500499,0.9585777858505131,1.1189360216025899,-0.04678384034655736,-0.24852897093207882,2.041171906253305,3.020024144220119,0.1667534722222222,0.14166666666666666,0.09826388888888886,0.014236111111111083
70,14,0,70,0.8574712643678161,0.8486385088149875,0.7626610070257611,0.8619325825900641,2.8170194956446664,-0.5271905063583213,-0.35940880009190257,1.6864729948124784,1.7949911296039096,0.13103448275862065,0.09747126436781607,0.07739463601532563,-0.028429118773946382
71,14,1,71,0.8640275387263339,0.8638315856838771,0.8647149460708783,0.9192959582790091,1.6873107418413213,-0.42647303614544996,-0.9513017291753357,1.801553612346859,3.5655596545886135,0.17487091222030976,0.13769363166953524,0.11617900172117035,-0.0034423407917384186
72,14,2,72,0.8625,0.8645224607433909,0.8356220536995287,0.9052527966922993,1.1306399964329057,-0.29833271566353226,-0.056638260824069746,2.5535133481726264,2.094660913178395,0.14833333333333337,0.10861111111111117,0.09013888888888891,-0.011388888888888848
73,14,3,73,0.9105902777777778,0.9126182281145281,0.8903233130505859,0.9455589864680772,1.934140898761245,-0.3892852960749262,-0.6627135456981642,2.6510313049898637,2.2851720151605934,0.16475694444444447,0.14739583333333334,0.10329861111111113,0.016232638888888908
74,14,4,74,0.8489583333333334,0.8480428169734151,0.843863506602364,0.872161955320157,2.1544876586765738,3.216239332686948,0.5429315866116178,-0.702905856622623,-1.6737909768841306,0.1639756944444445,0.13142361111111117,0.10355902777777781,0.012847222222222288
75,15,0,75,0.885823754789272,0.8797548558793868,0.8079012155716264,0.8862348053546699,1.2805939332026675,-0.3919219765836356,-0.2612907970430258,1.7564272201558433,3.512641684981752,0.13969348659003825,0.11134099616858233,0.08628352490421455,-0.009808429118773988
76,15,1,76,0.9294871794871795,0.9316073734996206,0.9099621627003883,0.9558292200679934,-0.3381768164239572,1.0668012803776614,0.3368131311505383,0.20098059757479336,4.017781123629895,0.16673789173789175,0.14900284900284905,0.11616809116809121,0.0064102564102564204
77,15,2,77,0.8479166666666667,0.8406730284135785,0.7994652519984029,0.9018658840119268,-0.8919088717159419,-0.3269213155852436,1.72021157731477,1.7074026387491545,2.7206075734504567,0.12312500000000001,0.08652777777777779,0.05590277777777779,0.004097222222222208
78,15,3,78,0.8513779527559056,0.8510989015222034,0.8488842863996442,0.9097951112203227,-0.36775266447881655,1.7893041920856094,1.8118154530061825,-0.36796963054430487,1.3753820236649614,0.1648622047244095,0.12667322834645672,0.10885826771653546,9.842519685039352e-05
